,time,c1,c2,c3,c4
0,1647468050891540.0,-26.3671875,-321.2890625,-194.82421875,-7.32421875
1,1647468050895446.2,-30.76171875,-675.29296875,-272.94921875,-18.5546875
2,1647468050899352.5,-24.4140625,-569.3359375,-238.76953125,-27.34375
3,1647468050903258.8,-38.0859375,-236.328125,-178.7109375,-25.87890625
4,1647468050907165.0,-29.296875,-368.65234375,-268.06640625,-25.87890625
5,1647468050911071.2,-32.2265625,-877.9296875,-399.90234375,-26.85546875
6,1647468050914977.5,-35.15625,-707.51953125,-244.140625,-26.3671875
7,1647468050918883.8,-35.15625,-228.515625,-125.0,-21.97265625
8,1647468050922790.0,-34.1796875,-414.55078125,-242.67578125,-29.296875
9,1647468050926696.2,-31.25,-788.57421875,-295.8984375,-41.9921875
10,1647468050930602.5,-36.1328125,-686.03515625,-254.39453125,-41.9921875
11,1647468050934508.8,-39.0625,-333.49609375,-199.21875,-49.31640625
12,1647468050938415.0,-42.48046875,-511.23046875,-244.62890625,-53.22265625
13,1647468050942321.2,-62.5,-727.05078125,-250.9765625,-63.4765625
14,1647468050946227.5,-39.55078125,-296.875,-173.828125,-52.734375
15,1647468050950133.8,-12.6953125,-212.890625,-213.37890625,-26.3671875
16,1647468050954040.0,-33.69140625,-603.02734375,-323.2421875,-30.2734375
17,1647468050957946.2,-46.38671875,-748.53515625,-303.7109375,-37.59765625
18,1647468050961852.5,-41.50390625,-594.7265625,-230.95703125,-42.96875
19,1647468050965758.8,-32.71484375,-374.0234375,-208.0078125,-37.59765625
20,1647468050969665.0,-44.43359375,-740.72265625,-394.53125,-42.96875
21,1647468050973571.2,-56.15234375,-655.76171875,-299.31640625,-47.36328125
22,1647468050977477.5,-46.875,-130.859375,-126.46484375,-31.25
23,1647468050981383.8,-43.45703125,-257.8125,-221.19140625,-27.83203125
24,1647468050985290.0,-47.36328125,-809.5703125,-394.04296875,-19.04296875
25,1647468050989196.2,-30.2734375,-569.3359375,-266.6015625,-14.6484375
26,1647468050993102.5,-26.85546875,-196.77734375,-159.66796875,-22.94921875
27,1647468050997008.8,-34.66796875,-329.58984375,-223.6328125,-28.80859375
28,1647468051000915.0,-51.26953125,-438.4765625,-217.7734375,-27.34375
29,1647468051004821.2,-44.921875,-574.70703125,-255.859375,-26.85546875
30,1647468051008727.5,-41.50390625,-522.94921875,-239.2578125,-46.875
31,1647468051012633.8,-63.4765625,-568.359375,-281.25,-59.5703125
32,1647468051016540.0,-53.7109375,-760.25390625,-309.08203125,-26.85546875
33,1647468051020446.2,-39.0625,-462.890625,-213.8671875,-34.66796875
34,1647468051024352.5,-53.22265625,-493.1640625,-229.98046875,-54.19921875
35,1647468051028258.8,-63.4765625,-742.1875,-302.24609375,-41.015625
36,1647468051032165.0,-56.15234375,-702.63671875,-231.93359375,-47.36328125
37,1647468051036071.2,-48.828125,-266.11328125,-12.6953125,-40.0390625
38,1647468051039977.5,-57.12890625,-145.5078125,32.71484375,-25.390625
39,1647468051043883.8,-19.04296875,-582.03125,-199.21875,-33.203125
40,1647468051047790.0,-17.08984375,-650.87890625,-234.375,-46.875
41,1647468051051696.2,-34.66796875,-425.78125,-137.6953125,-50.29296875
42,1647468051055602.5,-33.69140625,-564.94140625,-218.75,-43.9453125
43,1647468051059508.8,-51.7578125,-842.7734375,-376.46484375,-62.98828125
44,1647468051063415.0,-43.9453125,-599.12109375,-197.265625,-56.640625
45,1647468051067321.2,-33.203125,-146.97265625,72.75390625,-47.36328125
46,1647468051071227.5,-52.734375,-366.2109375,-51.7578125,-44.43359375
47,1647468051075133.8,-55.17578125,-860.83984375,-334.9609375,-60.05859375
48,1647468051079040.0,-42.96875,-531.73828125,-120.60546875,-59.08203125
49,1647468051082946.2,-39.0625,-107.421875,83.0078125,-35.15625
50,1647468051086852.5,-41.9921875,-310.05859375,-53.22265625,-31.73828125
51,1647468051090758.8,-60.05859375,-430.6640625,-123.53515625,-52.734375
52,1647468051094665.0,-62.5,-266.11328125,-42.96875,-81.0546875
53,1647468051098571.2,-49.31640625,-434.08203125,-109.86328125,-54.6875
54,1647468051102477.5,-37.109375,-691.40625,-258.7890625,-35.64453125
55,1647468051106383.8,-35.15625,-831.0546875,-299.8046875,-38.0859375
56,1647468051110290.0,-24.90234375,-407.71484375,-58.59375,-34.1796875
57,1647468051114196.2,-39.0625,-132.8125,35.64453125,-41.015625
58,1647468051118102.5,-33.69140625,-602.05078125,-227.5390625,-19.53125
59,1647468051122008.8,-22.4609375,-740.72265625,-212.890625,-12.6953125
60,1647468051125915.0,-32.71484375,-350.5859375,-51.7578125,-22.94921875
61,1647468051129821.2,-23.4375,-395.01953125,-190.4296875,-18.5546875
62,1647468051133727.5,-24.4140625,-720.703125,-303.7109375,-28.80859375
63,1647468051137633.8,-24.4140625,-634.27734375,-211.9140625,-26.3671875
64,1647468051141540.0,-23.92578125,-223.14453125,-57.12890625,-32.71484375
65,1647468051145446.2,-25.87890625,-456.0546875,-217.28515625,-24.90234375
66,1647468051149352.5,-24.90234375,-879.39453125,-391.11328125,-5.859375
67,1647468051153258.8,-27.34375,-591.796875,-225.5859375,-40.52734375
68,1647468051157165.0,-18.5546875,-123.046875,-77.1484375,-49.31640625
69,1647468051161071.2,-20.5078125,-228.515625,-154.296875,-29.296875
70,1647468051164977.5,-20.99609375,-553.7109375,-242.1875,-13.18359375
71,1647468051168883.8,-16.11328125,-321.2890625,-122.0703125,-22.94921875
72,1647468051172790.0,-14.16015625,-90.33203125,-30.2734375,-35.15625
73,1647468051176696.2,-11.23046875,-287.109375,-149.4140625,-20.01953125
74,1647468051180602.5,-19.04296875,-436.03515625,-205.078125,-18.5546875
