,time,c1,c2,c3,c4
0,1647469288996337.0,34.1796875,-115.72265625,-113.28125,4.39453125
1,1647469289000243.2,2.9296875,459.47265625,136.23046875,-31.25
2,1647469289004149.5,-2.44140625,303.22265625,27.34375,-28.3203125
3,1647469289008055.8,25.87890625,-259.765625,-229.00390625,10.7421875
4,1647469289011962.0,34.66796875,14.6484375,-30.2734375,7.8125
5,1647469289015868.2,33.203125,223.6328125,110.3515625,-13.671875
6,1647469289019774.5,16.11328125,-94.7265625,-53.7109375,-32.2265625
7,1647469289023680.8,32.71484375,-462.40234375,-240.234375,1.46484375
8,1647469289027587.0,53.22265625,53.7109375,10.25390625,10.25390625
9,1647469289031493.2,48.828125,501.46484375,145.99609375,-16.6015625
10,1647469289035399.5,31.25,202.1484375,5.859375,-28.80859375
11,1647469289039305.8,31.73828125,145.01953125,18.06640625,-21.484375
12,1647469289043212.0,48.33984375,248.53515625,58.59375,-12.20703125
13,1647469289047118.2,47.36328125,213.8671875,57.6171875,-11.71875
14,1647469289051024.5,19.53125,80.56640625,-22.4609375,-27.83203125
15,1647469289054930.8,18.5546875,56.640625,-62.5,-41.50390625
16,1647469289058837.0,56.640625,277.34375,71.77734375,-17.578125
17,1647469289062743.2,62.5,146.97265625,63.96484375,-3.90625
18,1647469289066649.5,32.2265625,-239.74609375,-154.296875,-25.390625
19,1647469289070555.8,25.390625,-322.265625,-149.4140625,-35.64453125
20,1647469289074462.0,73.2421875,321.2890625,125.0,-17.578125
21,1647469289078368.2,83.49609375,461.9140625,101.07421875,-13.671875
22,1647469289082274.5,51.26953125,-218.26171875,-163.57421875,-11.71875
23,1647469289086180.8,32.2265625,-178.22265625,-88.37890625,-24.4140625
24,1647469289090087.0,54.19921875,395.99609375,123.53515625,-12.6953125
25,1647469289093993.2,57.12890625,290.52734375,61.03515625,1.46484375
26,1647469289097899.5,33.69140625,-58.59375,-79.1015625,-3.41796875
27,1647469289101805.8,5.37109375,-79.58984375,-76.66015625,-26.85546875
28,1647469289105712.0,8.30078125,152.83203125,65.4296875,-34.66796875
29,1647469289109618.2,41.015625,-15.13671875,-13.671875,-4.39453125
30,1647469289113524.5,37.109375,-517.08984375,-262.20703125,22.4609375
31,1647469289117430.8,7.8125,-32.2265625,-14.6484375,-6.8359375
32,1647469289121337.0,3.41796875,450.1953125,159.66796875,-33.203125
33,1647469289125243.2,26.3671875,191.40625,-12.6953125,-4.39453125
34,1647469289129149.5,22.94921875,-208.49609375,-121.58203125,3.90625
35,1647469289133055.8,8.30078125,212.40234375,73.73046875,-20.01953125
36,1647469289136962.0,3.41796875,454.58984375,122.55859375,-27.83203125
37,1647469289140868.2,27.34375,172.8515625,23.92578125,-10.7421875
38,1647469289144774.5,38.0859375,221.6796875,71.2890625,2.9296875
39,1647469289148680.8,22.94921875,402.83203125,103.515625,1.953125
40,1647469289152587.0,3.41796875,378.90625,106.4453125,-22.4609375
41,1647469289156493.2,11.71875,-114.74609375,-83.49609375,4.39453125
42,1647469289160399.5,27.34375,-348.14453125,-166.015625,28.80859375
43,1647469289164305.8,31.25,-26.3671875,34.66796875,4.39453125
44,1647469289168212.0,11.23046875,45.41015625,-3.90625,-20.99609375
45,1647469289172118.2,18.5546875,-237.79296875,-180.6640625,-8.30078125
46,1647469289176024.5,43.45703125,-114.2578125,-69.82421875,16.11328125
47,1647469289179930.8,41.50390625,426.26953125,159.66796875,11.71875
48,1647469289183837.0,16.6015625,417.96875,91.30859375,-1.46484375
49,1647469289187743.2,-10.25390625,-209.9609375,-174.31640625,1.46484375
50,1647469289191649.5,10.7421875,-11.71875,-2.9296875,17.08984375
51,1647469289195555.8,30.2734375,506.34765625,178.22265625,6.34765625
52,1647469289199462.0,4.8828125,279.78515625,51.7578125,-5.859375
