,time,c1,c2,c3,c4
0,1647468852641540.0,-559.5703125,-55.6640625,-67.3828125,-125.48828125
1,1647468852645446.2,379.8828125,-51.7578125,0.0,-109.86328125
2,1647468852649352.5,186.03515625,-44.921875,-53.7109375,-123.53515625
3,1647468852653258.8,-563.4765625,-46.38671875,-89.84375,-110.3515625
4,1647468852657165.0,-28.3203125,-42.96875,-28.3203125,-93.26171875
5,1647468852661071.2,113.28125,-40.0390625,-41.50390625,-135.25390625
6,1647468852664977.5,-277.83203125,-52.734375,-51.7578125,-138.18359375
7,1647468852668883.8,-45.8984375,-58.10546875,-1.953125,-73.2421875
8,1647468852672790.0,313.96484375,-45.8984375,-6.34765625,-85.9375
9,1647468852676696.2,382.8125,-41.50390625,-32.71484375,-140.13671875
10,1647468852680602.5,-106.93359375,-48.33984375,-87.890625,-146.97265625
11,1647468852684508.8,-496.09375,-48.33984375,-76.66015625,-129.39453125
12,1647468852688415.0,212.40234375,-48.828125,-6.8359375,-88.8671875
13,1647468852692321.2,425.29296875,-50.78125,-34.66796875,-115.234375
14,1647468852696227.5,-225.5859375,-49.31640625,-85.9375,-142.08984375
15,1647468852700133.8,-338.8671875,-51.26953125,-64.94140625,-126.953125
16,1647468852704040.0,202.1484375,-56.640625,-21.484375,-102.05078125
17,1647468852707946.2,40.52734375,-47.8515625,-61.03515625,-104.98046875
18,1647468852711852.5,-679.19921875,-42.48046875,-124.0234375,-112.3046875
19,1647468852715758.8,-369.62890625,-45.41015625,-56.15234375,-112.79296875
20,1647468852719665.0,296.38671875,-50.78125,-13.18359375,-105.95703125
21,1647468852723571.2,-76.171875,-53.7109375,-74.21875,-95.703125
22,1647468852727477.5,-726.07421875,-53.22265625,-117.1875,-104.00390625
23,1647468852731383.8,-205.56640625,-54.6875,-37.109375,-93.75
24,1647468852735290.0,448.2421875,-49.31640625,-2.44140625,-87.890625
25,1647468852739196.2,126.46484375,-46.38671875,-59.5703125,-114.2578125
26,1647468852743102.5,-629.39453125,-43.45703125,-92.7734375,-128.41796875
27,1647468852747008.8,-103.515625,-40.0390625,-34.1796875,-152.34375
28,1647468852750915.0,426.26953125,-38.57421875,-27.34375,-139.16015625
29,1647468852754821.2,-232.91015625,-39.0625,-99.609375,-143.06640625
30,1647468852758727.5,-741.2109375,-45.8984375,-119.62890625,-161.1328125
31,1647468852762633.8,-265.625,-51.26953125,-62.5,-150.390625
32,1647468852766540.0,361.328125,-45.41015625,-41.9921875,-128.90625
33,1647468852770446.2,-42.96875,-47.36328125,-103.02734375,-145.99609375
34,1647468852774352.5,-529.78515625,-49.31640625,-91.796875,-142.578125
35,1647468852778258.8,151.85546875,-44.921875,-18.06640625,-132.8125
36,1647468852782165.0,373.53515625,-56.640625,-36.1328125,-146.97265625
37,1647468852786071.2,-58.59375,-69.3359375,-74.21875,-153.80859375
38,1647468852789977.5,43.45703125,-59.08203125,-47.8515625,-129.8828125
39,1647468852793883.8,301.26953125,-42.96875,-29.78515625,-92.7734375
