,time,c1,c2,c3,c4
0,1647468389938415.0,-12.20703125,-36.62109375,-492.1875,-63.4765625
1,1647468389942321.2,-6.34765625,-24.4140625,-308.59375,-91.30859375
2,1647468389946227.5,11.71875,-1.953125,-321.77734375,-2.9296875
3,1647468389950133.8,17.08984375,-7.32421875,-349.609375,19.53125
4,1647468389954040.0,4.8828125,-13.18359375,-327.1484375,-34.1796875
5,1647468389957946.2,-3.41796875,-4.39453125,-369.62890625,-82.03125
6,1647468389961852.5,13.671875,1.46484375,-376.953125,-29.296875
7,1647468389965758.8,30.2734375,1.953125,-491.2109375,20.5078125
8,1647468389969665.0,18.06640625,-17.08984375,-475.09765625,-26.3671875
9,1647468389973571.2,-6.8359375,-29.296875,-290.52734375,-97.65625
10,1647468389977477.5,-3.41796875,-19.53125,-333.984375,-25.87890625
11,1647468389981383.8,2.44140625,-19.04296875,-400.87890625,72.75390625
12,1647468389985290.0,10.7421875,-19.53125,-361.81640625,44.921875
13,1647468389989196.2,13.671875,-13.18359375,-314.453125,-66.40625
14,1647468389993102.5,2.44140625,-16.6015625,-347.16796875,-68.84765625
15,1647468389997008.8,15.13671875,-14.16015625,-428.7109375,49.31640625
16,1647468390000915.0,13.18359375,-12.6953125,-384.765625,46.875
17,1647468390004821.2,-3.90625,-19.53125,-353.02734375,-55.6640625
18,1647468390008727.5,0.0,-4.8828125,-388.18359375,-62.5
19,1647468390012633.8,19.53125,8.7890625,-403.80859375,29.296875
20,1647468390016540.0,23.4375,3.90625,-316.89453125,48.33984375
21,1647468390020446.2,24.90234375,5.37109375,-275.390625,-3.90625
22,1647468390024352.5,20.99609375,15.625,-407.2265625,-33.69140625
23,1647468390028258.8,22.4609375,11.71875,-455.078125,10.7421875
24,1647468390032165.0,30.76171875,9.27734375,-287.109375,22.4609375
25,1647468390036071.2,29.78515625,11.23046875,-276.3671875,-3.41796875
26,1647468390039977.5,20.5078125,2.9296875,-400.87890625,-51.7578125
27,1647468390043883.8,11.23046875,7.8125,-397.4609375,-10.7421875
28,1647468390047790.0,17.578125,-1.953125,-312.98828125,48.828125
29,1647468390051696.2,27.83203125,-13.671875,-353.515625,34.66796875
30,1647468390055602.5,14.16015625,3.41796875,-485.83984375,-23.92578125
31,1647468390059508.8,10.7421875,11.71875,-473.14453125,-22.94921875
32,1647468390063415.0,26.3671875,-0.48828125,-262.20703125,47.8515625
33,1647468390067321.2,23.92578125,-4.8828125,-308.10546875,50.78125
34,1647468390071227.5,7.8125,-0.48828125,-372.0703125,-2.44140625
35,1647468390075133.8,2.44140625,4.8828125,-321.2890625,-25.390625
36,1647468390079040.0,15.625,13.671875,-302.24609375,49.8046875
37,1647468390082946.2,27.34375,13.18359375,-283.69140625,71.2890625
38,1647468390086852.5,29.296875,3.41796875,-304.6875,28.80859375
39,1647468390090758.8,13.671875,3.41796875,-362.79296875,-19.53125
40,1647468390094665.0,18.06640625,6.34765625,-363.76953125,53.7109375
41,1647468390098571.2,34.1796875,7.32421875,-394.53125,116.2109375
42,1647468390102477.5,29.78515625,3.90625,-442.3828125,76.171875
43,1647468390106383.8,9.765625,1.46484375,-350.09765625,-0.9765625
44,1647468390110290.0,20.01953125,-3.90625,-252.9296875,1.46484375
45,1647468390114196.2,34.66796875,-8.30078125,-378.41796875,76.66015625
46,1647468390118102.5,18.5546875,12.20703125,-447.265625,83.984375
47,1647468390122008.8,2.9296875,-3.41796875,-306.15234375,9.765625
48,1647468390125915.0,2.44140625,-26.85546875,-264.6484375,-20.01953125
49,1647468390129821.2,20.5078125,5.859375,-390.625,59.5703125
50,1647468390133727.5,29.296875,10.7421875,-461.9140625,67.3828125
51,1647468390137633.8,17.08984375,-8.30078125,-299.31640625,-11.71875
52,1647468390141540.0,9.765625,-6.8359375,-288.57421875,-29.78515625
53,1647468390145446.2,21.484375,1.46484375,-476.5625,70.80078125
54,1647468390149352.5,33.69140625,6.34765625,-469.7265625,111.81640625
55,1647468390153258.8,31.25,0.0,-269.04296875,29.296875
56,1647468390157165.0,20.01953125,-4.8828125,-333.49609375,-58.10546875
57,1647468390161071.2,22.4609375,0.48828125,-460.9375,-8.30078125
58,1647468390164977.5,21.484375,3.90625,-410.64453125,51.7578125
59,1647468390168883.8,21.484375,1.953125,-279.78515625,47.36328125
60,1647468390172790.0,3.41796875,1.46484375,-353.02734375,-24.4140625
61,1647468390176696.2,0.9765625,-0.48828125,-389.16015625,-48.828125
62,1647468390180602.5,14.6484375,-1.46484375,-312.98828125,28.80859375
63,1647468390184508.8,16.6015625,2.9296875,-336.42578125,49.8046875
64,1647468390188415.0,6.8359375,-1.46484375,-383.30078125,-6.34765625
65,1647468390192321.2,-4.39453125,-2.9296875,-447.265625,-30.76171875
66,1647468390196227.5,2.44140625,5.37109375,-386.71875,17.08984375
67,1647468390200133.8,4.39453125,10.25390625,-262.20703125,24.4140625
68,1647468390204040.0,-10.25390625,3.41796875,-389.6484375,-20.5078125
69,1647468390207946.2,-17.08984375,-9.765625,-451.66015625,-48.828125
70,1647468390211852.5,8.30078125,-13.18359375,-337.890625,4.8828125
71,1647468390215758.8,12.6953125,-1.953125,-351.07421875,52.734375
72,1647468390219665.0,-6.34765625,2.9296875,-451.171875,50.78125
73,1647468390223571.2,-8.7890625,-13.18359375,-470.21484375,-39.55078125
74,1647468390227477.5,9.765625,-10.25390625,-305.17578125,-42.96875
75,1647468390231383.8,23.92578125,-2.9296875,-300.78125,35.64453125
76,1647468390235290.0,10.7421875,-20.01953125,-353.515625,22.94921875
77,1647468390239196.2,-13.671875,-20.5078125,-410.15625,-37.59765625
78,1647468390243102.5,-15.13671875,-29.78515625,-354.00390625,-21.484375
79,1647468390247008.8,-1.46484375,-21.97265625,-265.13671875,52.734375
80,1647468390250915.0,4.8828125,1.46484375,-449.21875,71.2890625
81,1647468390254821.2,-4.8828125,-4.39453125,-466.30859375,-20.5078125
82,1647468390258727.5,-19.53125,-11.71875,-266.11328125,-74.70703125
83,1647468390262633.8,-4.8828125,-10.25390625,-320.3125,13.18359375
84,1647468390266540.0,-11.71875,-12.20703125,-375.48828125,45.41015625
85,1647468390270446.2,-22.94921875,-20.99609375,-325.1953125,10.7421875
86,1647468390274352.5,-27.83203125,-10.7421875,-322.265625,-60.546875
87,1647468390278258.8,-10.25390625,-4.39453125,-355.46875,-16.11328125
88,1647468390282165.0,4.8828125,-16.11328125,-418.9453125,33.69140625
89,1647468390286071.2,-7.32421875,-16.11328125,-414.55078125,-1.46484375
90,1647468390289977.5,-19.53125,-19.53125,-336.42578125,-50.78125
91,1647468390293883.8,-4.39453125,-6.8359375,-352.5390625,-31.73828125
92,1647468390297790.0,2.44140625,9.27734375,-419.921875,29.78515625
93,1647468390301696.2,-8.7890625,-2.44140625,-315.4296875,30.2734375
94,1647468390305602.5,-0.9765625,-5.859375,-255.859375,-30.76171875
95,1647468390309508.8,8.30078125,7.8125,-427.24609375,-29.296875
96,1647468390313415.0,5.859375,8.30078125,-473.14453125,62.5
97,1647468390317321.2,-2.9296875,-3.90625,-276.85546875,73.73046875
98,1647468390321227.5,-0.9765625,-15.625,-296.38671875,0.48828125
99,1647468390325133.8,1.46484375,-20.01953125,-312.98828125,-77.1484375
100,1647468390329040.0,6.8359375,-11.71875,-329.58984375,-27.34375
101,1647468390332946.2,4.39453125,-12.20703125,-372.55859375,32.71484375
102,1647468390336852.5,-8.7890625,-16.11328125,-355.46875,-15.625
103,1647468390340758.8,-14.6484375,-5.859375,-503.41796875,-80.078125
104,1647468390344665.0,-5.37109375,-11.71875,-466.796875,-16.6015625
105,1647468390348571.2,1.953125,-21.484375,-266.11328125,42.48046875
106,1647468390352477.5,12.6953125,-11.71875,-340.33203125,21.484375
107,1647468390356383.8,-1.953125,-11.71875,-454.58984375,-50.29296875
108,1647468390360290.0,-15.13671875,-39.0625,-368.65234375,-10.25390625
109,1647468390364196.2,7.8125,-31.25,-263.18359375,63.4765625
110,1647468390368102.5,10.7421875,-8.7890625,-333.0078125,27.34375
111,1647468390372008.8,-7.32421875,-18.06640625,-385.25390625,-39.55078125
112,1647468390375915.0,-9.765625,-20.5078125,-375.0,-45.8984375
113,1647468390379821.2,1.46484375,-25.390625,-352.05078125,43.45703125
114,1647468390383727.5,6.34765625,-24.90234375,-346.6796875,61.5234375
115,1647468390387633.8,-8.30078125,-20.5078125,-392.578125,-10.25390625
116,1647468390391540.0,-10.25390625,-19.53125,-346.6796875,-62.5
117,1647468390395446.2,6.34765625,-17.578125,-281.25,-3.90625
118,1647468390399352.5,-9.765625,-20.01953125,-376.46484375,51.7578125
119,1647468390403258.8,-33.203125,-33.69140625,-453.61328125,21.97265625
