,time,c1,c2,c3,c4
0,1647467785250915.0,28.3203125,971.6796875,162.109375,14.6484375
1,1647467785254821.2,27.83203125,971.6796875,166.50390625,18.5546875
2,1647467785258727.5,33.69140625,971.19140625,171.38671875,18.5546875
3,1647467785262633.8,30.2734375,971.19140625,176.26953125,32.71484375
4,1647467785266540.0,16.6015625,971.19140625,170.41015625,38.0859375
5,1647467785270446.2,14.16015625,971.19140625,161.1328125,30.2734375
6,1647467785274352.5,20.5078125,971.6796875,194.3359375,46.38671875
7,1647467785278258.8,2.9296875,969.23828125,235.83984375,40.0390625
8,1647467785282165.0,25.390625,977.5390625,242.1875,29.296875
9,1647467785286071.2,44.43359375,939.94140625,245.60546875,41.9921875
10,1647467785289977.5,14.16015625,925.78125,244.62890625,48.33984375
11,1647467785293883.8,16.11328125,922.36328125,225.09765625,35.64453125
12,1647467785297790.0,23.4375,866.2109375,198.73046875,20.01953125
13,1647467785301696.2,34.66796875,806.640625,186.03515625,23.92578125
14,1647467785305602.5,40.0390625,818.359375,180.17578125,26.85546875
15,1647467785309508.8,17.578125,802.24609375,172.8515625,6.8359375
16,1647467785313415.0,11.23046875,703.61328125,166.50390625,-8.7890625
17,1647467785317321.2,21.484375,622.0703125,157.2265625,4.8828125
18,1647467785321227.5,19.04296875,651.3671875,165.52734375,-2.44140625
19,1647467785325133.8,13.671875,667.96875,168.9453125,-14.16015625
20,1647467785329040.0,34.66796875,577.1484375,164.55078125,-5.37109375
21,1647467785332946.2,38.0859375,496.58203125,161.1328125,5.37109375
22,1647467785336852.5,33.203125,573.2421875,168.45703125,16.11328125
23,1647467785340758.8,45.41015625,542.96875,172.8515625,-1.46484375
24,1647467785344665.0,17.578125,437.01171875,173.33984375,-0.9765625
25,1647467785348571.2,-14.6484375,427.734375,178.22265625,-14.16015625
26,1647467785352477.5,-2.44140625,399.90234375,177.734375,-11.23046875
27,1647467785356383.8,17.08984375,374.51171875,180.6640625,-6.8359375
28,1647467785360290.0,4.39453125,314.94140625,198.2421875,10.25390625
29,1647467785364196.2,1.953125,265.13671875,221.19140625,27.34375
30,1647467785368102.5,42.48046875,304.6875,243.65234375,7.8125
31,1647467785372008.8,35.64453125,310.05859375,250.9765625,11.23046875
32,1647467785375915.0,9.765625,257.8125,246.09375,4.39453125
33,1647467785379821.2,23.4375,262.6953125,236.81640625,6.8359375
34,1647467785383727.5,25.87890625,300.78125,226.5625,6.8359375
35,1647467785387633.8,6.8359375,238.76953125,221.19140625,-9.765625
36,1647467785391540.0,6.8359375,159.66796875,210.44921875,-20.01953125
37,1647467785395446.2,8.7890625,185.546875,205.078125,-20.5078125
38,1647467785399352.5,23.92578125,179.19921875,209.47265625,5.37109375
39,1647467785403258.8,42.48046875,99.609375,203.61328125,34.1796875
40,1647467785407165.0,38.0859375,46.38671875,198.73046875,37.59765625
41,1647467785411071.2,24.90234375,28.3203125,201.171875,31.73828125
42,1647467785414977.5,8.7890625,17.578125,197.265625,7.32421875
43,1647467785418883.8,21.97265625,-11.71875,190.4296875,-1.953125
44,1647467785422790.0,35.64453125,-65.91796875,185.546875,-34.66796875
45,1647467785426696.2,12.6953125,-20.5078125,186.5234375,-68.84765625
46,1647467785430602.5,-11.71875,-10.25390625,187.01171875,-37.109375
47,1647467785434508.8,-4.39453125,-100.09765625,185.546875,-25.87890625
48,1647467785438415.0,18.5546875,-146.97265625,182.12890625,-10.25390625
49,1647467785442321.2,10.25390625,-84.47265625,181.15234375,-18.5546875
50,1647467785446227.5,6.8359375,-123.046875,178.22265625,-17.578125
51,1647467785450133.8,20.99609375,-178.22265625,173.33984375,-2.44140625
52,1647467785454040.0,3.41796875,-183.59375,171.875,-40.52734375
53,1647467785457946.2,-2.44140625,-221.6796875,163.57421875,-62.5
54,1647467785461852.5,5.859375,-231.4453125,159.66796875,-37.59765625
55,1647467785465758.8,6.8359375,-259.765625,164.0625,-38.57421875
56,1647467785469665.0,25.87890625,-250.0,164.55078125,-41.015625
57,1647467785473571.2,31.25,-180.17578125,172.8515625,-21.484375
58,1647467785477477.5,-12.6953125,-218.26171875,180.6640625,-6.34765625
59,1647467785481383.8,-9.27734375,-302.24609375,178.7109375,-9.27734375
60,1647467785485290.0,1.46484375,-271.97265625,161.1328125,-64.94140625
61,1647467785489196.2,-10.25390625,-236.328125,154.296875,-60.546875
62,1647467785493102.5,-15.625,-302.734375,157.2265625,-43.45703125
63,1647467785497008.8,-8.30078125,-376.953125,147.4609375,-22.4609375
64,1647467785500915.0,41.9921875,-323.2421875,152.83203125,24.90234375
65,1647467785504821.2,33.69140625,-323.73046875,159.66796875,27.83203125
66,1647467785508727.5,13.18359375,-367.67578125,161.62109375,15.625
67,1647467785512633.8,12.6953125,-402.83203125,158.203125,-16.11328125
68,1647467785516540.0,-11.71875,-355.95703125,158.203125,-43.45703125
69,1647467785520446.2,-12.6953125,-343.26171875,164.0625,-42.48046875
70,1647467785524352.5,6.34765625,-422.8515625,162.109375,0.48828125
71,1647467785528258.8,15.625,-437.5,157.71484375,1.953125
72,1647467785532165.0,4.8828125,-387.20703125,165.0390625,-36.1328125
73,1647467785536071.2,11.23046875,-390.13671875,171.38671875,-37.59765625
74,1647467785539977.5,48.33984375,-448.2421875,163.0859375,-29.78515625
75,1647467785543883.8,36.1328125,-431.15234375,166.015625,-10.7421875
76,1647467785547790.0,-2.44140625,-404.296875,178.22265625,-10.7421875
77,1647467785551696.2,11.71875,-428.22265625,179.19921875,6.8359375
78,1647467785555602.5,20.99609375,-460.9375,175.29296875,4.8828125
