,time,c1,c2,c3,c4
0,1647467830157165.0,-7.32421875,-70.3125,-35.64453125,5.859375
1,1647467830161071.2,3.90625,-4.8828125,-41.015625,-6.8359375
2,1647467830164977.5,14.6484375,92.28515625,-41.9921875,-14.16015625
3,1647467830168883.8,2.9296875,21.97265625,-43.45703125,-11.23046875
4,1647467830172790.0,-23.4375,-97.16796875,-55.17578125,-11.23046875
5,1647467830176696.2,-21.97265625,-9.27734375,-52.24609375,-10.7421875
6,1647467830180602.5,-16.11328125,46.38671875,-50.78125,-8.30078125
7,1647467830184508.8,-3.41796875,-27.83203125,-50.78125,4.39453125
8,1647467830188415.0,-9.765625,-74.21875,-47.8515625,-0.48828125
9,1647467830192321.2,-28.3203125,57.6171875,-44.43359375,-14.6484375
10,1647467830196227.5,-12.6953125,59.5703125,-41.9921875,-3.41796875
11,1647467830200133.8,-0.9765625,-63.4765625,-43.9453125,-2.9296875
12,1647467830204040.0,-9.765625,-53.7109375,-41.9921875,1.46484375
13,1647467830207946.2,-20.5078125,93.75,-36.62109375,-0.9765625
14,1647467830211852.5,-20.01953125,41.9921875,-37.109375,-28.3203125
15,1647467830215758.8,-15.13671875,-58.59375,-35.15625,-34.1796875
16,1647467830219665.0,-5.37109375,0.48828125,-38.57421875,-26.85546875
17,1647467830223571.2,-10.25390625,19.04296875,-40.52734375,-26.85546875
18,1647467830227477.5,-15.13671875,9.765625,-38.0859375,-29.296875
19,1647467830231383.8,-7.32421875,-28.80859375,-41.9921875,-26.3671875
20,1647467830235290.0,-18.5546875,44.43359375,-42.48046875,-19.04296875
21,1647467830239196.2,-13.18359375,109.375,-42.96875,-23.4375
22,1647467830243102.5,-8.30078125,1.46484375,-45.41015625,-28.80859375
23,1647467830247008.8,-10.25390625,-101.5625,-39.55078125,-10.25390625
24,1647467830250915.0,-7.32421875,17.578125,-29.78515625,7.32421875
25,1647467830254821.2,-12.6953125,89.35546875,-25.390625,13.671875
26,1647467830258727.5,0.48828125,3.90625,-25.87890625,10.7421875
27,1647467830262633.8,1.46484375,9.765625,-24.4140625,4.39453125
28,1647467830266540.0,-13.671875,29.296875,-22.4609375,-2.44140625
29,1647467830270446.2,-2.9296875,10.25390625,-23.92578125,-20.99609375
30,1647467830274352.5,-4.39453125,-11.23046875,-24.90234375,-18.5546875
31,1647467830278258.8,-7.8125,-63.4765625,-24.4140625,-8.7890625
