,time,c1,c2,c3,c4
0,1647467957141540.0,-26.85546875,70.80078125,-21.97265625,-4.39453125
1,1647467957145446.2,-23.92578125,117.1875,-24.4140625,-14.6484375
2,1647467957149352.5,-31.73828125,-46.38671875,-26.85546875,-11.23046875
3,1647467957153258.8,-36.62109375,-221.6796875,-18.5546875,-6.34765625
4,1647467957157165.0,-36.62109375,125.0,-13.18359375,-11.71875
5,1647467957161071.2,-33.69140625,79.58984375,-16.11328125,-3.90625
6,1647467957164977.5,-30.2734375,-347.65625,-21.484375,-10.7421875
7,1647467957168883.8,-31.73828125,-422.8515625,-23.4375,-8.30078125
8,1647467957172790.0,-26.3671875,215.33203125,-15.625,-3.41796875
9,1647467957176696.2,-21.97265625,364.74609375,-14.16015625,-2.44140625
10,1647467957180602.5,-33.203125,-43.45703125,-15.13671875,-0.9765625
11,1647467957184508.8,-36.1328125,-15.13671875,-14.16015625,1.953125
12,1647467957188415.0,-35.15625,250.48828125,-21.484375,-4.8828125
13,1647467957192321.2,-37.109375,198.73046875,-25.87890625,-8.30078125
14,1647467957196227.5,-37.59765625,-141.6015625,-24.90234375,-10.25390625
15,1647467957200133.8,-42.48046875,-265.625,-20.5078125,-18.5546875
16,1647467957204040.0,-48.33984375,-10.7421875,-16.6015625,-21.97265625
17,1647467957207946.2,-45.41015625,-4.39453125,-20.99609375,-6.34765625
18,1647467957211852.5,-44.43359375,-391.6015625,-32.71484375,0.0
19,1647467957215758.8,-46.875,-163.0859375,-28.80859375,-7.32421875
20,1647467957219665.0,-48.33984375,360.3515625,-19.53125,-18.06640625
21,1647467957223571.2,-52.734375,213.8671875,-23.92578125,-29.296875
22,1647467957227477.5,-47.8515625,-272.4609375,-22.94921875,-26.85546875
23,1647467957231383.8,-46.38671875,-69.3359375,-12.6953125,-16.6015625
24,1647467957235290.0,-48.33984375,375.48828125,-9.27734375,-20.99609375
25,1647467957239196.2,-47.8515625,42.48046875,-18.06640625,-20.99609375
26,1647467957243102.5,-44.921875,-192.3828125,-19.53125,-15.625
27,1647467957247008.8,-39.55078125,179.19921875,-20.01953125,-13.18359375
28,1647467957250915.0,-33.203125,291.015625,-25.87890625,-12.6953125
29,1647467957254821.2,-30.2734375,-168.9453125,-30.76171875,-12.20703125
30,1647467957258727.5,-36.1328125,-459.47265625,-31.73828125,-6.8359375
31,1647467957262633.8,-39.0625,-9.765625,-20.5078125,-8.7890625
32,1647467957266540.0,-37.109375,358.3984375,-21.484375,-14.16015625
33,1647467957270446.2,-39.0625,-119.140625,-31.73828125,-23.4375
34,1647467957274352.5,-41.50390625,-346.6796875,-29.78515625,-11.23046875
35,1647467957278258.8,-42.48046875,234.375,-24.90234375,-14.16015625
36,1647467957282165.0,-41.50390625,266.6015625,-21.97265625,-20.01953125
37,1647467957286071.2,-35.15625,53.7109375,-17.08984375,-18.5546875
