,time,c1,c2,c3,c4
0,1647467891188415.0,1.953125,-10.25390625,-15.625,-11.71875
1,1647467891192321.2,-17.578125,10.7421875,-19.53125,-24.4140625
2,1647467891196227.5,-26.85546875,20.99609375,-20.01953125,-23.92578125
3,1647467891200133.8,-11.23046875,4.8828125,-24.4140625,-12.20703125
4,1647467891204040.0,-13.671875,5.37109375,-29.78515625,-11.71875
5,1647467891207946.2,-26.3671875,17.08984375,-27.83203125,-15.625
6,1647467891211852.5,-17.08984375,48.33984375,-26.3671875,-16.6015625
7,1647467891215758.8,-10.7421875,18.06640625,-29.296875,-5.37109375
8,1647467891219665.0,-19.53125,-6.8359375,-31.73828125,-2.9296875
9,1647467891223571.2,-29.296875,33.203125,-26.85546875,-2.44140625
10,1647467891227477.5,-28.80859375,30.2734375,-23.4375,-5.37109375
11,1647467891231383.8,-18.5546875,-15.13671875,-28.80859375,-16.11328125
12,1647467891235290.0,-15.625,-10.7421875,-30.76171875,-19.04296875
13,1647467891239196.2,-17.578125,49.8046875,-26.85546875,-9.27734375
14,1647467891243102.5,-17.08984375,36.1328125,-32.71484375,-15.13671875
15,1647467891247008.8,-20.01953125,9.27734375,-37.59765625,-16.6015625
16,1647467891250915.0,-25.390625,10.7421875,-34.66796875,-7.8125
17,1647467891254821.2,-16.11328125,10.7421875,-30.2734375,4.8828125
18,1647467891258727.5,-12.20703125,23.4375,-28.80859375,-11.23046875
19,1647467891262633.8,-7.32421875,-3.90625,-29.296875,-7.32421875
20,1647467891266540.0,-1.953125,-3.90625,-25.390625,3.41796875
21,1647467891270446.2,-4.39453125,51.7578125,-20.01953125,-13.18359375
22,1647467891274352.5,-3.41796875,18.5546875,-28.3203125,-7.8125
23,1647467891278258.8,-7.8125,-31.73828125,-35.15625,0.9765625
24,1647467891282165.0,-6.8359375,22.4609375,-29.78515625,0.48828125
25,1647467891286071.2,-4.8828125,64.453125,-25.87890625,-1.953125
26,1647467891289977.5,-19.53125,9.765625,-32.2265625,5.37109375
27,1647467891293883.8,-17.08984375,-1.953125,-36.62109375,10.7421875
28,1647467891297790.0,-21.484375,37.109375,-31.73828125,-0.9765625
29,1647467891301696.2,-24.4140625,28.80859375,-32.71484375,-0.9765625
30,1647467891305602.5,-9.765625,17.578125,-33.69140625,-2.44140625
31,1647467891309508.8,-1.953125,31.25,-25.390625,-14.6484375
32,1647467891313415.0,0.48828125,61.03515625,-23.92578125,-0.9765625
33,1647467891317321.2,-1.953125,62.98828125,-26.3671875,-5.859375
34,1647467891321227.5,-7.8125,33.69140625,-31.73828125,-14.16015625
35,1647467891325133.8,-6.34765625,40.52734375,-31.25,3.90625
36,1647467891329040.0,-2.44140625,64.94140625,-20.99609375,8.7890625
37,1647467891332946.2,-1.953125,51.7578125,-22.94921875,-4.39453125
38,1647467891336852.5,-1.46484375,21.97265625,-28.80859375,-3.41796875
39,1647467891340758.8,-19.04296875,43.45703125,-27.34375,1.46484375
40,1647467891344665.0,-16.11328125,62.5,-19.04296875,7.8125
41,1647467891348571.2,-4.8828125,23.92578125,-19.04296875,6.8359375
42,1647467891352477.5,-0.9765625,7.8125,-25.87890625,1.46484375
43,1647467891356383.8,2.44140625,48.33984375,-25.87890625,-10.25390625
44,1647467891360290.0,-20.01953125,92.28515625,-20.5078125,-32.2265625
45,1647467891364196.2,-35.15625,49.31640625,-25.87890625,-36.1328125
46,1647467891368102.5,-22.4609375,18.06640625,-33.203125,-20.01953125
47,1647467891372008.8,-15.625,31.73828125,-30.76171875,3.90625
48,1647467891375915.0,-29.296875,41.015625,-27.83203125,-4.39453125
49,1647467891379821.2,-27.83203125,28.3203125,-32.2265625,-13.671875
50,1647467891383727.5,-19.53125,16.11328125,-33.203125,1.46484375
