,time,c1,c2,c3,c4
0,1648160147351600.0,-32.2265625,-18.5546875,-30.2734375,-51.26953125
1,1648160147355506.2,-31.25,-23.4375,-46.875,-41.9921875
2,1648160147359412.5,-31.73828125,-14.6484375,-51.26953125,-22.4609375
3,1648160147363318.8,-31.25,-9.27734375,-35.15625,-20.01953125
4,1648160147367225.0,-23.4375,-7.32421875,-35.15625,-20.5078125
5,1648160147371131.2,-26.3671875,-17.08984375,-35.64453125,-27.83203125
6,1648160147375037.5,-48.828125,-43.45703125,-35.15625,-36.62109375
7,1648160147378943.8,-29.296875,-36.1328125,-34.66796875,-24.90234375
8,1648160147382850.0,-19.53125,-13.18359375,-28.3203125,-33.203125
9,1648160147386756.2,-41.015625,-23.92578125,-45.41015625,-41.9921875
10,1648160147390662.5,-49.31640625,-33.69140625,-50.78125,-33.69140625
11,1648160147394568.8,-46.875,-28.3203125,-43.45703125,-35.15625
12,1648160147398475.0,-50.29296875,-36.1328125,-49.31640625,-55.6640625
13,1648160147402381.2,-66.40625,-37.109375,-51.26953125,-79.1015625
14,1648160147406287.5,-43.45703125,-36.1328125,-49.8046875,-63.96484375
15,1648160147410193.8,-28.80859375,-48.33984375,-41.50390625,-43.9453125
16,1648160147414100.0,-35.64453125,-25.390625,-41.015625,-49.8046875
17,1648160147418006.2,-44.43359375,-7.32421875,-39.0625,-54.6875
18,1648160147421912.5,-52.734375,-16.11328125,-41.50390625,-48.828125
19,1648160147425818.8,-37.109375,-4.8828125,-39.0625,-32.71484375
20,1648160147429725.0,-41.50390625,-13.671875,-32.71484375,-25.87890625
21,1648160147433631.2,-53.7109375,-38.0859375,-47.8515625,-51.7578125
22,1648160147437537.5,-49.8046875,-29.78515625,-56.15234375,-55.17578125
23,1648160147441443.8,-40.52734375,-32.71484375,-48.33984375,-33.203125
24,1648160147445350.0,-22.4609375,-54.19921875,-39.55078125,-27.34375
25,1648160147449256.2,-31.73828125,-20.99609375,-31.25,-40.52734375
26,1648160147453162.5,-57.12890625,3.41796875,-29.78515625,-35.15625
27,1648160147457068.8,-43.45703125,-14.16015625,-23.4375,-16.6015625
28,1648160147460975.0,-30.76171875,-25.87890625,-31.73828125,-29.78515625
29,1648160147464881.2,-40.52734375,-27.34375,-38.0859375,-45.8984375
30,1648160147468787.5,-42.96875,-29.296875,-40.52734375,-51.7578125
31,1648160147472693.8,-37.59765625,-28.3203125,-46.875,-33.69140625
32,1648160147476600.0,-37.59765625,-27.34375,-41.015625,-20.99609375
33,1648160147480506.2,-49.8046875,-30.76171875,-39.55078125,-35.15625
34,1648160147484412.5,-57.12890625,-22.4609375,-47.8515625,-51.26953125
35,1648160147488318.8,-47.36328125,-28.80859375,-43.45703125,-34.66796875
36,1648160147492225.0,-15.625,-35.64453125,-41.015625,-19.04296875
37,1648160147496131.2,-33.203125,-37.109375,-41.9921875,-32.2265625
38,1648160147500037.5,-46.875,-49.31640625,-42.48046875,-33.203125
39,1648160147503943.8,-28.3203125,-54.6875,-52.734375,-42.48046875
40,1648160147507850.0,-41.50390625,-56.15234375,-52.734375,-53.22265625
41,1648160147511756.2,-38.57421875,-33.203125,-40.0390625,-35.15625
42,1648160147515662.5,-44.921875,-15.13671875,-41.015625,-42.48046875
43,1648160147519568.8,-43.9453125,-12.6953125,-43.9453125,-51.7578125
44,1648160147523475.0,-38.0859375,-9.765625,-63.4765625,-41.50390625
45,1648160147527381.2,-30.2734375,-20.5078125,-69.3359375,-28.3203125
46,1648160147531287.5,-23.4375,-33.69140625,-40.52734375,-18.5546875
47,1648160147535193.8,-40.0390625,-20.99609375,-27.34375,-37.59765625
48,1648160147539100.0,-58.59375,-14.6484375,-40.0390625,-64.94140625
49,1648160147543006.2,-55.6640625,-24.90234375,-62.01171875,-66.40625
50,1648160147546912.5,-40.52734375,-32.2265625,-55.6640625,-58.10546875
51,1648160147550818.8,-24.90234375,-24.4140625,-41.50390625,-56.640625
52,1648160147554725.0,-29.296875,-30.2734375,-59.08203125,-51.26953125
