,time,c1,c2,c3,c4
0,1648160198914100.0,5.859375,-46.38671875,-41.50390625,-38.57421875
1,1648160198918006.2,-0.9765625,-41.015625,-54.19921875,-41.9921875
2,1648160198921912.5,-42.96875,-63.96484375,-65.4296875,-61.5234375
3,1648160198925818.8,-55.17578125,-71.2890625,-59.5703125,-44.921875
4,1648160198929725.0,-38.57421875,-66.89453125,-52.734375,-18.5546875
5,1648160198933631.2,-19.53125,-56.15234375,-56.15234375,-21.97265625
6,1648160198937537.5,-25.87890625,-41.015625,-50.78125,-42.48046875
7,1648160198941443.8,-34.1796875,-52.24609375,-51.7578125,-45.8984375
8,1648160198945350.0,-27.83203125,-62.98828125,-55.17578125,-28.80859375
9,1648160198949256.2,-28.3203125,-58.10546875,-56.640625,-39.55078125
10,1648160198953162.5,-36.1328125,-45.41015625,-53.7109375,-40.0390625
11,1648160198957068.8,-34.66796875,-42.48046875,-46.38671875,-36.62109375
12,1648160198960975.0,-37.109375,-69.3359375,-45.41015625,-32.71484375
13,1648160198964881.2,-43.45703125,-84.9609375,-46.38671875,-46.38671875
14,1648160198968787.5,-38.0859375,-46.38671875,-33.203125,-36.1328125
15,1648160198972693.8,-54.19921875,-16.11328125,-30.76171875,-28.80859375
16,1648160198976600.0,-53.7109375,-42.48046875,-55.6640625,-46.38671875
17,1648160198980506.2,-53.22265625,-58.10546875,-56.640625,-45.8984375
18,1648160198984412.5,-60.546875,-49.8046875,-46.38671875,-40.0390625
19,1648160198988318.8,-38.57421875,-32.71484375,-38.57421875,-30.76171875
20,1648160198992225.0,-34.1796875,-35.64453125,-39.0625,-22.4609375
21,1648160198996131.2,-51.26953125,-41.015625,-47.8515625,-42.96875
22,1648160199000037.5,-34.1796875,-37.59765625,-51.26953125,-43.9453125
23,1648160199003943.8,-16.11328125,-63.4765625,-41.9921875,-42.48046875
24,1648160199007850.0,-33.203125,-88.8671875,-53.22265625,-71.77734375
25,1648160199011756.2,-10.25390625,-62.98828125,-67.3828125,-62.98828125
26,1648160199015662.5,-22.94921875,-46.875,-49.31640625,-53.7109375
27,1648160199019568.8,-43.45703125,-44.921875,-39.0625,-44.43359375
28,1648160199023475.0,-26.3671875,-48.828125,-51.26953125,-22.94921875
29,1648160199027381.2,-27.83203125,-68.359375,-50.78125,-4.8828125
30,1648160199031287.5,-16.6015625,-59.5703125,-37.109375,-25.390625
31,1648160199035193.8,-13.671875,-43.9453125,-49.8046875,-43.45703125
32,1648160199039100.0,-39.0625,-28.80859375,-58.10546875,-54.19921875
33,1648160199043006.2,-23.4375,-36.1328125,-45.41015625,-47.8515625
34,1648160199046912.5,-8.7890625,-51.26953125,-60.05859375,-29.296875
35,1648160199050818.8,-37.59765625,-28.3203125,-73.73046875,-45.41015625
36,1648160199054725.0,-38.0859375,-40.0390625,-35.64453125,-65.91796875
37,1648160199058631.2,-37.59765625,-65.4296875,-39.0625,-63.4765625
38,1648160199062537.5,-32.2265625,-60.05859375,-49.31640625,-37.109375
39,1648160199066443.8,-11.71875,-45.8984375,-41.9921875,-21.484375
40,1648160199070350.0,-25.87890625,-48.33984375,-64.453125,-29.296875
41,1648160199074256.2,-34.66796875,-59.5703125,-75.68359375,-44.43359375
42,1648160199078162.5,-26.3671875,-70.3125,-62.01171875,-41.015625
43,1648160199082068.8,-25.87890625,-69.3359375,-48.828125,-43.45703125
44,1648160199085975.0,-18.06640625,-68.359375,-54.6875,-49.31640625
45,1648160199089881.2,-23.4375,-69.3359375,-63.4765625,-55.6640625
46,1648160199093787.5,-28.3203125,-62.5,-62.98828125,-57.6171875
47,1648160199097693.8,-23.4375,-49.8046875,-59.08203125,-54.6875
48,1648160199101600.0,-20.99609375,-54.6875,-44.43359375,-50.78125
49,1648160199105506.2,-20.5078125,-57.12890625,-37.109375,-38.57421875
50,1648160199109412.5,-26.85546875,-46.38671875,-53.22265625,-44.921875
51,1648160199113318.8,-29.296875,-44.921875,-60.546875,-37.59765625
52,1648160199117225.0,6.8359375,-36.1328125,-55.6640625,-29.296875
53,1648160199121131.2,-20.99609375,-35.15625,-36.1328125,-38.57421875
54,1648160199125037.5,-31.25,-51.26953125,-20.5078125,-10.25390625
55,1648160199128943.8,-2.44140625,-52.734375,-45.8984375,-6.8359375
56,1648160199132850.0,-32.2265625,-39.55078125,-70.3125,-49.8046875
57,1648160199136756.2,-30.2734375,-44.43359375,-56.15234375,-46.875
58,1648160199140662.5,-33.69140625,-65.91796875,-37.59765625,-32.71484375
59,1648160199144568.8,-46.875,-67.3828125,-36.1328125,-33.69140625
60,1648160199148475.0,-26.3671875,-50.78125,-47.8515625,-41.015625
61,1648160199152381.2,-21.484375,-42.96875,-46.38671875,-50.29296875
62,1648160199156287.5,-26.3671875,-65.4296875,-27.83203125,-42.96875
63,1648160199160193.8,-10.7421875,-62.98828125,-19.04296875,-6.34765625
64,1648160199164100.0,-17.08984375,-42.96875,-35.15625,5.37109375
65,1648160199168006.2,-43.45703125,-54.19921875,-63.4765625,-33.203125
66,1648160199171912.5,-34.1796875,-54.6875,-64.94140625,-51.7578125
67,1648160199175818.8,-17.578125,-69.3359375,-49.31640625,-60.05859375
