,time,c1,c2,c3,c4
0,1648159963414100.0,-1.46484375,-42.96875,-375.9765625,-4.39453125
1,1648159963418006.2,-3.90625,-32.2265625,-315.4296875,-13.18359375
2,1648159963421912.5,-1.46484375,-22.94921875,-371.58203125,-12.6953125
3,1648159963425818.8,10.25390625,-33.203125,-390.13671875,-9.765625
4,1648159963429725.0,4.8828125,-46.875,-345.21484375,-8.30078125
5,1648159963433631.2,7.8125,-43.9453125,-374.51171875,-13.18359375
6,1648159963437537.5,11.23046875,-44.921875,-496.58203125,-4.39453125
7,1648159963441443.8,4.39453125,-59.08203125,-522.4609375,4.8828125
8,1648159963445350.0,10.7421875,-45.8984375,-330.56640625,2.44140625
9,1648159963449256.2,12.6953125,-31.73828125,-299.8046875,11.71875
10,1648159963453162.5,10.25390625,-45.41015625,-454.1015625,1.46484375
11,1648159963457068.8,15.625,-39.55078125,-488.76953125,2.44140625
12,1648159963460975.0,8.7890625,-23.4375,-280.76171875,8.30078125
13,1648159963464881.2,1.953125,-29.296875,-314.94140625,-6.8359375
14,1648159963468787.5,5.37109375,-40.52734375,-412.59765625,-9.765625
15,1648159963472693.8,13.671875,-41.9921875,-356.93359375,5.859375
16,1648159963476600.0,21.97265625,-26.85546875,-333.49609375,7.8125
17,1648159963480506.2,33.69140625,-22.94921875,-367.67578125,12.6953125
18,1648159963484412.5,31.25,-27.34375,-480.46875,5.859375
19,1648159963488318.8,20.5078125,-17.08984375,-458.0078125,-8.7890625
20,1648159963492225.0,29.78515625,-15.625,-280.76171875,-6.34765625
21,1648159963496131.2,26.85546875,-25.390625,-330.078125,5.37109375
22,1648159963500037.5,11.23046875,-21.484375,-412.59765625,12.20703125
23,1648159963503943.8,0.0,-11.71875,-355.46875,-2.9296875
24,1648159963507850.0,10.25390625,-15.625,-313.96484375,2.44140625
25,1648159963511756.2,20.01953125,-30.2734375,-360.83984375,11.71875
26,1648159963515662.5,15.13671875,-30.2734375,-371.58203125,9.27734375
27,1648159963519568.8,20.99609375,-35.64453125,-291.50390625,5.37109375
28,1648159963523475.0,28.80859375,-38.0859375,-290.52734375,-4.39453125
29,1648159963527381.2,32.2265625,-21.97265625,-440.91796875,5.859375
30,1648159963531287.5,30.2734375,-16.6015625,-483.3984375,24.90234375
31,1648159963535193.8,27.34375,-18.06640625,-374.51171875,10.25390625
32,1648159963539100.0,21.484375,-22.4609375,-341.796875,1.46484375
33,1648159963543006.2,20.5078125,-32.2265625,-470.21484375,12.20703125
34,1648159963546912.5,20.01953125,-36.62109375,-499.51171875,-9.765625
35,1648159963550818.8,15.13671875,-36.62109375,-286.1328125,-23.4375
36,1648159963554725.0,18.5546875,-31.25,-250.48828125,-7.32421875
37,1648159963558631.2,28.3203125,-25.390625,-433.59375,10.25390625
38,1648159963562537.5,19.53125,-37.109375,-481.93359375,12.20703125
39,1648159963566443.8,16.6015625,-34.1796875,-281.25,3.90625
40,1648159963570350.0,18.06640625,-29.78515625,-275.87890625,-3.90625
41,1648159963574256.2,20.01953125,-29.78515625,-438.4765625,1.953125
42,1648159963578162.5,24.4140625,-21.484375,-409.1796875,10.25390625
43,1648159963582068.8,20.01953125,-32.2265625,-240.234375,2.44140625
44,1648159963585975.0,16.6015625,-27.34375,-324.21875,-15.13671875
45,1648159963589881.2,13.18359375,-13.671875,-418.9453125,0.48828125
46,1648159963593787.5,27.83203125,-9.27734375,-324.21875,6.8359375
47,1648159963597693.8,33.203125,-12.20703125,-235.3515625,-14.16015625
48,1648159963601600.0,8.7890625,-21.97265625,-304.19921875,-0.48828125
49,1648159963605506.2,8.7890625,-21.97265625,-326.171875,5.859375
50,1648159963609412.5,16.11328125,-12.20703125,-260.25390625,-0.9765625
51,1648159963613318.8,14.16015625,-11.23046875,-249.0234375,5.859375
52,1648159963617225.0,13.18359375,-18.5546875,-331.0546875,3.90625
53,1648159963621131.2,12.6953125,-14.6484375,-422.8515625,1.953125
54,1648159963625037.5,25.390625,-5.859375,-375.0,7.32421875
55,1648159963628943.8,35.15625,-2.44140625,-302.734375,15.13671875
56,1648159963632850.0,27.34375,-12.20703125,-417.96875,21.484375
57,1648159963636756.2,15.13671875,-21.97265625,-464.35546875,-5.859375
58,1648159963640662.5,16.11328125,-15.13671875,-268.5546875,-13.18359375
59,1648159963644568.8,32.71484375,-15.625,-283.69140625,3.90625
60,1648159963648475.0,42.48046875,-22.4609375,-438.4765625,11.23046875
61,1648159963652381.2,30.2734375,-14.6484375,-423.33984375,15.625
62,1648159963656287.5,7.32421875,-20.99609375,-253.41796875,0.48828125
63,1648159963660193.8,8.7890625,-22.4609375,-267.08984375,7.8125
64,1648159963664100.0,15.13671875,-6.8359375,-454.58984375,14.6484375
65,1648159963668006.2,4.39453125,-5.859375,-500.48828125,-2.44140625
66,1648159963671912.5,8.30078125,-5.859375,-297.8515625,-10.25390625
67,1648159963675818.8,17.08984375,-5.37109375,-270.99609375,-10.25390625
68,1648159963679725.0,23.4375,-12.20703125,-422.36328125,-1.46484375
69,1648159963683631.2,25.390625,-3.90625,-382.32421875,-4.39453125
70,1648159963687537.5,20.01953125,0.0,-237.79296875,-11.23046875
71,1648159963691443.8,16.11328125,-4.39453125,-310.05859375,-3.41796875
72,1648159963695350.0,18.06640625,-14.6484375,-393.5546875,-1.953125
73,1648159963699256.2,24.90234375,-11.71875,-293.45703125,-6.34765625
74,1648159963703162.5,19.53125,1.953125,-305.6640625,-5.37109375
75,1648159963707068.8,13.671875,-8.30078125,-392.08984375,5.37109375
76,1648159963710975.0,15.13671875,-15.13671875,-410.64453125,6.34765625
77,1648159963714881.2,14.6484375,-7.32421875,-385.7421875,-0.48828125
78,1648159963718787.5,13.671875,0.0,-351.5625,-12.20703125
79,1648159963722693.8,17.08984375,-5.859375,-454.1015625,-15.625
80,1648159963726600.0,12.6953125,-6.34765625,-494.62890625,-0.9765625
81,1648159963730506.2,3.90625,-1.953125,-304.19921875,-19.53125
82,1648159963734412.5,-5.37109375,-8.7890625,-247.55859375,-35.15625
83,1648159963738318.8,-4.8828125,-10.7421875,-418.45703125,-16.11328125
84,1648159963742225.0,5.37109375,-16.6015625,-494.140625,-6.8359375
85,1648159963746131.2,4.39453125,-27.83203125,-282.2265625,-9.27734375
86,1648159963750037.5,-1.46484375,-17.08984375,-310.546875,-4.39453125
87,1648159963753943.8,0.48828125,-6.8359375,-361.328125,-5.37109375
88,1648159963757850.0,9.27734375,-10.25390625,-326.171875,-1.953125
89,1648159963761756.2,10.25390625,-22.94921875,-355.95703125,6.8359375
90,1648159963765662.5,9.27734375,-24.90234375,-370.60546875,1.953125
91,1648159963769568.8,4.8828125,-19.04296875,-473.14453125,-4.39453125
92,1648159963773475.0,-0.9765625,-17.08984375,-413.0859375,-5.859375
93,1648159963777381.2,3.41796875,-22.4609375,-287.109375,-1.46484375
94,1648159963781287.5,0.0,-37.109375,-353.02734375,-2.44140625
95,1648159963785193.8,0.48828125,-36.1328125,-408.203125,-11.71875
96,1648159963789100.0,8.7890625,-13.671875,-319.82421875,-12.6953125
97,1648159963793006.2,15.13671875,-19.53125,-258.30078125,-11.23046875
98,1648159963796912.5,9.27734375,-29.296875,-354.4921875,-11.23046875
99,1648159963800818.8,-10.25390625,-15.625,-388.18359375,-11.23046875
100,1648159963804725.0,-8.7890625,-15.13671875,-341.796875,-10.7421875
101,1648159963808631.2,11.23046875,-18.5546875,-359.86328125,-1.953125
102,1648159963812537.5,14.16015625,-23.4375,-476.07421875,9.765625
103,1648159963816443.8,4.8828125,-22.94921875,-500.48828125,4.39453125
104,1648159963820350.0,-1.953125,-30.76171875,-357.91015625,-22.94921875
105,1648159963824256.2,-5.37109375,-31.73828125,-325.68359375,-31.73828125
106,1648159963828162.5,-12.6953125,-27.34375,-441.89453125,-20.5078125
107,1648159963832068.8,-2.9296875,-33.203125,-502.9296875,-9.27734375
108,1648159963835975.0,6.8359375,-27.83203125,-338.37890625,-9.765625
109,1648159963839881.2,3.90625,-24.90234375,-325.1953125,-13.671875
110,1648159963843787.5,6.8359375,-30.76171875,-478.02734375,-10.7421875
111,1648159963847693.8,6.34765625,-31.25,-476.5625,-2.9296875
112,1648159963851600.0,7.8125,-27.83203125,-319.82421875,-10.7421875
113,1648159963855506.2,15.625,-33.203125,-416.015625,-19.04296875
114,1648159963859412.5,7.32421875,-41.9921875,-530.2734375,-12.6953125
115,1648159963863318.8,-2.9296875,-32.71484375,-458.49609375,-11.23046875
116,1648159963867225.0,-9.27734375,-31.73828125,-306.15234375,-15.625
117,1648159963871131.2,-3.41796875,-32.2265625,-342.7734375,-23.92578125
118,1648159963875037.5,10.7421875,-13.18359375,-368.65234375,-26.85546875
119,1648159963878943.8,5.37109375,-18.5546875,-369.140625,-19.04296875
120,1648159963882850.0,2.9296875,-26.85546875,-337.890625,-16.11328125
121,1648159963886756.2,0.9765625,-15.625,-375.48828125,-23.92578125
122,1648159963890662.5,7.8125,-18.5546875,-416.9921875,-20.01953125
123,1648159963894568.8,10.25390625,-21.97265625,-331.54296875,-13.671875
124,1648159963898475.0,5.37109375,-20.5078125,-346.19140625,-17.08984375
125,1648159963902381.2,-4.8828125,-36.1328125,-467.28515625,-19.04296875
126,1648159963906287.5,-14.6484375,-33.69140625,-532.2265625,-8.7890625
127,1648159963910193.8,-8.7890625,-22.94921875,-392.08984375,-13.671875
128,1648159963914100.0,-5.859375,-39.55078125,-292.48046875,-25.87890625
129,1648159963918006.2,-6.8359375,-46.875,-451.171875,-26.3671875
130,1648159963921912.5,-2.44140625,-33.203125,-511.23046875,-15.625
131,1648159963925818.8,8.30078125,-24.4140625,-304.19921875,-7.32421875
132,1648159963929725.0,8.30078125,-19.53125,-320.3125,-9.765625
133,1648159963933631.2,7.8125,-10.25390625,-376.953125,-17.08984375
134,1648159963937537.5,8.30078125,-9.765625,-392.578125,-29.78515625
135,1648159963941443.8,7.8125,-14.6484375,-371.09375,-22.4609375
136,1648159963945350.0,21.97265625,-16.6015625,-323.2421875,-2.44140625
137,1648159963949256.2,31.73828125,-23.92578125,-516.6015625,-2.44140625
138,1648159963953162.5,32.71484375,-27.83203125,-523.4375,-24.4140625
139,1648159963957068.8,32.71484375,-9.765625,-304.19921875,-24.90234375
140,1648159963960975.0,14.6484375,-3.90625,-327.1484375,-3.90625
141,1648159963964881.2,11.71875,-14.16015625,-408.203125,-0.9765625
142,1648159963968787.5,20.99609375,-15.625,-345.21484375,-14.16015625
143,1648159963972693.8,17.08984375,-20.01953125,-304.19921875,-21.97265625
144,1648159963976600.0,21.97265625,-24.4140625,-360.3515625,-5.37109375
145,1648159963980506.2,25.390625,-17.08984375,-376.46484375,9.765625
146,1648159963984412.5,25.390625,-13.18359375,-332.51953125,1.953125
147,1648159963988318.8,28.3203125,-14.16015625,-309.08203125,-5.859375
148,1648159963992225.0,30.76171875,-20.5078125,-403.3203125,-4.39453125
149,1648159963996131.2,24.4140625,-20.5078125,-475.09765625,-3.90625
150,1648159964000037.5,16.6015625,-18.5546875,-407.71484375,-1.953125
151,1648159964003943.8,18.5546875,-12.20703125,-384.765625,-7.8125
152,1648159964007850.0,23.92578125,-9.765625,-490.72265625,-6.34765625
153,1648159964011756.2,23.4375,-13.671875,-521.484375,0.9765625
154,1648159964015662.5,25.87890625,-8.7890625,-327.1484375,4.39453125
155,1648159964019568.8,29.296875,-11.23046875,-326.171875,3.90625
156,1648159964023475.0,27.83203125,-27.34375,-416.015625,-3.41796875
157,1648159964027381.2,32.71484375,-15.625,-384.27734375,-4.39453125
158,1648159964031287.5,40.52734375,2.9296875,-331.0546875,-5.859375
159,1648159964035193.8,37.59765625,-0.48828125,-335.44921875,-7.8125
160,1648159964039100.0,18.5546875,-15.13671875,-498.53515625,-11.23046875
161,1648159964043006.2,17.08984375,-19.04296875,-548.33984375,-2.44140625
162,1648159964046912.5,22.4609375,-13.671875,-357.421875,3.90625
163,1648159964050818.8,23.4375,-14.16015625,-336.9140625,8.7890625
164,1648159964054725.0,21.97265625,-13.18359375,-495.1171875,2.44140625
165,1648159964058631.2,35.15625,-16.11328125,-443.359375,-9.765625
166,1648159964062537.5,42.48046875,-16.11328125,-284.1796875,-8.30078125
167,1648159964066443.8,26.3671875,-13.671875,-372.55859375,-7.32421875
168,1648159964070350.0,22.94921875,-11.71875,-457.51953125,-6.34765625
169,1648159964074256.2,19.04296875,-7.8125,-337.40234375,8.7890625
170,1648159964078162.5,18.5546875,-17.578125,-272.4609375,13.671875
171,1648159964082068.8,24.90234375,-24.4140625,-360.83984375,2.9296875
172,1648159964085975.0,24.4140625,-18.06640625,-469.7265625,-3.90625
173,1648159964089881.2,20.99609375,-18.06640625,-420.41015625,3.90625
174,1648159964093787.5,24.4140625,-17.08984375,-340.8203125,6.34765625
175,1648159964097693.8,31.73828125,-17.08984375,-458.984375,-0.48828125
176,1648159964101600.0,35.64453125,-17.08984375,-510.7421875,-0.9765625
177,1648159964105506.2,26.3671875,-9.27734375,-312.98828125,-8.7890625
178,1648159964109412.5,19.53125,-8.7890625,-275.390625,-1.953125
179,1648159964113318.8,21.484375,-18.06640625,-446.77734375,16.6015625
180,1648159964117225.0,17.08984375,-15.13671875,-481.93359375,12.20703125
181,1648159964121131.2,12.6953125,-0.9765625,-298.33984375,-7.8125
182,1648159964125037.5,17.578125,1.46484375,-293.45703125,-3.90625
183,1648159964128943.8,19.53125,-5.37109375,-458.49609375,7.8125
184,1648159964132850.0,18.06640625,-8.30078125,-453.61328125,7.32421875
185,1648159964136756.2,15.13671875,-10.25390625,-342.7734375,-0.9765625
