,time,c1,c2,c3,c4
0,1648160033304725.0,23.92578125,-62.98828125,-700.1953125,55.6640625
1,1648160033308631.2,21.484375,-60.05859375,-515.13671875,43.9453125
2,1648160033312537.5,38.57421875,-54.19921875,-524.90234375,61.5234375
3,1648160033316443.8,33.203125,-59.5703125,-613.28125,26.85546875
4,1648160033320350.0,1.953125,-59.5703125,-590.8203125,14.16015625
5,1648160033324256.2,4.39453125,-59.08203125,-567.3828125,20.01953125
6,1648160033328162.5,12.20703125,-57.6171875,-543.9453125,50.29296875
7,1648160033332068.8,-3.90625,-59.08203125,-657.71484375,46.38671875
8,1648160033335975.0,32.2265625,-65.91796875,-652.34375,5.859375
9,1648160033339881.2,46.875,-71.2890625,-484.86328125,12.6953125
10,1648160033343787.5,19.53125,-68.359375,-523.92578125,20.5078125
11,1648160033347693.8,12.6953125,-55.6640625,-631.8359375,20.5078125
12,1648160033351600.0,0.9765625,-56.15234375,-545.8984375,52.24609375
13,1648160033355506.2,-1.953125,-61.03515625,-417.48046875,59.5703125
14,1648160033359412.5,15.13671875,-48.33984375,-473.14453125,32.71484375
15,1648160033363318.8,3.90625,-41.015625,-469.23828125,22.4609375
16,1648160033367225.0,27.34375,-43.45703125,-424.31640625,36.1328125
17,1648160033371131.2,40.0390625,-41.015625,-447.265625,61.03515625
18,1648160033375037.5,77.63671875,-49.8046875,-497.0703125,69.82421875
19,1648160033378943.8,79.58984375,-58.10546875,-527.34375,111.328125
20,1648160033382850.0,30.76171875,-61.5234375,-375.9765625,94.7265625
21,1648160033386756.2,76.66015625,-61.03515625,-235.83984375,48.33984375
22,1648160033390662.5,74.21875,-61.03515625,-379.8828125,68.359375
23,1648160033394568.8,29.78515625,-61.5234375,-425.29296875,60.546875
24,1648160033398475.0,5.859375,-64.94140625,-199.70703125,74.70703125
25,1648160033402381.2,27.83203125,-68.359375,-156.25,83.984375
26,1648160033406287.5,43.45703125,-59.08203125,-323.73046875,30.2734375
27,1648160033410193.8,34.66796875,-57.6171875,-358.3984375,27.83203125
28,1648160033414100.0,4.39453125,-57.6171875,-134.765625,17.08984375
29,1648160033418006.2,-13.18359375,-58.10546875,-164.0625,20.01953125
30,1648160033421912.5,18.06640625,-53.22265625,-335.9375,55.17578125
31,1648160033425818.8,15.13671875,-56.15234375,-204.1015625,35.15625
32,1648160033429725.0,11.71875,-71.2890625,87.890625,3.41796875
33,1648160033433631.2,19.04296875,-57.6171875,35.15625,60.05859375
34,1648160033437537.5,11.23046875,-48.33984375,-117.1875,56.15234375
35,1648160033441443.8,-9.27734375,-58.59375,-58.10546875,-1.953125
36,1648160033445350.0,-20.5078125,-62.5,67.87109375,19.04296875
37,1648160033449256.2,4.8828125,-52.24609375,4.39453125,24.90234375
38,1648160033453162.5,13.18359375,-42.96875,-91.796875,29.78515625
39,1648160033457068.8,26.85546875,-49.8046875,2.44140625,54.6875
40,1648160033460975.0,30.76171875,-59.5703125,48.33984375,60.05859375
41,1648160033464881.2,14.6484375,-62.5,-185.05859375,43.9453125
42,1648160033468787.5,0.48828125,-57.6171875,-368.65234375,53.7109375
43,1648160033472693.8,-10.25390625,-53.7109375,-245.60546875,78.61328125
44,1648160033476600.0,13.18359375,-61.5234375,-128.90625,36.1328125
45,1648160033480506.2,8.30078125,-67.87109375,-348.14453125,-1.46484375
46,1648160033484412.5,10.7421875,-66.40625,-435.546875,-11.23046875
47,1648160033488318.8,5.859375,-64.453125,-258.30078125,3.90625
48,1648160033492225.0,2.9296875,-63.4765625,-294.43359375,16.11328125
49,1648160033496131.2,-7.32421875,-63.4765625,-460.44921875,20.5078125
50,1648160033500037.5,-20.5078125,-66.40625,-485.83984375,26.3671875
51,1648160033503943.8,-9.765625,-83.49609375,-304.6875,20.99609375
52,1648160033507850.0,-13.18359375,-90.8203125,-349.609375,2.9296875
53,1648160033511756.2,-0.48828125,-83.984375,-464.35546875,-25.390625
54,1648160033515662.5,0.48828125,-82.51953125,-409.66796875,6.8359375
55,1648160033519568.8,8.30078125,-83.0078125,-337.890625,55.17578125
56,1648160033523475.0,6.34765625,-82.03125,-383.30078125,0.0
57,1648160033527381.2,-39.55078125,-78.61328125,-455.56640625,8.30078125
58,1648160033531287.5,14.16015625,-72.75390625,-393.06640625,33.69140625
59,1648160033535193.8,46.38671875,-66.89453125,-354.4921875,22.4609375
60,1648160033539100.0,-2.9296875,-73.2421875,-423.828125,24.90234375
61,1648160033543006.2,-15.625,-80.56640625,-453.61328125,29.296875
62,1648160033546912.5,0.9765625,-83.984375,-404.296875,20.5078125
63,1648160033550818.8,-31.73828125,-84.9609375,-438.4765625,2.9296875
64,1648160033554725.0,-24.4140625,-78.125,-513.671875,28.80859375
65,1648160033558631.2,-37.59765625,-80.078125,-539.0625,47.8515625
66,1648160033562537.5,-31.73828125,-80.56640625,-467.28515625,29.78515625
67,1648160033566443.8,16.6015625,-74.21875,-446.77734375,-5.37109375
68,1648160033570350.0,6.34765625,-73.2421875,-571.2890625,77.1484375
69,1648160033574256.2,2.44140625,-79.1015625,-601.5625,64.94140625
70,1648160033578162.5,-21.97265625,-88.37890625,-436.5234375,-25.87890625
71,1648160033582068.8,-20.01953125,-86.42578125,-434.08203125,-15.625
72,1648160033585975.0,-2.44140625,-86.9140625,-592.7734375,4.8828125
73,1648160033589881.2,18.06640625,-92.28515625,-643.06640625,0.48828125
74,1648160033593787.5,10.7421875,-98.6328125,-467.7734375,1.46484375
75,1648160033597693.8,0.9765625,-92.7734375,-482.421875,16.11328125
76,1648160033601600.0,-15.13671875,-88.37890625,-530.2734375,10.25390625
77,1648160033605506.2,-9.27734375,-89.35546875,-535.15625,14.16015625
78,1648160033609412.5,8.30078125,-92.7734375,-505.859375,9.765625
79,1648160033613318.8,-30.2734375,-102.5390625,-496.09375,24.4140625
80,1648160033617225.0,-43.45703125,-110.3515625,-579.58984375,13.18359375
81,1648160033621131.2,-41.50390625,-108.3984375,-520.5078125,9.27734375
82,1648160033625037.5,-36.1328125,-106.4453125,-410.64453125,32.2265625
83,1648160033628943.8,-29.296875,-108.3984375,-467.28515625,2.9296875
84,1648160033632850.0,3.90625,-105.46875,-508.30078125,-3.41796875
85,1648160033636756.2,7.32421875,-104.00390625,-446.77734375,0.48828125
86,1648160033640662.5,7.8125,-99.12109375,-424.8046875,-5.37109375
87,1648160033644568.8,29.78515625,-93.26171875,-474.609375,9.27734375
88,1648160033648475.0,2.9296875,-95.21484375,-537.59765625,8.7890625
89,1648160033652381.2,4.39453125,-93.75,-539.55078125,52.24609375
90,1648160033656287.5,1.953125,-84.9609375,-527.34375,22.94921875
91,1648160033660193.8,2.44140625,-92.28515625,-642.08984375,-41.9921875
92,1648160033664100.0,25.87890625,-98.6328125,-653.80859375,-21.97265625
93,1648160033668006.2,12.6953125,-100.5859375,-535.15625,-0.9765625
94,1648160033671912.5,3.41796875,-98.6328125,-508.7890625,-21.97265625
95,1648160033675818.8,22.94921875,-91.30859375,-602.5390625,7.32421875
96,1648160033679725.0,40.0390625,-94.23828125,-663.0859375,25.390625
97,1648160033683631.2,21.97265625,-99.12109375,-501.46484375,21.97265625
98,1648160033687537.5,-10.7421875,-91.796875,-492.1875,20.99609375
99,1648160033691443.8,-5.859375,-92.28515625,-620.60546875,-22.4609375
100,1648160033695350.0,-2.9296875,-95.703125,-647.4609375,4.39453125
101,1648160033699256.2,0.9765625,-94.7265625,-548.828125,13.671875
102,1648160033703162.5,24.90234375,-100.09765625,-535.15625,7.32421875
103,1648160033707068.8,-2.44140625,-98.6328125,-632.8125,51.26953125
104,1648160033710975.0,-42.96875,-99.609375,-604.98046875,49.8046875
105,1648160033714881.2,-13.671875,-96.19140625,-454.58984375,20.99609375
106,1648160033718787.5,18.06640625,-88.37890625,-474.12109375,-2.44140625
107,1648160033722693.8,35.64453125,-83.984375,-507.32421875,-7.8125
108,1648160033726600.0,-1.953125,-80.56640625,-522.94921875,-23.92578125
109,1648160033730506.2,-7.32421875,-82.03125,-491.69921875,-11.71875
110,1648160033734412.5,38.0859375,-86.9140625,-520.99609375,-3.41796875
111,1648160033738318.8,29.78515625,-92.7734375,-571.77734375,13.671875
112,1648160033742225.0,57.6171875,-84.47265625,-532.71484375,31.73828125
113,1648160033746131.2,62.5,-77.1484375,-541.9921875,24.4140625
114,1648160033750037.5,32.2265625,-74.21875,-624.0234375,13.18359375
115,1648160033753943.8,35.15625,-71.2890625,-666.015625,26.3671875
116,1648160033757850.0,45.41015625,-66.40625,-520.99609375,3.41796875
117,1648160033761756.2,69.3359375,-58.10546875,-477.5390625,-21.484375
118,1648160033765662.5,64.94140625,-56.15234375,-604.98046875,17.08984375
119,1648160033769568.8,58.10546875,-52.24609375,-683.59375,14.16015625
120,1648160033773475.0,17.08984375,-53.7109375,-511.23046875,42.48046875
121,1648160033777381.2,-22.4609375,-55.17578125,-474.12109375,33.69140625
122,1648160033781287.5,1.953125,-52.24609375,-516.11328125,39.55078125
123,1648160033785193.8,23.92578125,-54.6875,-508.7890625,25.87890625
124,1648160033789100.0,1.46484375,-52.24609375,-515.13671875,4.8828125
125,1648160033793006.2,-32.2265625,-52.24609375,-516.6015625,19.04296875
126,1648160033796912.5,-0.9765625,-57.12890625,-599.12109375,16.6015625
127,1648160033800818.8,3.90625,-58.59375,-585.9375,17.578125
128,1648160033804725.0,-35.64453125,-48.828125,-422.36328125,0.9765625
129,1648160033808631.2,-12.20703125,-45.41015625,-467.28515625,11.71875
130,1648160033812537.5,12.20703125,-45.8984375,-575.68359375,10.25390625
