,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637710006.453125,,,,,-955.56640625,127.9296875,149.90234375,35.64453125
1,1637710006.4570312,,,,,716.796875,333.984375,211.42578125,21.97265625
2,1637710006.4609375,,,,,-710.9375,-363.28125,-272.94921875,-66.40625
3,1637710006.4648438,,,,,-759.765625,-863.76953125,-484.375,-65.4296875
4,1637710006.46875,,,,,684.08203125,-318.359375,13.671875,26.85546875
5,1637710006.4726562,,,,,986.81640625,163.57421875,217.7734375,40.52734375
6,1637710006.4765625,,,,,-319.82421875,-319.82421875,-207.03125,-50.29296875
7,1637710006.4804688,,,,,-1000.0,-958.0078125,-545.8984375,-84.47265625
8,1637710006.484375,,,,,205.078125,-900.390625,-312.98828125,12.20703125
9,1637710006.4882812,,,,,-846.19140625,100.5859375,220.21484375,62.5
10,1637710006.4921875,,,,,76.171875,398.92578125,75.68359375,-28.3203125
11,1637710006.4960938,,,,,-1000.0,-828.125,-589.84375,-85.9375
12,1637710006.497125,,,,,-176.26953125,-721.19140625,-257.8125,-30.76171875
13,1637710006.5010312,,,,,-839.35546875,643.06640625,380.37109375,33.203125
14,1637710006.5049374,,,,,445.80078125,705.56640625,207.51953125,4.39453125
15,1637710006.5088437,,,,,-1000.0,-587.40234375,-500.9765625,-69.3359375
16,1637710006.51275,,,,,-539.55078125,-911.1328125,-521.484375,-54.19921875
17,1637710006.5166562,,,,,950.68359375,48.828125,169.921875,27.34375
18,1637710006.5205624,,,,,761.23046875,559.08203125,321.77734375,16.11328125
19,1637710006.5244687,,,,,-651.3671875,-325.68359375,-367.67578125,-57.12890625
20,1637710006.528375,,,,,-888.18359375,-1000.0,-753.41796875,-67.3828125
21,1637710006.5322812,,,,,523.4375,-292.48046875,-11.23046875,0.9765625
22,1637710006.5361874,,,,,991.69921875,635.25390625,370.1171875,19.53125
23,1637710006.5400937,,,,,-323.2421875,-96.6796875,-264.6484375,-46.875
24,1637710006.543125,,,,,-1000.0,-1000.0,-758.30078125,-77.1484375
25,1637710006.5470312,,,,,90.8203125,-340.8203125,-72.75390625,-19.53125
26,1637710006.5509374,,,,,-842.28515625,856.4453125,391.6015625,37.109375
27,1637710006.5548437,,,,,59.08203125,208.984375,-75.1953125,-12.20703125
28,1637710006.55875,,,,,-1000.0,-957.51953125,-596.6796875,-77.63671875
29,1637710006.5626562,,,,,-224.609375,-821.77734375,-384.765625,-32.2265625
30,1637710006.5665624,,,,,-885.25390625,223.6328125,253.41796875,37.109375
31,1637710006.5704687,,,,,391.6015625,-10.25390625,-38.57421875,6.34765625
32,1637710006.574375,,,,,-1000.0,-1000.0,-731.4453125,-83.49609375
33,1637710006.5782812,,,,,-664.0625,-796.38671875,-421.38671875,-91.796875
34,1637710006.5821874,,,,,817.3828125,278.80859375,179.19921875,1.46484375
35,1637710006.5860937,,,,,728.515625,620.1171875,231.4453125,20.5078125
36,1637710006.587125,,,,,-693.359375,-272.4609375,-308.59375,-64.453125
37,1637710006.5910313,,,,,-1000.0,-900.390625,-530.2734375,-104.4921875
38,1637710006.5949376,,,,,344.23828125,-223.6328125,-5.859375,-9.765625
39,1637710006.5988438,,,,,987.79296875,587.40234375,341.30859375,43.9453125
40,1637710006.60275,,,,,-285.64453125,-4.8828125,-153.3203125,-38.57421875
41,1637710006.6066563,,,,,-1000.0,-1000.0,-679.19921875,-98.14453125
42,1637710006.6105626,,,,,-100.5859375,-791.015625,-307.6171875,-36.1328125
43,1637710006.6144688,,,,,-869.62890625,-54.6875,259.765625,28.80859375
44,1637710006.618375,,,,,67.87109375,99.12109375,76.66015625,-33.69140625
45,1637710006.6222813,,,,,-1000.0,-700.68359375,-531.25,-99.12109375
46,1637710006.6261876,,,,,-421.38671875,-1000.0,-539.0625,-41.50390625
47,1637710006.6300938,,,,,976.5625,-450.1953125,39.55078125,34.1796875
48,1637710006.632125,,,,,438.96484375,401.85546875,266.11328125,-5.859375
49,1637710006.6360312,,,,,-1000.0,-373.046875,-402.83203125,-86.42578125
50,1637710006.6399374,,,,,-817.3828125,-1000.0,-547.36328125,-82.03125
51,1637710006.6438437,,,,,629.39453125,95.21484375,158.203125,2.9296875
52,1637710006.64775,,,,,729.98046875,911.62109375,351.07421875,19.04296875
53,1637710006.6516562,,,,,-680.17578125,-239.2578125,-264.16015625,-66.89453125
54,1637710006.6555624,,,,,-1000.0,-1000.0,-770.5078125,-81.54296875
55,1637710006.6594687,,,,,160.64453125,-457.51953125,-210.9375,7.32421875
56,1637710006.663375,,,,,971.6796875,826.66015625,449.70703125,29.78515625
57,1637710006.6672812,,,,,-283.69140625,247.0703125,-78.61328125,-48.33984375
58,1637710006.6711874,,,,,-1000.0,-1000.0,-646.97265625,-102.5390625
59,1637710006.6750937,,,,,-251.953125,-503.41796875,-161.62109375,-40.52734375
60,1637710006.679125,,,,,-948.73046875,627.44140625,344.23828125,30.2734375
61,1637710006.6830313,,,,,43.9453125,152.34375,-41.9921875,-24.90234375
62,1637710006.6869376,,,,,-1000.0,-965.33203125,-628.41796875,-105.46875
63,1637710006.6908438,,,,,-597.16796875,-800.78125,-362.79296875,-75.68359375
