,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709732.520125,,,,,-3.41796875,-531.73828125,103.515625,10.25390625
1,1637709732.5240312,,,,,-95.703125,-232.421875,227.05078125,-40.0390625
2,1637709732.5279374,,,,,-81.54296875,-355.46875,188.4765625,-33.69140625
3,1637709732.5318437,,,,,18.06640625,-784.66796875,51.26953125,12.6953125
4,1637709732.53575,,,,,17.578125,-951.66015625,-140.13671875,10.7421875
5,1637709732.5396562,,,,,-79.1015625,-831.0546875,14.16015625,-33.69140625
6,1637709732.5435624,,,,,-84.9609375,-378.90625,291.9921875,-49.8046875
7,1637709732.5474687,,,,,-2.9296875,-526.85546875,79.58984375,2.44140625
8,1637709732.551375,,,,,25.87890625,-856.93359375,-47.8515625,18.06640625
9,1637709732.5552812,,,,,-48.33984375,-399.4140625,246.09375,-42.96875
10,1637709732.5591874,,,,,-71.77734375,-141.6015625,278.80859375,-53.22265625
11,1637709732.5630937,,,,,-17.578125,-372.0703125,179.19921875,-3.90625
12,1637709732.564125,,,,,37.109375,-467.7734375,182.6171875,20.99609375
13,1637709732.5680313,,,,,-8.7890625,-188.4765625,253.90625,-10.25390625
14,1637709732.5719376,,,,,-93.26171875,-143.5546875,218.75,-24.90234375
15,1637709732.5758438,,,,,-34.1796875,-413.57421875,162.59765625,4.39453125
16,1637709732.57975,,,,,45.41015625,-450.68359375,163.0859375,14.6484375
17,1637709732.5836563,,,,,-22.94921875,-572.265625,130.859375,-26.3671875
18,1637709732.5875626,,,,,-106.93359375,-620.1171875,215.33203125,-59.08203125
19,1637709732.5914688,,,,,-77.1484375,-815.4296875,-71.77734375,-29.78515625
20,1637709732.595375,,,,,7.32421875,-844.23828125,-107.91015625,18.5546875
21,1637709732.5992813,,,,,22.94921875,-278.3203125,282.71484375,22.4609375
22,1637709732.6031876,,,,,-53.7109375,-307.12890625,226.07421875,-25.87890625
23,1637709732.6070938,,,,,-82.51953125,-497.0703125,185.546875,-47.8515625
24,1637709732.609125,,,,,0.48828125,-306.640625,220.21484375,-1.953125
25,1637709732.6130311,,,,,45.8984375,-213.8671875,241.69921875,10.7421875
26,1637709732.6169374,,,,,-52.24609375,-541.015625,172.8515625,-29.296875
