,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709807.943125,,,,,-35.64453125,-458.49609375,41.9921875,-22.4609375
1,1637709807.9470313,,,,,-11.71875,54.19921875,119.62890625,-12.20703125
2,1637709807.9509375,,,,,7.32421875,-141.6015625,16.11328125,-6.8359375
3,1637709807.9548438,,,,,-2.44140625,-402.34375,0.9765625,-17.578125
4,1637709807.95875,,,,,-31.25,-192.87109375,91.796875,-18.06640625
5,1637709807.9626563,,,,,-20.99609375,-257.8125,50.78125,-2.9296875
6,1637709807.9665625,,,,,20.5078125,-573.2421875,-5.37109375,5.859375
7,1637709807.9704688,,,,,11.23046875,-873.046875,-79.1015625,-4.8828125
8,1637709807.974375,,,,,-29.78515625,-622.55859375,8.30078125,-17.578125
9,1637709807.9782813,,,,,-35.15625,85.9375,162.59765625,-13.671875
10,1637709807.9821875,,,,,1.953125,-117.67578125,41.50390625,-7.32421875
11,1637709807.9860938,,,,,20.01953125,-589.84375,-44.43359375,-13.18359375
12,1637709807.987125,,,,,-16.6015625,-564.453125,13.18359375,-17.08984375
13,1637709807.9910312,,,,,-31.73828125,-324.70703125,67.3828125,-17.578125
14,1637709807.9949374,,,,,5.859375,-449.70703125,7.32421875,0.0
15,1637709807.9988437,,,,,23.4375,-676.26953125,-43.9453125,9.765625
16,1637709808.00275,,,,,-17.08984375,-413.57421875,33.69140625,0.0
17,1637709808.0066562,,,,,-40.0390625,-250.9765625,76.66015625,-16.6015625
18,1637709808.0105624,,,,,-12.6953125,-452.1484375,8.7890625,-24.90234375
19,1637709808.0144687,,,,,13.18359375,-964.84375,-174.8046875,2.9296875
20,1637709808.018375,,,,,-2.9296875,-784.1796875,-72.265625,0.0
21,1637709808.0222812,,,,,-17.578125,-23.92578125,178.22265625,-7.32421875
22,1637709808.0261874,,,,,-12.6953125,-107.91015625,109.86328125,-0.9765625
23,1637709808.0300937,,,,,-0.9765625,-352.05078125,23.4375,-5.859375
24,1637709808.030125,,,,,1.953125,-206.0546875,43.9453125,-3.41796875
25,1637709808.0340312,,,,,-16.6015625,-9.27734375,92.28515625,-20.01953125
26,1637709808.0379374,,,,,-29.296875,-238.76953125,56.15234375,-22.4609375
27,1637709808.0418437,,,,,-5.37109375,-493.65234375,5.859375,-8.7890625
28,1637709808.04575,,,,,1.953125,-369.140625,3.41796875,-6.8359375
29,1637709808.0496562,,,,,-35.15625,-399.90234375,21.97265625,-14.6484375
30,1637709808.0535624,,,,,-33.69140625,-725.09765625,-44.43359375,-16.6015625
31,1637709808.0574687,,,,,2.44140625,-838.8671875,-67.3828125,-15.625
32,1637709808.061375,,,,,20.99609375,-320.3125,70.80078125,-12.20703125
33,1637709808.0652812,,,,,-6.34765625,-309.5703125,72.75390625,-20.01953125
34,1637709808.0691874,,,,,-38.0859375,-315.4296875,92.7734375,-22.4609375
35,1637709808.0730937,,,,,-20.5078125,-51.7578125,101.07421875,-10.25390625
36,1637709808.075125,,,,,6.8359375,-417.48046875,-20.5078125,-14.6484375
37,1637709808.0790312,,,,,-7.32421875,-734.375,-67.87109375,-23.4375
38,1637709808.0829375,,,,,-34.1796875,-690.91796875,6.8359375,-19.53125
39,1637709808.0868437,,,,,-17.578125,-243.1640625,113.28125,-11.71875
40,1637709808.09075,,,,,4.39453125,-96.6796875,62.98828125,-13.671875
41,1637709808.0946562,,,,,-15.13671875,-710.9375,-78.125,-21.97265625
42,1637709808.0985625,,,,,-31.25,-899.4140625,-66.89453125,-26.3671875
43,1637709808.1024687,,,,,-30.2734375,-362.3046875,87.890625,-26.85546875
44,1637709808.106375,,,,,-21.97265625,13.18359375,110.83984375,-20.5078125
45,1637709808.1102812,,,,,-4.39453125,-544.43359375,-65.4296875,-7.32421875
46,1637709808.1141875,,,,,-31.73828125,-779.296875,-66.40625,-6.34765625
47,1637709808.1180937,,,,,-58.10546875,-63.96484375,125.9765625,-24.90234375
48,1637709808.135125,,,,,-16.6015625,44.921875,90.8203125,-21.97265625
49,1637709808.1390312,,,,,8.7890625,-468.75,-33.203125,-4.39453125
50,1637709808.1429374,,,,,-14.16015625,-481.93359375,0.0,-16.11328125
51,1637709808.1468437,,,,,-41.015625,-62.01171875,99.12109375,-35.15625
52,1637709808.15075,,,,,-31.73828125,-49.31640625,80.56640625,-22.94921875
53,1637709808.1546562,,,,,3.90625,-655.2734375,-50.29296875,-5.859375
54,1637709808.1585624,,,,,-7.32421875,-800.29296875,-37.109375,-7.32421875
55,1637709808.1624687,,,,,-34.66796875,-194.82421875,105.46875,-13.18359375
56,1637709808.166375,,,,,-26.3671875,-79.58984375,113.76953125,-10.25390625
57,1637709808.1702812,,,,,7.8125,-726.5625,-104.4921875,8.7890625
58,1637709808.1741874,,,,,18.5546875,-885.7421875,-117.67578125,2.9296875
59,1637709808.1780937,,,,,-20.5078125,-253.90625,114.2578125,-18.5546875
60,1637709808.180125,,,,,-33.69140625,-289.55078125,71.2890625,-18.5546875
61,1637709808.1840312,,,,,3.41796875,-774.90234375,-46.38671875,-2.9296875
62,1637709808.1879375,,,,,16.6015625,-644.04296875,-5.859375,19.53125
63,1637709808.1918437,,,,,-10.25390625,-194.82421875,85.9375,3.41796875
64,1637709808.19575,,,,,-34.1796875,-169.43359375,74.21875,-27.34375
65,1637709808.1996562,,,,,-15.625,-595.21484375,-27.83203125,-11.71875
66,1637709808.2035625,,,,,21.484375,-723.6328125,-37.109375,1.46484375
67,1637709808.2074687,,,,,0.9765625,-282.71484375,56.15234375,-13.671875
68,1637709808.211375,,,,,-22.94921875,-361.81640625,26.85546875,-15.13671875
69,1637709808.2152812,,,,,-21.484375,-785.15625,-56.15234375,-2.9296875
70,1637709808.2191875,,,,,-0.9765625,-459.9609375,19.53125,1.46484375
71,1637709808.2230937,,,,,1.953125,-366.2109375,42.48046875,-4.39453125
72,1637709808.225125,,,,,-25.390625,-736.328125,-2.44140625,-10.25390625
73,1637709808.2290313,,,,,-31.25,-566.40625,53.22265625,-6.8359375
74,1637709808.2329376,,,,,-0.48828125,-150.390625,81.54296875,-6.8359375
75,1637709808.2368438,,,,,18.5546875,-320.3125,-4.8828125,-8.7890625
76,1637709808.24075,,,,,-14.6484375,-503.90625,3.90625,-14.6484375
77,1637709808.2446563,,,,,-31.73828125,-546.875,37.59765625,-17.08984375
78,1637709808.2485626,,,,,0.48828125,-442.87109375,35.64453125,-7.32421875
79,1637709808.2524688,,,,,30.2734375,-337.40234375,29.78515625,-1.953125
80,1637709808.256375,,,,,-0.48828125,-778.3203125,-75.68359375,0.48828125
81,1637709808.2602813,,,,,-28.80859375,-657.2265625,10.25390625,-5.37109375
82,1637709808.2641876,,,,,0.0,-12.20703125,141.6015625,-6.8359375
83,1637709808.2680938,,,,,20.5078125,-262.6953125,12.6953125,-2.44140625
84,1637709808.270125,,,,,-5.37109375,-693.84765625,-47.8515625,-13.18359375
85,1637709808.2740312,,,,,-31.25,-419.921875,50.78125,-19.53125
86,1637709808.2779374,,,,,-3.41796875,-109.375,86.42578125,-7.8125
87,1637709808.2818437,,,,,24.90234375,-490.234375,-13.18359375,1.953125
88,1637709808.28575,,,,,4.39453125,-936.5234375,-125.48828125,-4.39453125
89,1637709808.2896562,,,,,-26.3671875,-751.46484375,-5.37109375,-12.6953125
90,1637709808.2935624,,,,,-19.53125,-118.65234375,161.62109375,-2.9296875
91,1637709808.2974687,,,,,6.8359375,-287.59765625,26.3671875,6.8359375
92,1637709808.301375,,,,,13.18359375,-833.49609375,-85.44921875,-7.8125
93,1637709808.3052812,,,,,-23.4375,-284.1796875,91.30859375,-21.484375
94,1637709808.3091874,,,,,-41.50390625,219.7265625,162.59765625,-19.53125
95,1637709808.3130937,,,,,-7.32421875,-160.64453125,44.43359375,1.46484375
96,1637709808.315125,,,,,23.4375,-441.40625,-0.48828125,11.71875
97,1637709808.3190312,,,,,10.7421875,-132.32421875,80.078125,-22.94921875
98,1637709808.3229375,,,,,-24.4140625,71.2890625,119.140625,-34.66796875
99,1637709808.3268437,,,,,-13.18359375,-154.78515625,53.7109375,-2.44140625
100,1637709808.33075,,,,,3.41796875,-413.57421875,-8.7890625,2.9296875
101,1637709808.3346562,,,,,-22.94921875,-600.5859375,-17.08984375,-17.578125
102,1637709808.3385625,,,,,-47.36328125,-467.28515625,63.4765625,-3.90625
103,1637709808.3424687,,,,,-25.87890625,-657.2265625,-12.20703125,14.6484375
104,1637709808.346375,,,,,13.671875,-879.39453125,-77.1484375,9.765625
105,1637709808.3502812,,,,,17.08984375,-329.1015625,72.75390625,2.44140625
106,1637709808.3541875,,,,,-2.9296875,-163.0859375,92.28515625,-5.37109375
107,1637709808.3580937,,,,,-20.5078125,-216.30859375,79.1015625,-7.8125
108,1637709808.360125,,,,,-13.671875,-441.40625,19.04296875,-14.16015625
109,1637709808.3640313,,,,,7.32421875,-519.53125,0.0,-19.04296875
110,1637709808.3679376,,,,,-10.25390625,-367.67578125,32.2265625,-10.7421875
111,1637709808.3718438,,,,,-49.31640625,-634.765625,14.6484375,-12.20703125
112,1637709808.37575,,,,,-17.578125,-422.8515625,56.15234375,-16.6015625
113,1637709808.3796563,,,,,24.90234375,-443.84765625,7.32421875,-20.5078125
114,1637709808.3835626,,,,,-9.765625,-813.96484375,-52.734375,-16.6015625
115,1637709808.3874688,,,,,-35.15625,-801.26953125,-21.97265625,-15.625
116,1637709808.391375,,,,,-16.6015625,-472.16796875,55.6640625,-20.99609375
117,1637709808.3952813,,,,,4.8828125,-526.85546875,12.6953125,-6.8359375
118,1637709808.3991876,,,,,11.71875,-888.18359375,-73.2421875,-13.671875
119,1637709808.4030938,,,,,-14.16015625,-681.640625,17.578125,-31.25
120,1637709808.405125,,,,,-27.34375,-132.32421875,128.90625,-28.80859375
121,1637709808.4090312,,,,,12.20703125,-255.37109375,43.45703125,-18.06640625
122,1637709808.4129374,,,,,28.80859375,-651.3671875,-28.80859375,-15.625
123,1637709808.4168437,,,,,-7.8125,-468.75,47.36328125,-12.20703125
124,1637709808.42075,,,,,-19.04296875,-162.59765625,95.21484375,-21.484375
125,1637709808.4246562,,,,,7.8125,-547.8515625,0.48828125,-7.8125
126,1637709808.4285624,,,,,8.7890625,-994.140625,-137.20703125,8.7890625
127,1637709808.4324687,,,,,-25.87890625,-744.62890625,-39.55078125,-1.953125
128,1637709808.436375,,,,,-38.0859375,-122.0703125,158.203125,-12.6953125
129,1637709808.4402812,,,,,-13.18359375,-213.37890625,69.82421875,-9.765625
130,1637709808.4441874,,,,,22.4609375,-599.12109375,-15.625,-0.48828125
131,1637709808.4480937,,,,,10.25390625,-586.9140625,17.08984375,-7.8125
132,1637709808.451125,,,,,-24.4140625,-493.1640625,48.33984375,-18.06640625
133,1637709808.4550312,,,,,-12.6953125,-509.27734375,61.5234375,-15.13671875
134,1637709808.4589374,,,,,20.01953125,-870.60546875,-84.9609375,7.32421875
135,1637709808.4628437,,,,,16.6015625,-766.6015625,-41.015625,4.39453125
136,1637709808.46675,,,,,-29.296875,-169.43359375,157.2265625,-15.13671875
137,1637709808.4706562,,,,,-29.296875,-357.421875,73.73046875,-7.8125
138,1637709808.4745624,,,,,17.578125,-870.1171875,-43.9453125,15.625
139,1637709808.4784687,,,,,22.94921875,-529.296875,61.03515625,10.7421875
140,1637709808.482375,,,,,-15.13671875,-15.13671875,147.94921875,-18.06640625
141,1637709808.4862812,,,,,-43.9453125,-177.24609375,94.23828125,-26.85546875
142,1637709808.4901874,,,,,-14.16015625,-289.0625,57.6171875,-18.5546875
143,1637709808.4940937,,,,,18.5546875,-157.71484375,57.12890625,-6.34765625
144,1637709808.510125,,,,,-8.30078125,-82.03125,92.7734375,-5.859375
145,1637709808.5140312,,,,,-15.13671875,-112.79296875,95.703125,-8.30078125
146,1637709808.5179374,,,,,-9.765625,-309.5703125,37.59765625,-7.32421875
147,1637709808.5218437,,,,,2.9296875,-374.0234375,12.6953125,-1.953125
148,1637709808.52575,,,,,12.20703125,-160.64453125,62.5,-7.8125
149,1637709808.5296562,,,,,-19.04296875,-568.84765625,-6.8359375,-12.20703125
150,1637709808.5335624,,,,,-36.1328125,-789.0625,-26.3671875,-10.25390625
151,1637709808.5374687,,,,,-0.9765625,-191.40625,83.49609375,-16.11328125
152,1637709808.541375,,,,,9.27734375,-202.63671875,49.8046875,-20.01953125
153,1637709808.5452812,,,,,-26.3671875,-307.6171875,57.12890625,-39.0625
154,1637709808.5491874,,,,,-30.76171875,1.46484375,129.39453125,-34.66796875
155,1637709808.5530937,,,,,-3.41796875,19.53125,83.49609375,-9.27734375
156,1637709808.555125,,,,,9.765625,-475.09765625,-39.55078125,-10.25390625
157,1637709808.5590312,,,,,-13.18359375,-776.3671875,-30.2734375,-38.57421875
158,1637709808.5629375,,,,,-39.55078125,-310.546875,96.6796875,-37.109375
159,1637709808.5668437,,,,,-26.85546875,55.17578125,104.00390625,-20.5078125
160,1637709808.57075,,,,,6.34765625,-397.4609375,-28.3203125,-18.06640625
161,1637709808.5746562,,,,,-0.9765625,-752.9296875,-59.08203125,-31.25
162,1637709808.5785625,,,,,-38.57421875,-551.26953125,21.484375,-37.59765625
163,1637709808.5824687,,,,,-43.45703125,-280.76171875,65.91796875,-26.85546875
164,1637709808.586375,,,,,-3.90625,-494.62890625,-14.16015625,-23.4375
165,1637709808.5902812,,,,,-1.46484375,-1000.0,-156.25,-15.13671875
166,1637709808.5941875,,,,,-33.69140625,-505.37109375,32.2265625,-17.08984375
167,1637709808.5980937,,,,,-22.4609375,33.203125,147.94921875,-14.16015625
168,1637709808.608125,,,,,8.30078125,-429.19921875,-6.34765625,2.9296875
169,1637709808.6120312,,,,,13.18359375,-619.62890625,-18.5546875,-5.37109375
170,1637709808.6159375,,,,,-10.7421875,-270.5078125,70.80078125,-31.25
171,1637709808.6198437,,,,,-26.3671875,-195.3125,70.80078125,-26.85546875
172,1637709808.62375,,,,,5.37109375,-516.6015625,-11.71875,-6.34765625
173,1637709808.6276562,,,,,22.4609375,-935.546875,-84.47265625,-9.27734375
174,1637709808.6315625,,,,,-14.6484375,-768.06640625,-12.20703125,-19.04296875
175,1637709808.6354687,,,,,-22.4609375,-349.609375,99.12109375,-25.390625
176,1637709808.639375,,,,,-0.9765625,-727.05078125,-81.54296875,-6.34765625
177,1637709808.6432812,,,,,25.87890625,-963.37890625,-153.3203125,-1.46484375
178,1637709808.6471875,,,,,8.7890625,-482.91015625,68.84765625,-22.94921875
179,1637709808.6510937,,,,,-32.71484375,-291.9921875,93.26171875,-16.6015625
180,1637709808.645125,,,,,-6.8359375,-670.8984375,-0.48828125,-9.27734375
181,1637709808.6490312,,,,,26.3671875,-843.75,-34.1796875,-10.25390625
182,1637709808.6529374,,,,,-12.20703125,-502.9296875,35.64453125,-15.13671875
183,1637709808.6568437,,,,,-61.5234375,-444.82421875,36.62109375,-34.1796875
184,1637709808.66075,,,,,-47.36328125,-763.18359375,-25.87890625,-23.4375
185,1637709808.6646562,,,,,-5.859375,-952.63671875,-41.015625,-1.46484375
186,1637709808.6685624,,,,,-7.8125,-765.13671875,-3.41796875,-5.859375
187,1637709808.6724687,,,,,-24.4140625,-607.421875,26.3671875,-16.6015625
188,1637709808.676375,,,,,-28.3203125,-812.98828125,-4.8828125,-4.8828125
189,1637709808.6802812,,,,,-7.8125,-462.40234375,69.82421875,10.25390625
190,1637709808.6841874,,,,,19.04296875,-240.234375,60.05859375,13.18359375
191,1637709808.6880937,,,,,-2.44140625,-607.91015625,-8.30078125,4.39453125
192,1637709808.690125,,,,,-31.25,-540.0390625,53.7109375,-20.5078125
193,1637709808.6940312,,,,,-3.41796875,-83.49609375,126.46484375,-1.953125
194,1637709808.6979375,,,,,21.97265625,-205.078125,47.36328125,18.5546875
195,1637709808.7018437,,,,,10.25390625,-583.0078125,-10.7421875,6.34765625
196,1637709808.70575,,,,,-15.13671875,-424.8046875,67.87109375,-2.9296875
197,1637709808.7096562,,,,,-17.08984375,-291.015625,70.3125,-4.8828125
198,1637709808.7135625,,,,,14.6484375,-566.89453125,-21.97265625,-4.39453125
199,1637709808.7174687,,,,,18.06640625,-747.55859375,-55.6640625,-4.39453125
200,1637709808.721375,,,,,-20.5078125,-412.109375,69.3359375,-7.32421875
201,1637709808.7252812,,,,,-22.94921875,87.40234375,157.2265625,-10.25390625
202,1637709808.7291875,,,,,18.5546875,-80.078125,66.89453125,9.765625
203,1637709808.7330937,,,,,15.13671875,-571.2890625,-25.390625,25.87890625
204,1637709808.735125,,,,,-15.13671875,-568.359375,30.76171875,10.25390625
205,1637709808.7390313,,,,,-28.80859375,-110.3515625,129.8828125,-6.8359375
206,1637709808.7429376,,,,,1.46484375,-120.60546875,63.96484375,3.41796875
207,1637709808.7468438,,,,,19.53125,-805.17578125,-113.76953125,29.296875
208,1637709808.75075,,,,,-19.53125,-596.19140625,-6.34765625,14.6484375
209,1637709808.7546563,,,,,-27.34375,-63.96484375,146.484375,7.8125
210,1637709808.7585626,,,,,4.39453125,-376.46484375,28.3203125,16.6015625
211,1637709808.7624688,,,,,1.953125,-830.078125,-97.65625,-0.48828125
212,1637709808.766375,,,,,-17.578125,-386.71875,37.59765625,-20.5078125
213,1637709808.7702813,,,,,-32.71484375,202.1484375,155.2734375,-14.6484375
214,1637709808.7741876,,,,,-25.390625,-46.38671875,62.5,-5.859375
215,1637709808.7780938,,,,,6.8359375,-339.84375,-16.11328125,-1.46484375
216,1637709808.780125,,,,,17.08984375,-196.2890625,24.90234375,-1.953125
217,1637709808.7840312,,,,,-24.90234375,-9.765625,83.0078125,-8.7890625
218,1637709808.7879374,,,,,-48.33984375,-172.36328125,50.29296875,-4.8828125
219,1637709808.7918437,,,,,7.8125,-296.38671875,0.48828125,7.8125
220,1637709808.79575,,,,,19.53125,-320.80078125,-23.4375,-1.953125
221,1637709808.7996562,,,,,-29.78515625,-472.65625,-8.7890625,-23.4375
222,1637709808.8035624,,,,,-41.015625,-767.578125,-71.77734375,-29.296875
223,1637709808.8074687,,,,,-17.578125,-819.3359375,-87.890625,-7.32421875
224,1637709808.811375,,,,,17.578125,-359.375,49.8046875,-5.37109375
225,1637709808.8152812,,,,,-4.8828125,-360.83984375,42.48046875,-15.625
226,1637709808.8191874,,,,,-53.22265625,-483.88671875,38.57421875,-29.296875
227,1637709808.8230937,,,,,-23.92578125,-291.9921875,61.03515625,-22.94921875
228,1637709808.825125,,,,,24.4140625,-539.0625,-30.2734375,3.90625
229,1637709808.8290312,,,,,-6.34765625,-886.71875,-90.33203125,-8.30078125
230,1637709808.8329375,,,,,-49.31640625,-855.46875,-35.15625,-25.87890625
231,1637709808.8368437,,,,,-31.25,-513.18359375,49.8046875,-24.90234375
232,1637709808.84075,,,,,-4.8828125,-340.33203125,40.0390625,-9.27734375
233,1637709808.8446562,,,,,-10.25390625,-816.40625,-80.56640625,-9.765625
234,1637709808.8485625,,,,,-28.80859375,-969.7265625,-76.171875,-32.71484375
235,1637709808.8524687,,,,,-40.0390625,-462.890625,84.47265625,-41.015625
236,1637709808.856375,,,,,-6.8359375,-474.12109375,43.45703125,-26.3671875
237,1637709808.8602812,,,,,8.30078125,-963.37890625,-102.05078125,-17.578125
238,1637709808.8641875,,,,,-29.78515625,-796.38671875,-25.87890625,-31.73828125
239,1637709808.8680937,,,,,-45.41015625,-262.20703125,126.953125,-30.2734375
240,1637709808.870125,,,,,-21.484375,-274.90234375,65.91796875,-13.18359375
241,1637709808.8740313,,,,,12.20703125,-735.83984375,-48.33984375,1.953125
242,1637709808.8779376,,,,,-9.765625,-660.15625,12.6953125,-3.90625
243,1637709808.8818438,,,,,-39.0625,-229.4921875,110.3515625,-23.92578125
244,1637709808.88575,,,,,-18.5546875,-244.62890625,62.5,-19.04296875
245,1637709808.8896563,,,,,7.8125,-762.6953125,-75.68359375,-4.39453125
246,1637709808.8935626,,,,,2.44140625,-881.8359375,-59.08203125,-4.8828125
247,1637709808.8974688,,,,,-30.2734375,-274.90234375,103.515625,-12.6953125
248,1637709808.901375,,,,,-34.1796875,-140.13671875,88.37890625,-14.6484375
249,1637709808.9052813,,,,,-8.7890625,-700.1953125,-85.9375,1.46484375
250,1637709808.9091876,,,,,0.48828125,-724.12109375,-40.52734375,-3.41796875
251,1637709808.9130938,,,,,-17.08984375,-395.99609375,78.125,-15.625
252,1637709808.930125,,,,,-27.34375,-465.8203125,55.6640625,-5.859375
253,1637709808.9340312,,,,,-0.48828125,-837.890625,-86.42578125,16.6015625
254,1637709808.9379375,,,,,20.01953125,-800.29296875,-60.546875,13.671875
255,1637709808.9418437,,,,,3.90625,-206.54296875,128.41796875,-12.6953125
256,1637709808.94575,,,,,-23.92578125,-157.71484375,108.88671875,-7.8125
257,1637709808.9496562,,,,,-12.6953125,-561.5234375,18.06640625,4.39453125
258,1637709808.9535625,,,,,23.92578125,-574.70703125,15.13671875,8.7890625
259,1637709808.9574687,,,,,8.30078125,-114.2578125,99.12109375,7.8125
260,1637709808.961375,,,,,-19.53125,-247.0703125,72.265625,-3.90625
261,1637709808.9652812,,,,,-9.27734375,-608.3984375,16.11328125,2.9296875
262,1637709808.9691875,,,,,20.99609375,-231.4453125,77.63671875,12.6953125
263,1637709808.9730937,,,,,13.18359375,-84.9609375,64.94140625,4.8828125
264,1637709808.975125,,,,,-22.94921875,-212.890625,47.8515625,-13.18359375
265,1637709808.9790313,,,,,-35.15625,-106.93359375,80.56640625,-2.9296875
266,1637709808.9829376,,,,,12.6953125,-208.49609375,35.64453125,9.27734375
267,1637709808.9868438,,,,,39.0625,-368.65234375,3.41796875,5.859375
268,1637709808.99075,,,,,-3.41796875,-463.8671875,19.04296875,0.48828125
269,1637709808.9946563,,,,,-21.484375,-566.40625,19.53125,7.32421875
270,1637709808.9985626,,,,,-3.41796875,-395.99609375,19.04296875,14.16015625
271,1637709809.0024688,,,,,16.11328125,-289.55078125,13.18359375,5.37109375
272,1637709809.006375,,,,,-12.6953125,-680.17578125,-52.24609375,-6.34765625
273,1637709809.0102813,,,,,-29.78515625,-607.421875,18.5546875,-17.08984375
274,1637709809.0141876,,,,,-7.32421875,69.3359375,137.6953125,-1.953125
275,1637709809.0180938,,,,,10.25390625,-225.5859375,18.06640625,21.484375
276,1637709809.020125,,,,,6.8359375,-689.453125,-55.6640625,10.7421875
277,1637709809.0240312,,,,,-25.390625,-442.87109375,35.64453125,-20.01953125
278,1637709809.0279374,,,,,-28.80859375,-27.83203125,97.16796875,-18.5546875
279,1637709809.0318437,,,,,4.8828125,-313.4765625,-18.5546875,0.9765625
280,1637709809.03575,,,,,9.27734375,-854.98046875,-116.2109375,1.46484375
281,1637709809.0396562,,,,,-28.80859375,-716.796875,2.44140625,-10.25390625
282,1637709809.0435624,,,,,-29.78515625,-475.09765625,60.05859375,-13.671875
283,1637709809.0474687,,,,,4.8828125,-723.6328125,-61.5234375,0.9765625
284,1637709809.051375,,,,,6.34765625,-1000.0,-169.921875,11.23046875
285,1637709809.0552812,,,,,-30.76171875,-632.32421875,20.99609375,1.46484375
286,1637709809.0591874,,,,,-55.17578125,-86.9140625,166.015625,-14.6484375
287,1637709809.0630937,,,,,-26.3671875,-409.1796875,24.90234375,-14.6484375
288,1637709809.065125,,,,,-2.9296875,-688.96484375,-25.390625,-7.8125
289,1637709809.0690312,,,,,-28.3203125,-382.32421875,50.29296875,-20.99609375
290,1637709809.0729375,,,,,-52.24609375,-267.578125,72.265625,-22.94921875
291,1637709809.0768437,,,,,-20.99609375,-539.0625,19.53125,-15.625
292,1637709809.08075,,,,,18.06640625,-689.453125,-21.97265625,0.9765625
293,1637709809.0846562,,,,,2.44140625,-798.33984375,-26.85546875,4.39453125
294,1637709809.0885625,,,,,-30.76171875,-749.51171875,36.1328125,-20.01953125
295,1637709809.0924687,,,,,-27.34375,-769.04296875,-38.57421875,-10.25390625
296,1637709809.096375,,,,,2.44140625,-1000.0,-94.7265625,14.16015625
297,1637709809.1002812,,,,,7.32421875,-759.765625,41.50390625,-1.46484375
