,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709888.462125,,,,,31.73828125,99.609375,-241.2109375,-228.02734375
1,1637709888.4660313,,,,,-374.51171875,-458.49609375,-443.84765625,-1000.0
2,1637709888.4699376,,,,,-69.82421875,-868.1640625,-524.4140625,-640.625
3,1637709888.4738438,,,,,452.63671875,-155.76171875,-169.43359375,901.3671875
4,1637709888.47775,,,,,186.5234375,206.54296875,-101.5625,692.3828125
5,1637709888.4816563,,,,,-349.609375,-610.3515625,-475.5859375,-964.35546875
6,1637709888.4855626,,,,,-253.90625,-995.60546875,-600.09765625,-976.5625
7,1637709888.4894688,,,,,376.953125,-227.5390625,-215.8203125,686.03515625
8,1637709888.493375,,,,,352.5390625,316.89453125,-47.36328125,-995.60546875
9,1637709888.4972813,,,,,-233.88671875,-240.72265625,-381.34765625,-710.9375
10,1637709888.5011876,,,,,-323.2421875,-639.6484375,-435.546875,-1000.0
11,1637709888.5050938,,,,,250.0,-241.2109375,-257.32421875,586.42578125
12,1637709888.506125,,,,,411.62109375,-102.05078125,-223.14453125,-921.875
13,1637709888.5100312,,,,,-130.37109375,-534.1796875,-443.84765625,-468.75
14,1637709888.5139375,,,,,-421.38671875,-859.86328125,-540.0390625,-1000.0
15,1637709888.5178437,,,,,75.1953125,-273.92578125,-254.8828125,18.06640625
16,1637709888.52175,,,,,453.61328125,226.07421875,-92.28515625,-858.88671875
17,1637709888.5256562,,,,,-3.41796875,-322.265625,-348.6328125,218.26171875
18,1637709888.5295625,,,,,-469.23828125,-988.28125,-562.01171875,-1000.0
19,1637709888.5334687,,,,,-141.6015625,-586.9140625,-333.49609375,-729.98046875
20,1637709888.537375,,,,,434.5703125,207.03125,-71.2890625,881.34765625
21,1637709888.5412812,,,,,148.4375,-235.3515625,-298.828125,875.9765625
22,1637709888.5451875,,,,,-395.5078125,-830.56640625,-489.74609375,-818.84765625
23,1637709888.5490937,,,,,-293.45703125,-439.94140625,-331.54296875,-1000.0
24,1637709888.566125,,,,,291.9921875,11.23046875,-205.078125,681.15234375
25,1637709888.5700312,,,,,271.484375,-139.16015625,-322.265625,-988.28125
26,1637709888.5739374,,,,,-281.73828125,-443.359375,-426.7578125,-682.6171875
27,1637709888.5778437,,,,,-400.390625,-407.2265625,-383.30078125,-1000.0
28,1637709888.58175,,,,,140.13671875,-126.953125,-257.8125,485.3515625
29,1637709888.5856562,,,,,343.75,-339.84375,-282.2265625,-871.09375
30,1637709888.5895624,,,,,-127.44140625,-526.85546875,-379.8828125,-300.78125
31,1637709888.5934687,,,,,-429.6875,-547.36328125,-422.36328125,-1000.0
32,1637709888.597375,,,,,-34.1796875,-604.00390625,-389.6484375,-221.19140625
