,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637710120.904125,,,,,-99.12109375,-31.25,158.203125,-109.86328125
1,1637710120.9080312,,,,,-205.56640625,-147.94921875,-168.9453125,-239.2578125
2,1637710120.9119375,,,,,-62.01171875,-171.875,-181.15234375,-7.8125
3,1637710120.9158437,,,,,82.03125,-91.796875,121.58203125,170.8984375
4,1637710120.91975,,,,,-17.578125,-73.73046875,161.62109375,-67.87109375
5,1637710120.9236562,,,,,-187.5,-217.7734375,-200.1953125,-330.56640625
6,1637710120.9275625,,,,,-150.390625,-363.28125,-403.80859375,-260.25390625
7,1637710120.9314687,,,,,36.1328125,-153.80859375,-25.390625,-8.7890625
8,1637710120.935375,,,,,-1.46484375,47.36328125,295.41015625,-118.65234375
9,1637710120.9392812,,,,,-184.08203125,-111.328125,-38.0859375,-426.26953125
10,1637710120.9431875,,,,,-181.640625,-173.33984375,-216.796875,-434.5703125
11,1637710120.9470937,,,,,-9.27734375,-32.71484375,121.09375,-172.8515625
12,1637710120.948125,,,,,12.20703125,-10.25390625,271.484375,-155.2734375
13,1637710120.9520311,,,,,-140.625,-147.94921875,-14.6484375,-418.45703125
14,1637710120.9559374,,,,,-180.17578125,-181.15234375,-255.859375,-498.046875
15,1637710120.9598436,,,,,-31.25,-64.94140625,0.9765625,-266.6015625
16,1637710120.96375,,,,,59.08203125,-6.34765625,246.09375,-157.2265625
17,1637710120.9676561,,,,,-86.42578125,-193.359375,-103.02734375,-370.1171875
18,1637710120.9715624,,,,,-201.171875,-322.75390625,-342.28515625,-519.53125
19,1637710120.9754686,,,,,-60.546875,-126.46484375,-94.23828125,-383.30078125
20,1637710120.979375,,,,,91.796875,18.06640625,240.234375,-162.109375
21,1637710120.9832811,,,,,-25.87890625,-171.875,6.8359375,-318.84765625
22,1637710120.9871874,,,,,-182.6171875,-364.2578125,-419.921875,-573.2421875
23,1637710120.9910936,,,,,-117.67578125,-103.02734375,-94.7265625,-476.5625
24,1637710121.008125,,,,,34.1796875,37.59765625,252.44140625,-204.1015625
25,1637710121.0120313,,,,,-8.30078125,-74.70703125,143.06640625,-282.2265625
26,1637710121.0159376,,,,,-159.1796875,-109.86328125,-39.0625,-566.89453125
27,1637710121.0198438,,,,,-155.76171875,-107.421875,-157.2265625,-562.01171875
28,1637710121.02375,,,,,27.83203125,-71.2890625,25.87890625,-266.6015625
29,1637710121.0276563,,,,,48.828125,-143.5546875,32.2265625,-174.8046875
30,1637710121.0315626,,,,,-120.1171875,-158.203125,-144.53125,-425.29296875
31,1637710121.0354688,,,,,-178.22265625,-90.33203125,-165.52734375,-556.640625
32,1637710121.039375,,,,,-27.34375,-105.95703125,-116.2109375,-304.6875
33,1637710121.0432813,,,,,67.87109375,-137.6953125,-70.3125,-125.48828125
34,1637710121.0471876,,,,,-49.31640625,-77.1484375,8.7890625,-336.42578125
35,1637710121.0510938,,,,,-187.5,-81.54296875,-91.30859375,-535.64453125
36,1637710121.053125,,,,,-121.09375,-155.76171875,-189.453125,-385.25390625
37,1637710121.0570312,,,,,35.64453125,-225.5859375,-201.66015625,-130.37109375
38,1637710121.0609374,,,,,-18.5546875,-57.6171875,94.23828125,-266.6015625
39,1637710121.0648437,,,,,-174.8046875,-52.734375,18.06640625,-525.87890625
40,1637710121.06875,,,,,-139.16015625,-169.921875,-244.140625,-430.17578125
41,1637710121.0726562,,,,,41.9921875,-119.140625,-68.359375,-162.109375
42,1637710121.0765624,,,,,20.5078125,-45.8984375,125.48828125,-191.89453125
43,1637710121.0804687,,,,,-132.32421875,-36.1328125,5.859375,-466.796875
44,1637710121.084375,,,,,-177.734375,-205.56640625,-309.5703125,-490.72265625
45,1637710121.0882812,,,,,-27.34375,-298.33984375,-321.2890625,-197.75390625
46,1637710121.0921874,,,,,62.5,8.30078125,176.7578125,-136.71875
47,1637710121.0960937,,,,,-94.7265625,28.80859375,162.59765625,-387.20703125
48,1637710121.099125,,,,,-204.58984375,-232.421875,-323.2421875,-500.9765625
49,1637710121.1030312,,,,,-38.0859375,-107.421875,-62.5,-292.96875
50,1637710121.1069374,,,,,90.8203125,73.2421875,327.1484375,-108.88671875
51,1637710121.1108437,,,,,-61.5234375,-39.0625,151.85546875,-279.78515625
52,1637710121.11475,,,,,-172.36328125,-235.83984375,-270.01953125,-463.8671875
53,1637710121.1186562,,,,,-64.453125,-197.265625,-276.3671875,-327.63671875
54,1637710121.1225624,,,,,83.49609375,-25.87890625,117.67578125,-107.91015625
55,1637710121.1264687,,,,,31.73828125,-33.69140625,187.01171875,-216.796875
56,1637710121.130375,,,,,-170.41015625,-292.48046875,-336.42578125,-446.2890625
57,1637710121.1342812,,,,,-176.7578125,-174.31640625,-210.44921875,-422.8515625
58,1637710121.1381874,,,,,28.3203125,51.26953125,232.91015625,-153.80859375
59,1637710121.1420937,,,,,34.1796875,-15.13671875,200.1953125,-132.32421875
60,1637710121.143125,,,,,-139.16015625,-101.07421875,-41.50390625,-445.3125
61,1637710121.1470313,,,,,-184.08203125,-95.21484375,-185.05859375,-557.6171875
62,1637710121.1509376,,,,,-3.90625,-46.875,4.39453125,-305.6640625
63,1637710121.1548438,,,,,82.51953125,-57.6171875,151.85546875,-186.03515625
64,1637710121.15875,,,,,-85.44921875,-95.21484375,-13.18359375,-402.83203125
65,1637710121.1626563,,,,,-201.171875,-191.89453125,-302.734375,-558.10546875
66,1637710121.1665626,,,,,-87.40234375,-118.1640625,-162.109375,-361.328125
67,1637710121.1704688,,,,,53.22265625,-79.1015625,43.45703125,-115.72265625
68,1637710121.174375,,,,,-59.08203125,-254.39453125,-238.76953125,-233.3984375
69,1637710121.1782813,,,,,-187.98828125,-161.62109375,-291.9921875,-455.078125
70,1637710121.1821876,,,,,-99.12109375,-21.484375,-87.890625,-342.7734375
71,1637710121.1860938,,,,,61.5234375,-71.2890625,-20.99609375,-33.203125
72,1637710121.189125,,,,,32.71484375,-45.8984375,78.125,-92.7734375
73,1637710121.1930313,,,,,-131.34765625,-5.37109375,102.5390625,-353.515625
74,1637710121.1969376,,,,,-154.296875,-87.890625,-151.3671875,-373.53515625
75,1637710121.2008438,,,,,21.484375,-62.01171875,-73.73046875,-141.6015625
76,1637710121.20475,,,,,69.82421875,21.484375,204.58984375,-105.46875
77,1637710121.2086563,,,,,-115.234375,-104.4921875,-51.7578125,-357.421875
78,1637710121.2125626,,,,,-187.98828125,-195.80078125,-312.5,-465.8203125
79,1637710121.2164688,,,,,-30.2734375,-241.2109375,-314.453125,-258.30078125
80,1637710121.220375,,,,,90.8203125,-64.453125,11.23046875,-119.140625
81,1637710121.2242813,,,,,-37.109375,78.61328125,255.37109375,-338.8671875
82,1637710121.2281876,,,,,-184.08203125,-94.7265625,-88.37890625,-529.296875
83,1637710121.2320938,,,,,-86.42578125,-85.9375,-125.0,-370.1171875
84,1637710121.233125,,,,,83.984375,58.59375,244.140625,-123.046875
85,1637710121.2370312,,,,,6.34765625,24.4140625,210.9375,-255.37109375
86,1637710121.2409375,,,,,-173.33984375,-137.20703125,-177.24609375,-508.7890625
87,1637710121.2448437,,,,,-114.2578125,-114.2578125,-210.9375,-428.7109375
88,1637710121.24875,,,,,68.84765625,30.2734375,168.9453125,-146.484375
89,1637710121.2526562,,,,,11.71875,-14.16015625,178.22265625,-187.01171875
90,1637710121.2565625,,,,,-167.96875,-205.56640625,-228.515625,-460.9375
91,1637710121.2604687,,,,,-175.29296875,-240.72265625,-237.3046875,-511.23046875
92,1637710121.264375,,,,,11.23046875,-20.99609375,169.921875,-237.79296875
93,1637710121.2682812,,,,,56.640625,19.53125,252.44140625,-153.3203125
94,1637710121.2721875,,,,,-129.39453125,-187.5,-127.44140625,-407.2265625
95,1637710121.2760937,,,,,-212.40234375,-260.7421875,-299.8046875,-528.3203125
96,1637710121.279125,,,,,-39.0625,13.18359375,104.4921875,-305.6640625
97,1637710121.2830312,,,,,92.7734375,78.125,289.0625,-125.9765625
98,1637710121.2869375,,,,,-40.0390625,-82.51953125,9.27734375,-324.70703125
99,1637710121.2908437,,,,,-183.59375,-134.27734375,-207.03125,-520.99609375
100,1637710121.29475,,,,,-75.68359375,-39.55078125,-54.6875,-381.34765625
101,1637710121.2986562,,,,,67.87109375,-26.3671875,132.8125,-130.37109375
102,1637710121.3025625,,,,,-42.48046875,-199.70703125,-108.88671875,-220.21484375
103,1637710121.3064687,,,,,-173.828125,-128.90625,-199.21875,-491.69921875
104,1637710121.310375,,,,,-114.74609375,9.27734375,-20.99609375,-466.30859375
105,1637710121.3142812,,,,,67.87109375,10.7421875,166.015625,-160.64453125
106,1637710121.3181875,,,,,78.125,7.8125,208.0078125,-166.015625
107,1637710121.3220937,,,,,-111.81640625,-53.22265625,36.1328125,-450.68359375
108,1637710121.325125,,,,,-166.015625,-139.16015625,-207.51953125,-493.65234375
109,1637710121.3290312,,,,,21.484375,-101.5625,-153.3203125,-231.4453125
110,1637710121.3329375,,,,,96.19140625,-25.390625,65.4296875,-154.296875
111,1637710121.3368437,,,,,-74.21875,1.46484375,118.65234375,-415.52734375
112,1637710121.34075,,,,,-187.98828125,-72.75390625,-105.46875,-567.87109375
113,1637710121.3446562,,,,,-56.640625,-132.8125,-190.4296875,-347.16796875
114,1637710121.3485625,,,,,84.47265625,-51.26953125,30.2734375,-155.76171875
115,1637710121.3524687,,,,,-21.97265625,39.0625,208.984375,-358.3984375
116,1637710121.356375,,,,,-156.25,-49.8046875,-42.48046875,-569.82421875
117,1637710121.3602812,,,,,-110.3515625,-212.40234375,-335.44921875,-419.921875
118,1637710121.3641875,,,,,61.5234375,-151.85546875,-130.859375,-162.59765625
119,1637710121.3680937,,,,,25.390625,71.2890625,274.4140625,-274.4140625
120,1637710121.383125,,,,,-163.57421875,-32.2265625,27.83203125,-507.32421875
121,1637710121.3870313,,,,,-169.43359375,-145.5078125,-262.20703125,-471.19140625
122,1637710121.3909376,,,,,54.19921875,-13.18359375,45.8984375,-168.9453125
123,1637710121.3948438,,,,,55.6640625,15.625,250.0,-129.8828125
124,1637710121.39875,,,,,-156.73828125,-58.10546875,48.828125,-429.6875
125,1637710121.4026563,,,,,-202.63671875,-268.5546875,-394.04296875,-496.58203125
126,1637710121.4065626,,,,,-28.3203125,-116.2109375,-112.3046875,-225.09765625
