,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637710145.190125,,,,,-73.73046875,-1000.0,-803.7109375,-307.6171875
1,1637710145.1940312,,,,,64.94140625,-744.140625,-603.515625,1.46484375
2,1637710145.1979375,,,,,211.42578125,-486.81640625,-517.08984375,302.734375
3,1637710145.2018437,,,,,101.07421875,-645.99609375,-602.05078125,51.7578125
4,1637710145.20575,,,,,-67.3828125,-913.57421875,-713.37890625,-320.3125
5,1637710145.2096562,,,,,7.8125,-979.98046875,-709.9609375,-127.44140625
6,1637710145.2135625,,,,,197.265625,-680.6640625,-506.34765625,312.98828125
7,1637710145.2174687,,,,,152.34375,-665.0390625,-616.2109375,200.1953125
8,1637710145.221375,,,,,-23.92578125,-976.5625,-778.80859375,-248.046875
9,1637710145.2252812,,,,,-19.04296875,-739.74609375,-642.578125,-258.30078125
10,1637710145.2291875,,,,,167.48046875,-476.5625,-504.8828125,196.77734375
11,1637710145.2330937,,,,,198.2421875,-394.53125,-472.65625,241.69921875
12,1637710145.234125,,,,,2.9296875,-477.5390625,-600.5859375,-194.82421875
13,1637710145.2380311,,,,,-81.0546875,-707.51953125,-682.6171875,-363.28125
14,1637710145.2419374,,,,,77.1484375,-705.56640625,-592.7734375,34.1796875
15,1637710145.2458436,,,,,183.10546875,-416.9921875,-490.234375,293.45703125
16,1637710145.24975,,,,,39.0625,-536.62109375,-583.0078125,-43.45703125
17,1637710145.2536561,,,,,-92.7734375,-987.3046875,-745.1171875,-350.5859375
18,1637710145.2575624,,,,,27.34375,-1000.0,-752.9296875,-75.1953125
19,1637710145.2614686,,,,,185.546875,-932.6171875,-665.52734375,303.22265625
20,1637710145.265375,,,,,106.93359375,-811.03515625,-562.01171875,79.58984375
21,1637710145.2692811,,,,,-46.875,-854.00390625,-674.31640625,-332.03125
22,1637710145.2731874,,,,,-0.9765625,-1000.0,-782.2265625,-196.2890625
23,1637710145.2770936,,,,,190.4296875,-692.87109375,-615.72265625,281.25
24,1637710145.279125,,,,,176.26953125,-71.2890625,-395.01953125,250.48828125
25,1637710145.2830312,,,,,-15.13671875,-437.01171875,-657.2265625,-192.87109375
26,1637710145.2869375,,,,,-32.2265625,-957.03125,-755.37109375,-256.34765625
27,1637710145.2908437,,,,,164.55078125,-489.2578125,-463.8671875,207.03125
28,1637710145.29475,,,,,193.359375,-61.03515625,-421.38671875,309.08203125
29,1637710145.2986562,,,,,-2.44140625,-650.390625,-674.31640625,-107.421875
30,1637710145.3025625,,,,,-83.49609375,-1000.0,-863.28125,-289.55078125
31,1637710145.3064687,,,,,81.0546875,-899.90234375,-723.14453125,73.2421875
32,1637710145.310375,,,,,214.35546875,-374.51171875,-408.203125,358.88671875
33,1637710145.3142812,,,,,89.84375,-343.75,-547.36328125,23.4375
34,1637710145.3181875,,,,,-75.1953125,-925.29296875,-777.83203125,-313.96484375
35,1637710145.3220937,,,,,6.8359375,-788.57421875,-611.81640625,-56.15234375
36,1637710145.324125,,,,,188.4765625,-180.6640625,-384.765625,331.54296875
37,1637710145.3280313,,,,,116.2109375,-269.53125,-514.6484375,149.90234375
38,1637710145.3319376,,,,,-63.4765625,-897.94921875,-761.71875,-283.203125
39,1637710145.3358438,,,,,-26.3671875,-958.49609375,-676.26953125,-206.0546875
40,1637710145.33975,,,,,149.90234375,-504.8828125,-454.1015625,256.8359375
41,1637710145.3436563,,,,,123.53515625,-586.9140625,-603.02734375,244.140625
42,1637710145.3475626,,,,,-62.98828125,-1000.0,-800.29296875,-215.8203125
43,1637710145.3514688,,,,,-91.30859375,-897.4609375,-671.875,-339.35546875
44,1637710145.355375,,,,,88.37890625,-685.546875,-517.578125,101.5625
45,1637710145.3592813,,,,,143.06640625,-718.26171875,-563.4765625,284.1796875
46,1637710145.3631876,,,,,-22.4609375,-1000.0,-795.8984375,-104.98046875
47,1637710145.3670938,,,,,-105.95703125,-994.62890625,-723.6328125,-343.26171875
48,1637710145.370125,,,,,58.59375,-589.84375,-535.15625,8.30078125
49,1637710145.3740313,,,,,192.3828125,-579.58984375,-487.79296875,344.23828125
50,1637710145.3779376,,,,,78.125,-770.01953125,-585.9375,72.265625
51,1637710145.3818438,,,,,-72.265625,-777.34375,-683.59375,-296.875
52,1637710145.38575,,,,,3.90625,-754.8828125,-642.08984375,-104.4921875
53,1637710145.3896563,,,,,173.828125,-706.0546875,-531.25,328.125
54,1637710145.3935626,,,,,115.234375,-631.8359375,-492.67578125,188.4765625
55,1637710145.3974688,,,,,-46.38671875,-670.8984375,-637.20703125,-257.32421875
56,1637710145.401375,,,,,-27.34375,-926.26953125,-704.58984375,-215.33203125
57,1637710145.4052813,,,,,140.625,-871.58203125,-551.7578125,227.05078125
58,1637710145.4091876,,,,,154.296875,-475.09765625,-434.5703125,271.97265625
59,1637710145.4130938,,,,,-23.4375,-456.0546875,-567.3828125,-143.5546875
60,1637710145.430125,,,,,-76.171875,-904.296875,-722.16796875,-270.99609375
61,1637710145.4340312,,,,,104.00390625,-944.3359375,-645.01953125,162.109375
62,1637710145.4379375,,,,,188.96484375,-481.4453125,-455.078125,381.34765625
63,1637710145.4418437,,,,,23.92578125,-392.08984375,-511.23046875,16.6015625
64,1637710145.44575,,,,,-99.12109375,-839.84375,-783.203125,-256.8359375
65,1637710145.4496562,,,,,26.3671875,-1000.0,-785.64453125,35.15625
