,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534426315176.5,,,,,11.23046875,-28.80859375,10.7421875,-13.18359375
1,1644534426319082.8,,,,,11.71875,-25.87890625,3.90625,-23.4375
2,1644534426322989.0,,,,,23.4375,-31.25,0.48828125,-14.16015625
3,1644534426326895.2,,,,,11.23046875,-36.1328125,0.48828125,-13.671875
4,1644534426330801.5,,,,,8.30078125,-27.83203125,7.32421875,-20.5078125
5,1644534426334707.8,,,,,7.32421875,-22.94921875,9.27734375,-17.08984375
6,1644534426338614.0,,,,,4.8828125,-29.296875,9.27734375,-9.765625
7,1644534426342520.2,,,,,-1.46484375,-32.71484375,14.16015625,-18.06640625
8,1644534426346426.5,,,,,-0.9765625,-34.1796875,5.37109375,-23.4375
9,1644534426350332.8,,,,,3.90625,-42.96875,1.953125,-21.484375
10,1644534426354239.0,,,,,1.46484375,-42.48046875,4.39453125,-11.71875
11,1644534426358145.2,,,,,7.8125,-44.921875,7.32421875,-3.90625
12,1644534426362051.5,,,,,5.37109375,-55.17578125,14.16015625,-6.34765625
13,1644534426365957.8,,,,,-6.34765625,-52.734375,13.671875,-12.20703125
14,1644534426369864.0,,,,,-3.90625,-47.8515625,16.11328125,-9.27734375
15,1644534426373770.2,,,,,4.8828125,-46.875,25.390625,-13.671875
16,1644534426377676.5,,,,,10.7421875,-41.50390625,25.390625,-19.04296875
17,1644534426381582.8,,,,,8.30078125,-42.96875,23.92578125,-5.37109375
18,1644534426385489.0,,,,,16.6015625,-42.96875,28.80859375,10.7421875
19,1644534426389395.2,,,,,21.484375,-44.921875,32.71484375,-5.37109375
20,1644534426393301.5,,,,,9.765625,-49.8046875,19.53125,-25.87890625
21,1644534426397207.8,,,,,3.41796875,-49.8046875,20.99609375,-16.6015625
22,1644534426401114.0,,,,,-6.34765625,-52.24609375,31.73828125,0.9765625
23,1644534426405020.2,,,,,-13.18359375,-40.0390625,32.71484375,-5.859375
24,1644534426408926.5,,,,,6.34765625,-30.76171875,37.59765625,-17.08984375
25,1644534426412832.8,,,,,17.578125,-33.69140625,37.109375,-7.8125
26,1644534426416739.0,,,,,13.18359375,-48.33984375,36.62109375,-6.8359375
27,1644534426420645.2,,,,,23.92578125,-53.22265625,39.0625,-12.20703125
28,1644534426424551.5,,,,,17.578125,-38.57421875,32.71484375,-8.7890625
29,1644534426428457.8,,,,,4.8828125,-39.0625,26.85546875,-0.9765625
30,1644534426432364.0,,,,,17.08984375,-45.41015625,24.90234375,-2.9296875
31,1644534426436270.2,,,,,11.23046875,-48.33984375,22.94921875,-6.34765625
32,1644534426440176.5,,,,,-4.8828125,-52.24609375,21.484375,-10.7421875
33,1644534426444082.8,,,,,-0.9765625,-51.7578125,19.53125,-3.41796875
34,1644534426447989.0,,,,,11.23046875,-50.78125,20.5078125,9.27734375
35,1644534426451895.2,,,,,17.578125,-57.6171875,23.92578125,8.7890625
36,1644534426455801.5,,,,,4.39453125,-61.03515625,18.06640625,1.46484375
37,1644534426459707.8,,,,,1.953125,-58.10546875,11.23046875,-7.8125
38,1644534426463614.0,,,,,-1.953125,-60.546875,4.39453125,-15.13671875
39,1644534426467520.2,,,,,-6.8359375,-59.5703125,1.953125,3.41796875
40,1644534426471426.5,,,,,20.5078125,-49.8046875,9.765625,22.94921875
41,1644534426475332.8,,,,,14.6484375,-39.55078125,18.06640625,9.27734375
42,1644534426479239.0,,,,,-8.30078125,-41.015625,26.85546875,-1.953125
43,1644534426483145.2,,,,,-10.7421875,-50.78125,26.85546875,-13.671875
44,1644534426487051.5,,,,,-10.25390625,-64.453125,16.6015625,-25.87890625
45,1644534426490957.8,,,,,-1.46484375,-61.03515625,18.5546875,-23.4375
46,1644534426494864.0,,,,,-9.765625,-46.875,27.34375,-27.34375
47,1644534426498770.2,,,,,-34.66796875,-54.6875,13.671875,-41.015625
48,1644534426502676.5,,,,,-38.57421875,-58.59375,1.953125,-32.71484375
49,1644534426506582.8,,,,,-33.203125,-51.26953125,10.25390625,-24.90234375
50,1644534426510489.0,,,,,-24.4140625,-52.734375,18.5546875,-26.3671875
51,1644534426514395.2,,,,,-18.5546875,-43.45703125,21.97265625,-28.3203125
52,1644534426518301.5,,,,,-27.83203125,-41.50390625,24.90234375,-35.64453125
53,1644534426522207.8,,,,,-19.04296875,-42.96875,30.76171875,-24.90234375
54,1644534426526114.0,,,,,-10.7421875,-42.96875,28.80859375,-18.06640625
55,1644534426530020.2,,,,,-8.7890625,-33.69140625,20.01953125,-10.7421875
56,1644534426533926.5,,,,,-0.48828125,-27.83203125,16.11328125,3.41796875
57,1644534426537832.8,,,,,-6.34765625,-41.015625,18.06640625,-8.7890625
58,1644534426541739.0,,,,,0.0,-37.59765625,26.3671875,-16.11328125
59,1644534426545645.2,,,,,-11.23046875,-35.64453125,30.76171875,-5.859375
60,1644534426549551.5,,,,,-18.06640625,-37.59765625,30.76171875,-2.9296875
61,1644534426553457.8,,,,,-23.4375,-35.15625,29.78515625,-11.23046875
62,1644534426557364.0,,,,,-26.85546875,-35.15625,24.4140625,-17.08984375
63,1644534426561270.2,,,,,-7.8125,-34.66796875,24.4140625,-20.01953125
64,1644534426565176.5,,,,,-1.46484375,-37.109375,26.3671875,-15.13671875
65,1644534426569082.8,,,,,-1.953125,-41.015625,27.34375,-13.671875
66,1644534426572989.0,,,,,8.7890625,-49.31640625,25.390625,-17.578125
67,1644534426576895.2,,,,,-5.37109375,-51.26953125,17.578125,-7.32421875
68,1644534426580801.5,,,,,-15.13671875,-38.57421875,24.90234375,-7.32421875
69,1644534426584707.8,,,,,-5.37109375,-42.96875,33.69140625,-5.859375
70,1644534426588614.0,,,,,-16.11328125,-53.7109375,32.2265625,8.30078125
71,1644534426592520.2,,,,,-13.18359375,-43.45703125,29.296875,10.7421875
72,1644534426596426.5,,,,,-15.625,-41.50390625,24.4140625,-15.625
73,1644534426600332.8,,,,,-13.18359375,-41.015625,24.4140625,-36.1328125
74,1644534426604239.0,,,,,2.44140625,-44.921875,27.34375,-35.15625
75,1644534426608145.2,,,,,2.9296875,-46.38671875,22.4609375,-31.73828125
76,1644534426612051.5,,,,,11.23046875,-41.9921875,24.90234375,-21.97265625
77,1644534426615957.8,,,,,5.859375,-44.921875,25.390625,-8.7890625
78,1644534426619864.0,,,,,-3.90625,-43.9453125,27.34375,-2.44140625
79,1644534426623770.2,,,,,-0.48828125,-43.45703125,28.80859375,2.44140625
80,1644534426627676.5,,,,,-2.44140625,-39.55078125,25.87890625,1.953125
81,1644534426631582.8,,,,,-2.9296875,-31.25,21.484375,-2.9296875
82,1644534426635489.0,,,,,-2.9296875,-36.1328125,18.5546875,-8.30078125
83,1644534426639395.2,,,,,4.39453125,-31.25,22.94921875,-1.953125
84,1644534426643301.5,,,,,9.765625,-17.578125,24.4140625,4.39453125
85,1644534426647207.8,,,,,-5.37109375,-23.4375,25.87890625,-1.46484375
86,1644534426651114.0,,,,,-11.23046875,-36.62109375,23.92578125,-4.8828125
87,1644534426655020.2,,,,,10.25390625,-29.296875,15.625,-20.5078125
88,1644534426658926.5,,,,,21.97265625,-22.4609375,12.20703125,-30.2734375
89,1644534426662832.8,,,,,12.6953125,-29.296875,13.671875,-24.90234375
90,1644534426666739.0,,,,,1.953125,-22.4609375,13.671875,-12.20703125
91,1644534426670645.2,,,,,4.8828125,-15.13671875,9.765625,-4.8828125
92,1644534426674551.5,,,,,-0.48828125,-19.04296875,10.7421875,-16.11328125
93,1644534426678457.8,,,,,-10.7421875,-27.83203125,17.578125,-12.20703125
94,1644534426682364.0,,,,,9.27734375,-27.83203125,17.08984375,-6.8359375
95,1644534426686270.2,,,,,-2.9296875,-32.2265625,16.11328125,-15.13671875
96,1644534426690176.5,,,,,-40.52734375,-40.52734375,16.6015625,-17.08984375
97,1644534426694082.8,,,,,-25.390625,-36.62109375,17.08984375,-12.6953125
98,1644534426697989.0,,,,,-18.06640625,-31.25,21.484375,-10.25390625
99,1644534426701895.2,,,,,-37.59765625,-27.34375,19.04296875,-13.18359375
100,1644534426705801.5,,,,,-34.1796875,-36.62109375,16.11328125,-15.625
101,1644534426709707.8,,,,,-18.5546875,-36.62109375,12.6953125,-15.625
102,1644534426713614.0,,,,,-3.41796875,-31.25,10.25390625,-2.44140625
103,1644534426717520.2,,,,,-3.90625,-27.83203125,15.625,2.44140625
104,1644534426721426.5,,,,,-2.9296875,-17.08984375,17.08984375,3.41796875
105,1644534426725332.8,,,,,8.7890625,-16.6015625,17.08984375,5.859375
106,1644534426729239.0,,,,,-0.9765625,-13.671875,15.13671875,11.23046875
107,1644534426733145.2,,,,,-10.25390625,-15.13671875,13.671875,6.8359375
108,1644534426737051.5,,,,,-8.7890625,-21.484375,14.16015625,0.9765625
109,1644534426740957.8,,,,,4.8828125,-16.6015625,12.6953125,5.859375
110,1644534426744864.0,,,,,10.7421875,-12.6953125,10.7421875,7.8125
111,1644534426748770.2,,,,,-17.578125,-22.4609375,10.25390625,12.6953125
112,1644534426752676.5,,,,,-7.32421875,-33.203125,16.6015625,19.04296875
113,1644534426756582.8,,,,,-1.953125,-18.06640625,13.18359375,-0.48828125
114,1644534426760489.0,,,,,-23.92578125,-14.6484375,7.32421875,-11.23046875
115,1644534426764395.2,,,,,-5.859375,-27.34375,11.23046875,1.46484375
116,1644534426768301.5,,,,,-14.6484375,-21.484375,12.20703125,-1.953125
117,1644534426772207.8,,,,,-20.01953125,-17.08984375,8.30078125,-3.90625
118,1644534426776114.0,,,,,-12.6953125,-23.92578125,5.37109375,-0.9765625
119,1644534426780020.2,,,,,-9.765625,-30.2734375,10.25390625,1.953125
120,1644534426783926.5,,,,,-0.48828125,-32.71484375,3.90625,2.9296875
121,1644534426787832.8,,,,,-18.06640625,-47.36328125,-0.9765625,2.9296875
122,1644534426791739.0,,,,,-23.92578125,-47.8515625,4.39453125,7.32421875
123,1644534426795645.2,,,,,-7.8125,-27.34375,6.34765625,1.46484375
124,1644534426799551.5,,,,,-7.32421875,-27.34375,7.32421875,1.46484375
125,1644534426803457.8,,,,,-6.8359375,-32.2265625,-0.9765625,3.90625
126,1644534426807364.0,,,,,1.46484375,-29.296875,-6.34765625,-1.953125
127,1644534426811270.2,,,,,16.11328125,-28.3203125,-3.41796875,0.0
128,1644534426815176.5,,,,,11.23046875,-23.4375,-0.9765625,-0.48828125
129,1644534426819082.8,,,,,10.25390625,-25.390625,-1.953125,0.0
130,1644534426822989.0,,,,,13.671875,-27.83203125,-4.39453125,-9.27734375
131,1644534426826895.2,,,,,-11.23046875,-25.390625,-0.48828125,-22.4609375
132,1644534426830801.5,,,,,-8.30078125,-23.92578125,9.765625,-13.18359375
133,1644534426834707.8,,,,,1.46484375,-17.08984375,6.8359375,-14.6484375
134,1644534426838614.0,,,,,-4.39453125,-10.25390625,2.44140625,-26.85546875
135,1644534426842520.2,,,,,4.39453125,-15.13671875,7.32421875,-14.6484375
136,1644534426846426.5,,,,,0.9765625,-14.16015625,5.859375,-10.25390625
137,1644534426850332.8,,,,,0.48828125,-23.4375,-1.46484375,-13.671875
138,1644534426854239.0,,,,,11.23046875,-27.83203125,1.46484375,-2.9296875
139,1644534426858145.2,,,,,16.6015625,-22.94921875,10.7421875,17.578125
140,1644534426862051.5,,,,,9.765625,-21.484375,-0.48828125,15.13671875
141,1644534426865957.8,,,,,4.39453125,-25.390625,-12.6953125,-11.23046875
142,1644534426869864.0,,,,,4.39453125,-34.66796875,-6.8359375,-13.18359375
143,1644534426873770.2,,,,,-8.7890625,-32.71484375,-5.37109375,-5.859375
144,1644534426877676.5,,,,,-2.44140625,-26.85546875,-4.8828125,-20.01953125
145,1644534426881582.8,,,,,4.8828125,-33.203125,-3.41796875,-20.01953125
146,1644534426885489.0,,,,,-15.625,-39.55078125,-2.9296875,-11.71875
147,1644534426889395.2,,,,,-16.6015625,-35.64453125,0.0,-8.30078125
148,1644534426893301.5,,,,,-10.25390625,-34.66796875,-3.90625,-4.39453125
149,1644534426897207.8,,,,,-1.953125,-36.1328125,-0.48828125,10.25390625
150,1644534426901114.0,,,,,2.44140625,-32.71484375,6.34765625,15.13671875
151,1644534426905020.2,,,,,0.48828125,-36.62109375,5.859375,0.0
152,1644534426908926.5,,,,,7.8125,-32.2265625,2.9296875,-2.9296875
153,1644534426912832.8,,,,,11.71875,-28.3203125,5.37109375,4.39453125
154,1644534426916739.0,,,,,11.23046875,-35.15625,6.34765625,-6.34765625
155,1644534426920645.2,,,,,-0.9765625,-40.0390625,7.32421875,-10.25390625
156,1644534426924551.5,,,,,-13.671875,-42.48046875,9.765625,3.90625
157,1644534426928457.8,,,,,-3.41796875,-37.59765625,11.71875,12.20703125
158,1644534426932364.0,,,,,-4.8828125,-28.3203125,10.7421875,1.46484375
159,1644534426936270.2,,,,,6.8359375,-21.484375,12.6953125,1.46484375
160,1644534426940176.5,,,,,16.11328125,-18.5546875,19.04296875,7.8125
161,1644534426944082.8,,,,,-22.4609375,-28.3203125,18.5546875,12.20703125
162,1644534426947989.0,,,,,-36.62109375,-27.83203125,17.578125,2.9296875
163,1644534426951895.2,,,,,-17.578125,-21.97265625,15.625,3.41796875
164,1644534426955801.5,,,,,-6.8359375,-26.85546875,16.11328125,7.32421875
165,1644534426959707.8,,,,,-7.32421875,-34.1796875,11.23046875,-5.37109375
166,1644534426963614.0,,,,,-3.41796875,-33.69140625,7.32421875,-0.9765625
167,1644534426967520.2,,,,,0.9765625,-34.1796875,11.23046875,6.8359375
168,1644534426971426.5,,,,,-4.39453125,-36.62109375,9.27734375,1.46484375
169,1644534426975332.8,,,,,4.39453125,-33.203125,10.25390625,-0.48828125
170,1644534426979239.0,,,,,24.4140625,-28.80859375,7.8125,7.32421875
171,1644534426983145.2,,,,,21.484375,-38.0859375,-2.44140625,5.37109375
172,1644534426987051.5,,,,,6.8359375,-38.0859375,0.9765625,17.578125
173,1644534426990957.8,,,,,2.9296875,-31.25,8.30078125,13.671875
