,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534504498770.2,,,,,-22.4609375,-26.85546875,-26.3671875,-0.9765625
1,1644534504502676.5,,,,,-8.7890625,-29.296875,-23.92578125,23.4375
2,1644534504506582.8,,,,,-12.6953125,-34.1796875,-25.87890625,19.04296875
3,1644534504510489.0,,,,,-3.41796875,-23.4375,-30.2734375,4.39453125
4,1644534504514395.2,,,,,-0.9765625,-14.16015625,-24.90234375,25.390625
5,1644534504518301.5,,,,,-8.30078125,-18.5546875,-22.4609375,22.94921875
6,1644534504522207.8,,,,,27.83203125,-18.5546875,-18.06640625,24.4140625
7,1644534504526114.0,,,,,8.30078125,-19.53125,-15.625,5.37109375
8,1644534504530020.2,,,,,-12.20703125,-20.5078125,-20.01953125,-17.578125
9,1644534504533926.5,,,,,11.23046875,-24.4140625,-23.92578125,-16.6015625
10,1644534504537832.8,,,,,20.99609375,-27.83203125,-28.80859375,-27.83203125
11,1644534504541739.0,,,,,14.6484375,-28.80859375,-22.4609375,-23.92578125
12,1644534504545645.2,,,,,-16.6015625,-35.15625,-20.5078125,-0.9765625
13,1644534504549551.5,,,,,-15.13671875,-38.0859375,-22.4609375,22.94921875
14,1644534504553457.8,,,,,-19.04296875,-31.25,-23.92578125,16.11328125
15,1644534504557364.0,,,,,-15.13671875,-33.203125,-32.71484375,20.99609375
16,1644534504561270.2,,,,,14.16015625,-36.1328125,-37.59765625,8.7890625
17,1644534504565176.5,,,,,4.8828125,-27.83203125,-32.71484375,-23.4375
18,1644534504569082.8,,,,,-20.99609375,-34.1796875,-34.66796875,-25.87890625
19,1644534504572989.0,,,,,-26.85546875,-40.0390625,-39.0625,-30.2734375
20,1644534504576895.2,,,,,-29.78515625,-45.41015625,-40.0390625,-15.625
21,1644534504580801.5,,,,,-31.73828125,-45.8984375,-36.1328125,-4.8828125
22,1644534504584707.8,,,,,-16.11328125,-35.15625,-33.69140625,-14.16015625
23,1644534504588614.0,,,,,1.46484375,-26.85546875,-28.80859375,-15.625
24,1644534504592520.2,,,,,-5.37109375,-24.4140625,-21.97265625,-9.27734375
25,1644534504596426.5,,,,,-19.53125,-25.87890625,-25.87890625,-12.6953125
26,1644534504600332.8,,,,,-31.73828125,-16.11328125,-36.1328125,-27.83203125
27,1644534504604239.0,,,,,-17.08984375,-19.04296875,-33.69140625,-42.96875
28,1644534504608145.2,,,,,-2.44140625,-20.99609375,-26.3671875,-35.15625
29,1644534504612051.5,,,,,4.39453125,-12.6953125,-26.85546875,-26.85546875
30,1644534504615957.8,,,,,9.765625,-15.625,-26.85546875,-31.73828125
31,1644534504619864.0,,,,,1.46484375,-17.08984375,-17.578125,-23.92578125
32,1644534504623770.2,,,,,-6.34765625,-17.08984375,-11.71875,-25.87890625
33,1644534504627676.5,,,,,-7.32421875,-22.94921875,-16.11328125,-19.04296875
34,1644534504631582.8,,,,,-16.11328125,-21.484375,-24.4140625,-32.2265625
35,1644534504635489.0,,,,,-14.6484375,-21.484375,-29.296875,-23.92578125
36,1644534504639395.2,,,,,7.8125,-21.484375,-25.87890625,-29.296875
37,1644534504643301.5,,,,,14.16015625,-14.6484375,-26.85546875,-49.8046875
38,1644534504647207.8,,,,,-10.7421875,-8.7890625,-37.109375,-47.36328125
39,1644534504651114.0,,,,,-23.92578125,-29.296875,-22.4609375,-47.8515625
40,1644534504655020.2,,,,,-19.04296875,-32.71484375,-19.04296875,-29.78515625
41,1644534504658926.5,,,,,-30.76171875,-13.671875,-29.78515625,-31.25
42,1644534504662832.8,,,,,-41.015625,-16.11328125,-19.04296875,-38.0859375
43,1644534504666739.0,,,,,-39.55078125,-18.5546875,-14.6484375,-53.22265625
44,1644534504670645.2,,,,,-38.57421875,-19.53125,-27.83203125,-27.83203125
