,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534607737051.5,,,,,1.953125,-13.18359375,9.765625,7.32421875
1,1644534607740957.8,,,,,-4.8828125,-34.1796875,5.859375,-1.46484375
2,1644534607744864.0,,,,,-2.44140625,-40.0390625,1.46484375,-8.7890625
3,1644534607748770.2,,,,,-16.11328125,-36.62109375,-6.8359375,-6.34765625
4,1644534607752676.5,,,,,-10.25390625,-47.8515625,-7.8125,-3.41796875
5,1644534607756582.8,,,,,-18.06640625,-43.45703125,-4.8828125,-12.20703125
6,1644534607760489.0,,,,,-5.37109375,-31.73828125,4.39453125,-16.11328125
7,1644534607764395.2,,,,,4.8828125,-28.80859375,7.32421875,-3.90625
8,1644534607768301.5,,,,,1.46484375,-37.109375,3.41796875,3.41796875
9,1644534607772207.8,,,,,15.13671875,-37.109375,6.34765625,5.859375
10,1644534607776114.0,,,,,9.765625,-36.62109375,5.37109375,11.71875
11,1644534607780020.2,,,,,-2.9296875,-52.24609375,5.37109375,3.41796875
12,1644534607783926.5,,,,,-5.859375,-48.33984375,6.34765625,-8.7890625
13,1644534607787832.8,,,,,-10.7421875,-40.52734375,3.90625,-1.953125
14,1644534607791739.0,,,,,-8.7890625,-53.7109375,5.37109375,5.37109375
15,1644534607795645.2,,,,,1.46484375,-42.96875,-7.8125,5.859375
16,1644534607799551.5,,,,,-0.9765625,-45.41015625,-4.39453125,1.46484375
17,1644534607803457.8,,,,,-8.7890625,-45.8984375,16.6015625,4.8828125
18,1644534607807364.0,,,,,-9.27734375,-49.8046875,11.23046875,6.8359375
19,1644534607811270.2,,,,,-13.18359375,-62.98828125,8.7890625,4.39453125
20,1644534607815176.5,,,,,-14.6484375,-56.15234375,26.3671875,12.20703125
21,1644534607819082.8,,,,,-12.20703125,-68.359375,32.71484375,17.08984375
22,1644534607822989.0,,,,,-18.5546875,-76.171875,27.83203125,22.4609375
23,1644534607826895.2,,,,,-13.18359375,-51.7578125,24.90234375,20.01953125
24,1644534607830801.5,,,,,-2.44140625,-40.0390625,22.94921875,0.9765625
25,1644534607834707.8,,,,,-15.13671875,-48.828125,18.06640625,-6.34765625
26,1644534607838614.0,,,,,-19.53125,-51.26953125,6.8359375,-0.48828125
27,1644534607842520.2,,,,,-15.625,-56.640625,0.9765625,3.90625
28,1644534607846426.5,,,,,-16.6015625,-50.29296875,3.41796875,-1.953125
29,1644534607850332.8,,,,,-12.6953125,-42.96875,3.41796875,3.41796875
30,1644534607854239.0,,,,,-11.23046875,-27.83203125,-4.39453125,5.37109375
31,1644534607858145.2,,,,,-14.16015625,-30.2734375,-13.18359375,-10.7421875
32,1644534607862051.5,,,,,-4.39453125,-38.0859375,-11.71875,-12.6953125
33,1644534607865957.8,,,,,0.0,-45.41015625,-18.06640625,-12.20703125
34,1644534607869864.0,,,,,-3.90625,-54.19921875,-27.34375,-14.6484375
35,1644534607873770.2,,,,,-11.23046875,-38.57421875,-19.53125,-7.8125
36,1644534607877676.5,,,,,-20.99609375,-42.48046875,-13.671875,0.48828125
37,1644534607881582.8,,,,,-20.99609375,-41.015625,-13.18359375,-2.9296875
38,1644534607885489.0,,,,,-14.6484375,-31.73828125,-13.18359375,-1.46484375
39,1644534607889395.2,,,,,-9.27734375,-35.15625,-13.18359375,-10.25390625
40,1644534607893301.5,,,,,0.9765625,-47.36328125,-4.39453125,-13.671875
41,1644534607897207.8,,,,,-8.7890625,-44.43359375,-5.859375,-13.671875
42,1644534607901114.0,,,,,-16.11328125,-33.69140625,-4.39453125,-9.765625
43,1644534607905020.2,,,,,0.0,-34.66796875,-0.48828125,1.46484375
44,1644534607908926.5,,,,,-1.46484375,-34.66796875,-12.6953125,3.41796875
45,1644534607912832.8,,,,,-2.44140625,-33.203125,-4.8828125,14.16015625
46,1644534607916739.0,,,,,-1.953125,-33.203125,14.6484375,15.625
47,1644534607920645.2,,,,,-5.37109375,-32.71484375,19.04296875,8.7890625
48,1644534607924551.5,,,,,-3.90625,-34.1796875,19.53125,0.9765625
49,1644534607928457.8,,,,,-7.8125,-42.48046875,20.5078125,-7.32421875
50,1644534607932364.0,,,,,-15.625,-41.9921875,21.484375,-13.671875
51,1644534607936270.2,,,,,-16.11328125,-35.64453125,23.92578125,-7.8125
52,1644534607940176.5,,,,,-24.90234375,-31.25,24.4140625,1.953125
53,1644534607944082.8,,,,,-28.80859375,-39.55078125,23.92578125,-0.48828125
54,1644534607947989.0,,,,,-19.53125,-46.875,21.97265625,-1.46484375
55,1644534607951895.2,,,,,-9.27734375,-34.66796875,20.5078125,2.44140625
56,1644534607955801.5,,,,,-4.39453125,-26.3671875,21.484375,6.8359375
57,1644534607959707.8,,,,,-6.34765625,-33.69140625,23.4375,10.25390625
58,1644534607963614.0,,,,,-2.9296875,-25.87890625,27.83203125,11.23046875
59,1644534607967520.2,,,,,0.0,-16.11328125,27.83203125,6.34765625
