,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534633963614.0,,,,,-38.57421875,-46.875,36.62109375,-20.5078125
1,1644534633967520.2,,,,,-33.203125,-45.41015625,31.25,-30.2734375
2,1644534633971426.5,,,,,-24.4140625,-33.69140625,30.2734375,5.37109375
3,1644534633975332.8,,,,,-16.6015625,-22.4609375,28.3203125,0.48828125
4,1644534633979239.0,,,,,-9.27734375,-23.4375,26.85546875,-20.99609375
5,1644534633983145.2,,,,,-13.671875,-23.92578125,23.92578125,-27.83203125
6,1644534633987051.5,,,,,-16.6015625,-33.203125,21.97265625,-30.2734375
7,1644534633990957.8,,,,,-10.7421875,-34.1796875,22.4609375,-20.5078125
8,1644534633994864.0,,,,,-11.71875,-26.85546875,19.04296875,-14.16015625
9,1644534633998770.2,,,,,-23.92578125,-35.15625,21.484375,-6.34765625
10,1644534634002676.5,,,,,-25.390625,-35.64453125,26.3671875,4.8828125
11,1644534634006582.8,,,,,-21.484375,-31.73828125,24.90234375,-25.390625
12,1644534634010489.0,,,,,-25.87890625,-42.96875,20.01953125,-43.9453125
13,1644534634014395.2,,,,,-46.875,-43.45703125,20.01953125,-20.99609375
14,1644534634018301.5,,,,,-40.0390625,-49.31640625,25.87890625,-33.69140625
15,1644534634022207.8,,,,,-37.109375,-49.31640625,34.1796875,-37.59765625
16,1644534634026114.0,,,,,-20.99609375,-31.73828125,30.76171875,-14.16015625
17,1644534634030020.2,,,,,-8.7890625,-26.3671875,32.71484375,-17.578125
18,1644534634033926.5,,,,,-20.99609375,-30.2734375,36.62109375,-17.08984375
19,1644534634037832.8,,,,,-26.85546875,-26.85546875,38.57421875,-28.3203125
20,1644534634041739.0,,,,,-36.62109375,-31.25,38.57421875,-34.1796875
21,1644534634045645.2,,,,,-29.296875,-31.25,31.25,-23.92578125
22,1644534634049551.5,,,,,-7.32421875,-24.90234375,28.80859375,-6.34765625
23,1644534634053457.8,,,,,6.34765625,-28.3203125,28.3203125,-18.06640625
24,1644534634057364.0,,,,,14.6484375,-28.3203125,28.3203125,-35.64453125
25,1644534634061270.2,,,,,-26.3671875,-27.34375,27.34375,-15.625
26,1644534634065176.5,,,,,-47.36328125,-20.99609375,29.296875,-2.9296875
27,1644534634069082.8,,,,,-37.109375,-24.4140625,27.83203125,-21.484375
28,1644534634072989.0,,,,,5.859375,-27.83203125,31.25,-15.13671875
29,1644534634076895.2,,,,,69.82421875,-22.94921875,35.15625,-29.296875
30,1644534634080801.5,,,,,7.8125,-25.390625,35.64453125,-36.1328125
31,1644534634084707.8,,,,,-45.41015625,-25.87890625,39.0625,-36.62109375
32,1644534634088614.0,,,,,-51.7578125,-16.11328125,42.96875,-28.80859375
33,1644534634092520.2,,,,,-61.03515625,-12.20703125,55.6640625,-18.06640625
34,1644534634096426.5,,,,,-38.0859375,-18.06640625,64.94140625,-24.4140625
35,1644534634100332.8,,,,,-40.0390625,-23.92578125,63.96484375,-27.83203125
36,1644534634104239.0,,,,,-26.85546875,-32.2265625,66.89453125,-22.4609375
37,1644534634108145.2,,,,,-13.18359375,-20.99609375,67.87109375,-20.01953125
38,1644534634112051.5,,,,,-13.18359375,-18.5546875,63.4765625,-7.32421875
39,1644534634115957.8,,,,,-17.08984375,-27.34375,65.91796875,-3.90625
40,1644534634119864.0,,,,,-41.50390625,-17.578125,70.80078125,-8.7890625
41,1644534634123770.2,,,,,-36.62109375,-18.06640625,73.2421875,-15.625
42,1644534634127676.5,,,,,-34.66796875,-27.83203125,70.80078125,-31.73828125
43,1644534634131582.8,,,,,-35.15625,-24.90234375,63.4765625,-13.671875
44,1644534634135489.0,,,,,-25.87890625,-22.94921875,57.12890625,-20.5078125
45,1644534634139395.2,,,,,-49.8046875,-25.390625,58.59375,-54.6875
