,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534260807364.0,,,,,-85.9375,-48.33984375,3.41796875,-108.88671875
1,1644534260811270.2,,,,,-66.89453125,-38.0859375,-4.8828125,-128.90625
2,1644534260815176.5,,,,,-41.015625,-49.8046875,-2.44140625,-128.90625
3,1644534260819082.8,,,,,-74.70703125,-56.640625,-6.34765625,-105.95703125
4,1644534260822989.0,,,,,-83.49609375,-62.5,-4.39453125,-110.83984375
5,1644534260826895.2,,,,,-45.41015625,-49.31640625,-5.37109375,-101.07421875
6,1644534260854239.0,,,,,-15.13671875,-81.54296875,-8.7890625,-50.78125
7,1644534260858145.2,,,,,-2.9296875,-81.54296875,-19.53125,-46.875
8,1644534260862051.5,,,,,-41.015625,-54.6875,-17.08984375,-122.55859375
9,1644534260865957.8,,,,,-56.15234375,-48.33984375,-14.16015625,-137.20703125
10,1644534260869864.0,,,,,-49.31640625,-44.921875,-21.97265625,-104.98046875
11,1644534260873770.2,,,,,-43.45703125,-51.7578125,-20.01953125,-94.7265625
12,1644534260877676.5,,,,,-24.4140625,-54.6875,-8.7890625,-72.75390625
13,1644534260881582.8,,,,,-22.4609375,-41.015625,-12.6953125,-71.77734375
14,1644534260885489.0,,,,,1.953125,-36.1328125,-30.2734375,-79.1015625
15,1644534260889395.2,,,,,5.859375,-40.52734375,-26.3671875,-52.24609375
16,1644534260893301.5,,,,,25.390625,-38.57421875,-12.6953125,-28.3203125
17,1644534260901114.0,,,,,-23.4375,-41.015625,-20.5078125,-64.94140625
18,1644534260905020.2,,,,,66.40625,-35.64453125,-20.01953125,-18.5546875
19,1644534260908926.5,,,,,76.66015625,-24.4140625,-21.97265625,-68.359375
20,1644534260912832.8,,,,,20.01953125,-37.109375,-26.3671875,-134.765625
21,1644534260916739.0,,,,,23.4375,-43.9453125,-25.390625,-115.72265625
22,1644534260920645.2,,,,,3.90625,-34.66796875,-20.5078125,-144.53125
23,1644534260924551.5,,,,,-20.99609375,-30.76171875,-14.6484375,-174.31640625
24,1644534260928457.8,,,,,-25.87890625,-32.2265625,-19.53125,-193.84765625
25,1644534260932364.0,,,,,-43.45703125,-41.50390625,-26.85546875,-193.84765625
26,1644534260936270.2,,,,,-90.33203125,-50.29296875,-22.4609375,-195.3125
27,1644534260940176.5,,,,,-76.171875,-47.36328125,-13.671875,-229.00390625
28,1644534260944082.8,,,,,-75.1953125,-54.6875,-15.13671875,-200.1953125
29,1644534260947989.0,,,,,-135.25390625,-59.5703125,-14.6484375,-215.8203125
30,1644534260951895.2,,,,,-156.73828125,-45.8984375,-2.44140625,-278.3203125
31,1644534260955801.5,,,,,-192.3828125,-38.57421875,-36.1328125,-271.97265625
32,1644534260959707.8,,,,,-234.86328125,-41.9921875,-24.4140625,-255.37109375
33,1644534260963614.0,,,,,-177.24609375,-32.2265625,12.6953125,-288.0859375
34,1644534260967520.2,,,,,-188.4765625,-28.80859375,-6.34765625,-323.2421875
35,1644534260971426.5,,,,,-229.00390625,-26.3671875,-1.953125,-313.4765625
36,1644534260975332.8,,,,,-232.91015625,-24.4140625,0.48828125,-300.29296875
37,1644534260979239.0,,,,,-240.234375,-35.64453125,0.9765625,-325.1953125
38,1644534260983145.2,,,,,-201.171875,-30.2734375,12.20703125,-314.453125
39,1644534260987051.5,,,,,-162.109375,-9.765625,7.8125,-299.8046875
40,1644534260990957.8,,,,,-165.0390625,-4.8828125,-14.6484375,-291.015625
41,1644534260994864.0,,,,,-190.4296875,2.9296875,-15.13671875,-242.1875
42,1644534260998770.2,,,,,-167.48046875,14.6484375,0.48828125,-223.14453125
43,1644534261002676.5,,,,,-95.703125,28.80859375,-5.859375,-209.9609375
44,1644534261006582.8,,,,,-101.5625,28.3203125,-10.7421875,-169.921875
45,1644534261010489.0,,,,,-98.6328125,38.0859375,-6.8359375,-144.53125
46,1644534261014395.2,,,,,-58.59375,59.08203125,-2.9296875,-127.9296875
47,1644534261018301.5,,,,,-30.2734375,59.5703125,-7.32421875,-66.40625
48,1644534261022207.8,,,,,-51.26953125,57.12890625,-17.08984375,-49.8046875
49,1644534261026114.0,,,,,4.8828125,59.08203125,-15.13671875,-67.3828125
50,1644534261030020.2,,,,,20.99609375,69.3359375,-6.8359375,-43.9453125
51,1644534261033926.5,,,,,-21.97265625,76.171875,-7.8125,-65.91796875
52,1644534261037832.8,,,,,50.29296875,78.125,-9.27734375,-52.734375
53,1644534261041739.0,,,,,36.1328125,74.21875,-5.859375,-20.5078125
54,1644534261045645.2,,,,,-0.9765625,78.61328125,3.90625,-59.08203125
55,1644534261049551.5,,,,,41.015625,87.40234375,8.7890625,-72.75390625
56,1644534261053457.8,,,,,30.2734375,86.42578125,10.7421875,-12.20703125
57,1644534261057364.0,,,,,62.01171875,97.16796875,18.06640625,-5.859375
58,1644534261061270.2,,,,,81.54296875,120.1171875,20.99609375,-5.859375
59,1644534261065176.5,,,,,48.828125,141.11328125,22.4609375,22.4609375
60,1644534261069082.8,,,,,74.21875,169.921875,22.94921875,-8.30078125
61,1644534261072989.0,,,,,47.36328125,186.03515625,41.50390625,37.59765625
62,1644534261076895.2,,,,,30.76171875,196.2890625,41.9921875,91.30859375
63,1644534261080801.5,,,,,46.875,213.37890625,31.73828125,63.4765625
64,1644534261084707.8,,,,,30.2734375,216.796875,32.71484375,32.71484375
65,1644534261088614.0,,,,,84.9609375,203.61328125,41.015625,39.55078125
66,1644534261092520.2,,,,,76.66015625,207.51953125,42.96875,45.8984375
67,1644534261096426.5,,,,,56.640625,220.703125,22.4609375,49.8046875
68,1644534261100332.8,,,,,54.6875,225.5859375,23.4375,62.01171875
69,1644534261104239.0,,,,,41.50390625,225.09765625,27.34375,4.8828125
70,1644534261108145.2,,,,,87.890625,230.46875,11.71875,-45.41015625
71,1644534261112051.5,,,,,77.63671875,223.6328125,2.9296875,-28.3203125
72,1644534261115957.8,,,,,61.5234375,204.58984375,10.7421875,14.16015625
73,1644534261119864.0,,,,,68.84765625,196.77734375,18.5546875,14.16015625
74,1644534261123770.2,,,,,32.2265625,197.265625,9.765625,7.8125
75,1644534261127676.5,,,,,25.390625,206.54296875,-19.04296875,-66.40625
76,1644534261131582.8,,,,,28.3203125,204.1015625,2.9296875,-139.6484375
77,1644534261135489.0,,,,,-3.90625,190.4296875,37.109375,-116.2109375
78,1644534261139395.2,,,,,12.6953125,178.7109375,6.8359375,-142.08984375
79,1644534261143301.5,,,,,63.4765625,166.015625,-20.01953125,-135.25390625
80,1644534261147207.8,,,,,35.15625,111.328125,-39.0625,-129.8828125
81,1644534261151114.0,,,,,-31.25,65.4296875,-71.2890625,-224.609375
82,1644534261155020.2,,,,,-68.359375,68.359375,-95.703125,-244.140625
83,1644534261158926.5,,,,,-79.1015625,53.7109375,-91.796875,-185.546875
84,1644534261162832.8,,,,,-101.07421875,32.2265625,-79.1015625,-167.96875
85,1644534261166739.0,,,,,-105.46875,37.59765625,-73.73046875,-162.59765625
86,1644534261170645.2,,,,,-88.8671875,74.21875,-70.3125,-89.84375
87,1644534261174551.5,,,,,-45.8984375,102.05078125,-44.921875,-52.24609375
88,1644534261178457.8,,,,,8.7890625,114.2578125,-23.4375,-93.75
89,1644534261182364.0,,,,,-0.48828125,112.3046875,-28.80859375,-76.66015625
90,1644534261186270.2,,,,,-15.13671875,115.72265625,-17.578125,-62.01171875
91,1644534261190176.5,,,,,35.15625,140.13671875,12.20703125,-19.04296875
92,1644534261194082.8,,,,,111.328125,155.76171875,28.80859375,2.9296875
93,1644534261197989.0,,,,,94.23828125,153.80859375,30.76171875,34.1796875
94,1644534261201895.2,,,,,41.50390625,151.85546875,25.87890625,17.578125
95,1644534261205801.5,,,,,57.12890625,156.25,35.15625,-40.52734375
96,1644534261209707.8,,,,,56.640625,169.921875,52.734375,23.92578125
97,1644534261213614.0,,,,,43.45703125,177.734375,48.33984375,60.05859375
98,1644534261217520.2,,,,,46.38671875,171.38671875,42.48046875,39.55078125
99,1644534261221426.5,,,,,55.17578125,160.64453125,39.0625,60.546875
100,1644534261225332.8,,,,,40.52734375,152.83203125,42.48046875,118.1640625
101,1644534261229239.0,,,,,78.61328125,160.64453125,47.36328125,126.46484375
102,1644534261233145.2,,,,,86.9140625,161.1328125,50.78125,77.63671875
103,1644534261237051.5,,,,,57.6171875,153.80859375,58.59375,98.14453125
104,1644534261240957.8,,,,,90.8203125,146.97265625,54.19921875,104.4921875
105,1644534261244864.0,,,,,79.1015625,147.4609375,52.24609375,106.93359375
106,1644534261248770.2,,,,,25.87890625,147.4609375,42.96875,106.93359375
107,1644534261252676.5,,,,,39.0625,143.5546875,20.5078125,87.890625
108,1644534261256582.8,,,,,114.74609375,159.66796875,0.48828125,70.3125
109,1644534261260489.0,,,,,56.640625,176.7578125,-18.06640625,67.87109375
110,1644534261264395.2,,,,,10.7421875,171.38671875,-20.99609375,59.08203125
111,1644534261268301.5,,,,,42.48046875,162.59765625,-4.39453125,106.4453125
112,1644534261272207.8,,,,,20.99609375,178.22265625,3.90625,122.55859375
113,1644534261276114.0,,,,,44.921875,201.171875,3.41796875,60.05859375
114,1644534261280020.2,,,,,55.6640625,209.9609375,11.71875,83.0078125
115,1644534261283926.5,,,,,78.61328125,210.44921875,45.8984375,103.515625
116,1644534261287832.8,,,,,93.26171875,201.171875,98.14453125,70.80078125
117,1644534261291739.0,,,,,68.359375,201.66015625,149.90234375,125.0
118,1644534261295645.2,,,,,79.58984375,208.0078125,187.98828125,109.86328125
119,1644534261299551.5,,,,,112.3046875,206.0546875,188.4765625,46.38671875
120,1644534261303457.8,,,,,77.1484375,205.078125,185.546875,67.87109375
121,1644534261307364.0,,,,,41.015625,202.1484375,186.5234375,58.59375
122,1644534261311270.2,,,,,107.421875,208.0078125,190.91796875,38.57421875
123,1644534261315176.5,,,,,84.47265625,210.44921875,225.5859375,40.0390625
124,1644534261319082.8,,,,,15.13671875,203.125,144.53125,49.8046875
125,1644534261322989.0,,,,,52.24609375,203.125,4.8828125,44.43359375
126,1644534261326895.2,,,,,53.22265625,205.56640625,60.546875,21.484375
127,1644534261330801.5,,,,,20.01953125,205.078125,171.875,45.8984375
128,1644534261334707.8,,,,,84.9609375,191.40625,180.17578125,61.5234375
129,1644534261338614.0,,,,,117.67578125,174.8046875,183.59375,33.203125
130,1644534261342520.2,,,,,67.3828125,176.26953125,237.3046875,40.52734375
131,1644534261346426.5,,,,,51.26953125,182.12890625,283.69140625,16.11328125
132,1644534261350332.8,,,,,75.1953125,199.70703125,307.12890625,20.5078125
133,1644534261354239.0,,,,,137.20703125,200.68359375,309.5703125,34.1796875
134,1644534261358145.2,,,,,119.140625,188.96484375,308.59375,76.66015625
135,1644534261362051.5,,,,,145.99609375,199.70703125,311.5234375,54.19921875
136,1644534261365957.8,,,,,105.95703125,226.5625,284.66796875,31.73828125
137,1644534261369864.0,,,,,70.80078125,236.81640625,277.34375,104.00390625
138,1644534261373770.2,,,,,103.02734375,246.58203125,283.203125,62.98828125
139,1644534261377676.5,,,,,121.58203125,256.34765625,237.3046875,34.1796875
140,1644534261381582.8,,,,,201.66015625,252.9296875,231.4453125,93.75
141,1644534261385489.0,,,,,165.52734375,241.69921875,236.81640625,92.28515625
142,1644534261389395.2,,,,,122.55859375,216.30859375,200.1953125,76.171875
143,1644534261393301.5,,,,,158.203125,210.9375,170.8984375,81.54296875
144,1644534261397207.8,,,,,195.3125,216.796875,145.01953125,122.55859375
145,1644534261401114.0,,,,,197.75390625,203.125,157.2265625,129.8828125
146,1644534261405020.2,,,,,63.96484375,215.8203125,181.640625,85.9375
147,1644534261408926.5,,,,,36.62109375,219.23828125,140.625,120.1171875
148,1644534261412832.8,,,,,110.83984375,201.171875,128.90625,109.86328125
149,1644534261416739.0,,,,,151.3671875,195.80078125,132.32421875,73.2421875
150,1644534261420645.2,,,,,105.95703125,196.2890625,81.54296875,81.54296875
151,1644534261424551.5,,,,,112.3046875,182.6171875,76.171875,77.1484375
152,1644534261428457.8,,,,,149.4140625,165.52734375,75.1953125,86.42578125
153,1644534261432364.0,,,,,161.62109375,166.50390625,33.69140625,119.62890625
154,1644534261436270.2,,,,,148.4375,174.31640625,20.5078125,100.5859375
155,1644534261440176.5,,,,,99.609375,166.50390625,21.97265625,120.60546875
156,1644534261444082.8,,,,,87.40234375,162.59765625,10.7421875,114.74609375
157,1644534261447989.0,,,,,108.3984375,170.41015625,8.30078125,98.6328125
158,1644534261451895.2,,,,,106.93359375,173.828125,-0.48828125,113.28125
159,1644534261455801.5,,,,,132.32421875,172.8515625,-21.484375,113.28125
160,1644534261459707.8,,,,,152.83203125,181.15234375,-28.3203125,105.95703125
161,1644534261463614.0,,,,,106.93359375,183.59375,-16.6015625,119.140625
162,1644534261467520.2,,,,,161.1328125,178.22265625,-26.85546875,145.01953125
163,1644534261471426.5,,,,,176.7578125,155.76171875,-45.8984375,94.7265625
164,1644534261475332.8,,,,,100.09765625,136.71875,-34.1796875,48.33984375
165,1644534261479239.0,,,,,67.3828125,139.6484375,-68.84765625,81.0546875
166,1644534261483145.2,,,,,130.37109375,124.51171875,-92.7734375,123.046875
167,1644534261487051.5,,,,,147.94921875,116.2109375,-61.03515625,109.86328125
168,1644534261490957.8,,,,,40.52734375,104.00390625,-53.22265625,103.515625
169,1644534261494864.0,,,,,66.40625,83.984375,-46.38671875,146.97265625
170,1644534261498770.2,,,,,103.02734375,83.49609375,-66.89453125,171.875
171,1644534261502676.5,,,,,78.61328125,71.2890625,-66.89453125,166.50390625
172,1644534261506582.8,,,,,95.21484375,59.5703125,-41.9921875,173.33984375
173,1644534261510489.0,,,,,113.76953125,46.875,-47.36328125,183.59375
174,1644534261514395.2,,,,,105.95703125,37.59765625,-62.5,170.41015625
175,1644534261518301.5,,,,,73.2421875,36.62109375,-51.7578125,160.15625
176,1644534261522207.8,,,,,55.6640625,20.5078125,-38.57421875,144.04296875
177,1644534261526114.0,,,,,38.57421875,-4.8828125,-49.31640625,142.578125
178,1644534261530020.2,,,,,45.8984375,-14.6484375,-57.12890625,122.55859375
179,1644534261533926.5,,,,,80.56640625,-17.08984375,-30.76171875,90.33203125
180,1644534261537832.8,,,,,71.77734375,-28.80859375,-11.71875,88.8671875
181,1644534261541739.0,,,,,9.27734375,-39.0625,14.16015625,91.796875
182,1644534261545645.2,,,,,12.20703125,-36.62109375,75.1953125,67.87109375
183,1644534261549551.5,,,,,85.44921875,-34.66796875,80.56640625,66.40625
