,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534153463614.0,,,,,2.44140625,-79.58984375,388.671875,11.71875
1,1644534153467520.2,,,,,5.37109375,-61.5234375,356.4453125,1.953125
2,1644534153471426.5,,,,,-2.44140625,4.8828125,354.4921875,0.0
3,1644534153475332.8,,,,,3.41796875,65.4296875,354.98046875,13.671875
4,1644534153479239.0,,,,,-0.48828125,49.8046875,330.56640625,15.13671875
5,1644534153483145.2,,,,,-10.7421875,49.31640625,283.203125,8.7890625
6,1644534153487051.5,,,,,-1.953125,65.4296875,266.11328125,16.11328125
7,1644534153490957.8,,,,,4.8828125,74.21875,258.7890625,20.01953125
8,1644534153494864.0,,,,,10.7421875,83.0078125,238.28125,19.53125
9,1644534153498770.2,,,,,13.671875,57.12890625,208.0078125,25.390625
10,1644534153502676.5,,,,,8.30078125,5.859375,182.6171875,21.97265625
11,1644534153506582.8,,,,,4.8828125,6.34765625,186.03515625,16.6015625
12,1644534153510489.0,,,,,6.8359375,39.55078125,170.41015625,17.08984375
13,1644534153514395.2,,,,,13.18359375,52.24609375,163.0859375,17.08984375
14,1644534153518301.5,,,,,11.23046875,73.2421875,146.484375,17.08984375
15,1644534153522207.8,,,,,12.20703125,89.84375,127.9296875,9.765625
16,1644534153526114.0,,,,,13.671875,80.078125,108.88671875,16.6015625
17,1644534153530020.2,,,,,16.6015625,62.98828125,72.75390625,24.90234375
18,1644534153533926.5,,,,,26.3671875,34.66796875,48.33984375,9.27734375
19,1644534153537832.8,,,,,30.76171875,4.8828125,35.15625,3.90625
20,1644534153541739.0,,,,,36.62109375,-9.765625,21.97265625,20.5078125
21,1644534153545645.2,,,,,34.1796875,-31.73828125,-83.49609375,27.34375
22,1644534153549551.5,,,,,23.4375,-3.90625,-233.3984375,16.11328125
23,1644534153553457.8,,,,,19.04296875,44.43359375,-367.67578125,17.08984375
24,1644534153557364.0,,,,,18.06640625,68.84765625,-448.2421875,21.484375
25,1644534153561270.2,,,,,19.53125,78.125,-470.703125,26.3671875
26,1644534153565176.5,,,,,17.578125,123.046875,-479.4921875,28.3203125
27,1644534153569082.8,,,,,20.99609375,166.50390625,-490.72265625,21.484375
28,1644534153572989.0,,,,,23.92578125,165.0390625,-505.859375,26.3671875
29,1644534153576895.2,,,,,14.16015625,152.34375,-503.90625,38.0859375
30,1644534153580801.5,,,,,15.13671875,114.2578125,-471.19140625,34.66796875
31,1644534153584707.8,,,,,23.92578125,96.6796875,-469.7265625,35.15625
32,1644534153588614.0,,,,,24.4140625,108.3984375,-487.3046875,32.71484375
33,1644534153592520.2,,,,,19.53125,87.40234375,-469.23828125,20.99609375
34,1644534153596426.5,,,,,22.94921875,57.6171875,-437.5,17.08984375
35,1644534153600332.8,,,,,21.97265625,72.265625,-446.77734375,5.37109375
36,1644534153604239.0,,,,,15.625,79.58984375,-451.66015625,-5.859375
37,1644534153608145.2,,,,,16.11328125,73.73046875,-422.8515625,5.37109375
