,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534203947989.0,,,,,-5.859375,-19.53125,62.98828125,-13.18359375
1,1644534203951895.2,,,,,4.8828125,-16.6015625,61.5234375,-6.8359375
2,1644534203955801.5,,,,,6.8359375,-26.85546875,44.43359375,6.8359375
3,1644534203994864.0,,,,,2.44140625,-37.109375,17.08984375,-2.9296875
4,1644534203998770.2,,,,,5.37109375,-0.48828125,24.4140625,6.34765625
5,1644534204002676.5,,,,,6.34765625,9.27734375,45.8984375,11.71875
6,1644534204006582.8,,,,,12.6953125,-5.859375,49.8046875,7.8125
7,1644534204010489.0,,,,,13.18359375,-11.71875,30.2734375,-1.953125
8,1644534204014395.2,,,,,19.53125,-11.23046875,14.16015625,-5.37109375
9,1644534204018301.5,,,,,21.97265625,-6.8359375,24.4140625,8.30078125
10,1644534204022207.8,,,,,5.37109375,-11.23046875,49.31640625,4.39453125
11,1644534204026114.0,,,,,22.94921875,-18.06640625,40.0390625,-11.23046875
12,1644534204030020.2,,,,,19.04296875,-23.92578125,9.27734375,-13.671875
13,1644534204033926.5,,,,,-3.41796875,-30.76171875,7.8125,-6.8359375
14,1644534204037832.8,,,,,-6.34765625,-33.69140625,27.34375,-3.41796875
15,1644534204041739.0,,,,,-3.90625,-17.578125,9.27734375,-12.20703125
16,1644534204045645.2,,,,,5.859375,-11.71875,2.9296875,-5.37109375
17,1644534204049551.5,,,,,7.8125,-19.53125,20.01953125,-7.8125
18,1644534204053457.8,,,,,-8.30078125,-29.78515625,14.6484375,-17.578125
19,1644534204057364.0,,,,,-12.20703125,-40.0390625,26.85546875,-7.32421875
20,1644534204061270.2,,,,,-6.8359375,-28.80859375,38.0859375,-12.6953125
21,1644534204065176.5,,,,,-15.13671875,-23.4375,38.57421875,-23.4375
22,1644534204069082.8,,,,,-5.859375,-26.3671875,31.25,-14.16015625
23,1644534204072989.0,,,,,-1.46484375,-44.921875,13.18359375,-16.6015625
24,1644534204076895.2,,,,,-21.484375,-37.59765625,6.8359375,-26.85546875
25,1644534204080801.5,,,,,-30.2734375,-32.2265625,28.80859375,-32.2265625
26,1644534204084707.8,,,,,-8.30078125,-34.1796875,31.73828125,-18.06640625
27,1644534204088614.0,,,,,-1.953125,-30.2734375,3.41796875,-6.8359375
28,1644534204092520.2,,,,,-11.71875,-24.90234375,-5.37109375,-12.6953125
29,1644534204096426.5,,,,,-11.71875,-7.32421875,2.9296875,-4.8828125
30,1644534204100332.8,,,,,-6.34765625,-27.34375,-12.6953125,-1.46484375
31,1644534204104239.0,,,,,6.34765625,-38.57421875,-30.76171875,2.9296875
32,1644534204108145.2,,,,,4.39453125,-24.90234375,-16.11328125,9.765625
33,1644534204112051.5,,,,,-1.46484375,-28.80859375,-8.30078125,5.859375
34,1644534204115957.8,,,,,-0.9765625,-18.06640625,-22.94921875,-3.90625
35,1644534204119864.0,,,,,-2.9296875,-28.3203125,-29.78515625,-11.71875
36,1644534204123770.2,,,,,-2.44140625,-35.64453125,-10.25390625,-9.765625
37,1644534204127676.5,,,,,2.9296875,-8.30078125,-9.27734375,-13.671875
38,1644534204131582.8,,,,,-0.9765625,-11.23046875,-20.01953125,-22.4609375
39,1644534204135489.0,,,,,-11.71875,-29.296875,-1.953125,-19.53125
40,1644534204139395.2,,,,,-15.625,-24.90234375,1.46484375,-15.625
41,1644534204143301.5,,,,,-14.16015625,-42.48046875,0.9765625,-18.5546875
42,1644534204147207.8,,,,,-21.97265625,-59.5703125,-8.7890625,-19.04296875
43,1644534204151114.0,,,,,-25.87890625,-30.76171875,12.20703125,-10.7421875
44,1644534204155020.2,,,,,-13.18359375,-34.66796875,24.90234375,-3.90625
45,1644534204158926.5,,,,,-14.6484375,-39.55078125,30.76171875,4.8828125
46,1644534204162832.8,,,,,-22.94921875,-41.50390625,37.109375,0.48828125
47,1644534204166739.0,,,,,-18.5546875,-58.59375,19.04296875,-1.953125
48,1644534204170645.2,,,,,-13.18359375,-21.97265625,41.015625,3.41796875
49,1644534204174551.5,,,,,-20.01953125,-8.7890625,50.78125,-1.953125
50,1644534204178457.8,,,,,-9.27734375,-18.06640625,20.01953125,-0.9765625
51,1644534204182364.0,,,,,-7.8125,-10.25390625,10.7421875,-0.48828125
52,1644534204186270.2,,,,,-16.6015625,-20.5078125,19.04296875,-6.8359375
53,1644534204190176.5,,,,,-18.5546875,-26.85546875,21.484375,-11.23046875
54,1644534204194082.8,,,,,-30.76171875,-24.90234375,-0.9765625,-27.34375
55,1644534204197989.0,,,,,-37.109375,-36.1328125,-15.625,-33.69140625
56,1644534204201895.2,,,,,-22.4609375,-35.64453125,15.13671875,-17.08984375
57,1644534204205801.5,,,,,-9.765625,-26.85546875,0.9765625,-18.5546875
58,1644534204209707.8,,,,,-12.20703125,-55.6640625,-40.0390625,-17.08984375
59,1644534204213614.0,,,,,-12.6953125,-41.015625,-6.8359375,-9.27734375
60,1644534204217520.2,,,,,0.9765625,-14.6484375,30.2734375,6.34765625
61,1644534204221426.5,,,,,0.48828125,-20.99609375,12.20703125,4.39453125
62,1644534204225332.8,,,,,-10.7421875,-12.6953125,13.18359375,-9.27734375
63,1644534204229239.0,,,,,-5.859375,-9.27734375,47.8515625,-6.34765625
64,1644534204233145.2,,,,,-2.44140625,-16.11328125,62.98828125,-5.859375
65,1644534204237051.5,,,,,-5.859375,-25.87890625,62.01171875,-5.37109375
66,1644534204240957.8,,,,,7.32421875,-31.73828125,63.96484375,-6.8359375
67,1644534204244864.0,,,,,4.8828125,-34.66796875,63.4765625,-3.41796875
68,1644534204248770.2,,,,,-8.7890625,-43.45703125,64.94140625,-7.8125
69,1644534204252676.5,,,,,-1.953125,-46.38671875,89.35546875,-4.8828125
70,1644534204256582.8,,,,,0.48828125,-26.85546875,92.7734375,9.27734375
71,1644534204260489.0,,,,,-1.46484375,-21.484375,90.8203125,0.48828125
72,1644534204264395.2,,,,,6.8359375,-43.9453125,94.23828125,-0.9765625
73,1644534204268301.5,,,,,24.90234375,-43.9453125,92.7734375,28.80859375
74,1644534204272207.8,,,,,36.62109375,-21.97265625,83.49609375,20.5078125
75,1644534204276114.0,,,,,25.87890625,-23.4375,84.47265625,0.9765625
76,1644534204280020.2,,,,,22.4609375,-20.01953125,79.1015625,4.39453125
77,1644534204283926.5,,,,,29.296875,-18.06640625,60.546875,11.23046875
78,1644534204287832.8,,,,,29.78515625,-41.015625,101.07421875,11.23046875
79,1644534204291739.0,,,,,30.76171875,-25.390625,127.9296875,8.30078125
80,1644534204295645.2,,,,,32.2265625,-6.34765625,98.14453125,6.8359375
81,1644534204299551.5,,,,,30.2734375,-25.87890625,77.1484375,6.34765625
82,1644534204303457.8,,,,,24.4140625,-38.0859375,71.2890625,14.16015625
83,1644534204307364.0,,,,,29.296875,-29.296875,64.94140625,15.625
84,1644534204311270.2,,,,,39.0625,-38.0859375,49.8046875,0.48828125
85,1644534204315176.5,,,,,18.06640625,-58.59375,21.97265625,-8.7890625
86,1644534204319082.8,,,,,-0.48828125,-56.640625,9.27734375,-4.39453125
87,1644534204322989.0,,,,,13.671875,-35.64453125,28.80859375,-3.90625
88,1644534204326895.2,,,,,11.71875,-37.109375,20.99609375,5.37109375
89,1644534204330801.5,,,,,5.37109375,-37.109375,21.97265625,12.6953125
90,1644534204334707.8,,,,,13.671875,-39.0625,21.97265625,14.16015625
91,1644534204338614.0,,,,,15.625,-23.4375,14.16015625,19.04296875
92,1644534204342520.2,,,,,6.34765625,-29.78515625,24.90234375,18.06640625
93,1644534204346426.5,,,,,2.9296875,-33.203125,-20.5078125,0.48828125
94,1644534204350332.8,,,,,8.30078125,-30.76171875,-41.9921875,-11.23046875
95,1644534204354239.0,,,,,1.46484375,-40.0390625,1.46484375,-3.90625
96,1644534204358145.2,,,,,5.859375,-32.2265625,-11.23046875,3.41796875
97,1644534204362051.5,,,,,7.8125,-38.0859375,-57.6171875,-13.18359375
98,1644534204365957.8,,,,,6.34765625,-36.1328125,-75.1953125,-9.765625
99,1644534204369864.0,,,,,17.08984375,-36.1328125,-88.37890625,-3.90625
100,1644534204373770.2,,,,,11.71875,-35.64453125,-112.79296875,-16.11328125
101,1644534204377676.5,,,,,14.16015625,-36.62109375,-113.28125,-13.671875
102,1644534204381582.8,,,,,4.39453125,-51.7578125,-97.65625,-16.6015625
103,1644534204385489.0,,,,,4.39453125,-25.390625,-87.890625,-7.8125
104,1644534204389395.2,,,,,6.8359375,-21.484375,-95.703125,-5.37109375
105,1644534204393301.5,,,,,-2.9296875,-41.015625,-102.05078125,-6.34765625
106,1644534204397207.8,,,,,2.9296875,-20.99609375,-60.05859375,1.953125
107,1644534204401114.0,,,,,1.46484375,-24.4140625,-48.828125,-2.44140625
108,1644534204405020.2,,,,,3.90625,-35.64453125,-67.3828125,-6.8359375
109,1644534204408926.5,,,,,4.39453125,-48.33984375,-48.828125,4.39453125
110,1644534204412832.8,,,,,6.34765625,-31.73828125,-56.640625,18.5546875
111,1644534204416739.0,,,,,8.7890625,-18.5546875,-49.31640625,10.7421875
112,1644534204420645.2,,,,,8.7890625,-40.0390625,-26.85546875,3.41796875
113,1644534204424551.5,,,,,-1.953125,-42.48046875,-26.3671875,6.34765625
114,1644534204428457.8,,,,,3.90625,-29.296875,-2.44140625,2.44140625
115,1644534204432364.0,,,,,15.625,-40.0390625,-14.6484375,12.20703125
116,1644534204436270.2,,,,,10.7421875,-41.50390625,-31.25,17.08984375
117,1644534204440176.5,,,,,2.9296875,-32.2265625,-37.109375,-1.46484375
118,1644534204444082.8,,,,,-4.39453125,-36.62109375,-20.01953125,1.46484375
119,1644534204447989.0,,,,,0.9765625,-42.48046875,-23.92578125,14.16015625
120,1644534204451895.2,,,,,6.8359375,-50.78125,-45.41015625,18.5546875
121,1644534204455801.5,,,,,12.6953125,-26.3671875,-22.94921875,17.08984375
122,1644534204459707.8,,,,,11.71875,-17.578125,-13.671875,18.5546875
123,1644534204463614.0,,,,,3.41796875,-37.59765625,-22.94921875,23.92578125
124,1644534204467520.2,,,,,10.25390625,-40.52734375,-18.06640625,19.53125
125,1644534204471426.5,,,,,15.13671875,-26.3671875,-7.8125,20.5078125
126,1644534204475332.8,,,,,-0.48828125,-28.80859375,7.8125,17.08984375
127,1644534204479239.0,,,,,-0.48828125,-40.0390625,-32.2265625,8.7890625
128,1644534204483145.2,,,,,6.34765625,-31.25,-29.78515625,4.39453125
129,1644534204487051.5,,,,,12.20703125,-30.2734375,18.5546875,-1.46484375
130,1644534204490957.8,,,,,10.7421875,-30.76171875,-2.9296875,-9.765625
131,1644534204494864.0,,,,,6.8359375,-36.1328125,-35.15625,-8.7890625
132,1644534204498770.2,,,,,15.13671875,-67.87109375,-31.73828125,3.41796875
133,1644534204502676.5,,,,,12.6953125,-63.4765625,-35.64453125,5.859375
134,1644534204506582.8,,,,,6.34765625,-17.08984375,-97.16796875,3.41796875
135,1644534204510489.0,,,,,4.39453125,-24.4140625,-107.421875,7.8125
136,1644534204514395.2,,,,,-5.37109375,-57.6171875,-78.61328125,1.953125
137,1644534204518301.5,,,,,11.71875,-39.55078125,-81.54296875,-5.37109375
138,1644534204522207.8,,,,,34.1796875,-9.765625,-93.26171875,2.9296875
139,1644534204526114.0,,,,,29.296875,-33.203125,-83.984375,9.27734375
140,1644534204530020.2,,,,,23.92578125,-31.73828125,-63.4765625,9.765625
141,1644534204533926.5,,,,,29.78515625,-20.99609375,-42.96875,8.30078125
142,1644534204537832.8,,,,,25.87890625,-41.50390625,-31.25,4.8828125
143,1644534204541739.0,,,,,12.6953125,-42.48046875,-31.25,9.765625
144,1644534204545645.2,,,,,9.27734375,-30.2734375,-14.16015625,13.671875
145,1644534204549551.5,,,,,6.34765625,-34.66796875,-41.50390625,17.578125
146,1644534204553457.8,,,,,-1.46484375,-51.7578125,-58.59375,26.3671875
147,1644534204557364.0,,,,,-3.41796875,-49.8046875,-26.85546875,26.3671875
148,1644534204561270.2,,,,,-6.8359375,-35.15625,-29.78515625,3.41796875
149,1644534204565176.5,,,,,-7.32421875,-27.83203125,-33.69140625,0.0
150,1644534204569082.8,,,,,-3.41796875,-43.9453125,-41.9921875,16.6015625
151,1644534204572989.0,,,,,5.859375,-50.29296875,-59.08203125,10.25390625
152,1644534204576895.2,,,,,6.34765625,-43.45703125,-47.8515625,-1.46484375
