,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534478690176.5,,,,,25.87890625,-58.10546875,19.04296875,8.7890625
1,1644534478694082.8,,,,,24.4140625,-59.08203125,25.87890625,8.30078125
2,1644534478697989.0,,,,,35.15625,-42.48046875,34.1796875,23.92578125
3,1644534478701895.2,,,,,30.2734375,-40.52734375,30.76171875,20.99609375
4,1644534478705801.5,,,,,23.4375,-43.45703125,26.85546875,26.85546875
5,1644534478709707.8,,,,,40.0390625,-41.015625,30.2734375,25.390625
6,1644534478713614.0,,,,,43.9453125,-42.48046875,29.78515625,14.6484375
7,1644534478717520.2,,,,,39.0625,-46.875,26.3671875,20.99609375
8,1644534478721426.5,,,,,32.71484375,-48.33984375,26.85546875,28.3203125
9,1644534478725332.8,,,,,16.6015625,-46.38671875,36.1328125,23.92578125
10,1644534478729239.0,,,,,19.04296875,-43.45703125,36.62109375,22.94921875
11,1644534478733145.2,,,,,16.6015625,-40.52734375,29.78515625,23.4375
12,1644534478737051.5,,,,,23.4375,-37.109375,27.34375,22.94921875
13,1644534478740957.8,,,,,46.875,-37.59765625,24.90234375,24.4140625
14,1644534478744864.0,,,,,42.48046875,-38.0859375,21.97265625,23.4375
15,1644534478748770.2,,,,,31.25,-40.52734375,30.76171875,19.53125
16,1644534478752676.5,,,,,38.0859375,-40.0390625,33.203125,7.32421875
17,1644534478756582.8,,,,,58.10546875,-47.36328125,24.90234375,19.04296875
18,1644534478760489.0,,,,,53.7109375,-47.36328125,24.90234375,30.2734375
19,1644534478764395.2,,,,,2.9296875,-39.55078125,23.92578125,-16.11328125
20,1644534478768301.5,,,,,-9.765625,-46.875,13.18359375,-44.43359375
21,1644534478772207.8,,,,,-18.5546875,-55.17578125,9.765625,-49.31640625
22,1644534478776114.0,,,,,-54.6875,-52.734375,12.20703125,-66.40625
23,1644534478780020.2,,,,,-78.61328125,-52.24609375,12.20703125,-70.3125
24,1644534478783926.5,,,,,-103.515625,-59.5703125,6.8359375,-84.47265625
25,1644534478787832.8,,,,,-128.41796875,-54.6875,11.23046875,-100.5859375
26,1644534478791739.0,,,,,-137.6953125,-54.19921875,12.20703125,-101.07421875
27,1644534478795645.2,,,,,-148.92578125,-54.6875,2.44140625,-125.0
28,1644534478799551.5,,,,,-166.50390625,-58.10546875,0.0,-139.6484375
29,1644534478803457.8,,,,,-187.5,-65.91796875,-3.41796875,-142.08984375
30,1644534478807364.0,,,,,-192.87109375,-62.01171875,-4.39453125,-139.6484375
31,1644534478811270.2,,,,,-180.6640625,-56.640625,-1.46484375,-122.0703125
32,1644534478815176.5,,,,,-181.640625,-54.19921875,-0.48828125,-115.234375
33,1644534478819082.8,,,,,-167.96875,-49.8046875,1.46484375,-108.88671875
34,1644534478822989.0,,,,,-153.80859375,-46.38671875,8.7890625,-105.46875
35,1644534478826895.2,,,,,-141.6015625,-48.33984375,14.6484375,-87.40234375
36,1644534478830801.5,,,,,-129.8828125,-46.875,9.765625,-85.44921875
37,1644534478834707.8,,,,,-111.328125,-42.48046875,8.30078125,-78.125
38,1644534478838614.0,,,,,-97.16796875,-44.921875,20.5078125,-53.7109375
39,1644534478842520.2,,,,,-114.74609375,-52.24609375,14.16015625,-56.15234375
40,1644534478846426.5,,,,,-122.55859375,-55.6640625,-0.9765625,-73.73046875
41,1644534478850332.8,,,,,-120.1171875,-64.453125,-1.953125,-80.078125
42,1644534478854239.0,,,,,-118.65234375,-63.96484375,2.9296875,-75.68359375
43,1644534478858145.2,,,,,-113.28125,-51.7578125,2.44140625,-59.08203125
44,1644534478862051.5,,,,,-104.4921875,-46.875,-1.953125,-48.828125
45,1644534478865957.8,,,,,-96.6796875,-45.41015625,2.44140625,-62.98828125
46,1644534478869864.0,,,,,-103.02734375,-42.48046875,-0.48828125,-67.3828125
47,1644534478873770.2,,,,,-111.81640625,-50.78125,-9.27734375,-56.15234375
48,1644534478877676.5,,,,,-90.33203125,-49.31640625,-10.25390625,-44.43359375
49,1644534478881582.8,,,,,-76.171875,-42.48046875,-3.90625,-40.52734375
50,1644534478885489.0,,,,,-80.078125,-41.50390625,0.9765625,-39.0625
51,1644534478889395.2,,,,,-73.73046875,-43.9453125,2.9296875,-29.296875
52,1644534478893301.5,,,,,-78.61328125,-52.24609375,3.41796875,-24.90234375
53,1644534478897207.8,,,,,-76.171875,-53.22265625,4.8828125,-34.66796875
54,1644534478901114.0,,,,,-63.96484375,-48.33984375,2.9296875,-27.83203125
55,1644534478905020.2,,,,,-58.59375,-50.29296875,-1.46484375,-10.25390625
56,1644534478908926.5,,,,,-53.7109375,-52.24609375,-7.8125,-14.6484375
57,1644534478912832.8,,,,,-48.828125,-47.8515625,-10.25390625,-28.80859375
58,1644534478916739.0,,,,,-38.0859375,-49.31640625,-11.23046875,-18.5546875
59,1644534478920645.2,,,,,-33.69140625,-46.875,-9.765625,-7.8125
60,1644534478924551.5,,,,,-27.83203125,-50.29296875,-3.41796875,0.48828125
61,1644534478928457.8,,,,,-29.296875,-56.15234375,-3.41796875,1.953125
62,1644534478932364.0,,,,,-39.0625,-50.29296875,0.48828125,-0.48828125
63,1644534478936270.2,,,,,-26.3671875,-42.96875,0.0,-3.41796875
64,1644534478940176.5,,,,,-37.109375,-37.59765625,-5.37109375,-15.625
