,time,c1,c2,c3,c4
0,1645722200094866.0,-1000.0,-1000.0,-102.05078125,-1000.0
1,1645722200098772.2,350.5859375,-863.76953125,-61.03515625,111.81640625
2,1645722200102678.5,-827.1484375,692.3828125,-11.71875,-844.7265625
3,1645722200106584.8,-53.22265625,636.71875,-45.41015625,223.6328125
4,1645722200110491.0,-1000.0,-955.56640625,-95.21484375,-1000.0
5,1645722200114397.2,-430.6640625,-1000.0,-73.73046875,-639.6484375
6,1645722200118303.5,-968.75,611.81640625,-17.08984375,931.15234375
7,1645722200122209.8,718.26171875,914.0625,-19.53125,846.19140625
8,1645722200126116.0,-918.45703125,-776.3671875,-88.37890625,-827.63671875
9,1645722200130022.2,-947.75390625,-1000.0,-107.421875,-1000.0
10,1645722200133928.5,741.69921875,458.984375,-33.69140625,703.125
11,1645722200137834.8,-999.51171875,-990.72265625,-10.7421875,-983.88671875
12,1645722200141741.0,-713.37890625,-547.8515625,-71.2890625,-678.7109375
13,1645722200145647.2,-1000.0,-1000.0,-86.9140625,-1000.0
14,1645722200149553.5,636.71875,-114.74609375,-38.0859375,521.484375
15,1645722200153459.8,-923.828125,-987.79296875,-20.5078125,-877.9296875
16,1645722200157366.0,-509.27734375,26.85546875,-63.4765625,-337.890625
17,1645722200161272.2,-1000.0,-1000.0,-99.609375,-1000.0
18,1645722200165178.5,194.3359375,-735.3515625,-42.96875,-79.1015625
19,1645722200169084.8,-823.2421875,807.6171875,9.765625,-876.46484375
20,1645722200172991.0,158.69140625,596.19140625,-30.76171875,421.875
21,1645722200176897.2,-1000.0,-997.0703125,-77.1484375,-1000.0
22,1645722200180803.5,-604.4921875,-977.5390625,-70.3125,-770.5078125
23,1645722200184709.8,959.9609375,689.94140625,-32.2265625,859.375
24,1645722200188616.0,828.125,819.3359375,-20.5078125,923.828125
25,1645722200192522.2,-846.19140625,-805.17578125,-69.3359375,-771.97265625
26,1645722200196428.5,-1000.0,-1000.0,-81.0546875,-1000.0
27,1645722200200334.8,704.58984375,195.80078125,-35.15625,682.12890625
28,1645722200204241.0,-989.74609375,999.51171875,-27.34375,-965.33203125
29,1645722200208147.2,-699.21875,-432.12890625,-79.58984375,-633.30078125
30,1645722200212053.5,-1000.0,-1000.0,-90.8203125,-1000.0
31,1645722200215959.8,571.77734375,-327.63671875,-35.64453125,432.6171875
32,1645722200219866.0,-886.71875,953.61328125,-11.23046875,-845.703125
33,1645722200223772.2,-400.390625,349.12109375,-48.828125,-168.9453125
34,1645722200227678.5,-1000.0,-1000.0,-80.56640625,-1000.0
35,1645722200231584.8,20.5078125,-879.8828125,-50.78125,-266.11328125
36,1645722200235491.0,-844.23828125,665.52734375,-12.6953125,-922.36328125
37,1645722200239397.2,375.0,834.47265625,-31.25,591.30859375
38,1645722200243303.5,-1000.0,-748.046875,-79.58984375,-973.6328125
39,1645722200247209.8,-750.0,-1000.0,-75.1953125,-878.90625
40,1645722200251116.0,883.30078125,175.29296875,-19.53125,791.9921875
41,1645722200255022.2,911.62109375,909.1796875,-14.16015625,967.28515625
42,1645722200258928.5,-779.78515625,-595.703125,-71.77734375,-739.2578125
43,1645722200262834.8,-1000.0,-1000.0,-73.2421875,-1000.0
44,1645722200266741.0,682.6171875,-89.35546875,-26.3671875,649.4140625
45,1645722200270647.2,-979.98046875,-987.79296875,-15.13671875,-943.359375
46,1645722200274553.5,-669.921875,-138.671875,-54.19921875,-568.359375
47,1645722200278459.8,-1000.0,-1000.0,-91.30859375,-1000.0
48,1645722200282366.0,478.02734375,-411.1328125,-55.17578125,296.875
49,1645722200286272.2,-853.02734375,960.9375,1.953125,-833.984375
50,1645722200290178.5,-249.0234375,466.796875,-33.69140625,12.6953125
51,1645722200294084.8,-1000.0,-1000.0,-86.9140625,-1000.0
52,1645722200297991.0,-202.1484375,-858.3984375,-53.22265625,-455.56640625
53,1645722200301897.2,-895.01953125,774.90234375,-5.859375,-987.3046875
54,1645722200305803.5,556.15234375,815.4296875,-19.53125,731.4453125
55,1645722200309709.8,-1000.0,-813.4765625,-78.61328125,-899.90234375
56,1645722200313616.0,-863.76953125,-1000.0,-74.21875,-949.70703125
57,1645722200317522.2,806.15234375,463.37890625,-12.6953125,743.1640625
58,1645722200321428.5,967.7734375,970.21484375,-15.13671875,995.1171875
59,1645722200325334.8,-740.72265625,-639.16015625,-77.1484375,-712.890625
60,1645722200329241.0,-1000.0,-1000.0,-80.078125,-1000.0
61,1645722200333147.2,671.38671875,79.1015625,-17.08984375,603.515625
62,1645722200337053.5,-958.49609375,-1000.0,7.32421875,-913.0859375
63,1645722200340959.8,-606.93359375,-222.16796875,-44.921875,-474.609375
64,1645722200344866.0,-1000.0,-1000.0,-85.9375,-1000.0
65,1645722200348772.2,359.86328125,-617.1875,-50.29296875,132.8125
66,1645722200352678.5,-829.1015625,785.64453125,-8.7890625,-840.33203125
67,1645722200356584.8,-74.21875,382.32421875,-46.38671875,216.796875
68,1645722200360491.0,-1000.0,-1000.0,-96.19140625,-1000.0
69,1645722200364397.2,-418.45703125,-912.59765625,-75.1953125,-620.1171875
70,1645722200368303.5,-964.35546875,708.0078125,-27.83203125,942.3828125
71,1645722200372209.8,707.03125,909.66796875,-36.1328125,840.8203125
72,1645722200376116.0,-925.29296875,-740.234375,-81.0546875,-829.1015625
73,1645722200380022.2,-944.3359375,-1000.0,-70.80078125,-998.53515625
74,1645722200383928.5,743.1640625,208.0078125,-12.6953125,707.51953125
75,1645722200387834.8,-1000.0,951.66015625,-14.6484375,-985.83984375
76,1645722200391741.0,-720.21484375,-399.90234375,-77.1484375,-691.40625
77,1645722200395647.2,-1000.0,-1000.0,-87.890625,-1000.0
78,1645722200399553.5,637.20703125,-462.40234375,-35.64453125,532.71484375
79,1645722200403459.8,974.609375,838.8671875,-4.39453125,943.84765625
80,1645722200407366.0,-549.31640625,53.7109375,-43.9453125,-415.52734375
81,1645722200411272.2,-1000.0,-1000.0,-84.47265625,-1000.0
82,1645722200415178.5,201.171875,-862.79296875,-48.828125,-61.03515625
83,1645722200419084.8,-820.3125,714.84375,-4.8828125,-862.79296875
84,1645722200422991.0,137.20703125,765.13671875,-23.4375,410.64453125
85,1645722200426897.2,-1000.0,-890.625,-70.3125,-1000.0
86,1645722200430803.5,-589.84375,-1000.0,-57.12890625,-755.37109375
87,1645722200434709.8,966.30859375,615.234375,-0.48828125,871.58203125
88,1645722200438616.0,822.265625,986.328125,-14.16015625,915.0390625
89,1645722200442522.2,-849.609375,-688.4765625,-79.1015625,-777.34375
90,1645722200446428.5,-997.0703125,-1000.0,-66.40625,-1000.0
91,1645722200450334.8,707.03125,384.27734375,-12.6953125,683.59375
92,1645722200454241.0,-990.234375,-949.21875,-17.578125,-967.7734375
93,1645722200458147.2,-699.21875,-426.26953125,-67.3828125,-637.20703125
94,1645722200462053.5,-1000.0,-1000.0,-76.171875,-1000.0
95,1645722200465959.8,575.1953125,-220.21484375,-21.97265625,435.546875
96,1645722200469866.0,-891.11328125,993.65234375,-6.34765625,-850.09765625
97,1645722200473772.2,-408.203125,46.38671875,-45.8984375,-189.453125
98,1645722200477678.5,-1000.0,-1000.0,-76.171875,-1000.0
99,1645722200481584.8,12.6953125,-702.1484375,-36.62109375,-265.625
100,1645722200485491.0,-852.05078125,783.203125,4.8828125,-924.31640625
101,1645722200489397.2,345.703125,367.67578125,-32.2265625,586.9140625
102,1645722200493303.5,-1000.0,-1000.0,-72.75390625,-978.515625
103,1645722200497209.8,-740.234375,-1000.0,-57.6171875,-869.62890625
104,1645722200501116.0,886.71875,521.97265625,-15.13671875,798.828125
105,1645722200505022.2,907.2265625,875.9765625,-24.4140625,964.84375
106,1645722200508928.5,-784.66796875,-742.1875,-78.125,-740.72265625
107,1645722200512834.8,-1000.0,-1000.0,-80.078125,-1000.0
108,1645722200516741.0,684.08203125,185.05859375,-26.3671875,651.85546875
109,1645722200520647.2,-980.95703125,-933.10546875,-17.08984375,-943.84765625
110,1645722200524553.5,-671.38671875,-125.0,-58.10546875,-569.3359375
111,1645722200528459.8,-1000.0,-1000.0,-83.49609375,-1000.0
112,1645722200532366.0,481.4453125,-551.26953125,-39.0625,304.6875
113,1645722200536272.2,-855.46875,859.375,3.41796875,-834.47265625
114,1645722200540178.5,-262.6953125,406.73828125,-41.50390625,0.0
115,1645722200544084.8,-1000.0,-1000.0,-89.35546875,-1000.0
116,1645722200547991.0,-188.96484375,-1000.0,-61.03515625,-453.125
117,1645722200551897.2,-892.578125,588.37890625,-10.7421875,-987.3046875
118,1645722200555803.5,549.31640625,930.6640625,-20.99609375,726.07421875
119,1645722200559709.8,-1000.0,-750.0,-68.84765625,-904.78515625
120,1645722200563616.0,-857.91015625,-1000.0,-76.171875,-944.3359375
121,1645722200567522.2,810.546875,377.9296875,-27.34375,752.44140625
122,1645722200571428.5,966.30859375,-981.4453125,-4.8828125,989.74609375
123,1645722200575334.8,-741.2109375,-517.578125,-54.6875,-709.9609375
124,1645722200579241.0,-1000.0,-1000.0,-74.70703125,-963.8671875
125,1645722200583147.2,671.38671875,-150.390625,-30.2734375,643.06640625
126,1645722200587053.5,-959.9609375,989.74609375,-5.859375,-928.7109375
127,1645722200590959.8,-611.81640625,-33.203125,-45.41015625,-467.7734375
128,1645722200594866.0,-1000.0,-1000.0,-81.0546875,-1000.0
129,1645722200598772.2,371.58203125,-516.11328125,-37.59765625,146.484375
130,1645722200602678.5,-829.1015625,919.921875,-2.44140625,-839.35546875
131,1645722200606584.8,-84.9609375,510.25390625,-43.9453125,198.2421875
132,1645722200610491.0,-1000.0,-1000.0,-93.75,-1000.0
133,1645722200614397.2,-397.4609375,-915.52734375,-64.453125,-613.76953125
134,1645722200618303.5,-956.0546875,738.28125,-6.34765625,945.3125
135,1645722200622209.8,685.546875,890.13671875,-24.4140625,830.56640625
136,1645722200626116.0,-936.5234375,-766.11328125,-93.26171875,-838.37890625
137,1645722200630022.2,-937.01171875,-1000.0,-89.35546875,-994.140625
138,1645722200633928.5,746.58203125,383.7890625,-30.76171875,708.984375
139,1645722200637834.8,997.55859375,963.37890625,-23.92578125,-986.328125
140,1645722200641741.0,-716.796875,-584.47265625,-76.66015625,-684.08203125
141,1645722200645647.2,-1000.0,-1000.0,-92.28515625,-1000.0
142,1645722200649553.5,642.08984375,-69.3359375,-47.36328125,537.59765625
143,1645722200653459.8,-928.7109375,967.28515625,-41.015625,-880.37109375
144,1645722200657366.0,-523.92578125,-94.7265625,-72.265625,-351.07421875
145,1645722200661272.2,-1000.0,-1000.0,-85.44921875,-1000.0
146,1645722200665178.5,222.65625,-736.81640625,-49.8046875,-42.48046875
147,1645722200669084.8,-822.75390625,788.57421875,-2.44140625,-867.1875
148,1645722200672991.0,120.1171875,730.95703125,-40.52734375,395.99609375
149,1645722200676897.2,-1000.0,-858.3984375,-91.30859375,-1000.0
150,1645722200680803.5,-585.9375,-1000.0,-65.91796875,-757.8125
151,1645722200684709.8,967.7734375,428.22265625,-16.6015625,867.67578125
152,1645722200688616.0,815.91796875,907.2265625,-23.4375,912.109375
153,1645722200692522.2,-856.4453125,-631.8359375,-82.51953125,-782.71484375
154,1645722200696428.5,-994.62890625,-1000.0,-92.7734375,-1000.0
155,1645722200700334.8,707.51953125,-129.39453125,-30.2734375,685.546875
156,1645722200704241.0,-990.234375,945.3125,-9.765625,-968.75
157,1645722200708147.2,-699.70703125,-261.23046875,-61.03515625,-642.08984375
158,1645722200712053.5,-1000.0,-1000.0,-88.37890625,-1000.0
159,1645722200715959.8,576.66015625,-593.75,-49.31640625,447.265625
160,1645722200719866.0,-891.6015625,840.33203125,-3.41796875,-849.12109375
161,1645722200723772.2,-414.0625,222.65625,-38.0859375,-192.3828125
162,1645722200727678.5,-1000.0,-1000.0,-77.63671875,-1000.0
163,1645722200731584.8,37.59765625,-718.75,-40.52734375,-239.2578125
164,1645722200735491.0,-841.796875,822.75390625,-1.46484375,-914.55078125
165,1645722200739397.2,343.26171875,824.70703125,-39.55078125,569.3359375
166,1645722200743303.5,-1000.0,-832.51953125,-93.26171875,-984.375
167,1645722200747209.8,-730.95703125,-1000.0,-69.82421875,-866.2109375
168,1645722200751116.0,894.04296875,620.60546875,-13.671875,799.8046875
169,1645722200755022.2,902.83203125,996.58203125,-17.08984375,962.890625
170,1645722200758928.5,-787.109375,-644.53125,-68.359375,-743.1640625
171,1645722200762834.8,-1000.0,-1000.0,-73.2421875,-1000.0
172,1645722200766741.0,685.05859375,267.578125,-25.87890625,654.296875
173,1645722200770647.2,-981.4453125,-989.74609375,-7.8125,-944.82421875
174,1645722200774553.5,-674.31640625,-442.3828125,-56.15234375,-575.1953125
175,1645722200778459.8,-1000.0,-1000.0,-90.33203125,-1000.0
176,1645722200782366.0,490.72265625,-433.10546875,-43.45703125,320.80078125
177,1645722200786272.2,-857.91015625,834.47265625,-3.90625,-833.49609375
178,1645722200790178.5,-273.4375,135.25390625,-41.9921875,-12.20703125
179,1645722200794084.8,-1000.0,-1000.0,-72.265625,-1000.0
180,1645722200797991.0,-164.55078125,-806.640625,-38.0859375,-432.12890625
181,1645722200801897.2,-885.7421875,733.3984375,-5.37109375,-978.515625
182,1645722200805803.5,530.76171875,556.15234375,-31.73828125,711.9140625
183,1645722200809709.8,-1000.0,-905.2734375,-81.0546875,-912.109375
184,1645722200813616.0,-848.14453125,-1000.0,-74.70703125,-940.91796875
185,1645722200817522.2,818.359375,389.16015625,-22.94921875,748.53515625
186,1645722200821428.5,962.40234375,-984.375,-10.25390625,992.67578125
187,1645722200825334.8,-756.34765625,-538.0859375,-52.734375,-727.5390625
188,1645722200829241.0,-1000.0,-1000.0,-63.4765625,-1000.0
189,1645722200833147.2,680.6640625,-160.15625,-21.97265625,616.2109375
190,1645722200837053.5,749.51171875,697.75390625,-14.16015625,791.50390625
191,1645722200840959.8,-739.74609375,-207.51953125,-60.05859375,-613.28125
192,1645722200844866.0,-1000.0,-1000.0,-92.7734375,-1000.0
193,1645722200848772.2,353.515625,-814.453125,-53.22265625,123.046875
194,1645722200852678.5,-823.2421875,749.0234375,-1.46484375,-832.51953125
195,1645722200856584.8,-94.23828125,622.0703125,-44.43359375,181.640625
196,1645722200860491.0,-1000.0,-958.49609375,-104.4921875,-1000.0
197,1645722200864397.2,-391.11328125,-1000.0,-73.2421875,-602.5390625
198,1645722200868303.5,-954.1015625,590.33203125,-2.44140625,948.2421875
199,1645722200872209.8,681.15234375,932.6171875,-1.46484375,829.1015625
200,1645722200876116.0,-939.453125,-770.5078125,-64.453125,-837.40234375
201,1645722200880022.2,-934.08203125,-1000.0,-78.61328125,-994.140625
202,1645722200883928.5,749.0234375,466.796875,-21.484375,710.44921875
203,1645722200887834.8,997.55859375,-952.1484375,-11.23046875,-988.76953125
204,1645722200891741.0,-716.30859375,-463.37890625,-74.21875,-687.5
205,1645722200895647.2,-1000.0,-1000.0,-93.75,-1000.0
206,1645722200899553.5,643.5546875,-214.35546875,-46.38671875,540.52734375
207,1645722200903459.8,-930.6640625,963.37890625,-19.53125,-883.7890625
208,1645722200907366.0,-529.296875,-4.39453125,-60.546875,-376.953125
209,1645722200911272.2,-1000.0,-1000.0,-86.42578125,-1000.0
210,1645722200915178.5,229.00390625,-670.8984375,-34.66796875,-37.109375
211,1645722200919084.8,-823.2421875,838.37890625,14.16015625,-868.65234375
212,1645722200922991.0,103.515625,556.15234375,-30.2734375,377.9296875
213,1645722200926897.2,-1000.0,-1000.0,-92.28515625,-1000.0
214,1645722200930803.5,-568.359375,-972.65625,-60.546875,-746.58203125
215,1645722200934709.8,976.07421875,687.5,5.859375,872.55859375
216,1645722200938616.0,803.22265625,828.61328125,-6.34765625,909.1796875
217,1645722200942522.2,-876.953125,-840.8203125,-65.91796875,-796.875
218,1645722200946428.5,-979.98046875,-1000.0,-62.01171875,-1000.0
219,1645722200950334.8,716.30859375,409.66796875,-13.671875,694.3359375
220,1645722200954241.0,720.21484375,669.43359375,-22.94921875,741.2109375
221,1645722200958147.2,-824.21875,-697.265625,-67.87109375,-766.6015625
222,1645722200962053.5,-1000.0,-1000.0,-83.984375,-1000.0
223,1645722200965959.8,557.6171875,-354.4921875,-43.45703125,426.26953125
224,1645722200969866.0,-887.6953125,952.1484375,-13.671875,-845.703125
225,1645722200973772.2,-423.33984375,314.94140625,-51.26953125,-208.49609375
226,1645722200977678.5,-1000.0,-1000.0,-85.9375,-1000.0
227,1645722200981584.8,44.921875,-827.63671875,-56.15234375,-247.55859375
228,1645722200985491.0,-841.30859375,745.60546875,-18.06640625,-918.45703125
229,1645722200989397.2,326.66015625,831.0546875,-35.64453125,549.8046875
230,1645722200993303.5,-1000.0,-765.625,-83.984375,-997.55859375
231,1645722200997209.8,-723.6328125,-1000.0,-79.58984375,-859.375
232,1645722201001116.0,897.4609375,268.06640625,-29.296875,801.7578125
233,1645722201005022.2,897.94921875,929.6875,-26.3671875,959.47265625
234,1645722201008928.5,-791.50390625,-603.02734375,-73.73046875,-747.0703125
235,1645722201012834.8,-1000.0,-1000.0,-79.58984375,-1000.0
236,1645722201016741.0,685.05859375,-169.43359375,-30.76171875,655.76171875
237,1645722201020647.2,-981.93359375,977.5390625,-8.30078125,-945.80078125
238,1645722201024553.5,-675.29296875,-127.9296875,-60.546875,-577.63671875
239,1645722201028459.8,-1000.0,-1000.0,-96.6796875,-1000.0
240,1645722201032366.0,491.2109375,-414.0625,-38.57421875,325.68359375
241,1645722201036272.2,-852.5390625,958.984375,5.37109375,-829.58984375
242,1645722201040178.5,-276.85546875,449.70703125,-42.48046875,-25.390625
243,1645722201044084.8,-1000.0,-1000.0,-93.75,-1000.0
244,1645722201047991.0,-77.1484375,-735.83984375,-54.6875,-333.49609375
245,1645722201051897.2,-855.46875,821.77734375,-7.8125,-944.82421875
246,1645722201055803.5,505.37109375,812.98828125,-31.73828125,691.89453125
247,1645722201059709.8,-1000.0,-817.3828125,-88.37890625,-908.203125
248,1645722201063616.0,-845.703125,-1000.0,-72.265625,-939.94140625
249,1645722201067522.2,821.2890625,579.58984375,-5.37109375,751.46484375
250,1645722201071428.5,959.47265625,982.91015625,-2.44140625,991.69921875
251,1645722201075334.8,-745.60546875,-653.80859375,-65.4296875,-716.30859375
252,1645722201079241.0,-1000.0,-1000.0,-75.1953125,-1000.0
253,1645722201083147.2,673.33984375,182.6171875,-17.08984375,610.83984375
254,1645722201087053.5,-964.35546875,978.02734375,-19.53125,-914.0625
255,1645722201090959.8,-621.09375,-448.73046875,-66.89453125,-484.86328125
256,1645722201094866.0,-1000.0,-1000.0,-71.77734375,-1000.0
257,1645722201098772.2,379.39453125,-547.36328125,-30.76171875,171.38671875
258,1645722201102678.5,-832.03125,792.48046875,1.953125,-834.9609375
259,1645722201106584.8,-104.98046875,321.2890625,-29.296875,183.10546875
260,1645722201110491.0,-1000.0,-1000.0,-73.73046875,-1000.0
261,1645722201114397.2,-380.859375,-887.6953125,-54.6875,-585.9375
262,1645722201118303.5,-950.68359375,713.8671875,-6.8359375,963.37890625
263,1645722201122209.8,677.734375,937.01171875,-29.296875,820.3125
264,1645722201126116.0,-940.91796875,-704.1015625,-94.7265625,-834.9609375
265,1645722201130022.2,-931.15234375,-1000.0,-81.0546875,-890.625
266,1645722201133928.5,752.44140625,187.01171875,-24.4140625,749.0234375
267,1645722201137834.8,996.09375,942.3828125,-13.18359375,995.1171875
268,1645722201141741.0,-717.7734375,-390.625,-53.7109375,-680.17578125
269,1645722201145647.2,-1000.0,-1000.0,-72.75390625,-1000.0
270,1645722201149553.5,645.99609375,-620.1171875,-33.203125,548.33984375
271,1645722201153459.8,-933.59375,749.0234375,-6.34765625,-884.765625
272,1645722201157366.0,-534.1796875,70.3125,-50.78125,-369.62890625
273,1645722201161272.2,-1000.0,-1000.0,-88.8671875,-1000.0
274,1645722201165178.5,229.98046875,-854.4921875,-46.875,-12.6953125
275,1645722201169084.8,-823.73046875,712.40234375,-6.34765625,-859.86328125
276,1645722201172991.0,100.09765625,785.15625,-52.734375,379.8828125
277,1645722201176897.2,-1000.0,-897.94921875,-113.76953125,-1000.0
278,1645722201180803.5,-563.96484375,-997.55859375,-81.0546875,-736.81640625
279,1645722201184709.8,979.00390625,687.01171875,-12.6953125,882.32421875
280,1645722201188616.0,796.38671875,950.68359375,-17.578125,902.83203125
281,1645722201192522.2,-869.140625,-705.078125,-71.2890625,-787.109375
282,1645722201196428.5,-989.2578125,-1000.0,-74.21875,-1000.0
283,1645722201200334.8,709.47265625,291.015625,-13.18359375,687.01171875
284,1645722201204241.0,-990.234375,-963.8671875,0.0,-971.6796875
285,1645722201208147.2,-700.68359375,-407.2265625,-70.80078125,-647.4609375
286,1645722201212053.5,-1000.0,-1000.0,-94.7265625,-1000.0
287,1645722201215959.8,586.9140625,-273.4375,-31.73828125,454.58984375
288,1645722201219866.0,-895.99609375,984.375,5.859375,-853.02734375
289,1645722201223772.2,-427.24609375,56.15234375,-32.2265625,-211.9140625
290,1645722201227678.5,-1000.0,-1000.0,-69.82421875,-1000.0
291,1645722201231584.8,59.5703125,-687.01171875,-53.22265625,-224.609375
292,1645722201235491.0,-835.44921875,805.6640625,-22.4609375,-900.87890625
293,1645722201239397.2,300.29296875,351.07421875,-49.8046875,542.48046875
294,1645722201243303.5,-1000.0,-1000.0,-101.07421875,-994.140625
295,1645722201247209.8,-522.4609375,-830.078125,-76.66015625,-660.15625
296,1645722201251116.0,975.09765625,584.47265625,-27.34375,881.8359375
297,1645722201255022.2,859.375,792.48046875,-37.109375,924.31640625
298,1645722201258928.5,-779.78515625,-751.46484375,-78.61328125,-731.4453125
299,1645722201262834.8,-1000.0,-1000.0,-80.078125,-1000.0
300,1645722201266741.0,686.03515625,164.55078125,-31.25,658.203125
301,1645722201270647.2,-983.3984375,-955.56640625,-25.87890625,-948.2421875
302,1645722201274553.5,-682.6171875,-189.94140625,-78.61328125,-583.49609375
303,1645722201278459.8,-1000.0,-1000.0,-90.33203125,-1000.0
304,1645722201282366.0,495.60546875,-537.109375,-43.9453125,323.2421875
305,1645722201286272.2,-937.01171875,827.63671875,-3.90625,-878.41796875
306,1645722201290178.5,-310.05859375,252.9296875,-34.66796875,-47.8515625
307,1645722201294084.8,-1000.0,-1000.0,-85.44921875,-1000.0
308,1645722201297991.0,-150.390625,-1000.0,-63.96484375,-417.48046875
309,1645722201301897.2,-877.44140625,515.13671875,-4.8828125,-969.7265625
310,1645722201305803.5,510.7421875,904.78515625,-11.23046875,698.2421875
311,1645722201309709.8,-1000.0,-780.2734375,-70.80078125,-921.38671875
312,1645722201313616.0,-840.8203125,-1000.0,-67.87109375,-931.640625
313,1645722201317522.2,823.2421875,446.77734375,-14.6484375,756.34765625
314,1645722201321428.5,958.0078125,-987.3046875,-20.99609375,989.74609375
315,1645722201325334.8,-747.0703125,-548.33984375,-78.125,-718.26171875
316,1645722201329241.0,-1000.0,-1000.0,-77.1484375,-1000.0
317,1645722201333147.2,673.33984375,-136.23046875,-33.69140625,616.69921875
318,1645722201337053.5,-964.35546875,989.74609375,-21.97265625,-920.41015625
319,1645722201340959.8,-624.51171875,-38.0859375,-62.5,-497.55859375
320,1645722201344866.0,-1000.0,-1000.0,-95.703125,-1000.0
321,1645722201348772.2,392.08984375,-517.578125,-39.0625,174.31640625
322,1645722201352678.5,-833.984375,919.921875,11.23046875,-837.40234375
323,1645722201356584.8,-115.234375,496.09375,-36.1328125,160.15625
324,1645722201360491.0,-1000.0,-1000.0,-90.33203125,-1000.0
325,1645722201364397.2,-365.72265625,-937.5,-51.7578125,-592.7734375
326,1645722201368303.5,-944.82421875,703.125,-5.37109375,953.61328125
327,1645722201372209.8,663.0859375,895.5078125,-34.1796875,813.96484375
328,1645722201376116.0,-948.2421875,-761.71875,-83.984375,-850.09765625
329,1645722201380022.2,-927.24609375,-1000.0,-79.1015625,-988.76953125
330,1645722201383928.5,753.90625,393.06640625,-29.78515625,712.890625
331,1645722201387834.8,995.1171875,929.19921875,-21.484375,-989.74609375
332,1645722201391741.0,-718.75,-661.1328125,-66.89453125,-689.94140625
333,1645722201395647.2,-1000.0,-1000.0,-80.078125,-1000.0
334,1645722201399553.5,647.94921875,-58.59375,-32.71484375,547.8515625
335,1645722201403459.8,-935.546875,-955.078125,-6.8359375,-887.6953125
336,1645722201407366.0,-540.0390625,134.765625,-46.875,-377.44140625
337,1645722201411272.2,-1000.0,-1000.0,-86.9140625,-1000.0
338,1645722201415178.5,244.140625,-627.44140625,-56.640625,-15.625
339,1645722201419084.8,-823.2421875,880.859375,0.48828125,-861.81640625
340,1645722201422991.0,87.40234375,639.16015625,-20.01953125,360.83984375
341,1645722201426897.2,-1000.0,-892.08984375,-83.0078125,-1000.0
342,1645722201430803.5,-552.734375,-1000.0,-63.4765625,-730.95703125
343,1645722201434709.8,983.88671875,453.125,-1.953125,883.7890625
344,1645722201438616.0,791.50390625,898.4375,-17.08984375,901.3671875
345,1645722201442522.2,-872.0703125,-651.3671875,-73.73046875,-789.0625
346,1645722201446428.5,-986.81640625,-1000.0,-66.40625,-1000.0
347,1645722201450334.8,711.42578125,-193.84765625,-14.16015625,687.98828125
348,1645722201454241.0,-990.234375,895.99609375,3.41796875,-970.703125
349,1645722201458147.2,-700.68359375,-244.62890625,-50.29296875,-647.94921875
350,1645722201462053.5,-1000.0,-1000.0,-88.37890625,-1000.0
351,1645722201465959.8,589.35546875,-543.45703125,-43.45703125,463.37890625
352,1645722201469866.0,-899.4140625,866.2109375,-7.8125,-854.98046875
353,1645722201473772.2,-434.08203125,166.015625,-70.80078125,-221.6796875
354,1645722201477678.5,-1000.0,-1000.0,-112.79296875,-1000.0
