,time,c1,c2,c3,c4
0,1647468083141540.0,-6.8359375,-99.12109375,513.18359375,-16.11328125
1,1647468083145446.2,-9.765625,-408.69140625,506.34765625,-23.4375
2,1647468083149352.5,-1.46484375,-343.75,526.85546875,-12.6953125
3,1647468083153258.8,15.13671875,-43.9453125,533.69140625,-3.41796875
4,1647468083157165.0,12.20703125,-78.125,524.90234375,-11.23046875
5,1647468083161071.2,-5.37109375,-526.85546875,449.70703125,-19.53125
6,1647468083164977.5,-7.8125,-582.51953125,464.35546875,-20.01953125
7,1647468083168883.8,2.44140625,-149.4140625,526.3671875,-23.92578125
8,1647468083172790.0,1.953125,-172.8515625,492.67578125,-25.390625
9,1647468083176696.2,-4.8828125,-721.6796875,404.296875,-10.25390625
10,1647468083180602.5,-8.7890625,-637.6953125,467.28515625,-15.625
11,1647468083184508.8,-7.32421875,-272.4609375,509.765625,-26.3671875
12,1647468083188415.0,-12.20703125,-460.44921875,452.63671875,-22.94921875
13,1647468083192321.2,-21.484375,-718.75,453.61328125,-23.4375
14,1647468083196227.5,-19.04296875,-423.828125,509.27734375,-23.92578125
15,1647468083200133.8,-8.30078125,-8.7890625,527.34375,-14.16015625
16,1647468083204040.0,-6.8359375,-336.9140625,438.4765625,-3.90625
17,1647468083207946.2,-13.671875,-790.0390625,391.6015625,-3.90625
18,1647468083211852.5,-24.4140625,-476.5625,482.91015625,-16.6015625
19,1647468083215758.8,-24.4140625,-0.48828125,530.76171875,-14.6484375
20,1647468083219665.0,-17.578125,-448.73046875,395.01953125,0.0
21,1647468083223571.2,-22.4609375,-750.0,409.1796875,-3.90625
22,1647468083227477.5,-25.87890625,-122.0703125,546.875,-16.6015625
23,1647468083231383.8,-27.34375,-45.8984375,497.0703125,-23.92578125
24,1647468083235290.0,-28.3203125,-292.96875,493.1640625,-23.92578125
25,1647468083239196.2,-21.484375,-258.30078125,503.41796875,-19.53125
26,1647468083243102.5,-13.671875,-290.0390625,472.65625,-13.671875
27,1647468083247008.8,-18.06640625,-269.04296875,486.81640625,-15.13671875
28,1647468083250915.0,-11.71875,-469.23828125,473.6328125,-10.7421875
29,1647468083254821.2,-4.39453125,-694.3359375,457.03125,0.9765625
30,1647468083258727.5,-5.37109375,-374.0234375,494.140625,-7.32421875
31,1647468083262633.8,-1.953125,-173.33984375,495.60546875,-5.37109375
32,1647468083266540.0,1.953125,-555.6640625,402.83203125,4.39453125
