,time,c1,c2,c3,c4
0,1647468237313415.0,-20.01953125,-283.69140625,-257.8125,-14.6484375
1,1647468237317321.2,-15.13671875,-92.28515625,-201.66015625,-26.85546875
2,1647468237321227.5,-14.16015625,145.01953125,-182.12890625,-27.34375
3,1647468237325133.8,-17.08984375,109.375,-211.9140625,-25.390625
4,1647468237329040.0,-24.90234375,-449.70703125,-313.96484375,-25.390625
5,1647468237332946.2,-20.5078125,-677.734375,-292.48046875,-21.97265625
6,1647468237336852.5,-14.16015625,-118.1640625,-191.40625,-14.16015625
7,1647468237340758.8,-16.11328125,-2.9296875,-229.98046875,-3.41796875
8,1647468237344665.0,-15.13671875,-510.25390625,-310.546875,-2.9296875
9,1647468237348571.2,-14.6484375,-314.94140625,-234.86328125,-32.71484375
10,1647468237352477.5,-9.765625,190.91796875,-163.57421875,-30.2734375
11,1647468237356383.8,-3.41796875,-106.4453125,-288.0859375,-17.08984375
12,1647468237360290.0,-6.34765625,-531.25,-370.60546875,-18.5546875
13,1647468237364196.2,-21.97265625,-305.17578125,-256.34765625,-33.203125
14,1647468237368102.5,-20.99609375,-40.52734375,-203.125,-42.48046875
15,1647468237372008.8,-19.04296875,-222.16796875,-291.9921875,-31.25
16,1647468237375915.0,-24.90234375,-540.52734375,-382.32421875,-16.11328125
17,1647468237379821.2,-13.671875,-365.234375,-265.13671875,-13.671875
18,1647468237383727.5,-12.6953125,-224.609375,-221.19140625,-34.66796875
19,1647468237387633.8,-31.25,-541.50390625,-333.984375,-35.64453125
20,1647468237391540.0,-28.80859375,-605.46875,-340.33203125,-22.94921875
21,1647468237395446.2,-15.625,54.6875,-137.6953125,-38.0859375
22,1647468237399352.5,-21.97265625,199.70703125,-164.55078125,-44.43359375
23,1647468237403258.8,-30.2734375,-454.1015625,-346.19140625,-36.1328125
24,1647468237407165.0,-23.4375,-533.69140625,-297.8515625,-32.2265625
25,1647468237411071.2,-23.4375,141.11328125,-114.2578125,-35.15625
26,1647468237414977.5,-28.80859375,67.87109375,-198.2421875,-38.0859375
27,1647468237418883.8,-16.11328125,-176.26953125,-246.58203125,-33.69140625
28,1647468237422790.0,-8.7890625,-187.01171875,-212.890625,-12.6953125
29,1647468237426696.2,-12.20703125,-220.703125,-228.02734375,-20.01953125
30,1647468237430602.5,-29.78515625,-337.890625,-289.55078125,-49.31640625
31,1647468237434508.8,-23.4375,-497.0703125,-301.26953125,-57.6171875
32,1647468237438415.0,-10.25390625,-229.98046875,-200.1953125,-51.26953125
33,1647468237442321.2,-17.578125,129.39453125,-134.27734375,-41.50390625
34,1647468237446227.5,-18.06640625,-60.546875,-244.62890625,-38.57421875
35,1647468237450133.8,-18.5546875,-530.2734375,-341.30859375,-38.0859375
36,1647468237454040.0,-7.8125,-204.58984375,-167.96875,-28.3203125
37,1647468237457946.2,-4.39453125,187.98828125,-110.3515625,-26.3671875
38,1647468237461852.5,-12.6953125,-249.0234375,-302.734375,-28.3203125
39,1647468237465758.8,-22.94921875,-404.78515625,-349.609375,-41.015625
40,1647468237469665.0,-7.8125,-119.62890625,-205.078125,-39.55078125
41,1647468237473571.2,-4.39453125,-191.40625,-224.12109375,-12.6953125
42,1647468237477477.5,-16.6015625,-569.82421875,-372.55859375,-4.8828125
43,1647468237481383.8,-23.4375,-812.5,-411.1328125,-30.2734375
44,1647468237485290.0,-30.76171875,-205.078125,-195.80078125,-48.828125
45,1647468237489196.2,-31.73828125,228.02734375,-121.58203125,-22.4609375
46,1647468237493102.5,-29.78515625,-378.41796875,-324.70703125,-21.484375
47,1647468237497008.8,-33.69140625,-609.86328125,-369.62890625,-35.64453125
48,1647468237500915.0,-25.87890625,85.9375,-159.1796875,-35.64453125
49,1647468237504821.2,-20.5078125,173.33984375,-178.22265625,-32.2265625
50,1647468237508727.5,-20.99609375,-296.875,-263.18359375,-39.55078125
51,1647468237512633.8,-25.390625,-207.51953125,-196.77734375,-31.73828125
52,1647468237516540.0,-23.4375,145.01953125,-179.6875,-10.7421875
53,1647468237520446.2,-20.5078125,-147.4609375,-279.296875,4.8828125
54,1647468237524352.5,-22.94921875,-582.03125,-317.87109375,-0.9765625
55,1647468237528258.8,-17.578125,-314.94140625,-206.0546875,-16.11328125
56,1647468237532165.0,-20.01953125,229.98046875,-125.48828125,-26.3671875
57,1647468237536071.2,-19.53125,29.296875,-238.76953125,-24.4140625
58,1647468237539977.5,-19.53125,-560.05859375,-375.0,-10.7421875
59,1647468237543883.8,-29.78515625,-322.265625,-236.328125,-11.23046875
60,1647468237547790.0,-29.296875,243.1640625,-127.9296875,-20.5078125
61,1647468237551696.2,-18.5546875,-111.328125,-329.1015625,-5.37109375
