,time,c1,c2,c3,c4
0,1647469336621337.0,-131.8359375,109.375,-678.7109375,-1000.0
1,1647469336625243.2,-60.546875,136.23046875,-588.8671875,-1000.0
2,1647469336629149.5,-14.16015625,121.58203125,-536.1328125,-1000.0
3,1647469336633055.8,-57.6171875,119.140625,-623.53515625,-1000.0
4,1647469336636962.0,-100.09765625,122.55859375,-709.47265625,-1000.0
5,1647469336640868.2,-82.03125,110.83984375,-654.78515625,-1000.0
6,1647469336644774.5,-48.828125,103.515625,-598.6328125,-1000.0
7,1647469336648680.8,-61.5234375,91.30859375,-711.42578125,-1000.0
8,1647469336652587.0,-77.63671875,112.3046875,-750.0,-1000.0
9,1647469336656493.2,-19.04296875,144.53125,-577.1484375,-1000.0
10,1647469336660399.5,1.953125,124.51171875,-554.19921875,-1000.0
11,1647469336664305.8,-22.94921875,87.40234375,-706.54296875,-1000.0
12,1647469336668212.0,-48.33984375,83.0078125,-737.3046875,-1000.0
13,1647469336672118.2,-55.17578125,111.81640625,-550.78125,-1000.0
14,1647469336676024.5,-16.11328125,129.39453125,-586.9140625,-1000.0
15,1647469336679930.8,-0.48828125,117.67578125,-652.34375,-1000.0
16,1647469336683837.0,-36.62109375,103.515625,-645.99609375,-1000.0
17,1647469336687743.2,-59.5703125,114.2578125,-648.4375,-1000.0
18,1647469336691649.5,-13.18359375,136.23046875,-647.4609375,-1000.0
19,1647469336695555.8,-26.85546875,107.91015625,-721.19140625,-1000.0
20,1647469336699462.0,-66.89453125,101.5625,-667.96875,-1000.0
21,1647469336703368.2,-77.1484375,136.23046875,-553.22265625,-1000.0
22,1647469336707274.5,-69.82421875,122.55859375,-624.0234375,-1000.0
23,1647469336711180.8,-48.828125,94.23828125,-684.08203125,-1000.0
24,1647469336715087.0,-50.29296875,116.69921875,-585.44921875,-1000.0
25,1647469336718993.2,-97.65625,136.71875,-582.51953125,-1000.0
26,1647469336722899.5,-99.609375,114.74609375,-687.98828125,-1000.0
27,1647469336726805.8,-60.05859375,128.41796875,-698.73046875,-1000.0
28,1647469336730712.0,-43.9453125,137.6953125,-615.234375,-1000.0
29,1647469336734618.2,-86.42578125,115.72265625,-643.5546875,-1000.0
30,1647469336738524.5,-119.62890625,120.1171875,-738.76953125,-1000.0
31,1647469336742430.8,-63.4765625,114.2578125,-745.1171875,-1000.0
32,1647469336746337.0,-46.38671875,100.09765625,-595.21484375,-1000.0
33,1647469336750243.2,-90.8203125,122.0703125,-600.09765625,-1000.0
34,1647469336754149.5,-119.62890625,124.51171875,-649.4140625,-1000.0
35,1647469336758055.8,-65.91796875,109.375,-635.25390625,-1000.0
36,1647469336761962.0,-9.27734375,115.72265625,-583.0078125,-1000.0
37,1647469336765868.2,-28.80859375,116.2109375,-612.79296875,-1000.0
38,1647469336769774.5,-71.77734375,103.515625,-694.3359375,-1000.0
39,1647469336773680.8,-63.96484375,106.93359375,-675.29296875,-1000.0
40,1647469336777587.0,-29.296875,117.67578125,-646.97265625,-1000.0
41,1647469336781493.2,-36.1328125,96.19140625,-669.43359375,-1000.0
42,1647469336785399.5,-100.09765625,94.7265625,-762.20703125,-1000.0
43,1647469336789305.8,-87.890625,130.37109375,-720.21484375,-1000.0
44,1647469336793212.0,-22.94921875,142.578125,-559.5703125,-1000.0
45,1647469336797118.2,-41.9921875,126.46484375,-600.5859375,-1000.0
46,1647469336801024.5,-105.46875,117.67578125,-665.0390625,-1000.0
47,1647469336804930.8,-79.1015625,125.0,-610.83984375,-1000.0
48,1647469336808837.0,-20.5078125,128.41796875,-561.03515625,-1000.0
49,1647469336812743.2,-44.921875,117.1875,-641.6015625,-1000.0
50,1647469336816649.5,-75.68359375,93.26171875,-701.66015625,-1000.0
51,1647469336820555.8,-81.54296875,89.84375,-593.26171875,-1000.0
52,1647469336824462.0,-36.62109375,125.9765625,-568.359375,-1000.0
53,1647469336828368.2,-48.33984375,123.53515625,-728.02734375,-1000.0
54,1647469336832274.5,-87.890625,106.93359375,-755.37109375,-1000.0
55,1647469336836180.8,-84.47265625,110.83984375,-622.0703125,-1000.0
56,1647469336840087.0,-58.10546875,113.28125,-596.19140625,-1000.0
57,1647469336843993.2,-29.78515625,109.86328125,-695.80078125,-1000.0
58,1647469336847899.5,-36.62109375,88.8671875,-729.00390625,-1000.0
59,1647469336851805.8,-55.6640625,86.42578125,-575.1953125,-1000.0
60,1647469336855712.0,-52.24609375,112.3046875,-613.76953125,-1000.0
61,1647469336859618.2,-21.484375,104.00390625,-664.0625,-1000.0
62,1647469336863524.5,-17.08984375,76.66015625,-612.3046875,-1000.0
63,1647469336867430.8,-38.57421875,100.09765625,-589.35546875,-1000.0
64,1647469336871337.0,-60.05859375,124.0234375,-651.85546875,-1000.0
65,1647469336875243.2,-41.9921875,114.2578125,-762.6953125,-1000.0
66,1647469336879149.5,-28.3203125,113.28125,-728.02734375,-1000.0
67,1647469336883055.8,-45.8984375,120.60546875,-589.35546875,-1000.0
68,1647469336886962.0,-70.3125,106.93359375,-607.421875,-1000.0
69,1647469336890868.2,-60.05859375,95.703125,-681.15234375,-1000.0
70,1647469336894774.5,-40.0390625,114.74609375,-690.4296875,-1000.0
71,1647469336898680.8,-21.97265625,118.65234375,-624.0234375,-1000.0
72,1647469336902587.0,-47.36328125,95.703125,-616.2109375,-1000.0
73,1647469336906493.2,-64.453125,96.6796875,-689.453125,-1000.0
74,1647469336910399.5,-29.296875,122.55859375,-630.859375,-1000.0
75,1647469336914305.8,-29.296875,125.9765625,-589.35546875,-1000.0
76,1647469336918212.0,-73.2421875,113.76953125,-668.45703125,-1000.0
77,1647469336922118.2,-96.19140625,98.14453125,-727.5390625,-1000.0
78,1647469336926024.5,-68.359375,107.91015625,-654.296875,-1000.0
79,1647469336929930.8,-56.15234375,96.6796875,-599.12109375,-1000.0
80,1647469336933837.0,-86.9140625,67.87109375,-709.9609375,-1000.0
81,1647469336937743.2,-84.47265625,96.19140625,-767.578125,-1000.0
82,1647469336941649.5,-13.18359375,141.11328125,-604.98046875,-1000.0
83,1647469336945555.8,-24.4140625,128.41796875,-619.62890625,-1000.0
84,1647469336949462.0,-65.4296875,85.44921875,-672.36328125,-1000.0
85,1647469336953368.2,-70.80078125,61.03515625,-679.19921875,-1000.0
86,1647469336957274.5,-28.80859375,117.67578125,-664.0625,-1000.0
87,1647469336961180.8,3.90625,153.3203125,-621.58203125,-1000.0
88,1647469336965087.0,-26.85546875,116.69921875,-776.3671875,-980.46875
89,1647469336968993.2,-69.82421875,85.44921875,-823.2421875,-992.1875
90,1647469336972899.5,-51.26953125,99.12109375,-679.19921875,-962.40234375
91,1647469336976805.8,-16.11328125,129.39453125,-649.4140625,-836.42578125
92,1647469336980712.0,-48.33984375,110.3515625,-737.79296875,-473.14453125
93,1647469336984618.2,-79.58984375,89.35546875,-710.9375,-447.265625
94,1647469336988524.5,-60.546875,85.9375,-619.62890625,-886.71875
95,1647469336992430.8,-27.83203125,108.3984375,-653.80859375,-913.0859375
96,1647469336996337.0,-30.2734375,140.625,-703.125,-938.4765625
97,1647469337000243.2,-40.0390625,137.6953125,-657.2265625,-1000.0
98,1647469337004149.5,-51.7578125,122.0703125,-627.44140625,-997.55859375
99,1647469337008055.8,-30.2734375,99.12109375,-705.078125,-1000.0
100,1647469337011962.0,-28.80859375,102.05078125,-759.27734375,-1000.0
101,1647469337015868.2,-62.5,120.60546875,-720.703125,-1000.0
102,1647469337019774.5,-96.6796875,101.07421875,-696.2890625,-1000.0
103,1647469337023680.8,-95.21484375,97.65625,-769.53125,-1000.0
104,1647469337027587.0,-60.05859375,118.1640625,-791.9921875,-1000.0
105,1647469337031493.2,-38.57421875,94.7265625,-650.390625,-1000.0
106,1647469337035399.5,-85.44921875,94.23828125,-595.21484375,-1000.0
107,1647469337039305.8,-112.79296875,111.81640625,-739.74609375,-1000.0
108,1647469337043212.0,-46.875,114.74609375,-776.3671875,-1000.0
109,1647469337047118.2,-17.08984375,132.32421875,-606.93359375,-1000.0
110,1647469337051024.5,-107.91015625,80.56640625,-635.7421875,-1000.0
111,1647469337054930.8,-135.7421875,69.82421875,-675.29296875,-1000.0
112,1647469337058837.0,-66.89453125,128.90625,-653.3203125,-1000.0
113,1647469337062743.2,-44.43359375,138.671875,-660.64453125,-1000.0
114,1647469337066649.5,-60.05859375,121.58203125,-655.76171875,-1000.0
115,1647469337070555.8,-92.7734375,101.07421875,-722.65625,-1000.0
116,1647469337074462.0,-60.546875,97.16796875,-688.4765625,-1000.0
117,1647469337078368.2,-15.13671875,115.72265625,-556.640625,-1000.0
118,1647469337082274.5,-36.1328125,89.84375,-615.234375,-1000.0
119,1647469337086180.8,-99.12109375,68.84765625,-696.77734375,-1000.0
120,1647469337090087.0,-89.84375,114.74609375,-609.86328125,-1000.0
121,1647469337093993.2,-35.64453125,128.90625,-541.50390625,-1000.0
122,1647469337097899.5,-41.015625,115.72265625,-638.18359375,-1000.0
123,1647469337101805.8,-87.40234375,119.140625,-686.5234375,-1000.0
124,1647469337105712.0,-85.44921875,139.16015625,-604.98046875,-1000.0
125,1647469337109618.2,-64.453125,148.4375,-621.58203125,-1000.0
