,time,c1,c2,c3,c4
0,1647468889532165.0,-358.3984375,-109.86328125,-12.6953125,971.19140625
1,1647468889536071.2,-321.2890625,-107.421875,-19.04296875,971.19140625
2,1647468889539977.5,-765.13671875,-104.98046875,-32.2265625,971.6796875
3,1647468889543883.8,-1000.0,-105.46875,-24.90234375,971.19140625
4,1647468889547790.0,-983.3984375,-101.07421875,-16.11328125,971.19140625
5,1647468889551696.2,-1000.0,-90.8203125,-22.94921875,971.19140625
6,1647468889555602.5,-1000.0,-95.21484375,-39.55078125,971.6796875
7,1647468889559508.8,-1000.0,-101.5625,-22.94921875,971.19140625
8,1647468889563415.0,-1000.0,-90.33203125,-3.41796875,971.19140625
9,1647468889567321.2,-1000.0,-86.42578125,-19.53125,971.19140625
10,1647468889571227.5,-1000.0,-86.9140625,-31.25,971.6796875
11,1647468889575133.8,-1000.0,-82.03125,-14.16015625,971.19140625
12,1647468889579040.0,-1000.0,-80.56640625,-2.9296875,971.19140625
13,1647468889582946.2,-1000.0,-75.1953125,-17.08984375,971.19140625
14,1647468889586852.5,-1000.0,-78.125,-37.59765625,971.19140625
15,1647468889590758.8,-1000.0,-74.21875,-28.80859375,971.19140625
16,1647468889594665.0,-1000.0,-69.3359375,-17.578125,971.19140625
17,1647468889598571.2,-1000.0,-80.56640625,-30.2734375,971.19140625
18,1647468889602477.5,-1000.0,-98.14453125,-37.109375,971.6796875
19,1647468889606383.8,-1000.0,-89.84375,-17.578125,971.19140625
20,1647468889610290.0,-1000.0,-78.61328125,-18.5546875,971.19140625
21,1647468889614196.2,-1000.0,-79.1015625,-35.64453125,971.19140625
22,1647468889618102.5,-1000.0,-76.171875,-34.66796875,971.19140625
23,1647468889622008.8,-1000.0,-77.63671875,-24.4140625,971.19140625
24,1647468889625915.0,-1000.0,-85.44921875,-29.296875,971.19140625
25,1647468889629821.2,-1000.0,-81.0546875,-39.55078125,971.6796875
26,1647468889633727.5,-1000.0,-75.1953125,-37.59765625,971.19140625
27,1647468889637633.8,-1000.0,-77.63671875,-29.296875,971.19140625
28,1647468889641540.0,-1000.0,-75.1953125,-36.1328125,971.19140625
29,1647468889645446.2,-1000.0,-81.0546875,-53.22265625,971.19140625
