,time,c1,c2,c3,c4
0,1647468550532165.0,404.78515625,-46.875,-10.25390625,703.61328125
1,1647468550536071.2,288.0859375,-33.203125,-19.04296875,-103.02734375
2,1647468550539977.5,-149.4140625,-36.1328125,-27.34375,-921.38671875
3,1647468550543883.8,401.85546875,-36.62109375,-41.015625,-1000.0
4,1647468550547790.0,-947.75390625,-24.4140625,-34.1796875,-975.09765625
5,1647468550551696.2,859.86328125,-34.1796875,-29.296875,-1000.0
6,1647468550555602.5,369.140625,-35.15625,-29.78515625,-1000.0
7,1647468550559508.8,685.05859375,-34.1796875,-22.94921875,-1000.0
8,1647468550563415.0,-933.59375,-44.43359375,-23.4375,-1000.0
9,1647468550567321.2,747.55859375,-39.0625,-23.92578125,-1000.0
10,1647468550571227.5,-89.35546875,-37.59765625,-30.2734375,-1000.0
11,1647468550575133.8,-225.09765625,-53.22265625,-28.3203125,-1000.0
12,1647468550579040.0,186.5234375,-52.24609375,-17.08984375,-1000.0
13,1647468550582946.2,-104.4921875,-42.48046875,-16.6015625,-987.79296875
14,1647468550586852.5,-453.125,-31.25,-18.06640625,-991.2109375
15,1647468550590758.8,-513.18359375,-29.296875,-16.11328125,-997.0703125
16,1647468550594665.0,-160.64453125,-41.50390625,-11.71875,-421.875
17,1647468550598571.2,27.83203125,-27.34375,-10.25390625,434.08203125
18,1647468550602477.5,-90.33203125,-25.390625,-12.6953125,536.62109375
19,1647468550606383.8,-289.55078125,-36.1328125,-15.625,-186.03515625
20,1647468550610290.0,103.515625,-23.4375,-21.97265625,-164.55078125
21,1647468550614196.2,381.8359375,-28.3203125,-17.578125,263.671875
22,1647468550618102.5,774.4140625,-25.87890625,-10.25390625,-188.96484375
23,1647468550622008.8,720.703125,-21.97265625,-12.6953125,-906.25
24,1647468550625915.0,563.96484375,-39.55078125,-25.87890625,-1000.0
25,1647468550629821.2,877.44140625,-37.109375,-25.87890625,-974.609375
26,1647468550633727.5,-989.2578125,-11.71875,-12.6953125,-1000.0
27,1647468550637633.8,669.921875,-20.5078125,-12.20703125,-1000.0
28,1647468550641540.0,257.8125,-21.484375,-22.94921875,-1000.0
29,1647468550645446.2,593.75,-19.53125,-24.4140625,-1000.0
30,1647468550649352.5,982.91015625,-25.390625,-20.5078125,-979.00390625
31,1647468550653258.8,877.9296875,-23.4375,-16.6015625,-983.88671875
32,1647468550657165.0,230.95703125,-30.2734375,-19.53125,-1000.0
33,1647468550661071.2,422.8515625,-45.8984375,-17.08984375,-620.1171875
34,1647468550664977.5,-981.93359375,-26.85546875,-8.30078125,-83.984375
35,1647468550668883.8,962.890625,-14.6484375,-7.32421875,-146.484375
36,1647468550672790.0,284.66796875,-6.8359375,-14.6484375,-836.9140625
37,1647468550676696.2,404.78515625,-11.23046875,-15.13671875,-716.796875
38,1647468550680602.5,-960.44921875,-25.390625,-14.16015625,-164.0625
39,1647468550684508.8,950.68359375,-28.80859375,-20.5078125,-310.05859375
40,1647468550688415.0,158.203125,-42.48046875,-25.87890625,-891.6015625
41,1647468550692321.2,12.6953125,-41.015625,-33.69140625,-989.2578125
42,1647468550696227.5,729.4921875,-25.390625,-19.04296875,-688.4765625
43,1647468550700133.8,931.15234375,-27.83203125,-6.8359375,-792.48046875
44,1647468550704040.0,122.55859375,-40.52734375,-19.53125,-997.0703125
45,1647468550707946.2,-12.6953125,-41.9921875,-19.04296875,-1000.0
46,1647468550711852.5,826.171875,-28.3203125,-17.578125,-995.60546875
47,1647468550715758.8,920.8984375,-19.53125,-24.90234375,-1000.0
48,1647468550719665.0,322.265625,-37.109375,-26.85546875,-996.58203125
49,1647468550723571.2,184.5703125,-33.203125,-22.94921875,-997.0703125
50,1647468550727477.5,737.79296875,-15.625,-27.83203125,-1000.0
51,1647468550731383.8,-990.72265625,-20.5078125,-23.92578125,-824.21875
52,1647468550735290.0,930.6640625,-36.1328125,-12.6953125,-711.9140625
53,1647468550739196.2,462.890625,-46.875,-11.71875,-980.46875
54,1647468550743102.5,498.53515625,-25.390625,-15.13671875,-958.0078125
55,1647468550747008.8,861.328125,-15.13671875,-14.6484375,-598.14453125
56,1647468550750915.0,877.9296875,-30.76171875,-12.6953125,-620.60546875
57,1647468550754821.2,650.390625,-25.390625,-9.27734375,-950.68359375
58,1647468550758727.5,476.07421875,-24.4140625,-10.25390625,-1000.0
59,1647468550762633.8,824.70703125,-17.578125,-14.16015625,-901.3671875
60,1647468550766540.0,970.703125,-23.4375,-9.765625,-870.60546875
61,1647468550770446.2,915.52734375,-23.4375,-3.41796875,-980.46875
62,1647468550774352.5,641.6015625,-28.3203125,-10.25390625,-1000.0
63,1647468550778258.8,625.9765625,-27.83203125,-20.01953125,-926.26953125
64,1647468550782165.0,940.4296875,-19.53125,-8.7890625,-888.671875
65,1647468550786071.2,815.4296875,-24.90234375,-0.48828125,-971.6796875
66,1647468550789977.5,120.60546875,-26.3671875,-9.27734375,-1000.0
67,1647468550793883.8,172.8515625,-27.34375,-20.5078125,-942.87109375
68,1647468550797790.0,874.51171875,-12.20703125,-13.671875,-627.44140625
69,1647468550801696.2,-976.07421875,-15.13671875,-10.7421875,-480.46875
70,1647468550805602.5,441.40625,-34.1796875,-14.16015625,-924.8046875
71,1647468550809508.8,364.74609375,-18.5546875,-9.765625,-843.26171875
72,1647468550813415.0,922.8515625,-8.7890625,-12.6953125,-173.33984375
73,1647468550817321.2,-969.23828125,-20.99609375,-17.08984375,-83.0078125
74,1647468550821227.5,541.015625,-17.08984375,-21.97265625,-711.9140625
75,1647468550825133.8,340.33203125,-15.625,-26.3671875,-1000.0
76,1647468550829040.0,861.81640625,-27.83203125,-27.83203125,-692.3828125
77,1647468550832946.2,-934.5703125,-12.20703125,-22.94921875,-594.7265625
78,1647468550836852.5,715.8203125,-11.23046875,-16.11328125,-896.484375
79,1647468550840758.8,407.71484375,-33.69140625,-24.4140625,-1000.0
80,1647468550844665.0,856.4453125,-24.90234375,-23.92578125,-953.61328125
81,1647468550848571.2,-929.19921875,-21.484375,-26.85546875,-844.7265625
