,time,c1,c2,c3,c4
0,1647468454391540.0,31.73828125,-43.45703125,-507.32421875,-1.46484375
1,1647468454395446.2,27.83203125,-41.015625,-545.41015625,27.83203125
2,1647468454399352.5,37.109375,-35.64453125,-579.58984375,-26.3671875
3,1647468454403258.8,39.55078125,-23.4375,-534.1796875,-45.8984375
4,1647468454407165.0,35.64453125,-28.80859375,-493.1640625,35.64453125
5,1647468454411071.2,13.671875,-38.57421875,-604.98046875,69.82421875
6,1647468454414977.5,3.90625,-41.50390625,-601.5625,35.15625
7,1647468454418883.8,11.23046875,-41.50390625,-461.9140625,-21.97265625
8,1647468454422790.0,18.5546875,-37.59765625,-486.81640625,38.57421875
9,1647468454426696.2,38.57421875,-37.109375,-666.015625,87.40234375
10,1647468454430602.5,29.78515625,-49.31640625,-563.4765625,48.33984375
11,1647468454434508.8,4.39453125,-51.26953125,-456.0546875,-19.04296875
12,1647468454438415.0,16.6015625,-51.26953125,-510.7421875,14.16015625
13,1647468454442321.2,6.8359375,-51.7578125,-495.1171875,66.89453125
14,1647468454446227.5,3.90625,-41.015625,-524.4140625,29.78515625
15,1647468454450133.8,-1.46484375,-51.7578125,-478.515625,-51.26953125
16,1647468454454040.0,-11.71875,-58.10546875,-504.39453125,-60.05859375
17,1647468454457946.2,-6.8359375,-63.4765625,-663.0859375,26.85546875
18,1647468454461852.5,-8.30078125,-72.75390625,-527.34375,40.52734375
19,1647468454465758.8,-15.13671875,-66.40625,-431.15234375,-7.32421875
20,1647468454469665.0,-24.90234375,-65.91796875,-556.15234375,-41.50390625
21,1647468454473571.2,-8.7890625,-69.82421875,-580.078125,2.44140625
22,1647468454477477.5,0.9765625,-69.82421875,-461.9140625,8.7890625
23,1647468454481383.8,-3.90625,-67.3828125,-477.05078125,-46.38671875
24,1647468454485290.0,-4.8828125,-69.3359375,-548.33984375,-106.93359375
25,1647468454489196.2,-6.8359375,-62.5,-485.3515625,-39.55078125
26,1647468454493102.5,8.7890625,-53.22265625,-476.07421875,45.41015625
27,1647468454497008.8,10.25390625,-59.08203125,-532.71484375,39.55078125
28,1647468454500915.0,0.48828125,-52.24609375,-611.81640625,-34.66796875
29,1647468454504821.2,3.90625,-53.22265625,-600.5859375,-9.27734375
30,1647468454508727.5,4.8828125,-61.5234375,-495.60546875,61.5234375
31,1647468454512633.8,20.01953125,-56.15234375,-528.3203125,57.6171875
32,1647468454516540.0,16.6015625,-59.08203125,-653.3203125,-7.32421875
33,1647468454520446.2,1.953125,-63.96484375,-552.24609375,-11.71875
34,1647468454524352.5,21.484375,-57.12890625,-423.828125,47.8515625
35,1647468454528258.8,36.62109375,-67.87109375,-493.65234375,57.12890625
36,1647468454532165.0,24.4140625,-68.84765625,-657.71484375,14.6484375
37,1647468454536071.2,4.39453125,-68.359375,-563.4765625,-42.48046875
38,1647468454539977.5,5.37109375,-65.4296875,-443.359375,20.5078125
39,1647468454543883.8,5.859375,-72.265625,-494.62890625,67.3828125
40,1647468454547790.0,7.32421875,-80.56640625,-509.27734375,32.71484375
41,1647468454551696.2,2.44140625,-83.0078125,-542.96875,-21.484375
42,1647468454555602.5,7.32421875,-80.56640625,-521.97265625,26.3671875
43,1647468454559508.8,20.5078125,-74.21875,-557.12890625,80.078125
44,1647468454563415.0,23.4375,-73.73046875,-661.1328125,62.98828125
45,1647468454567321.2,6.8359375,-79.58984375,-517.08984375,-19.04296875
46,1647468454571227.5,22.94921875,-78.61328125,-449.70703125,-17.08984375
47,1647468454575133.8,39.55078125,-77.1484375,-538.0859375,54.6875
48,1647468454579040.0,18.5546875,-79.58984375,-534.1796875,41.50390625
49,1647468454582946.2,12.6953125,-78.125,-479.00390625,-32.2265625
50,1647468454586852.5,17.08984375,-73.2421875,-495.1171875,-33.69140625
51,1647468454590758.8,36.62109375,-72.265625,-585.44921875,71.2890625
52,1647468454594665.0,33.203125,-71.77734375,-546.875,95.703125
53,1647468454598571.2,14.16015625,-77.63671875,-521.484375,15.13671875
54,1647468454602477.5,14.16015625,-76.171875,-557.12890625,-34.1796875
55,1647468454606383.8,18.5546875,-57.12890625,-634.765625,50.78125
56,1647468454610290.0,25.87890625,-62.01171875,-541.015625,101.5625
57,1647468454614196.2,19.53125,-83.0078125,-423.33984375,30.76171875
58,1647468454618102.5,7.32421875,-75.68359375,-498.53515625,-49.31640625
59,1647468454622008.8,22.94921875,-66.89453125,-586.42578125,7.8125
60,1647468454625915.0,23.4375,-65.4296875,-504.8828125,64.453125
61,1647468454629821.2,1.46484375,-69.3359375,-442.87109375,41.50390625
62,1647468454633727.5,-5.859375,-71.77734375,-526.3671875,-30.2734375
63,1647468454637633.8,-9.27734375,-62.98828125,-604.4921875,-19.04296875
64,1647468454641540.0,-6.34765625,-61.03515625,-519.04296875,69.3359375
65,1647468454645446.2,-5.859375,-62.98828125,-516.6015625,72.265625
66,1647468454649352.5,-6.34765625,-60.05859375,-587.890625,14.16015625
67,1647468454653258.8,-5.859375,-62.5,-647.94921875,-7.8125
68,1647468454657165.0,2.9296875,-70.3125,-516.11328125,66.40625
69,1647468454661071.2,3.90625,-62.5,-434.08203125,104.4921875
70,1647468454664977.5,-3.90625,-64.94140625,-516.6015625,36.1328125
71,1647468454668883.8,-6.34765625,-67.3828125,-510.25390625,-27.83203125
72,1647468454672790.0,1.46484375,-62.98828125,-445.80078125,42.48046875
73,1647468454676696.2,5.37109375,-73.2421875,-463.37890625,81.0546875
74,1647468454680602.5,2.44140625,-78.125,-570.3125,53.22265625
75,1647468454684508.8,-17.08984375,-57.12890625,-584.47265625,-18.06640625
76,1647468454688415.0,-7.32421875,-52.24609375,-492.1875,0.0
77,1647468454692321.2,6.8359375,-49.31640625,-516.11328125,80.078125
78,1647468454696227.5,-4.8828125,-46.875,-624.51171875,60.05859375
79,1647468454700133.8,0.0,-55.6640625,-570.3125,-34.66796875
80,1647468454704040.0,5.37109375,-55.17578125,-444.82421875,-46.38671875
81,1647468454707946.2,0.48828125,-50.78125,-457.51953125,45.41015625
82,1647468454711852.5,-2.9296875,-51.26953125,-645.01953125,66.40625
83,1647468454715758.8,5.859375,-48.828125,-577.1484375,-7.32421875
84,1647468454719665.0,-6.34765625,-53.7109375,-448.2421875,-80.56640625
85,1647468454723571.2,-20.99609375,-62.5,-502.9296875,-13.671875
86,1647468454727477.5,-14.6484375,-62.5,-601.5625,49.8046875
87,1647468454731383.8,-21.484375,-66.89453125,-519.04296875,27.83203125
88,1647468454735290.0,-12.6953125,-62.5,-466.30859375,-25.390625
89,1647468454739196.2,-0.48828125,-51.26953125,-554.6875,3.41796875
90,1647468454743102.5,-18.5546875,-57.6171875,-668.45703125,49.8046875
91,1647468454747008.8,-27.83203125,-78.125,-527.34375,25.87890625
92,1647468454750915.0,-24.90234375,-70.3125,-442.87109375,-54.6875
93,1647468454754821.2,-16.6015625,-65.4296875,-560.546875,-31.73828125
94,1647468454758727.5,-0.48828125,-60.05859375,-580.078125,67.3828125
95,1647468454762633.8,-4.8828125,-60.546875,-482.421875,60.05859375
96,1647468454766540.0,-29.78515625,-63.96484375,-471.6796875,-20.5078125
97,1647468454770446.2,-23.92578125,-54.6875,-514.6484375,-34.1796875
98,1647468454774352.5,-14.16015625,-51.7578125,-521.484375,31.25
99,1647468454778258.8,-19.53125,-50.29296875,-526.85546875,50.78125
100,1647468454782165.0,-13.671875,-48.33984375,-507.8125,-0.48828125
101,1647468454786071.2,-12.20703125,-45.8984375,-624.51171875,-18.06640625
102,1647468454789977.5,-12.20703125,-46.38671875,-562.01171875,41.015625
103,1647468454793883.8,-5.859375,-54.6875,-439.453125,12.20703125
104,1647468454797790.0,-1.46484375,-47.36328125,-534.1796875,-49.31640625
105,1647468454801696.2,-0.48828125,-45.8984375,-690.4296875,-91.30859375
106,1647468454805602.5,2.44140625,-47.8515625,-564.94140625,-39.0625
107,1647468454809508.8,8.7890625,-48.828125,-421.875,33.203125
108,1647468454813415.0,-8.7890625,-55.17578125,-494.140625,17.578125
109,1647468454817321.2,-26.3671875,-49.8046875,-645.5078125,-40.52734375
110,1647468454821227.5,-2.44140625,-50.29296875,-536.1328125,-34.66796875
111,1647468454825133.8,15.13671875,-55.17578125,-415.0390625,28.80859375
112,1647468454829040.0,-7.8125,-48.33984375,-504.8828125,43.9453125
113,1647468454832946.2,-16.6015625,-40.52734375,-570.3125,-11.23046875
114,1647468454836852.5,-17.08984375,-47.36328125,-498.53515625,-38.0859375
115,1647468454840758.8,-11.23046875,-57.6171875,-437.01171875,20.5078125
116,1647468454844665.0,-8.7890625,-53.7109375,-559.08203125,48.33984375
117,1647468454848571.2,-12.6953125,-40.0390625,-591.30859375,19.04296875
118,1647468454852477.5,-8.30078125,-47.8515625,-485.3515625,-27.83203125
119,1647468454856383.8,6.8359375,-46.875,-512.6953125,34.66796875
120,1647468454860290.0,15.625,-43.9453125,-555.17578125,82.03125
121,1647468454864196.2,7.8125,-51.7578125,-506.8359375,32.71484375
122,1647468454868102.5,-7.32421875,-47.36328125,-469.7265625,-42.48046875
123,1647468454872008.8,-3.41796875,-44.43359375,-533.203125,-5.859375
124,1647468454875915.0,12.20703125,-51.26953125,-582.03125,61.03515625
125,1647468454879821.2,8.30078125,-55.6640625,-591.796875,39.55078125
126,1647468454883727.5,5.859375,-45.41015625,-503.90625,-49.8046875
127,1647468454887633.8,-1.953125,-38.57421875,-476.07421875,-71.2890625
128,1647468454891540.0,-6.34765625,-40.0390625,-650.390625,-8.7890625
129,1647468454895446.2,-5.859375,-46.875,-575.1953125,-4.39453125
130,1647468454899352.5,-16.11328125,-52.734375,-447.265625,-81.0546875
131,1647468454903258.8,-20.01953125,-60.546875,-500.9765625,-116.2109375
132,1647468454907165.0,-8.7890625,-49.8046875,-563.4765625,-35.15625
133,1647468454911071.2,-3.90625,-49.31640625,-502.9296875,-2.44140625
134,1647468454914977.5,-6.34765625,-44.43359375,-505.859375,-58.10546875
135,1647468454918883.8,-6.8359375,-31.73828125,-594.7265625,-97.65625
136,1647468454922790.0,5.37109375,-27.34375,-608.3984375,-39.55078125
137,1647468454926696.2,-5.859375,-29.78515625,-574.70703125,7.8125
138,1647468454930602.5,-21.484375,-43.45703125,-523.92578125,-22.94921875
139,1647468454934508.8,-28.3203125,-41.50390625,-549.31640625,-125.0
140,1647468454938415.0,-36.62109375,-38.0859375,-664.0625,-116.69921875
141,1647468454942321.2,-24.4140625,-44.921875,-492.67578125,-56.15234375
142,1647468454946227.5,-11.71875,-44.43359375,-431.640625,-61.5234375
143,1647468454950133.8,-17.08984375,-46.38671875,-539.0625,-106.4453125
144,1647468454954040.0,-33.69140625,-46.38671875,-505.37109375,-107.91015625
145,1647468454957946.2,-35.64453125,-46.38671875,-462.890625,-46.875
146,1647468454961852.5,-30.2734375,-48.828125,-511.23046875,-26.3671875
147,1647468454965758.8,-47.8515625,-49.31640625,-584.47265625,-55.6640625
148,1647468454969665.0,-49.8046875,-46.38671875,-560.546875,-91.30859375
149,1647468454973571.2,-32.2265625,-48.828125,-513.671875,-54.6875
150,1647468454977477.5,-26.85546875,-52.734375,-537.109375,-13.18359375
151,1647468454981383.8,-33.203125,-48.828125,-670.8984375,-33.203125
152,1647468454985290.0,-41.9921875,-51.26953125,-573.2421875,-100.09765625
153,1647468454989196.2,-23.4375,-53.22265625,-443.84765625,-39.55078125
154,1647468454993102.5,-9.27734375,-54.6875,-510.7421875,30.2734375
155,1647468454997008.8,-9.765625,-55.6640625,-672.8515625,8.30078125
156,1647468455000915.0,-29.78515625,-50.78125,-567.3828125,-77.1484375
157,1647468455004821.2,-30.2734375,-38.0859375,-450.1953125,-66.89453125
158,1647468455008727.5,-1.46484375,-42.96875,-532.71484375,10.7421875
159,1647468455012633.8,-6.34765625,-43.45703125,-501.953125,18.5546875
160,1647468455016540.0,-21.97265625,-38.57421875,-491.69921875,-53.7109375
161,1647468455020446.2,-25.390625,-43.45703125,-523.92578125,-95.21484375
162,1647468455024352.5,-14.6484375,-49.31640625,-574.70703125,-5.37109375
163,1647468455028258.8,-2.9296875,-47.36328125,-687.01171875,33.69140625
164,1647468455032165.0,-14.6484375,-42.96875,-571.2890625,-37.59765625
165,1647468455036071.2,-25.390625,-41.50390625,-454.1015625,-88.37890625
166,1647468455039977.5,-5.37109375,-37.109375,-548.828125,-32.2265625
167,1647468455043883.8,10.7421875,-39.0625,-535.15625,12.6953125
168,1647468455047790.0,-3.90625,-41.9921875,-453.125,-13.671875
169,1647468455051696.2,-20.99609375,-37.59765625,-471.6796875,-106.93359375
170,1647468455055602.5,-1.46484375,-36.62109375,-494.140625,-84.47265625
171,1647468455059508.8,17.578125,-35.15625,-523.4375,-12.6953125
172,1647468455063415.0,9.765625,-41.50390625,-478.515625,-20.99609375
173,1647468455067321.2,9.765625,-58.10546875,-550.29296875,-89.35546875
174,1647468455071227.5,2.44140625,-52.734375,-649.4140625,-61.03515625
175,1647468455075133.8,-19.04296875,-52.734375,-545.41015625,7.8125
176,1647468455079040.0,-14.6484375,-62.01171875,-439.94140625,0.9765625
177,1647468455082946.2,-2.9296875,-62.98828125,-469.7265625,-26.3671875
178,1647468455086852.5,3.41796875,-64.94140625,-673.33984375,-35.15625
179,1647468455090758.8,-1.953125,-54.19921875,-618.65234375,18.06640625
180,1647468455094665.0,4.8828125,-48.828125,-428.7109375,36.1328125
181,1647468455098571.2,0.48828125,-71.77734375,-473.14453125,-22.4609375
182,1647468455102477.5,-12.20703125,-71.77734375,-651.3671875,-86.9140625
183,1647468455106383.8,-8.7890625,-65.91796875,-556.15234375,-39.55078125
184,1647468455110290.0,-17.08984375,-64.94140625,-425.78125,-21.97265625
185,1647468455114196.2,-9.765625,-59.5703125,-548.828125,-49.31640625
186,1647468455118102.5,-15.625,-63.4765625,-658.69140625,-101.5625
187,1647468455122008.8,-18.06640625,-72.75390625,-498.53515625,-105.95703125
188,1647468455125915.0,-3.90625,-77.1484375,-434.5703125,-62.01171875
189,1647468455129821.2,-2.9296875,-67.87109375,-520.5078125,-60.05859375
190,1647468455133727.5,-1.953125,-60.546875,-495.60546875,-127.9296875
191,1647468455137633.8,-7.8125,-62.98828125,-465.8203125,-115.234375
192,1647468455141540.0,-2.44140625,-64.94140625,-477.05078125,-17.578125
193,1647468455145446.2,1.46484375,-64.94140625,-505.37109375,-3.90625
194,1647468455149352.5,-14.16015625,-71.2890625,-553.7109375,-69.3359375
195,1647468455153258.8,-16.6015625,-69.3359375,-547.36328125,-111.81640625
196,1647468455157165.0,-3.41796875,-62.98828125,-491.2109375,-59.08203125
197,1647468455161071.2,3.41796875,-72.265625,-607.421875,-14.16015625
198,1647468455164977.5,-8.7890625,-72.265625,-585.9375,-63.4765625
199,1647468455168883.8,-17.08984375,-57.6171875,-463.37890625,-154.78515625
200,1647468455172790.0,-12.6953125,-59.5703125,-487.3046875,-87.890625
201,1647468455176696.2,-12.6953125,-61.5234375,-636.71875,9.765625
202,1647468455180602.5,-20.01953125,-56.640625,-579.1015625,-25.87890625
203,1647468455184508.8,-8.7890625,-55.6640625,-465.8203125,-129.8828125
204,1647468455188415.0,-3.41796875,-48.33984375,-487.79296875,-101.5625
205,1647468455192321.2,-4.39453125,-57.12890625,-628.90625,-12.6953125
206,1647468455196227.5,-2.9296875,-65.91796875,-537.109375,-22.4609375
207,1647468455200133.8,-9.765625,-59.08203125,-441.40625,-84.9609375
208,1647468455204040.0,0.0,-63.4765625,-541.9921875,-73.2421875
209,1647468455207946.2,28.3203125,-61.5234375,-545.8984375,5.37109375
210,1647468455211852.5,6.34765625,-62.01171875,-544.43359375,30.76171875
211,1647468455215758.8,-11.23046875,-67.3828125,-479.98046875,-41.015625
212,1647468455219665.0,-16.11328125,-60.05859375,-532.2265625,-106.93359375
213,1647468455223571.2,-1.953125,-59.5703125,-657.2265625,-17.578125
214,1647468455227477.5,7.32421875,-62.98828125,-486.328125,25.390625
215,1647468455231383.8,-2.9296875,-55.6640625,-452.63671875,-19.53125
216,1647468455235290.0,-9.27734375,-51.7578125,-573.2421875,-78.125
217,1647468455239196.2,8.7890625,-44.43359375,-531.25,-31.73828125
218,1647468455243102.5,14.16015625,-39.55078125,-479.98046875,41.9921875
219,1647468455247008.8,9.27734375,-51.7578125,-523.92578125,33.69140625
220,1647468455250915.0,13.18359375,-53.7109375,-593.26171875,-53.22265625
221,1647468455254821.2,27.83203125,-41.015625,-591.30859375,-27.34375
222,1647468455258727.5,32.2265625,-36.1328125,-456.54296875,53.7109375
223,1647468455262633.8,17.578125,-43.45703125,-464.84375,35.64453125
224,1647468455266540.0,13.671875,-48.33984375,-648.4375,-24.4140625
225,1647468455270446.2,15.13671875,-46.875,-557.6171875,-54.6875
226,1647468455274352.5,15.625,-45.8984375,-439.94140625,23.92578125
227,1647468455278258.8,17.578125,-39.55078125,-501.953125,52.734375
228,1647468455282165.0,19.04296875,-29.78515625,-673.33984375,6.8359375
229,1647468455286071.2,15.625,-45.8984375,-553.22265625,-31.25
230,1647468455289977.5,28.80859375,-47.36328125,-433.10546875,21.484375
231,1647468455293883.8,37.109375,-37.109375,-515.625,64.453125
232,1647468455297790.0,28.3203125,-37.109375,-508.30078125,21.97265625
233,1647468455301696.2,23.92578125,-26.3671875,-555.6640625,-68.359375
234,1647468455305602.5,43.9453125,-20.5078125,-518.5546875,-53.7109375
235,1647468455309508.8,50.78125,-17.578125,-547.36328125,20.5078125
236,1647468455313415.0,37.109375,-17.08984375,-676.7578125,30.2734375
237,1647468455317321.2,32.2265625,-25.87890625,-519.53125,-33.203125
238,1647468455321227.5,27.83203125,-26.85546875,-462.40234375,-39.55078125
239,1647468455325133.8,42.96875,-24.4140625,-564.94140625,35.64453125
240,1647468455329040.0,49.8046875,-18.5546875,-524.4140625,63.96484375
241,1647468455332946.2,35.15625,-9.27734375,-461.9140625,-20.5078125
242,1647468455336852.5,34.66796875,-23.4375,-494.62890625,-64.453125
243,1647468455340758.8,35.64453125,-30.2734375,-577.63671875,36.1328125
244,1647468455344665.0,31.25,-13.671875,-541.50390625,62.98828125
245,1647468455348571.2,25.390625,-11.23046875,-503.41796875,19.04296875
246,1647468455352477.5,19.04296875,-17.08984375,-548.828125,-37.109375
247,1647468455356383.8,24.90234375,-21.484375,-603.02734375,13.18359375
248,1647468455360290.0,23.92578125,-17.578125,-550.29296875,64.94140625
249,1647468455364196.2,27.34375,-10.25390625,-435.05859375,25.390625
250,1647468455368102.5,27.34375,-23.92578125,-487.79296875,-25.390625
251,1647468455372008.8,24.4140625,-29.296875,-593.26171875,14.16015625
252,1647468455375915.0,47.36328125,-25.390625,-497.55859375,68.359375
253,1647468455379821.2,42.48046875,-28.80859375,-440.4296875,57.12890625
254,1647468455383727.5,29.78515625,-33.203125,-544.921875,14.16015625
255,1647468455387633.8,29.78515625,-30.2734375,-602.5390625,32.71484375
256,1647468455391540.0,20.99609375,-24.90234375,-493.65234375,91.796875
257,1647468455395446.2,24.4140625,-26.85546875,-495.60546875,72.265625
258,1647468455399352.5,25.87890625,-33.203125,-594.23828125,-10.7421875
259,1647468455403258.8,13.671875,-36.1328125,-659.1796875,-47.8515625
260,1647468455407165.0,15.13671875,-30.76171875,-511.23046875,16.6015625
261,1647468455411071.2,18.06640625,-29.296875,-436.03515625,51.7578125
262,1647468455414977.5,14.16015625,-38.57421875,-496.58203125,30.76171875
263,1647468455418883.8,-4.39453125,-41.015625,-504.8828125,-37.109375
264,1647468455422790.0,0.48828125,-34.1796875,-460.9375,-10.25390625
265,1647468455426696.2,28.3203125,-32.2265625,-440.4296875,48.33984375
266,1647468455430602.5,17.08984375,-33.69140625,-521.484375,38.57421875
267,1647468455434508.8,3.90625,-40.52734375,-517.578125,-33.69140625
268,1647468455438415.0,0.48828125,-48.33984375,-460.44921875,-43.45703125
269,1647468455442321.2,-1.46484375,-43.9453125,-509.765625,34.66796875
270,1647468455446227.5,-7.32421875,-42.48046875,-612.3046875,55.6640625
271,1647468455450133.8,-21.97265625,-48.33984375,-542.96875,-37.59765625
272,1647468455454040.0,-9.765625,-53.7109375,-418.9453125,-80.56640625
273,1647468455457946.2,4.8828125,-52.24609375,-459.47265625,15.625
274,1647468455461852.5,-9.765625,-49.8046875,-645.5078125,56.640625
275,1647468455465758.8,-7.8125,-48.33984375,-569.3359375,-7.32421875
276,1647468455469665.0,9.27734375,-48.33984375,-432.6171875,-63.4765625
277,1647468455473571.2,18.06640625,-45.41015625,-498.53515625,3.90625
278,1647468455477477.5,17.08984375,-41.9921875,-625.0,51.7578125
279,1647468455481383.8,11.23046875,-43.45703125,-507.32421875,9.27734375
280,1647468455485290.0,14.16015625,-34.66796875,-436.03515625,-46.38671875
281,1647468455489196.2,16.6015625,-33.203125,-587.890625,7.32421875
282,1647468455493102.5,10.7421875,-42.96875,-660.15625,83.0078125
283,1647468455497008.8,4.39453125,-44.43359375,-508.30078125,68.84765625
284,1647468455500915.0,-8.30078125,-48.828125,-495.1171875,-12.6953125
285,1647468455504821.2,-11.71875,-48.828125,-572.265625,-7.8125
286,1647468455508727.5,-9.27734375,-41.50390625,-543.45703125,83.0078125
287,1647468455512633.8,-12.20703125,-39.0625,-450.68359375,102.05078125
288,1647468455516540.0,-6.8359375,-45.41015625,-453.125,-20.5078125
289,1647468455520446.2,1.46484375,-39.55078125,-486.81640625,-76.171875
290,1647468455524352.5,8.7890625,-30.2734375,-498.53515625,0.0
