,time,c1,c2,c3,c4
0,1648159561154846.0,-38.0859375,-10.25390625,-26.3671875,-46.875
1,1648159561158752.2,-35.64453125,-3.41796875,-18.06640625,-42.48046875
2,1648159561162658.5,-28.80859375,-10.25390625,-11.71875,-33.203125
3,1648159561166564.8,-8.30078125,-10.7421875,-13.18359375,-17.578125
4,1648159561170471.0,-16.11328125,-18.06640625,-26.85546875,-18.5546875
5,1648159561174377.2,-31.25,-21.97265625,-26.3671875,-17.578125
6,1648159561178283.5,-28.3203125,-15.13671875,-18.5546875,-13.671875
7,1648159561182189.8,-29.78515625,-12.6953125,-21.484375,-24.4140625
8,1648159561186096.0,-25.390625,-24.90234375,-22.4609375,-27.34375
9,1648159561190002.2,-24.4140625,-26.85546875,-20.5078125,-21.97265625
10,1648159561193908.5,-37.59765625,-15.13671875,-17.08984375,-35.15625
11,1648159561197814.8,-44.921875,-22.94921875,-22.94921875,-46.38671875
12,1648159561201721.0,-42.48046875,-20.99609375,-27.34375,-45.8984375
13,1648159561205627.2,-36.62109375,-12.6953125,-18.5546875,-48.33984375
14,1648159561209533.5,-47.8515625,-13.18359375,-20.99609375,-60.546875
15,1648159561213439.8,-46.875,-16.6015625,-24.90234375,-57.6171875
16,1648159561217346.0,-37.109375,-13.18359375,-21.97265625,-34.66796875
17,1648159561221252.2,-40.0390625,-0.9765625,-28.80859375,-30.76171875
18,1648159561225158.5,-41.9921875,-0.48828125,-30.76171875,-41.015625
19,1648159561229064.8,-39.55078125,-7.8125,-21.484375,-42.96875
20,1648159561232971.0,-36.1328125,-8.7890625,-20.01953125,-31.73828125
21,1648159561236877.2,-33.203125,-4.8828125,-22.94921875,-26.85546875
22,1648159561240783.5,-37.59765625,-6.34765625,-23.4375,-40.0390625
23,1648159561244689.8,-41.50390625,-6.8359375,-26.3671875,-43.45703125
24,1648159561248596.0,-24.4140625,-6.8359375,-29.78515625,-33.69140625
25,1648159561252502.2,-18.06640625,-2.9296875,-26.85546875,-28.80859375
26,1648159561256408.5,-31.25,-10.25390625,-23.92578125,-39.0625
27,1648159561260314.8,-34.1796875,-17.578125,-24.90234375,-34.1796875
28,1648159561264221.0,-25.390625,-10.7421875,-26.85546875,-20.99609375
29,1648159561268127.2,-14.6484375,-3.41796875,-25.87890625,-15.625
30,1648159561272033.5,-12.20703125,-2.9296875,-27.34375,-19.04296875
31,1648159561275939.8,-27.83203125,-3.41796875,-26.3671875,-24.4140625
32,1648159561279846.0,-25.390625,-1.953125,-20.5078125,-11.71875
33,1648159561283752.2,-13.671875,-10.25390625,-26.3671875,-16.11328125
34,1648159561287658.5,-20.01953125,-32.71484375,-27.34375,-27.83203125
35,1648159561291564.8,-26.85546875,-28.3203125,-29.296875,-35.64453125
36,1648159561295471.0,-25.87890625,-5.37109375,-35.64453125,-40.52734375
37,1648159561299377.2,-21.484375,3.90625,-26.85546875,-38.57421875
38,1648159561303283.5,-22.4609375,1.953125,-27.34375,-47.36328125
39,1648159561307189.8,-32.71484375,-4.8828125,-33.203125,-45.8984375
40,1648159561311096.0,-36.62109375,-6.8359375,-27.83203125,-35.64453125
41,1648159561315002.2,-29.296875,-5.859375,-24.90234375,-35.15625
42,1648159561318908.5,-22.94921875,-1.46484375,-26.85546875,-33.69140625
43,1648159561322814.8,-25.390625,-1.46484375,-28.80859375,-34.1796875
44,1648159561326721.0,-28.80859375,-6.8359375,-24.90234375,-39.55078125
45,1648159561330627.2,-28.3203125,-5.37109375,-23.92578125,-44.43359375
46,1648159561334533.5,-21.484375,-2.44140625,-30.2734375,-40.0390625
47,1648159561338439.8,-24.90234375,-2.44140625,-36.1328125,-30.76171875
48,1648159561342346.0,-40.0390625,0.0,-42.48046875,-34.1796875
49,1648159561346252.2,-29.296875,2.44140625,-37.59765625,-40.0390625
50,1648159561350158.5,-27.34375,2.44140625,-22.94921875,-28.3203125
51,1648159561354064.8,-37.109375,-6.34765625,-20.99609375,-23.92578125
52,1648159561357971.0,-44.921875,-6.34765625,-23.4375,-35.64453125
53,1648159561361877.2,-43.9453125,-7.32421875,-24.4140625,-27.83203125
54,1648159561365783.5,-26.3671875,0.0,-22.4609375,-15.13671875
55,1648159561369689.8,-21.97265625,8.30078125,-18.5546875,-13.18359375
56,1648159561373596.0,-33.69140625,4.8828125,-22.94921875,-11.71875
57,1648159561377502.2,-35.15625,-3.41796875,-25.390625,-24.4140625
58,1648159561381408.5,-22.4609375,-9.765625,-25.87890625,-17.08984375
