,time,c1,c2,c3,c4
0,1648159613701721.0,-28.80859375,-41.015625,-36.1328125,-28.3203125
1,1648159613705627.2,-38.57421875,-39.55078125,-37.109375,-35.15625
2,1648159613709533.5,-44.921875,-32.2265625,-36.1328125,-27.83203125
3,1648159613713439.8,-38.0859375,-28.3203125,-35.15625,-24.90234375
4,1648159613717346.0,-26.3671875,-31.25,-39.0625,-40.0390625
5,1648159613721252.2,-35.64453125,-32.2265625,-37.59765625,-34.1796875
6,1648159613725158.5,-50.78125,-29.78515625,-40.52734375,-26.3671875
7,1648159613729064.8,-43.9453125,-24.90234375,-39.55078125,-28.80859375
8,1648159613732971.0,-42.96875,-21.484375,-36.1328125,-32.71484375
9,1648159613736877.2,-55.17578125,-35.15625,-41.9921875,-42.48046875
10,1648159613740783.5,-61.5234375,-41.9921875,-40.52734375,-52.24609375
11,1648159613744689.8,-52.734375,-39.0625,-40.0390625,-39.0625
12,1648159613748596.0,-40.0390625,-39.55078125,-44.921875,-30.2734375
13,1648159613752502.2,-44.43359375,-39.55078125,-40.52734375,-36.62109375
14,1648159613756408.5,-61.03515625,-47.8515625,-41.50390625,-52.734375
15,1648159613760314.8,-62.5,-49.31640625,-47.8515625,-55.6640625
16,1648159613764221.0,-56.15234375,-47.8515625,-45.8984375,-43.45703125
17,1648159613768127.2,-53.22265625,-47.36328125,-42.48046875,-42.48046875
18,1648159613772033.5,-57.12890625,-48.33984375,-56.15234375,-53.22265625
19,1648159613775939.8,-56.640625,-47.36328125,-53.7109375,-63.96484375
20,1648159613779846.0,-47.36328125,-42.48046875,-41.50390625,-67.3828125
21,1648159613783752.2,-43.9453125,-41.50390625,-43.45703125,-48.33984375
22,1648159613787658.5,-42.96875,-37.109375,-34.1796875,-32.71484375
23,1648159613791564.8,-33.69140625,-34.66796875,-27.83203125,-39.55078125
24,1648159613795471.0,-30.76171875,-35.15625,-31.73828125,-33.69140625
25,1648159613799377.2,-26.85546875,-38.0859375,-36.1328125,-19.53125
26,1648159613803283.5,-24.90234375,-44.43359375,-38.57421875,-18.5546875
27,1648159613807189.8,-37.109375,-37.59765625,-40.0390625,-34.1796875
28,1648159613811096.0,-30.76171875,-30.76171875,-32.2265625,-25.390625
29,1648159613815002.2,-27.34375,-26.85546875,-27.83203125,-6.8359375
30,1648159613818908.5,-27.83203125,-35.64453125,-30.2734375,-12.6953125
31,1648159613822814.8,-33.203125,-39.55078125,-35.15625,-24.4140625
32,1648159613826721.0,-34.66796875,-41.015625,-35.64453125,-28.80859375
33,1648159613830627.2,-24.90234375,-35.64453125,-35.64453125,-20.5078125
34,1648159613834533.5,-20.5078125,-27.83203125,-35.15625,-20.5078125
35,1648159613838439.8,-23.4375,-36.1328125,-27.83203125,-35.15625
36,1648159613842346.0,-33.69140625,-26.85546875,-32.71484375,-39.55078125
37,1648159613846252.2,-33.69140625,-21.484375,-34.66796875,-29.296875
38,1648159613850158.5,-23.4375,-25.390625,-28.3203125,-26.3671875
39,1648159613854064.8,-23.92578125,-29.78515625,-26.3671875,-25.87890625
40,1648159613857971.0,-31.73828125,-35.64453125,-31.25,-25.87890625
41,1648159613861877.2,-32.2265625,-33.69140625,-33.203125,-23.92578125
42,1648159613865783.5,-34.1796875,-35.64453125,-23.92578125,-30.76171875
43,1648159613869689.8,-39.55078125,-34.1796875,-20.5078125,-45.41015625
44,1648159613873596.0,-51.26953125,-22.94921875,-26.85546875,-50.78125
45,1648159613877502.2,-53.22265625,-22.94921875,-20.99609375,-45.8984375
46,1648159613881408.5,-42.96875,-30.76171875,-16.6015625,-48.828125
47,1648159613885314.8,-46.38671875,-30.76171875,-23.4375,-47.8515625
48,1648159613889221.0,-57.12890625,-29.296875,-26.3671875,-45.8984375
49,1648159613893127.2,-47.36328125,-29.296875,-30.76171875,-44.43359375
50,1648159613897033.5,-34.66796875,-35.15625,-27.34375,-37.59765625
51,1648159613900939.8,-36.62109375,-38.57421875,-25.87890625,-33.203125
52,1648159613904846.0,-45.41015625,-35.15625,-30.2734375,-44.921875
53,1648159613908752.2,-48.33984375,-39.55078125,-22.94921875,-40.52734375
54,1648159613912658.5,-38.0859375,-33.203125,-19.53125,-38.0859375
55,1648159613916564.8,-41.015625,-32.2265625,-28.80859375,-42.96875
56,1648159613920471.0,-46.38671875,-44.43359375,-33.203125,-37.59765625
57,1648159613924377.2,-50.29296875,-36.62109375,-30.2734375,-41.50390625
58,1648159613928283.5,-42.48046875,-41.50390625,-29.296875,-43.45703125
59,1648159613932189.8,-37.59765625,-34.66796875,-35.15625,-41.015625
60,1648159613936096.0,-37.109375,-36.62109375,-43.9453125,-42.48046875
61,1648159613940002.2,-43.45703125,-54.19921875,-46.875,-48.33984375
62,1648159613943908.5,-47.8515625,-36.1328125,-42.48046875,-43.45703125
63,1648159613947814.8,-43.45703125,-28.80859375,-37.59765625,-32.71484375
64,1648159613951721.0,-49.31640625,-39.55078125,-39.0625,-34.66796875
65,1648159613955627.2,-53.22265625,-32.2265625,-43.45703125,-53.22265625
66,1648159613959533.5,-57.12890625,-32.71484375,-40.0390625,-66.89453125
67,1648159613963439.8,-49.31640625,-37.59765625,-38.0859375,-51.26953125
68,1648159613967346.0,-40.0390625,-40.0390625,-36.62109375,-41.015625
69,1648159613971252.2,-59.08203125,-45.8984375,-40.52734375,-57.12890625
70,1648159613975158.5,-62.98828125,-39.55078125,-40.52734375,-64.453125
71,1648159613979064.8,-44.43359375,-34.1796875,-41.50390625,-42.96875
72,1648159613982971.0,-43.9453125,-38.0859375,-47.36328125,-31.25
73,1648159613986877.2,-55.6640625,-48.33984375,-47.36328125,-48.33984375
74,1648159613990783.5,-54.6875,-45.8984375,-38.57421875,-49.8046875
75,1648159613994689.8,-38.0859375,-30.76171875,-36.1328125,-35.64453125
76,1648159613998596.0,-33.203125,-24.90234375,-35.15625,-34.66796875
77,1648159614002502.2,-45.8984375,-39.0625,-36.62109375,-40.0390625
78,1648159614006408.5,-53.22265625,-38.57421875,-41.50390625,-38.57421875
79,1648159614010314.8,-44.921875,-20.01953125,-43.45703125,-27.83203125
80,1648159614014221.0,-39.55078125,-26.85546875,-32.2265625,-30.2734375
81,1648159614018127.2,-37.59765625,-30.2734375,-18.06640625,-39.0625
82,1648159614022033.5,-48.828125,-30.76171875,-24.90234375,-39.0625
83,1648159614025939.8,-53.22265625,-43.45703125,-33.203125,-29.78515625
84,1648159614029846.0,-48.33984375,-46.38671875,-28.80859375,-23.92578125
85,1648159614033752.2,-38.57421875,-41.50390625,-21.97265625,-34.66796875
86,1648159614037658.5,-37.109375,-36.1328125,-23.92578125,-41.50390625
87,1648159614041564.8,-62.98828125,-33.203125,-26.85546875,-50.29296875
88,1648159614045471.0,-52.734375,-41.9921875,-28.80859375,-50.29296875
89,1648159614049377.2,-44.921875,-41.50390625,-29.78515625,-41.9921875
90,1648159614053283.5,-56.15234375,-41.9921875,-34.1796875,-34.1796875
91,1648159614057189.8,-63.4765625,-39.0625,-39.0625,-34.66796875
92,1648159614061096.0,-53.22265625,-36.1328125,-35.15625,-42.48046875
93,1648159614065002.2,-38.0859375,-40.0390625,-20.5078125,-37.109375
94,1648159614068908.5,-38.57421875,-31.25,-12.6953125,-31.73828125
95,1648159614072814.8,-44.921875,-25.390625,-15.625,-29.296875
96,1648159614076721.0,-47.8515625,-20.01953125,-9.765625,-28.80859375
97,1648159614080627.2,-27.34375,-18.06640625,-10.7421875,-26.3671875
98,1648159614084533.5,-21.97265625,-27.83203125,-23.4375,-25.390625
99,1648159614088439.8,-35.15625,-29.78515625,-24.4140625,-31.73828125
100,1648159614092346.0,-48.828125,-35.64453125,-23.4375,-47.36328125
101,1648159614096252.2,-39.0625,-28.3203125,-21.484375,-36.1328125
102,1648159614100158.5,-16.11328125,-18.5546875,-21.484375,-29.296875
103,1648159614104064.8,-33.203125,-34.1796875,-23.4375,-40.0390625
104,1648159614107971.0,-63.96484375,-40.52734375,-22.94921875,-49.8046875
105,1648159614111877.2,-50.29296875,-36.1328125,-27.83203125,-46.875
106,1648159614115783.5,-41.9921875,-30.2734375,-34.1796875,-43.9453125
107,1648159614119689.8,-51.7578125,-26.3671875,-33.203125,-45.8984375
108,1648159614123596.0,-56.15234375,-29.78515625,-23.4375,-48.828125
109,1648159614127502.2,-50.78125,-34.66796875,-18.5546875,-33.203125
110,1648159614131408.5,-45.8984375,-30.76171875,-28.3203125,-25.390625
111,1648159614135314.8,-46.38671875,-25.390625,-31.25,-32.71484375
112,1648159614139221.0,-50.29296875,-30.2734375,-32.2265625,-46.38671875
113,1648159614143127.2,-49.8046875,-34.1796875,-38.57421875,-56.15234375
114,1648159614147033.5,-46.38671875,-29.296875,-43.45703125,-52.734375
115,1648159614150939.8,-43.45703125,-22.4609375,-44.921875,-59.08203125
116,1648159614154846.0,-42.48046875,-29.78515625,-37.59765625,-64.94140625
117,1648159614158752.2,-48.828125,-38.57421875,-31.25,-55.6640625
118,1648159614162658.5,-37.59765625,-30.2734375,-33.203125,-37.59765625
119,1648159614166564.8,-32.71484375,-31.25,-37.59765625,-32.71484375
120,1648159614170471.0,-37.59765625,-33.203125,-33.69140625,-32.71484375
121,1648159614174377.2,-36.1328125,-32.2265625,-25.390625,-30.76171875
122,1648159614178283.5,-31.73828125,-32.2265625,-35.15625,-25.87890625
123,1648159614182189.8,-18.5546875,-27.83203125,-33.69140625,-24.4140625
124,1648159614186096.0,-16.11328125,-24.4140625,-26.85546875,-26.85546875
125,1648159614190002.2,-39.55078125,-25.390625,-32.2265625,-34.1796875
126,1648159614193908.5,-47.8515625,-29.78515625,-32.71484375,-32.71484375
127,1648159614197814.8,-33.203125,-25.87890625,-26.3671875,-32.71484375
128,1648159614201721.0,-34.66796875,-22.4609375,-26.3671875,-40.0390625
129,1648159614205627.2,-43.9453125,-23.92578125,-31.73828125,-34.1796875
130,1648159614209533.5,-41.9921875,-23.92578125,-29.296875,-32.2265625
131,1648159614213439.8,-32.71484375,-21.484375,-23.4375,-35.64453125
132,1648159614217346.0,-32.71484375,-28.3203125,-28.3203125,-26.85546875
133,1648159614221252.2,-34.1796875,-33.203125,-33.203125,-26.3671875
134,1648159614225158.5,-36.1328125,-38.57421875,-37.109375,-32.2265625
135,1648159614229064.8,-32.2265625,-33.203125,-39.0625,-29.296875
136,1648159614232971.0,-33.69140625,-22.94921875,-34.1796875,-27.83203125
137,1648159614236877.2,-33.69140625,-33.203125,-40.0390625,-26.85546875
138,1648159614240783.5,-29.78515625,-36.1328125,-41.015625,-25.87890625
139,1648159614244689.8,-32.2265625,-24.90234375,-39.55078125,-23.92578125
140,1648159614248596.0,-27.83203125,-22.4609375,-46.38671875,-22.4609375
141,1648159614252502.2,-21.97265625,-23.92578125,-45.41015625,-22.94921875
142,1648159614256408.5,-34.66796875,-23.92578125,-38.57421875,-34.1796875
143,1648159614260314.8,-37.59765625,-32.71484375,-41.015625,-43.45703125
144,1648159614264221.0,-25.87890625,-26.85546875,-45.8984375,-35.15625
145,1648159614268127.2,-32.71484375,-44.921875,-55.6640625,-36.62109375
146,1648159614272033.5,-54.6875,-52.24609375,-57.12890625,-55.6640625
147,1648159614275939.8,-49.31640625,-23.92578125,-45.8984375,-56.640625
148,1648159614279846.0,-47.36328125,-25.390625,-47.8515625,-53.22265625
149,1648159614283752.2,-59.08203125,-41.9921875,-55.17578125,-60.546875
150,1648159614287658.5,-62.98828125,-50.29296875,-50.29296875,-60.05859375
151,1648159614291564.8,-65.91796875,-52.24609375,-44.43359375,-62.5
152,1648159614295471.0,-47.36328125,-43.9453125,-33.69140625,-44.921875
153,1648159614299377.2,-39.55078125,-38.57421875,-35.64453125,-32.71484375
154,1648159614303283.5,-46.875,-41.015625,-35.64453125,-34.66796875
155,1648159614307189.8,-46.875,-45.41015625,-29.296875,-29.78515625
156,1648159614311096.0,-35.15625,-37.109375,-35.15625,-22.94921875
157,1648159614315002.2,-32.2265625,-27.34375,-40.0390625,-25.390625
158,1648159614318908.5,-37.109375,-29.78515625,-37.109375,-31.73828125
159,1648159614322814.8,-27.34375,-39.0625,-36.1328125,-31.73828125
160,1648159614326721.0,-31.25,-43.9453125,-36.1328125,-33.69140625
161,1648159614330627.2,-36.62109375,-34.1796875,-36.1328125,-33.69140625
162,1648159614334533.5,-30.2734375,-40.0390625,-36.1328125,-44.921875
163,1648159614338439.8,-35.64453125,-48.33984375,-39.0625,-51.26953125
164,1648159614342346.0,-39.0625,-34.1796875,-41.50390625,-47.36328125
