,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709979.168125,,,,,-429.19921875,-904.296875,-378.41796875,-66.40625
1,1637709979.1720312,,,,,-944.3359375,90.8203125,244.62890625,44.921875
2,1637709979.1759374,,,,,631.34765625,132.8125,139.6484375,49.8046875
3,1637709979.1798437,,,,,-787.59765625,-869.62890625,-450.68359375,-59.5703125
4,1637709979.18375,,,,,-869.62890625,-1000.0,-507.8125,-83.984375
5,1637709979.1876562,,,,,573.73046875,-523.4375,32.71484375,18.06640625
6,1637709979.1915624,,,,,808.59375,-386.71875,69.82421875,51.7578125
7,1637709979.1954687,,,,,-545.41015625,-980.95703125,-535.64453125,-44.921875
8,1637709979.199375,,,,,-1000.0,-1000.0,-555.6640625,-111.81640625
9,1637709979.2032812,,,,,21.484375,-540.52734375,-78.125,-20.5078125
10,1637709979.2071874,,,,,-986.81640625,66.89453125,300.78125,45.41015625
11,1637709979.2110937,,,,,-179.19921875,-380.37109375,-54.19921875,-35.15625
12,1637709979.212125,,,,,-1000.0,-1000.0,-551.26953125,-108.88671875
13,1637709979.2160313,,,,,-360.3515625,-863.28125,-253.90625,-45.41015625
14,1637709979.2199376,,,,,-946.77734375,-98.14453125,271.484375,42.96875
15,1637709979.2238438,,,,,233.88671875,-98.6328125,104.4921875,-3.90625
16,1637709979.22775,,,,,-1000.0,-875.9765625,-498.046875,-95.21484375
17,1637709979.2316563,,,,,-725.09765625,-1000.0,-520.99609375,-70.3125
18,1637709979.2355626,,,,,725.09765625,-826.66015625,-72.75390625,39.0625
19,1637709979.2394688,,,,,550.78125,-372.0703125,114.2578125,9.27734375
20,1637709979.243375,,,,,-890.13671875,-594.7265625,-297.8515625,-95.21484375
21,1637709979.2472813,,,,,-1000.0,-1000.0,-624.51171875,-88.37890625
22,1637709979.2511876,,,,,314.94140625,-749.51171875,-141.6015625,11.23046875
23,1637709979.2550938,,,,,853.02734375,-30.2734375,270.99609375,31.25
24,1637709979.257125,,,,,-462.40234375,-400.87890625,-122.0703125,-57.12890625
25,1637709979.2610312,,,,,-1000.0,-1000.0,-711.42578125,-86.9140625
26,1637709979.2649374,,,,,-106.93359375,-712.890625,-327.1484375,-13.671875
27,1637709979.2688437,,,,,-948.2421875,261.71875,362.3046875,24.4140625
28,1637709979.27275,,,,,-66.40625,-125.9765625,-20.5078125,-39.55078125
29,1637709979.2766562,,,,,-1000.0,-1000.0,-747.55859375,-84.47265625
30,1637709979.2805624,,,,,-418.45703125,-867.1875,-513.671875,-31.25
31,1637709979.2844687,,,,,-968.75,96.19140625,280.2734375,35.64453125
32,1637709979.288375,,,,,380.859375,157.71484375,166.015625,9.765625
33,1637709979.2922812,,,,,-1000.0,-844.7265625,-525.390625,-71.2890625
34,1637709979.2961874,,,,,-698.2421875,-1000.0,-475.09765625,-63.96484375
35,1637709979.3000937,,,,,747.55859375,-124.0234375,173.828125,33.203125
36,1637709979.317125,,,,,795.41015625,6.34765625,166.50390625,51.26953125
37,1637709979.3210313,,,,,-638.671875,-831.54296875,-454.58984375,-48.33984375
38,1637709979.3249376,,,,,-881.34765625,-1000.0,-563.4765625,-86.42578125
39,1637709979.3288438,,,,,496.09375,-376.953125,32.2265625,14.16015625
40,1637709979.33275,,,,,-947.75390625,194.82421875,249.0234375,75.68359375
41,1637709979.3366563,,,,,-181.640625,-620.60546875,-305.17578125,-8.30078125
42,1637709979.3405626,,,,,-1000.0,-1000.0,-645.99609375,-75.68359375
43,1637709979.3444688,,,,,0.9765625,-616.2109375,-137.6953125,0.9765625
44,1637709979.348375,,,,,-827.1484375,77.63671875,285.15625,75.1953125
45,1637709979.3522813,,,,,209.9609375,-557.12890625,-250.0,22.4609375
46,1637709979.3561876,,,,,-1000.0,-1000.0,-676.26953125,-86.9140625
47,1637709979.3600938,,,,,-289.0625,-782.2265625,-317.87109375,-47.36328125
48,1637709979.362125,,,,,-907.71484375,-168.45703125,145.5078125,77.63671875
49,1637709979.3660312,,,,,697.265625,-209.47265625,100.09765625,40.52734375
50,1637709979.3699374,,,,,-748.046875,-795.8984375,-407.2265625,-64.94140625
51,1637709979.3738437,,,,,-554.19921875,-1000.0,-529.296875,-40.52734375
52,1637709979.37775,,,,,873.53515625,-666.9921875,-106.93359375,74.70703125
53,1637709979.3816562,,,,,-991.69921875,-498.046875,53.7109375,80.56640625
54,1637709979.3855624,,,,,-252.9296875,-830.56640625,-331.54296875,-41.015625
55,1637709979.3894687,,,,,-803.22265625,-993.1640625,-532.71484375,-81.54296875
56,1637709979.393375,,,,,529.296875,-980.95703125,-278.3203125,40.0390625
57,1637709979.3972812,,,,,-819.3359375,-459.9609375,67.3828125,83.0078125
58,1637709979.4011874,,,,,296.38671875,-249.51171875,-50.78125,-19.04296875
59,1637709979.4050937,,,,,-455.078125,-1000.0,-572.75390625,-61.5234375
60,1637709979.407125,,,,,533.203125,-876.46484375,-321.2890625,17.08984375
61,1637709979.4110312,,,,,-887.20703125,219.7265625,252.9296875,105.46875
62,1637709979.4149375,,,,,739.74609375,246.09375,130.37109375,52.24609375
63,1637709979.4188437,,,,,-499.0234375,-822.75390625,-500.9765625,-41.015625
64,1637709979.42275,,,,,-200.68359375,-945.3125,-475.5859375,-11.71875
65,1637709979.4266562,,,,,-871.09375,-235.83984375,134.765625,82.51953125
66,1637709979.4305625,,,,,634.765625,-218.26171875,111.81640625,54.19921875
67,1637709979.4344687,,,,,-756.8359375,-867.1875,-479.00390625,-58.59375
68,1637709979.438375,,,,,-882.32421875,-1000.0,-735.83984375,-36.62109375
69,1637709979.4422812,,,,,563.96484375,-682.6171875,-172.8515625,66.89453125
70,1637709979.4461875,,,,,818.359375,1.46484375,303.7109375,37.109375
71,1637709979.4500937,,,,,-522.94921875,-477.5390625,-292.96875,-51.7578125
72,1637709979.452125,,,,,-1000.0,-1000.0,-722.16796875,-76.171875
73,1637709979.4560313,,,,,25.390625,-502.9296875,-61.5234375,-9.27734375
74,1637709979.4599376,,,,,976.5625,383.30078125,348.14453125,55.6640625
75,1637709979.4638438,,,,,-244.62890625,-268.5546875,-150.390625,-19.53125
76,1637709979.46775,,,,,-1000.0,-1000.0,-644.53125,-100.09765625
77,1637709979.4716563,,,,,-403.80859375,-905.2734375,-386.71875,-24.4140625
78,1637709979.4755626,,,,,958.49609375,-217.7734375,176.26953125,54.6875
79,1637709979.4794688,,,,,88.37890625,-377.9296875,-109.375,15.13671875
80,1637709979.483375,,,,,-1000.0,-1000.0,-753.90625,-79.58984375
81,1637709979.4872813,,,,,-714.84375,-1000.0,-467.7734375,-74.70703125
82,1637709979.4911876,,,,,721.19140625,-163.0859375,175.29296875,29.78515625
83,1637709979.4950938,,,,,413.0859375,-180.17578125,94.7265625,24.90234375
84,1637709979.497125,,,,,-999.0234375,-1000.0,-485.3515625,-71.2890625
85,1637709979.5010312,,,,,-1000.0,-1000.0,-520.99609375,-81.54296875
86,1637709979.5049374,,,,,270.5078125,-443.359375,-39.0625,14.16015625
