,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637710033.963125,,,,,248.53515625,-77.1484375,-174.31640625,135.7421875
1,1637710033.9670312,,,,,-900.390625,-941.89453125,351.5625,164.55078125
2,1637710033.9709375,,,,,-55.17578125,738.76953125,-69.82421875,67.3828125
3,1637710033.9748437,,,,,-1000.0,-468.75,-651.85546875,20.5078125
4,1637710033.97875,,,,,-162.109375,-358.3984375,-378.90625,99.609375
5,1637710033.9826562,,,,,-848.6328125,849.12109375,181.640625,145.01953125
6,1637710033.9865625,,,,,328.125,685.546875,-37.59765625,92.28515625
7,1637710033.9904687,,,,,-1000.0,-574.70703125,-734.375,16.6015625
8,1637710033.994375,,,,,-550.78125,-735.3515625,-661.1328125,32.2265625
9,1637710033.9982812,,,,,943.84765625,476.07421875,64.94140625,122.0703125
10,1637710034.0021875,,,,,615.72265625,806.15234375,112.79296875,107.91015625
11,1637710034.0060937,,,,,-813.96484375,-369.140625,-619.62890625,2.44140625
12,1637710034.008125,,,,,-920.41015625,-884.765625,-792.96875,-3.41796875
13,1637710034.0120313,,,,,474.609375,395.5078125,-20.01953125,87.40234375
14,1637710034.0159376,,,,,822.265625,-992.67578125,158.203125,116.69921875
15,1637710034.0198438,,,,,-497.0703125,57.6171875,-443.84765625,23.92578125
16,1637710034.02375,,,,,-1000.0,-753.41796875,-753.90625,-41.015625
17,1637710034.0276563,,,,,-61.03515625,-251.46484375,-404.78515625,44.43359375
18,1637710034.0315626,,,,,974.609375,667.96875,38.0859375,105.95703125
19,1637710034.0354688,,,,,-198.2421875,-71.77734375,-350.09765625,36.62109375
20,1637710034.039375,,,,,-1000.0,-1000.0,-803.7109375,-31.25
21,1637710034.0432813,,,,,-457.51953125,-328.125,-466.30859375,15.13671875
22,1637710034.0471876,,,,,930.17578125,669.921875,31.73828125,104.00390625
23,1637710034.0510938,,,,,151.85546875,552.734375,-186.03515625,50.78125
24,1637710034.054125,,,,,-1000.0,-409.66796875,-715.33203125,-64.94140625
25,1637710034.0580313,,,,,-778.3203125,-841.796875,-670.41015625,-38.57421875
26,1637710034.0619376,,,,,628.90625,-145.5078125,-285.64453125,62.01171875
