,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709856.166125,,,,,294.921875,-444.82421875,-415.52734375,903.80859375
1,1637709856.1700313,,,,,-113.28125,-750.48828125,-585.44921875,-425.29296875
2,1637709856.1739376,,,,,-55.17578125,-996.58203125,-749.0234375,-1000.0
3,1637709856.1778438,,,,,327.63671875,-802.734375,-550.29296875,-753.90625
4,1637709856.18175,,,,,427.734375,-238.76953125,-323.2421875,700.1953125
5,1637709856.1856563,,,,,-14.6484375,-479.00390625,-521.97265625,23.4375
6,1637709856.1895626,,,,,-157.71484375,-1000.0,-818.359375,-1000.0
7,1637709856.1934688,,,,,220.21484375,-700.68359375,-579.1015625,-970.21484375
8,1637709856.197375,,,,,466.30859375,-114.2578125,-326.171875,498.53515625
9,1637709856.2012813,,,,,92.7734375,-299.31640625,-481.4453125,283.203125
10,1637709856.2051876,,,,,-102.05078125,-731.4453125,-606.4453125,-1000.0
11,1637709856.2090938,,,,,147.4609375,-658.69140625,-548.33984375,-1000.0
12,1637709856.225125,,,,,392.08984375,-331.54296875,-411.62109375,-519.04296875
13,1637709856.2290313,,,,,150.87890625,-418.45703125,-454.58984375,259.765625
14,1637709856.2329376,,,,,-176.7578125,-650.87890625,-567.3828125,-792.48046875
15,1637709856.2368438,,,,,29.296875,-698.2421875,-577.63671875,-1000.0
16,1637709856.24075,,,,,346.19140625,-508.30078125,-467.7734375,-827.63671875
17,1637709856.2446563,,,,,222.65625,-699.21875,-532.2265625,-164.55078125
18,1637709856.2485626,,,,,-169.43359375,-986.328125,-628.41796875,-735.3515625
19,1637709856.2524688,,,,,-85.44921875,-917.48046875,-611.81640625,-1000.0
20,1637709856.256375,,,,,255.859375,-703.125,-529.296875,-953.61328125
21,1637709856.2602813,,,,,266.11328125,-875.0,-586.42578125,-854.00390625
22,1637709856.2641876,,,,,-96.6796875,-811.5234375,-541.9921875,-910.64453125
23,1637709856.2680938,,,,,-142.08984375,-705.56640625,-552.24609375,-1000.0
24,1637709856.273125,,,,,88.8671875,-1000.0,-653.3203125,-1000.0
25,1637709856.2770312,,,,,280.76171875,-888.671875,-550.29296875,-884.765625
26,1637709856.2809374,,,,,25.390625,-333.984375,-400.87890625,-884.765625
27,1637709856.2848437,,,,,-214.35546875,-493.65234375,-526.3671875,-973.6328125
28,1637709856.28875,,,,,-21.484375,-938.4765625,-654.78515625,-1000.0
29,1637709856.2926562,,,,,226.07421875,-854.4921875,-520.99609375,-799.31640625
30,1637709856.2965624,,,,,49.8046875,-494.140625,-406.25,-238.28125
31,1637709856.3004687,,,,,-229.98046875,-472.65625,-500.0,-822.75390625
32,1637709856.304375,,,,,-106.93359375,-933.10546875,-677.734375,-1000.0
33,1637709856.3082812,,,,,203.61328125,-957.03125,-604.00390625,-853.02734375
34,1637709856.3121874,,,,,290.52734375,-325.68359375,-352.05078125,229.98046875
35,1637709856.3160937,,,,,-52.734375,-289.0625,-438.4765625,-470.703125
36,1637709856.315125,,,,,-73.2421875,-903.80859375,-716.796875,-1000.0
37,1637709856.3190312,,,,,272.94921875,-783.203125,-568.84765625,-902.34375
38,1637709856.3229375,,,,,416.50390625,-134.27734375,-302.734375,442.3828125
39,1637709856.3268437,,,,,-20.01953125,-196.77734375,-403.3203125,-65.4296875
40,1637709856.33075,,,,,-181.640625,-846.6796875,-664.0625,-1000.0
41,1637709856.3346562,,,,,112.79296875,-1000.0,-672.36328125,-1000.0
42,1637709856.3385625,,,,,359.375,-608.88671875,-398.4375,204.58984375
43,1637709856.3424687,,,,,88.8671875,-258.30078125,-367.67578125,745.1171875
44,1637709856.346375,,,,,-217.7734375,-839.35546875,-720.703125,-780.2734375
45,1637709856.3502812,,,,,64.94140625,-963.37890625,-659.66796875,-1000.0
46,1637709856.3541875,,,,,423.33984375,-320.80078125,-367.1875,-286.62109375
47,1637709856.3580937,,,,,214.84375,-222.16796875,-393.06640625,793.45703125
48,1637709856.361125,,,,,-215.8203125,-870.60546875,-584.47265625,-486.81640625
49,1637709856.3650312,,,,,-66.40625,-1000.0,-661.62109375,-1000.0
50,1637709856.3689375,,,,,333.0078125,-517.08984375,-449.21875,-707.51953125
51,1637709856.3728437,,,,,301.7578125,-274.4140625,-415.52734375,671.875
52,1637709856.37675,,,,,-89.84375,-862.79296875,-671.38671875,-166.015625
53,1637709856.3806562,,,,,-14.6484375,-1000.0,-691.89453125,-1000.0
54,1637709856.3845625,,,,,325.68359375,-848.14453125,-567.3828125,-891.11328125
55,1637709856.3884687,,,,,445.3125,-608.88671875,-469.23828125,615.72265625
56,1637709856.392375,,,,,64.94140625,-769.04296875,-519.53125,398.4375
57,1637709856.3962812,,,,,-9.765625,-705.078125,-549.8046875,-1000.0
58,1637709856.4001875,,,,,284.66796875,-593.26171875,-517.578125,-1000.0
59,1637709856.4040937,,,,,483.88671875,-488.28125,-441.89453125,254.8828125
60,1637709856.406125,,,,,211.42578125,-239.74609375,-392.08984375,913.0859375
61,1637709856.4100313,,,,,-87.40234375,-370.60546875,-491.69921875,-646.97265625
62,1637709856.4139376,,,,,84.9609375,-744.140625,-599.12109375,-1000.0
63,1637709856.4178438,,,,,320.80078125,-846.19140625,-580.078125,-179.6875
64,1637709856.42175,,,,,210.9375,-341.796875,-380.37109375,907.2265625
65,1637709856.4256563,,,,,-160.15625,-516.6015625,-479.00390625,-394.04296875
66,1637709856.4295626,,,,,-130.37109375,-1000.0,-668.45703125,-1000.0
67,1637709856.4334688,,,,,119.62890625,-1000.0,-715.8203125,-699.21875
68,1637709856.437375,,,,,175.78125,-597.65625,-450.1953125,826.171875
69,1637709856.4412813,,,,,-163.57421875,-217.7734375,-357.421875,442.3828125
70,1637709856.4451876,,,,,-246.58203125,-627.44140625,-602.5390625,-1000.0
71,1637709856.4490938,,,,,49.8046875,-875.0,-560.05859375,-934.5703125
72,1637709856.450125,,,,,246.09375,-568.84765625,-407.2265625,677.24609375
