,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709915.176125,,,,,-25.87890625,-944.82421875,-709.47265625,-1000.0
1,1637709915.1800313,,,,,-133.30078125,-885.25390625,-494.62890625,-1000.0
2,1637709915.1839375,,,,,-128.41796875,276.85546875,55.17578125,-1000.0
3,1637709915.1878438,,,,,-21.97265625,438.4765625,-40.52734375,-1000.0
4,1637709915.19175,,,,,9.765625,-710.9375,-606.4453125,-1000.0
5,1637709915.1956563,,,,,-61.5234375,-1000.0,-690.4296875,-1000.0
6,1637709915.1995625,,,,,-85.9375,-637.6953125,-272.94921875,-1000.0
7,1637709915.2034688,,,,,-30.76171875,111.328125,-8.7890625,-1000.0
8,1637709915.207375,,,,,0.48828125,-457.51953125,-473.6328125,-1000.0
9,1637709915.2112813,,,,,-29.296875,-1000.0,-812.98828125,-1000.0
10,1637709915.2151875,,,,,-111.328125,-520.01953125,-248.046875,-1000.0
11,1637709915.2190938,,,,,-69.3359375,464.35546875,154.78515625,-1000.0
12,1637709915.221125,,,,,47.36328125,-445.80078125,-485.3515625,-1000.0
13,1637709915.2250311,,,,,5.859375,-1000.0,-875.9765625,-1000.0
14,1637709915.2289374,,,,,-148.92578125,-706.0546875,-443.359375,-1000.0
15,1637709915.2328436,,,,,-137.6953125,263.18359375,86.9140625,-1000.0
16,1637709915.23675,,,,,-8.30078125,-78.61328125,-338.8671875,-1000.0
17,1637709915.2406561,,,,,4.8828125,-1000.0,-926.26953125,-1000.0
18,1637709915.2445624,,,,,-154.78515625,-964.84375,-669.43359375,-1000.0
19,1637709915.2484686,,,,,-201.171875,83.0078125,-9.27734375,-1000.0
20,1637709915.252375,,,,,-49.8046875,145.01953125,-123.046875,-1000.0
21,1637709915.2562811,,,,,34.1796875,-908.69140625,-833.49609375,-1000.0
22,1637709915.2601874,,,,,-139.6484375,-1000.0,-763.671875,-1000.0
23,1637709915.2640936,,,,,-244.140625,-12.6953125,-68.84765625,-1000.0
24,1637709915.282125,,,,,-85.9375,481.4453125,49.8046875,-1000.0
25,1637709915.2860312,,,,,-15.13671875,-709.9609375,-528.3203125,-1000.0
26,1637709915.2899375,,,,,-98.6328125,-1000.0,-744.140625,-1000.0
27,1637709915.2938437,,,,,-183.10546875,-240.234375,-199.70703125,-1000.0
28,1637709915.29775,,,,,-87.40234375,511.23046875,130.859375,-1000.0
29,1637709915.3016562,,,,,25.87890625,-507.32421875,-442.87109375,-1000.0
30,1637709915.3055625,,,,,-56.15234375,-1000.0,-770.5078125,-1000.0
31,1637709915.3094687,,,,,-201.66015625,-545.8984375,-326.171875,-1000.0
32,1637709915.313375,,,,,-124.0234375,356.93359375,123.046875,-1000.0
33,1637709915.3172812,,,,,-4.39453125,-364.2578125,-296.875,-1000.0
34,1637709915.3211875,,,,,-56.15234375,-1000.0,-714.35546875,-1000.0
35,1637709915.3250937,,,,,-154.296875,-870.60546875,-488.28125,-1000.0
36,1637709915.326125,,,,,-99.609375,-156.25,-49.31640625,-1000.0
37,1637709915.3300312,,,,,8.30078125,-285.64453125,-227.5390625,-1000.0
38,1637709915.3339374,,,,,-46.38671875,-889.6484375,-600.09765625,-1000.0
39,1637709915.3378437,,,,,-124.0234375,-1000.0,-568.359375,-1000.0
40,1637709915.34175,,,,,-129.8828125,-304.6875,-149.90234375,-1000.0
41,1637709915.3456562,,,,,-41.015625,220.21484375,45.41015625,-1000.0
42,1637709915.3495624,,,,,-5.37109375,-561.03515625,-413.57421875,-1000.0
43,1637709915.3534687,,,,,-78.61328125,-1000.0,-667.96875,-1000.0
44,1637709915.357375,,,,,-104.98046875,-834.47265625,-411.1328125,-1000.0
45,1637709915.3612812,,,,,-75.1953125,87.40234375,76.171875,-1000.0
46,1637709915.3651874,,,,,-27.83203125,126.46484375,-120.60546875,-1000.0
47,1637709915.3690937,,,,,-24.4140625,-990.234375,-679.6875,-1000.0
48,1637709915.371125,,,,,-126.953125,-788.57421875,-374.51171875,-1000.0
49,1637709915.3750312,,,,,-125.9765625,657.2265625,243.65234375,-1000.0
50,1637709915.3789375,,,,,7.32421875,424.8046875,-38.0859375,-1000.0
51,1637709915.3828437,,,,,29.296875,-937.98828125,-699.70703125,-1000.0
52,1637709915.38675,,,,,-94.23828125,-958.0078125,-577.1484375,-1000.0
53,1637709915.3906562,,,,,-127.44140625,187.01171875,98.14453125,-1000.0
54,1637709915.3945625,,,,,-13.671875,403.80859375,97.16796875,-1000.0
55,1637709915.3984687,,,,,44.921875,-747.55859375,-561.5234375,-1000.0
56,1637709915.402375,,,,,-27.34375,-1000.0,-774.90234375,-1000.0
57,1637709915.4062812,,,,,-164.0625,48.828125,-28.80859375,-1000.0
58,1637709915.4101875,,,,,-78.125,950.68359375,306.15234375,-1000.0
59,1637709915.4140937,,,,,45.41015625,-115.234375,-345.703125,-979.00390625
60,1637709915.417125,,,,,-19.53125,-1000.0,-705.078125,-1000.0
61,1637709915.4210312,,,,,-157.71484375,-283.203125,-153.80859375,-1000.0
62,1637709915.4249375,,,,,-83.0078125,905.2734375,317.3828125,-409.1796875
63,1637709915.4288437,,,,,73.73046875,101.07421875,-219.23828125,-644.04296875
64,1637709915.43275,,,,,22.94921875,-1000.0,-694.3359375,-1000.0
65,1637709915.4366562,,,,,-116.2109375,-807.12890625,-360.3515625,-1000.0
66,1637709915.4405625,,,,,-94.7265625,342.7734375,188.4765625,184.08203125
67,1637709915.4444687,,,,,60.05859375,70.3125,-126.953125,673.33984375
68,1637709915.448375,,,,,59.5703125,-1000.0,-743.65234375,-844.23828125
69,1637709915.4522812,,,,,-120.1171875,-884.765625,-464.84375,-1000.0
70,1637709915.4561875,,,,,-132.32421875,332.51953125,166.015625,30.76171875
71,1637709915.4600937,,,,,-8.7890625,691.40625,137.20703125,965.8203125
72,1637709915.463125,,,,,18.06640625,-299.8046875,-379.39453125,-482.421875
73,1637709915.4670312,,,,,-69.3359375,-922.36328125,-540.52734375,-1000.0
74,1637709915.4709375,,,,,-119.62890625,-64.94140625,-41.50390625,-243.1640625
75,1637709915.4748437,,,,,-37.109375,745.1171875,262.6953125,-939.94140625
76,1637709915.47875,,,,,18.5546875,76.66015625,-190.91796875,610.3515625
77,1637709915.4826562,,,,,-19.04296875,-938.96484375,-635.25390625,-985.83984375
