,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709606.533125,,,,,-89.84375,-13.671875,-55.6640625,-152.34375
1,1637709606.5370312,,,,,1.46484375,-14.16015625,-59.08203125,45.41015625
2,1637709606.5409374,,,,,47.8515625,-1.953125,-55.6640625,161.1328125
3,1637709606.5448437,,,,,-34.1796875,-29.78515625,-90.33203125,-26.85546875
4,1637709606.54875,,,,,-119.62890625,-26.85546875,-132.32421875,-158.69140625
5,1637709606.5526562,,,,,-59.5703125,-22.94921875,-121.09375,-34.1796875
6,1637709606.5565624,,,,,13.671875,-35.64453125,-73.2421875,145.99609375
7,1637709606.5604687,,,,,-26.3671875,-25.390625,-6.34765625,30.2734375
8,1637709606.564375,,,,,-113.28125,-12.20703125,-55.6640625,-185.546875
9,1637709606.5682812,,,,,-77.1484375,-1.953125,-93.26171875,-118.1640625
10,1637709606.5721874,,,,,27.83203125,-34.66796875,-45.8984375,93.26171875
11,1637709606.5760937,,,,,26.85546875,-50.78125,-26.3671875,65.91796875
12,1637709606.578125,,,,,-50.78125,-18.06640625,-72.265625,-111.81640625
13,1637709606.5820312,,,,,-88.37890625,-24.90234375,-94.23828125,-116.69921875
14,1637709606.5859375,,,,,-25.390625,-60.05859375,-79.1015625,48.33984375
15,1637709606.5898438,,,,,15.13671875,-69.82421875,-74.21875,96.6796875
16,1637709606.59375,,,,,-49.31640625,-49.8046875,-100.5859375,-76.66015625
17,1637709606.5976562,,,,,-120.1171875,-28.3203125,-111.328125,-165.52734375
18,1637709606.6015625,,,,,-51.26953125,-24.4140625,-80.56640625,10.7421875
19,1637709606.6054688,,,,,28.80859375,-34.66796875,-67.87109375,123.53515625
20,1637709606.609375,,,,,-23.92578125,-42.48046875,-99.12109375,-19.53125
21,1637709606.6132812,,,,,-104.4921875,-72.265625,-140.13671875,-167.48046875
22,1637709606.6171875,,,,,-83.984375,-39.55078125,-129.8828125,-61.03515625
23,1637709606.6210938,,,,,-4.39453125,-17.578125,-117.67578125,111.81640625
24,1637709606.623125,,,,,-23.92578125,-34.1796875,-93.26171875,11.23046875
25,1637709606.6270313,,,,,-121.09375,-52.734375,-97.65625,-188.96484375
26,1637709606.6309376,,,,,-128.41796875,-67.3828125,-98.6328125,-150.87890625
27,1637709606.6348438,,,,,-19.04296875,-52.24609375,-103.02734375,64.453125
28,1637709606.63875,,,,,-1.953125,-63.96484375,-118.65234375,79.1015625
29,1637709606.6426563,,,,,-112.3046875,-47.36328125,-138.671875,-104.4921875
30,1637709606.6465626,,,,,-128.90625,-51.7578125,-139.6484375,-165.52734375
31,1637709606.6504688,,,,,-13.671875,-97.65625,-101.07421875,18.5546875
32,1637709606.654375,,,,,13.671875,-87.890625,-114.74609375,129.39453125
33,1637709606.6582813,,,,,-93.75,-69.3359375,-110.3515625,-55.6640625
34,1637709606.6621876,,,,,-150.87890625,-40.52734375,-130.859375,-191.89453125
35,1637709606.6660938,,,,,-75.1953125,-31.73828125,-135.25390625,-31.25
36,1637709606.669125,,,,,-20.5078125,-81.54296875,-101.07421875,130.859375
37,1637709606.6730313,,,,,-54.19921875,-56.640625,-112.79296875,-11.23046875
38,1637709606.6769376,,,,,-130.859375,-35.15625,-129.8828125,-170.8984375
39,1637709606.6808438,,,,,-117.1875,-60.546875,-128.90625,-60.05859375
40,1637709606.68475,,,,,-8.30078125,-46.875,-81.54296875,134.27734375
41,1637709606.6886563,,,,,-9.765625,-28.80859375,-84.47265625,60.546875
42,1637709606.6925626,,,,,-120.1171875,-37.59765625,-124.0234375,-123.53515625
43,1637709606.6964688,,,,,-132.8125,-84.9609375,-143.06640625,-124.51171875
44,1637709606.700375,,,,,-40.52734375,-87.40234375,-127.44140625,54.19921875
45,1637709606.7042813,,,,,-25.390625,-29.296875,-112.3046875,64.453125
46,1637709606.7081876,,,,,-116.69921875,-33.203125,-149.4140625,-151.85546875
47,1637709606.7120938,,,,,-149.4140625,-86.42578125,-143.06640625,-185.05859375
48,1637709606.713125,,,,,-46.875,-85.44921875,-115.234375,10.25390625
49,1637709606.7170312,,,,,19.04296875,-53.7109375,-102.5390625,105.95703125
50,1637709606.7209375,,,,,-61.5234375,-47.8515625,-97.16796875,-49.31640625
51,1637709606.7248437,,,,,-157.2265625,-60.546875,-119.62890625,-166.50390625
52,1637709606.72875,,,,,-93.75,-73.73046875,-122.0703125,-19.53125
53,1637709606.7326562,,,,,-5.859375,-61.5234375,-104.00390625,130.859375
54,1637709606.7365625,,,,,-50.78125,-80.56640625,-123.046875,15.13671875
55,1637709606.7404687,,,,,-127.44140625,-99.609375,-184.08203125,-162.59765625
56,1637709606.744375,,,,,-99.12109375,-71.2890625,-167.48046875,-113.28125
57,1637709606.7482812,,,,,-6.8359375,-62.5,-108.3984375,68.84765625
58,1637709606.7521875,,,,,-26.3671875,-61.03515625,-137.20703125,31.25
59,1637709606.7560937,,,,,-108.3984375,-82.51953125,-169.921875,-162.59765625
60,1637709606.760125,,,,,-125.0,-90.33203125,-132.8125,-182.6171875
61,1637709606.7640312,,,,,-42.96875,-58.59375,-56.15234375,30.76171875
62,1637709606.7679374,,,,,-24.4140625,-58.10546875,-77.63671875,85.44921875
63,1637709606.7718437,,,,,-109.375,-81.54296875,-127.44140625,-97.65625
64,1637709606.77575,,,,,-152.34375,-95.703125,-152.83203125,-184.5703125
65,1637709606.7796562,,,,,-65.4296875,-77.63671875,-152.83203125,-35.64453125
66,1637709606.7835624,,,,,10.7421875,-71.77734375,-122.0703125,94.7265625
67,1637709606.7874687,,,,,-70.80078125,-73.2421875,-143.5546875,-56.15234375
68,1637709606.791375,,,,,-151.3671875,-65.4296875,-153.80859375,-218.75
69,1637709606.7952812,,,,,-99.12109375,-61.5234375,-152.34375,-87.40234375
70,1637709606.7991874,,,,,0.0,-78.61328125,-135.25390625,98.14453125
71,1637709606.8030937,,,,,-26.3671875,-93.75,-100.09765625,-10.7421875
72,1637709606.803125,,,,,-145.5078125,-54.19921875,-130.859375,-196.2890625
73,1637709606.8070312,,,,,-139.16015625,-35.64453125,-135.7421875,-130.37109375
74,1637709606.8109374,,,,,-48.828125,-46.38671875,-91.796875,75.1953125
75,1637709606.8148437,,,,,-42.96875,-65.91796875,-114.2578125,63.4765625
76,1637709606.81875,,,,,-125.9765625,-70.80078125,-129.39453125,-139.16015625
77,1637709606.8226562,,,,,-131.34765625,-54.6875,-118.65234375,-145.01953125
78,1637709606.8265624,,,,,-20.5078125,-63.4765625,-130.37109375,50.29296875
79,1637709606.8304687,,,,,-5.859375,-77.1484375,-145.5078125,77.63671875
80,1637709606.834375,,,,,-100.5859375,-76.66015625,-125.9765625,-110.3515625
81,1637709606.8382812,,,,,-147.4609375,-90.33203125,-117.67578125,-226.5625
82,1637709606.8421874,,,,,-79.1015625,-112.79296875,-121.09375,-56.15234375
83,1637709606.8460937,,,,,-31.25,-97.65625,-113.76953125,100.09765625
84,1637709606.850125,,,,,-88.37890625,-48.828125,-145.5078125,-49.8046875
85,1637709606.8540313,,,,,-156.73828125,-37.109375,-152.83203125,-218.26171875
86,1637709606.8579376,,,,,-110.3515625,-46.875,-97.65625,-110.83984375
87,1637709606.8618438,,,,,-3.41796875,-39.55078125,-77.1484375,58.10546875
88,1637709606.86575,,,,,-38.57421875,-57.6171875,-100.09765625,-17.08984375
89,1637709606.8696563,,,,,-136.23046875,-73.73046875,-158.69140625,-183.10546875
90,1637709606.8735626,,,,,-131.8359375,-59.08203125,-153.3203125,-129.8828125
91,1637709606.8774688,,,,,-40.52734375,-43.9453125,-90.8203125,78.61328125
92,1637709606.881375,,,,,-17.578125,-60.05859375,-112.3046875,62.98828125
93,1637709606.8852813,,,,,-95.21484375,-88.37890625,-170.8984375,-115.72265625
94,1637709606.8891876,,,,,-121.58203125,-80.078125,-138.671875,-149.4140625
95,1637709606.8930938,,,,,-59.5703125,-50.29296875,-80.56640625,5.859375
