,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709648.893125,,,,,-70.3125,-20.5078125,-16.6015625,-65.91796875
1,1637709648.8970313,,,,,-53.7109375,-18.5546875,-41.015625,-34.1796875
2,1637709648.9009376,,,,,-23.92578125,-21.484375,-34.66796875,14.6484375
3,1637709648.9048438,,,,,-39.0625,-14.6484375,-17.578125,-12.6953125
4,1637709648.90875,,,,,-62.98828125,-28.80859375,-23.92578125,-63.4765625
5,1637709648.9126563,,,,,-67.3828125,-41.9921875,-67.87109375,-44.43359375
6,1637709648.9165626,,,,,-37.109375,-8.30078125,-75.1953125,16.6015625
7,1637709648.9204688,,,,,-17.578125,-3.90625,-49.8046875,15.13671875
8,1637709648.924375,,,,,-39.0625,-17.578125,-5.37109375,-46.38671875
9,1637709648.9282813,,,,,-49.31640625,-22.4609375,-2.44140625,-46.875
10,1637709648.9321876,,,,,-18.5546875,-16.6015625,-27.34375,11.23046875
11,1637709648.9360938,,,,,-13.18359375,-22.94921875,-15.13671875,9.765625
12,1637709648.942125,,,,,-46.875,-34.66796875,-0.48828125,-44.921875
13,1637709648.9460313,,,,,-55.6640625,-34.1796875,-16.6015625,-68.359375
14,1637709648.9499376,,,,,-38.0859375,-24.4140625,-53.7109375,-23.92578125
15,1637709648.9538438,,,,,-32.2265625,-29.78515625,-32.71484375,0.48828125
16,1637709648.95775,,,,,-39.55078125,-41.50390625,-13.18359375,-44.921875
17,1637709648.9616563,,,,,-63.4765625,-57.12890625,-35.64453125,-84.47265625
18,1637709648.9655626,,,,,-72.75390625,-42.48046875,-62.98828125,-54.6875
19,1637709648.9694688,,,,,-36.62109375,-27.83203125,-36.62109375,-12.6953125
20,1637709648.973375,,,,,-31.25,-30.76171875,-2.9296875,-27.83203125
21,1637709648.9772813,,,,,-62.98828125,-22.4609375,-24.4140625,-58.10546875
22,1637709648.9811876,,,,,-61.03515625,-31.73828125,-23.4375,-47.36328125
23,1637709648.9850938,,,,,-27.34375,-46.875,-30.2734375,3.41796875
24,1637709648.983125,,,,,-20.5078125,-33.203125,-51.7578125,4.8828125
25,1637709648.9870312,,,,,-51.7578125,-20.99609375,-26.85546875,-62.98828125
26,1637709648.9909375,,,,,-59.5703125,-21.97265625,-3.90625,-69.3359375
27,1637709648.9948437,,,,,-39.0625,-18.5546875,-25.87890625,-18.5546875
28,1637709648.99875,,,,,-32.71484375,-20.5078125,-47.36328125,7.32421875
29,1637709649.0026562,,,,,-55.6640625,-42.96875,-53.22265625,-13.671875
30,1637709649.0065625,,,,,-65.91796875,-52.734375,-92.28515625,-48.828125
31,1637709649.0104687,,,,,-45.41015625,-16.11328125,-44.921875,-24.4140625
32,1637709649.014375,,,,,-26.3671875,-1.953125,13.671875,14.16015625
33,1637709649.0182812,,,,,-40.52734375,-10.7421875,2.44140625,-22.4609375
34,1637709649.0221875,,,,,-75.1953125,-13.18359375,-0.9765625,-81.54296875
35,1637709649.0260937,,,,,-71.77734375,-34.1796875,-12.20703125,-59.08203125
36,1637709649.043125,,,,,-30.76171875,-64.94140625,-10.25390625,4.39453125
37,1637709649.0470312,,,,,-24.4140625,-69.3359375,-18.5546875,-7.8125
38,1637709649.0509374,,,,,-56.15234375,-48.828125,-35.64453125,-54.19921875
39,1637709649.0548437,,,,,-73.2421875,-24.4140625,-34.66796875,-56.640625
40,1637709649.05875,,,,,-41.9921875,-26.3671875,3.90625,-14.6484375
41,1637709649.0626562,,,,,-22.94921875,-34.1796875,-9.765625,-18.06640625
42,1637709649.0665624,,,,,-57.6171875,-23.4375,-37.59765625,-64.453125
43,1637709649.0704687,,,,,-76.66015625,-20.99609375,-10.7421875,-59.08203125
44,1637709649.074375,,,,,-44.43359375,-34.1796875,9.765625,-27.34375
45,1637709649.0782812,,,,,-17.08984375,-60.546875,-34.66796875,-21.97265625
46,1637709649.0821874,,,,,-40.52734375,-82.03125,-43.9453125,-67.87109375
47,1637709649.0860937,,,,,-58.10546875,-58.10546875,-5.37109375,-102.05078125
48,1637709649.088125,,,,,-48.33984375,-32.71484375,-13.18359375,-63.4765625
49,1637709649.0920312,,,,,-31.25,-35.15625,-10.25390625,-7.32421875
50,1637709649.0959375,,,,,-39.0625,-38.57421875,5.37109375,-17.578125
51,1637709649.0998437,,,,,-61.03515625,-16.11328125,-20.5078125,-44.43359375
52,1637709649.10375,,,,,-57.12890625,-26.3671875,-55.6640625,-41.015625
53,1637709649.1076562,,,,,-36.1328125,-50.29296875,-39.0625,-25.390625
54,1637709649.1115625,,,,,-21.97265625,-41.015625,-0.9765625,-25.87890625
55,1637709649.1154687,,,,,-45.8984375,-44.43359375,-1.46484375,-59.5703125
56,1637709649.119375,,,,,-53.7109375,-55.6640625,-18.5546875,-53.7109375
57,1637709649.1232812,,,,,-44.43359375,-49.31640625,-11.71875,-8.7890625
58,1637709649.1271875,,,,,-44.921875,-33.203125,25.390625,-20.01953125
59,1637709649.1310937,,,,,-59.5703125,-19.53125,18.06640625,-58.59375
60,1637709649.134125,,,,,-68.359375,-24.90234375,-4.8828125,-59.5703125
61,1637709649.1380312,,,,,-41.015625,-40.52734375,16.11328125,-20.5078125
62,1637709649.1419375,,,,,-21.484375,-61.5234375,24.4140625,7.8125
63,1637709649.1458437,,,,,-41.015625,-81.54296875,-1.46484375,-17.578125
64,1637709649.14975,,,,,-57.6171875,-57.12890625,-24.4140625,-46.875
65,1637709649.1536562,,,,,-52.24609375,-27.34375,-53.7109375,-26.3671875
66,1637709649.1575625,,,,,-20.5078125,-34.66796875,-39.55078125,7.32421875
67,1637709649.1614687,,,,,-25.390625,-52.24609375,6.34765625,-13.18359375
68,1637709649.165375,,,,,-49.8046875,-48.33984375,6.8359375,-42.48046875
69,1637709649.1692812,,,,,-50.29296875,-23.4375,9.27734375,-46.38671875
70,1637709649.1731875,,,,,-30.76171875,-28.3203125,5.37109375,-15.13671875
71,1637709649.1770937,,,,,-30.2734375,-39.0625,-1.953125,2.44140625
72,1637709649.179125,,,,,-44.43359375,-26.3671875,8.30078125,-50.29296875
73,1637709649.1830313,,,,,-54.19921875,-41.9921875,-24.90234375,-71.77734375
74,1637709649.1869376,,,,,-40.52734375,-43.9453125,-28.80859375,-23.92578125
75,1637709649.1908438,,,,,-19.04296875,-60.05859375,-6.8359375,-7.8125
76,1637709649.19475,,,,,-43.45703125,-59.5703125,-0.48828125,-58.10546875
77,1637709649.1986563,,,,,-70.80078125,-30.2734375,-2.9296875,-90.8203125
78,1637709649.2025626,,,,,-37.59765625,-37.59765625,-24.4140625,-53.7109375
79,1637709649.2064688,,,,,-20.01953125,-45.8984375,-29.78515625,-8.7890625
80,1637709649.210375,,,,,-57.6171875,-36.62109375,-31.25,-42.48046875
81,1637709649.2142813,,,,,-67.3828125,-25.390625,4.8828125,-91.796875
82,1637709649.2181876,,,,,-59.5703125,-23.92578125,0.9765625,-64.453125
83,1637709649.2220938,,,,,-32.2265625,-50.78125,-8.7890625,-16.11328125
84,1637709649.225125,,,,,-32.2265625,-75.1953125,10.7421875,-30.2734375
85,1637709649.2290313,,,,,-85.44921875,-54.6875,10.25390625,-67.3828125
86,1637709649.2329376,,,,,-88.37890625,-29.78515625,-13.18359375,-52.734375
87,1637709649.2368438,,,,,-38.57421875,-34.66796875,-9.765625,-10.25390625
88,1637709649.24075,,,,,-34.66796875,-49.8046875,4.39453125,-27.34375
89,1637709649.2446563,,,,,-66.89453125,-42.96875,-17.08984375,-86.42578125
90,1637709649.2485626,,,,,-79.1015625,-30.76171875,-55.17578125,-86.42578125
91,1637709649.2524688,,,,,-36.62109375,-41.50390625,-72.75390625,-27.83203125
92,1637709649.256375,,,,,-23.4375,-56.15234375,-19.53125,-9.765625
93,1637709649.2602813,,,,,-63.4765625,-31.25,9.765625,-61.03515625
94,1637709649.2641876,,,,,-74.21875,-20.01953125,-8.7890625,-84.9609375
95,1637709649.2680938,,,,,-71.77734375,-44.921875,-12.6953125,-47.8515625
96,1637709649.268125,,,,,-43.9453125,-43.9453125,0.9765625,-13.671875
97,1637709649.2720313,,,,,-44.921875,-30.76171875,-0.9765625,-58.10546875
98,1637709649.2759376,,,,,-77.1484375,-36.62109375,-46.38671875,-84.9609375
99,1637709649.2798438,,,,,-70.3125,-66.89453125,-69.82421875,-41.50390625
100,1637709649.28375,,,,,-38.57421875,-61.5234375,-26.3671875,0.0
101,1637709649.2876563,,,,,-33.69140625,-29.296875,-5.37109375,-25.87890625
102,1637709649.2915626,,,,,-64.94140625,-29.296875,-9.27734375,-58.10546875
103,1637709649.2954688,,,,,-68.84765625,-40.52734375,-39.55078125,-43.9453125
104,1637709649.299375,,,,,-55.6640625,-38.57421875,13.671875,-27.34375
105,1637709649.3032813,,,,,-55.6640625,-45.41015625,53.22265625,-27.83203125
106,1637709649.3071876,,,,,-60.05859375,-62.98828125,8.30078125,-53.7109375
107,1637709649.3110938,,,,,-72.75390625,-47.8515625,-13.671875,-77.63671875
108,1637709649.315125,,,,,-33.203125,-16.11328125,-1.46484375,-26.3671875
109,1637709649.3190312,,,,,2.9296875,-21.97265625,6.8359375,13.18359375
110,1637709649.3229375,,,,,-30.2734375,-64.453125,-29.78515625,-24.4140625
111,1637709649.3268437,,,,,-55.6640625,-37.59765625,-19.04296875,-65.91796875
