,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709673.929125,,,,,-45.8984375,-53.7109375,-24.4140625,-54.19921875
1,1637709673.9330313,,,,,-29.78515625,-47.36328125,-9.27734375,-21.97265625
2,1637709673.9369376,,,,,-17.578125,-41.015625,-5.37109375,-6.34765625
3,1637709673.9408438,,,,,-32.2265625,-54.19921875,-27.83203125,-37.109375
4,1637709673.94475,,,,,-40.52734375,-53.7109375,-63.4765625,-41.50390625
5,1637709673.9486563,,,,,-32.71484375,-35.64453125,-42.48046875,-11.71875
6,1637709673.9525626,,,,,-26.3671875,-34.1796875,15.13671875,4.39453125
7,1637709673.9564688,,,,,-24.4140625,-36.1328125,10.25390625,-28.80859375
8,1637709673.960375,,,,,-36.1328125,-50.78125,-29.78515625,-50.78125
9,1637709673.9642813,,,,,-51.26953125,-46.38671875,-18.5546875,-27.83203125
10,1637709673.9681876,,,,,-20.99609375,-36.1328125,5.859375,-5.859375
11,1637709673.9720938,,,,,-19.04296875,-34.1796875,-25.390625,-14.16015625
12,1637709673.976125,,,,,-44.921875,-36.1328125,-41.015625,-59.08203125
13,1637709673.9800313,,,,,-38.0859375,-51.26953125,-19.53125,-58.59375
14,1637709673.9839375,,,,,-27.83203125,-46.875,4.8828125,0.48828125
15,1637709673.9878438,,,,,-27.83203125,-48.828125,-5.859375,-2.9296875
16,1637709673.99175,,,,,-22.4609375,-44.43359375,-53.22265625,-22.94921875
17,1637709673.9956563,,,,,-18.5546875,-16.11328125,-78.125,-39.55078125
18,1637709673.9995625,,,,,-20.01953125,-38.0859375,-46.875,-27.34375
19,1637709674.0034688,,,,,-29.296875,-46.38671875,-22.4609375,7.32421875
20,1637709674.007375,,,,,-52.24609375,-35.15625,-39.55078125,-35.64453125
21,1637709674.0112813,,,,,-50.78125,-45.41015625,-19.04296875,-73.73046875
22,1637709674.0151875,,,,,-34.66796875,-51.26953125,-22.4609375,-36.1328125
23,1637709674.0190938,,,,,-40.52734375,-45.8984375,-25.390625,-3.41796875
24,1637709674.019125,,,,,-36.1328125,-39.55078125,-11.71875,-21.484375
25,1637709674.0230312,,,,,-53.22265625,-62.01171875,-20.5078125,-56.15234375
26,1637709674.0269375,,,,,-58.10546875,-84.9609375,-31.25,-36.62109375
27,1637709674.0308437,,,,,-27.34375,-63.96484375,-39.0625,9.27734375
28,1637709674.03475,,,,,-31.73828125,-52.734375,-41.9921875,-1.953125
29,1637709674.0386562,,,,,-51.7578125,-56.640625,-56.15234375,-51.7578125
30,1637709674.0425625,,,,,-49.8046875,-39.0625,-56.15234375,-57.12890625
31,1637709674.0464687,,,,,-21.97265625,-30.2734375,-73.2421875,5.37109375
32,1637709674.050375,,,,,-10.7421875,-19.53125,-83.0078125,16.11328125
33,1637709674.0542812,,,,,-37.109375,-0.9765625,-24.4140625,-43.9453125
34,1637709674.0581875,,,,,-38.0859375,-28.3203125,-15.625,-61.03515625
35,1637709674.0620937,,,,,-19.04296875,-50.78125,-29.296875,-22.94921875
36,1637709674.065125,,,,,-17.08984375,-40.0390625,-5.37109375,-0.48828125
37,1637709674.0690312,,,,,-32.2265625,-22.94921875,17.578125,-13.671875
38,1637709674.0729375,,,,,-28.80859375,-8.7890625,-6.8359375,-45.8984375
39,1637709674.0768437,,,,,2.9296875,-16.6015625,-20.5078125,-24.4140625
40,1637709674.08075,,,,,6.34765625,-28.80859375,-7.8125,16.6015625
41,1637709674.0846562,,,,,-28.3203125,-35.15625,-31.25,-8.7890625
42,1637709674.0885625,,,,,-41.015625,-27.83203125,-52.734375,-37.109375
43,1637709674.0924687,,,,,-20.99609375,-15.13671875,-41.9921875,-24.4140625
44,1637709674.096375,,,,,-9.765625,-18.06640625,5.37109375,10.7421875
45,1637709674.1002812,,,,,-12.6953125,-18.5546875,6.8359375,-8.7890625
46,1637709674.1041875,,,,,-18.06640625,-2.44140625,-43.45703125,-45.41015625
47,1637709674.1080937,,,,,-23.4375,-7.32421875,-54.6875,-40.0390625
48,1637709674.108125,,,,,-16.11328125,-38.57421875,-12.20703125,-12.6953125
49,1637709674.1120312,,,,,-10.25390625,-31.73828125,-21.484375,-8.30078125
50,1637709674.1159375,,,,,-17.578125,-5.37109375,-41.50390625,-52.734375
51,1637709674.1198437,,,,,-29.296875,-18.06640625,-25.390625,-58.10546875
52,1637709674.12375,,,,,3.90625,-35.15625,-24.90234375,-0.48828125
53,1637709674.1276562,,,,,9.27734375,-29.78515625,-13.671875,14.16015625
54,1637709674.1315625,,,,,-25.390625,-25.390625,-46.875,-17.08984375
55,1637709674.1354687,,,,,-26.85546875,-30.2734375,-57.6171875,-5.859375
56,1637709674.139375,,,,,-22.4609375,-25.390625,-6.8359375,18.06640625
57,1637709674.1432812,,,,,-3.41796875,-30.2734375,-5.859375,20.5078125
58,1637709674.1471875,,,,,-27.34375,-32.71484375,-19.53125,-11.23046875
59,1637709674.1510937,,,,,-49.8046875,-28.3203125,-20.01953125,-50.78125
60,1637709674.157125,,,,,-36.1328125,-28.3203125,-21.97265625,-37.59765625
61,1637709674.1610312,,,,,-13.18359375,-27.34375,-35.15625,12.20703125
62,1637709674.1649375,,,,,-16.11328125,-18.5546875,-44.43359375,-1.46484375
63,1637709674.1688437,,,,,-31.73828125,-10.7421875,-45.8984375,-39.55078125
64,1637709674.17275,,,,,-15.13671875,-35.64453125,-32.2265625,-37.59765625
65,1637709674.1766562,,,,,-0.48828125,-44.921875,-26.85546875,-2.44140625
66,1637709674.1805625,,,,,-10.25390625,-36.62109375,-30.2734375,7.32421875
67,1637709674.1844687,,,,,-15.625,-28.3203125,-27.34375,-34.1796875
68,1637709674.188375,,,,,-30.2734375,-21.484375,-26.3671875,-59.5703125
69,1637709674.1922812,,,,,-10.7421875,-20.5078125,-27.83203125,-17.578125
70,1637709674.1961875,,,,,14.16015625,-26.85546875,-17.08984375,8.30078125
71,1637709674.2000937,,,,,-31.73828125,-52.24609375,-10.25390625,-26.3671875
72,1637709674.214125,,,,,-47.36328125,-60.546875,-43.9453125,-42.96875
73,1637709674.2180312,,,,,-27.83203125,-41.50390625,-67.3828125,-4.8828125
74,1637709674.2219374,,,,,-27.83203125,-28.80859375,-42.48046875,13.18359375
75,1637709674.2258437,,,,,-19.04296875,-32.2265625,-47.36328125,-21.484375
76,1637709674.22975,,,,,-30.2734375,-60.05859375,-66.89453125,-50.29296875
77,1637709674.2336562,,,,,-49.31640625,-56.15234375,-90.33203125,-33.69140625
78,1637709674.2375624,,,,,-29.296875,-26.85546875,-107.91015625,9.27734375
79,1637709674.2414687,,,,,-18.06640625,-34.1796875,-42.48046875,-12.20703125
80,1637709674.245375,,,,,-36.1328125,-40.52734375,-4.39453125,-56.15234375
81,1637709674.2492812,,,,,-36.62109375,-26.85546875,-6.34765625,-45.41015625
82,1637709674.2531874,,,,,-25.390625,-28.3203125,-0.48828125,-8.7890625
83,1637709674.2570937,,,,,-37.59765625,-29.78515625,13.671875,-7.32421875
84,1637709674.259125,,,,,-47.8515625,-50.78125,-15.13671875,-31.73828125
85,1637709674.2630312,,,,,-50.29296875,-46.38671875,-56.640625,-42.48046875
86,1637709674.2669375,,,,,-34.66796875,-28.3203125,-47.8515625,-24.4140625
87,1637709674.2708437,,,,,-27.34375,-41.50390625,-25.390625,3.90625
88,1637709674.27475,,,,,-35.64453125,-37.59765625,-34.1796875,-11.23046875
89,1637709674.2786562,,,,,-21.484375,-29.78515625,-50.78125,-33.69140625
90,1637709674.2825625,,,,,-25.390625,-64.94140625,-29.78515625,-17.578125
91,1637709674.2864687,,,,,-30.2734375,-83.984375,0.0,36.1328125
92,1637709674.290375,,,,,-29.78515625,-50.29296875,-46.38671875,21.97265625
93,1637709674.2942812,,,,,-37.59765625,-41.9921875,-99.609375,-20.99609375
94,1637709674.2981875,,,,,-34.1796875,-54.19921875,-41.50390625,-17.578125
95,1637709674.3020937,,,,,-21.484375,-47.8515625,-5.37109375,5.37109375
96,1637709674.304125,,,,,-11.23046875,-32.2265625,-47.8515625,11.71875
97,1637709674.3080313,,,,,-35.15625,-20.5078125,-78.125,-22.4609375
98,1637709674.3119376,,,,,-50.29296875,-29.296875,-53.22265625,-47.8515625
99,1637709674.3158438,,,,,-33.203125,-37.59765625,-50.29296875,-13.671875
100,1637709674.31975,,,,,-28.80859375,-46.875,-60.546875,-0.48828125
101,1637709674.3236563,,,,,-53.7109375,-63.96484375,-53.22265625,-44.43359375
102,1637709674.3275626,,,,,-53.7109375,-45.41015625,-42.96875,-82.03125
103,1637709674.3314688,,,,,-35.64453125,-28.3203125,-38.0859375,-49.8046875
104,1637709674.335375,,,,,-23.92578125,-55.6640625,-61.5234375,-14.6484375
105,1637709674.3392813,,,,,-32.71484375,-71.2890625,-53.22265625,-42.48046875
106,1637709674.3431876,,,,,-56.640625,-49.8046875,-21.97265625,-67.3828125
107,1637709674.3470938,,,,,-21.97265625,-42.96875,-47.8515625,-39.55078125
108,1637709674.350125,,,,,-3.41796875,-41.50390625,-66.89453125,-11.71875
109,1637709674.3540313,,,,,-57.12890625,-41.50390625,-31.25,-33.203125
110,1637709674.3579376,,,,,-63.4765625,-42.48046875,-5.859375,-50.78125
111,1637709674.3618438,,,,,-41.50390625,-41.015625,-18.06640625,-30.2734375
112,1637709674.36575,,,,,-40.52734375,-43.45703125,-15.13671875,1.46484375
113,1637709674.3696563,,,,,-50.29296875,-35.64453125,-17.578125,8.7890625
114,1637709674.3735626,,,,,-63.96484375,-29.78515625,-19.53125,-22.4609375
115,1637709674.3774688,,,,,-56.640625,-33.203125,-36.62109375,-28.3203125
116,1637709674.381375,,,,,-30.2734375,-41.9921875,-31.73828125,25.390625
117,1637709674.3852813,,,,,-25.87890625,-74.21875,4.39453125,26.3671875
118,1637709674.3891876,,,,,-39.55078125,-61.5234375,-15.625,-23.92578125
119,1637709674.3930938,,,,,-34.66796875,-19.04296875,-71.77734375,-35.64453125
120,1637709674.394125,,,,,-27.34375,-33.69140625,-60.546875,-11.23046875
121,1637709674.3980312,,,,,-27.83203125,-40.52734375,5.37109375,23.92578125
122,1637709674.4019375,,,,,-30.76171875,-41.015625,9.765625,-2.44140625
123,1637709674.4058437,,,,,-45.8984375,-47.8515625,-48.828125,-40.52734375
124,1637709674.40975,,,,,-51.7578125,-28.3203125,-45.8984375,-20.01953125
125,1637709674.4136562,,,,,-34.1796875,-20.99609375,-19.53125,8.7890625
126,1637709674.4175625,,,,,-28.80859375,-32.2265625,-28.3203125,6.34765625
127,1637709674.4214687,,,,,-33.203125,-25.87890625,-66.89453125,-27.34375
128,1637709674.425375,,,,,-49.31640625,-31.73828125,-49.31640625,-39.55078125
129,1637709674.4292812,,,,,-34.66796875,-55.6640625,16.6015625,-2.9296875
130,1637709674.4331875,,,,,-17.578125,-65.4296875,-26.3671875,14.16015625
131,1637709674.4370937,,,,,-37.109375,-64.453125,-48.828125,-41.50390625
132,1637709674.442125,,,,,-46.875,-37.109375,-14.16015625,-40.0390625
133,1637709674.4460313,,,,,-34.66796875,-32.2265625,-4.39453125,-1.46484375
134,1637709674.4499376,,,,,-26.85546875,-37.109375,-29.296875,4.39453125
135,1637709674.4538438,,,,,-38.0859375,-30.76171875,-37.59765625,-13.671875
136,1637709674.45775,,,,,-57.12890625,-36.62109375,-10.7421875,-56.640625
137,1637709674.4616563,,,,,-52.24609375,-44.921875,-27.83203125,-51.7578125
138,1637709674.4655626,,,,,-28.3203125,-48.33984375,-49.31640625,-15.13671875
139,1637709674.4694688,,,,,-20.01953125,-41.50390625,-47.8515625,-26.3671875
140,1637709674.473375,,,,,-46.875,-35.15625,-34.66796875,-59.08203125
141,1637709674.4772813,,,,,-42.48046875,-39.55078125,-5.859375,-53.7109375
142,1637709674.4811876,,,,,-11.23046875,-50.78125,8.30078125,-17.08984375
143,1637709674.4850938,,,,,-20.01953125,-35.64453125,-19.53125,-2.9296875
144,1637709674.484125,,,,,-37.109375,-5.37109375,-32.71484375,-45.8984375
145,1637709674.4880311,,,,,-30.76171875,-29.78515625,-6.8359375,-73.73046875
146,1637709674.4919374,,,,,-14.6484375,-71.77734375,7.8125,-41.9921875
147,1637709674.4958436,,,,,-11.71875,-52.734375,-19.04296875,-17.08984375
148,1637709674.49975,,,,,-19.53125,-19.53125,-31.73828125,-57.6171875
149,1637709674.5036561,,,,,-30.76171875,-15.625,-11.23046875,-82.03125
150,1637709674.5075624,,,,,-10.7421875,-15.625,-38.57421875,-49.31640625
151,1637709674.5114686,,,,,7.8125,-18.06640625,-39.55078125,6.8359375
152,1637709674.515375,,,,,-31.73828125,-29.296875,17.578125,-11.71875
153,1637709674.5192811,,,,,-47.36328125,-38.57421875,15.13671875,-63.96484375
154,1637709674.5231874,,,,,-32.2265625,-52.734375,-5.859375,-25.390625
155,1637709674.5270936,,,,,-7.8125,-50.29296875,16.6015625,22.4609375
156,1637709674.530125,,,,,-14.6484375,-39.55078125,20.01953125,-1.953125
157,1637709674.5340312,,,,,-14.16015625,-52.734375,10.7421875,-52.734375
158,1637709674.5379374,,,,,-21.97265625,-49.31640625,13.18359375,-50.29296875
159,1637709674.5418437,,,,,-35.15625,-33.69140625,15.13671875,-7.32421875
160,1637709674.54575,,,,,-21.484375,-41.50390625,24.90234375,-16.11328125
161,1637709674.5496562,,,,,-46.38671875,-54.6875,-10.25390625,-71.2890625
162,1637709674.5535624,,,,,-41.9921875,-40.0390625,-36.62109375,-71.2890625
163,1637709674.5574687,,,,,-18.06640625,-31.73828125,2.9296875,-39.0625
164,1637709674.561375,,,,,-20.01953125,-40.52734375,30.76171875,-34.1796875
165,1637709674.5652812,,,,,-26.3671875,-47.36328125,-19.53125,-63.96484375
166,1637709674.5691874,,,,,-34.1796875,-42.48046875,-49.8046875,-68.359375
167,1637709674.5730937,,,,,-41.9921875,-41.015625,2.44140625,-52.24609375
168,1637709674.588125,,,,,-7.8125,-48.828125,5.37109375,-28.3203125
169,1637709674.5920312,,,,,-8.30078125,-61.03515625,-12.20703125,-40.0390625
170,1637709674.5959375,,,,,-36.1328125,-45.41015625,-11.23046875,-49.31640625
171,1637709674.5998437,,,,,-19.53125,-23.4375,-31.25,-27.34375
172,1637709674.60375,,,,,4.39453125,-34.66796875,-26.85546875,-9.27734375
173,1637709674.6076562,,,,,-19.04296875,-39.0625,-17.08984375,-31.73828125
174,1637709674.6115625,,,,,-41.9921875,-28.80859375,-22.94921875,-67.3828125
175,1637709674.6154687,,,,,-29.296875,-23.4375,18.06640625,-56.15234375
176,1637709674.619375,,,,,-8.30078125,-46.875,20.01953125,-28.80859375
177,1637709674.6232812,,,,,-22.4609375,-57.6171875,0.48828125,-19.53125
178,1637709674.6271875,,,,,-50.29296875,-54.19921875,-20.99609375,-53.7109375
179,1637709674.6310937,,,,,-56.640625,-37.59765625,-59.08203125,-81.54296875
180,1637709674.622125,,,,,-31.73828125,-22.94921875,-54.6875,-46.38671875
181,1637709674.6260312,,,,,-7.8125,-28.80859375,-12.20703125,-0.48828125
182,1637709674.6299374,,,,,-20.5078125,-21.484375,8.30078125,-36.1328125
183,1637709674.6338437,,,,,-43.9453125,-39.55078125,-6.8359375,-78.125
184,1637709674.63775,,,,,-39.0625,-51.7578125,-21.97265625,-44.43359375
185,1637709674.6416562,,,,,-22.4609375,-41.9921875,-26.85546875,-9.27734375
186,1637709674.6455624,,,,,-29.296875,-45.8984375,-16.6015625,-36.62109375
187,1637709674.6494687,,,,,-47.8515625,-40.52734375,-35.64453125,-41.50390625
188,1637709674.653375,,,,,-41.015625,-41.9921875,-71.77734375,-23.4375
189,1637709674.6572812,,,,,-8.30078125,-52.734375,-48.33984375,12.6953125
190,1637709674.6611874,,,,,-14.6484375,-34.66796875,-8.30078125,-2.9296875
191,1637709674.6650937,,,,,-32.71484375,-44.43359375,-20.99609375,-58.10546875
192,1637709674.680125,,,,,-33.69140625,-70.3125,-30.76171875,-43.45703125
193,1637709674.6840312,,,,,-22.94921875,-59.5703125,-20.5078125,2.44140625
194,1637709674.6879375,,,,,-8.30078125,-19.04296875,-9.27734375,20.01953125
195,1637709674.6918437,,,,,-20.99609375,-3.90625,-25.87890625,-3.41796875
196,1637709674.69575,,,,,-21.97265625,-39.55078125,-77.63671875,-26.85546875
197,1637709674.6996562,,,,,-8.30078125,-37.109375,-69.3359375,-16.6015625
198,1637709674.7035625,,,,,-6.34765625,-18.5546875,-1.46484375,-2.9296875
199,1637709674.7074687,,,,,-30.2734375,-20.01953125,-8.7890625,-36.62109375
200,1637709674.711375,,,,,-44.921875,-28.3203125,-41.9921875,-55.6640625
201,1637709674.7152812,,,,,-21.484375,-42.96875,-25.390625,-27.83203125
202,1637709674.7191875,,,,,-12.6953125,-40.0390625,-0.9765625,-1.953125
203,1637709674.7230937,,,,,-26.3671875,-52.734375,-14.16015625,-11.23046875
204,1637709674.725125,,,,,-20.01953125,-53.22265625,-15.13671875,-52.734375
205,1637709674.7290313,,,,,2.44140625,-49.8046875,-9.765625,-20.99609375
206,1637709674.7329376,,,,,6.8359375,-65.91796875,-23.4375,22.94921875
207,1637709674.7368438,,,,,-6.34765625,-54.19921875,-22.4609375,6.34765625
208,1637709674.74075,,,,,-24.90234375,-15.625,-29.78515625,-24.4140625
209,1637709674.7446563,,,,,-27.83203125,-10.7421875,-34.1796875,-22.4609375
210,1637709674.7485626,,,,,-10.25390625,-10.7421875,-40.0390625,27.34375
211,1637709674.7524688,,,,,3.41796875,-16.11328125,-55.17578125,43.9453125
212,1637709674.756375,,,,,-19.53125,-40.52734375,-52.24609375,-7.8125
213,1637709674.7602813,,,,,-33.203125,-39.0625,-20.5078125,-48.33984375
214,1637709674.7641876,,,,,-6.34765625,-30.2734375,-16.11328125,1.953125
215,1637709674.7680938,,,,,19.04296875,-32.2265625,-34.1796875,34.1796875
216,1637709674.769125,,,,,-8.30078125,-36.62109375,-26.3671875,-10.25390625
217,1637709674.7730312,,,,,-40.52734375,-53.22265625,-16.11328125,-28.80859375
218,1637709674.7769375,,,,,-14.6484375,-58.10546875,-25.390625,8.7890625
219,1637709674.7808437,,,,,12.6953125,-41.015625,-28.80859375,55.17578125
220,1637709674.78475,,,,,1.46484375,-48.828125,-31.25,21.484375
221,1637709674.7886562,,,,,-15.13671875,-81.0546875,-80.56640625,-22.94921875
222,1637709674.7925625,,,,,-11.71875,-56.15234375,-107.91015625,-22.94921875
223,1637709674.7964687,,,,,-11.71875,-8.7890625,-80.56640625,9.765625
224,1637709674.800375,,,,,-19.04296875,-28.3203125,-38.57421875,12.6953125
225,1637709674.8042812,,,,,-42.48046875,-42.48046875,1.953125,-34.66796875
226,1637709674.8081875,,,,,-37.109375,-34.1796875,-39.55078125,-50.78125
227,1637709674.8120937,,,,,-9.27734375,-24.90234375,-26.85546875,5.859375
228,1637709674.830125,,,,,-20.99609375,-14.6484375,23.92578125,28.3203125
229,1637709674.8340313,,,,,-33.69140625,-18.06640625,17.578125,-29.296875
230,1637709674.8379376,,,,,-52.24609375,-29.78515625,-19.04296875,-55.6640625
