,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709497.317125,,,,,-10.7421875,-212.890625,111.328125,-23.92578125
1,1637709497.3210313,,,,,8.7890625,-258.7890625,23.92578125,-8.30078125
2,1637709497.3249376,,,,,-31.25,-264.16015625,55.6640625,-25.390625
3,1637709497.3288438,,,,,-61.5234375,-430.6640625,47.36328125,-34.1796875
4,1637709497.33275,,,,,-34.66796875,-824.21875,-210.9375,-18.06640625
5,1637709497.3366563,,,,,1.46484375,-780.2734375,-255.37109375,-11.71875
6,1637709497.3405626,,,,,-9.27734375,-425.78125,-37.59765625,-17.578125
7,1637709497.3444688,,,,,-41.015625,-409.66796875,34.66796875,-21.97265625
8,1637709497.348375,,,,,-27.34375,-812.01171875,-170.41015625,-19.04296875
9,1637709497.3522813,,,,,0.48828125,-311.5234375,38.0859375,-19.04296875
10,1637709497.3561876,,,,,0.0,-84.47265625,90.8203125,-16.11328125
11,1637709497.3600938,,,,,-38.0859375,-354.98046875,55.6640625,-21.484375
12,1637709497.363125,,,,,-55.17578125,-103.02734375,183.59375,-31.73828125
13,1637709497.3670313,,,,,-13.671875,99.12109375,174.31640625,-25.87890625
14,1637709497.3709376,,,,,-0.9765625,-162.59765625,26.3671875,-22.94921875
15,1637709497.3748438,,,,,-36.1328125,-508.7890625,-115.234375,-36.62109375
16,1637709497.37875,,,,,-48.33984375,-194.3359375,88.8671875,-40.52734375
17,1637709497.3826563,,,,,-26.85546875,-247.55859375,109.375,-28.3203125
18,1637709497.3865626,,,,,0.9765625,-631.8359375,-92.7734375,-7.32421875
19,1637709497.3904688,,,,,-7.32421875,-959.47265625,-346.6796875,-0.9765625
20,1637709497.394375,,,,,-50.29296875,-664.0625,-74.70703125,-15.625
21,1637709497.3982813,,,,,-40.0390625,119.62890625,257.8125,-16.11328125
22,1637709497.4021876,,,,,-0.9765625,-107.421875,34.1796875,-6.8359375
23,1637709497.4060938,,,,,-11.23046875,-453.61328125,-56.15234375,-16.6015625
24,1637709497.407125,,,,,-41.9921875,-54.6875,143.5546875,-22.94921875
25,1637709497.4110312,,,,,-28.80859375,195.3125,200.68359375,-10.25390625
26,1637709497.4149375,,,,,10.25390625,-122.0703125,43.45703125,-10.7421875
27,1637709497.4188437,,,,,16.11328125,-530.76171875,-118.1640625,-18.5546875
28,1637709497.42275,,,,,-27.34375,-530.2734375,-35.15625,-26.85546875
29,1637709497.4266562,,,,,-59.08203125,-302.24609375,145.01953125,-31.73828125
30,1637709497.4305625,,,,,-35.15625,-443.359375,18.06640625,-28.3203125
31,1637709497.4344687,,,,,-18.5546875,-929.19921875,-373.53515625,-20.5078125
32,1637709497.438375,,,,,-43.9453125,-635.7421875,-139.16015625,-28.3203125
