,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1637709566.362125,,,,,-87.890625,-64.453125,-813.4765625,-72.265625
1,1637709566.3660312,,,,,-69.82421875,-55.17578125,-732.421875,-73.2421875
2,1637709566.3699374,,,,,-25.87890625,-5.859375,-374.51171875,-66.40625
3,1637709566.3738437,,,,,-32.2265625,-21.97265625,-456.0546875,-69.3359375
4,1637709566.37775,,,,,-78.61328125,-71.77734375,-754.8828125,-86.9140625
5,1637709566.3816562,,,,,-93.75,-74.21875,-759.765625,-78.61328125
6,1637709566.3855624,,,,,-47.8515625,-21.97265625,-452.63671875,-58.10546875
7,1637709566.3894687,,,,,-23.4375,-9.765625,-406.25,-57.12890625
8,1637709566.393375,,,,,-67.3828125,-81.0546875,-774.4140625,-64.94140625
9,1637709566.3972812,,,,,-97.65625,-84.47265625,-833.49609375,-69.3359375
10,1637709566.4011874,,,,,-54.6875,-7.32421875,-431.15234375,-64.94140625
11,1637709566.4050937,,,,,-26.85546875,-12.20703125,-392.08984375,-57.6171875
12,1637709566.409125,,,,,-44.43359375,-54.6875,-702.63671875,-64.94140625
13,1637709566.4130313,,,,,-79.1015625,-58.59375,-788.0859375,-71.77734375
14,1637709566.4169376,,,,,-70.3125,-23.92578125,-524.4140625,-75.68359375
15,1637709566.4208438,,,,,-15.13671875,-14.6484375,-402.83203125,-64.94140625
16,1637709566.42475,,,,,-27.34375,-74.21875,-715.8203125,-56.640625
17,1637709566.4286563,,,,,-78.125,-95.703125,-911.1328125,-76.171875
18,1637709566.4325626,,,,,-73.2421875,-25.87890625,-602.05078125,-83.984375
19,1637709566.4364688,,,,,-36.62109375,-8.30078125,-393.5546875,-60.05859375
20,1637709566.440375,,,,,-30.2734375,-52.734375,-550.78125,-39.55078125
21,1637709566.4442813,,,,,-72.265625,-50.29296875,-714.35546875,-73.73046875
22,1637709566.4481876,,,,,-87.890625,-25.87890625,-642.08984375,-86.9140625
23,1637709566.4520938,,,,,-34.66796875,-18.5546875,-467.28515625,-45.41015625
24,1637709566.454125,,,,,-21.97265625,-24.4140625,-476.5625,-44.43359375
25,1637709566.4580312,,,,,-68.84765625,-41.50390625,-636.71875,-73.2421875
26,1637709566.4619374,,,,,-88.37890625,-47.8515625,-708.984375,-80.078125
27,1637709566.4658437,,,,,-54.19921875,-39.0625,-535.64453125,-61.03515625
28,1637709566.46975,,,,,-25.87890625,-32.2265625,-458.984375,-52.24609375
29,1637709566.4736562,,,,,-47.8515625,-53.22265625,-668.9453125,-62.5
30,1637709566.4775624,,,,,-94.7265625,-64.94140625,-794.921875,-84.9609375
31,1637709566.4814687,,,,,-82.51953125,-68.359375,-736.328125,-70.3125
32,1637709566.485375,,,,,-36.1328125,-52.734375,-613.76953125,-44.43359375
33,1637709566.4892812,,,,,-45.41015625,-8.7890625,-485.3515625,-73.2421875
34,1637709566.4931874,,,,,-85.44921875,-44.921875,-723.6328125,-90.33203125
35,1637709566.4970937,,,,,-81.54296875,-46.38671875,-678.7109375,-75.1953125
36,1637709566.497125,,,,,-34.66796875,-5.859375,-375.0,-61.5234375
37,1637709566.5010312,,,,,-24.90234375,-19.04296875,-408.69140625,-64.453125
38,1637709566.5049374,,,,,-74.21875,-61.5234375,-695.80078125,-83.49609375
39,1637709566.5088437,,,,,-103.02734375,-71.77734375,-775.390625,-84.47265625
40,1637709566.51275,,,,,-54.6875,-28.80859375,-487.3046875,-63.96484375
41,1637709566.5166562,,,,,-23.92578125,-29.78515625,-487.3046875,-56.640625
42,1637709566.5205624,,,,,-70.3125,-58.59375,-711.9140625,-79.58984375
43,1637709566.5244687,,,,,-103.515625,-92.28515625,-876.953125,-82.03125
44,1637709566.528375,,,,,-61.03515625,-55.6640625,-687.98828125,-52.734375
