,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534400537832.8,,,,,-0.48828125,-48.33984375,5.37109375,17.08984375
1,1644534400541739.0,,,,,-1.46484375,-50.78125,2.44140625,1.46484375
2,1644534400545645.2,,,,,-9.765625,-46.875,2.9296875,-8.30078125
3,1644534400549551.5,,,,,-12.6953125,-60.546875,-3.41796875,-4.8828125
4,1644534400553457.8,,,,,-29.296875,-73.2421875,-7.32421875,17.578125
5,1644534400557364.0,,,,,-27.83203125,-61.03515625,-3.41796875,44.43359375
6,1644534400561270.2,,,,,-21.484375,-58.59375,-0.9765625,29.78515625
7,1644534400565176.5,,,,,-18.5546875,-64.94140625,-15.13671875,26.85546875
8,1644534400569082.8,,,,,-4.8828125,-65.91796875,-16.6015625,29.296875
9,1644534400572989.0,,,,,-8.30078125,-71.77734375,-0.48828125,7.8125
10,1644534400576895.2,,,,,-5.859375,-62.98828125,-6.34765625,-4.39453125
11,1644534400580801.5,,,,,9.27734375,-64.453125,-16.6015625,2.44140625
12,1644534400584707.8,,,,,1.46484375,-71.2890625,-19.53125,4.39453125
13,1644534400588614.0,,,,,-14.16015625,-72.75390625,-17.08984375,1.46484375
14,1644534400592520.2,,,,,0.48828125,-73.2421875,-9.27734375,12.6953125
15,1644534400596426.5,,,,,4.8828125,-59.08203125,-19.53125,19.04296875
16,1644534400600332.8,,,,,12.6953125,-54.19921875,-22.4609375,23.92578125
17,1644534400604239.0,,,,,3.90625,-70.3125,-13.18359375,18.06640625
18,1644534400608145.2,,,,,-0.9765625,-79.1015625,-16.11328125,19.04296875
19,1644534400612051.5,,,,,10.7421875,-69.3359375,-12.20703125,34.66796875
20,1644534400615957.8,,,,,6.8359375,-69.3359375,0.0,11.23046875
21,1644534400619864.0,,,,,8.7890625,-64.94140625,9.27734375,-6.34765625
22,1644534400623770.2,,,,,12.20703125,-65.91796875,-1.46484375,0.9765625
23,1644534400627676.5,,,,,9.765625,-65.91796875,-27.34375,-6.8359375
24,1644534400631582.8,,,,,6.8359375,-61.5234375,-9.765625,-11.23046875
25,1644534400635489.0,,,,,7.8125,-77.1484375,-7.32421875,5.859375
26,1644534400639395.2,,,,,0.9765625,-74.21875,-10.7421875,0.9765625
27,1644534400643301.5,,,,,-4.8828125,-80.078125,-7.8125,-1.46484375
