,time,channel1,channel2,channel3,channel4,c1,c2,c3,c4
0,1644534374740957.8,,,,,-88.37890625,115.72265625,-206.0546875,-54.6875
1,1644534374744864.0,,,,,-16.11328125,118.1640625,-226.5625,-55.6640625
2,1644534374748770.2,,,,,48.828125,122.0703125,-234.86328125,-36.1328125
3,1644534374752676.5,,,,,24.4140625,116.2109375,-235.3515625,-46.38671875
4,1644534374756582.8,,,,,12.6953125,116.2109375,-237.79296875,-82.51953125
5,1644534374760489.0,,,,,-16.6015625,115.72265625,-239.74609375,-80.078125
6,1644534374764395.2,,,,,-34.66796875,113.76953125,-243.65234375,-75.68359375
7,1644534374768301.5,,,,,-41.015625,111.328125,-244.62890625,-75.68359375
8,1644534374772207.8,,,,,-69.3359375,100.5859375,-238.28125,-82.51953125
9,1644534374776114.0,,,,,-80.56640625,105.46875,-230.95703125,-96.6796875
10,1644534374780020.2,,,,,-83.49609375,109.375,-225.5859375,-108.3984375
11,1644534374783926.5,,,,,-117.67578125,106.93359375,-224.609375,-115.234375
12,1644534374787832.8,,,,,-156.25,103.515625,-221.19140625,-125.48828125
13,1644534374791739.0,,,,,-176.26953125,94.7265625,-222.65625,-129.8828125
14,1644534374795645.2,,,,,-192.3828125,94.23828125,-217.7734375,-139.6484375
15,1644534374799551.5,,,,,-217.7734375,95.21484375,-207.51953125,-172.8515625
16,1644534374803457.8,,,,,-221.19140625,94.23828125,-204.58984375,-193.359375
17,1644534374807364.0,,,,,-215.8203125,99.609375,-205.078125,-197.75390625
18,1644534374811270.2,,,,,-233.88671875,102.5390625,-199.70703125,-201.171875
19,1644534374815176.5,,,,,-239.74609375,106.4453125,-190.4296875,-220.21484375
20,1644534374819082.8,,,,,-239.2578125,108.3984375,-184.5703125,-230.46875
21,1644534374822989.0,,,,,-241.69921875,108.88671875,-171.875,-220.21484375
22,1644534374826895.2,,,,,-255.37109375,108.3984375,-161.62109375,-213.37890625
23,1644534374830801.5,,,,,-252.44140625,107.421875,-153.80859375,-201.66015625
24,1644534374834707.8,,,,,-231.93359375,117.67578125,-143.06640625,-187.01171875
25,1644534374838614.0,,,,,-236.328125,120.60546875,-139.16015625,-182.6171875
26,1644534374842520.2,,,,,-218.75,124.51171875,-132.32421875,-166.015625
27,1644534374846426.5,,,,,-190.91796875,133.30078125,-138.671875,-134.765625
28,1644534374850332.8,,,,,-174.8046875,139.16015625,-148.92578125,-135.25390625
29,1644534374854239.0,,,,,-164.55078125,145.5078125,-129.39453125,-108.88671875
30,1644534374858145.2,,,,,-152.83203125,132.8125,-106.93359375,-68.359375
31,1644534374862051.5,,,,,-119.140625,140.13671875,-90.33203125,-51.7578125
32,1644534374865957.8,,,,,-98.14453125,164.0625,-72.75390625,-22.4609375
33,1644534374869864.0,,,,,-82.03125,177.734375,-81.54296875,-15.625
34,1644534374873770.2,,,,,-36.62109375,172.36328125,-77.1484375,-4.39453125
35,1644534374877676.5,,,,,-20.01953125,164.0625,-65.91796875,9.27734375
36,1644534374881582.8,,,,,-39.55078125,163.0859375,-75.1953125,-6.34765625
37,1644534374885489.0,,,,,-28.3203125,163.0859375,-76.66015625,10.25390625
38,1644534374889395.2,,,,,-13.18359375,164.55078125,-65.4296875,19.04296875
39,1644534374893301.5,,,,,-8.7890625,159.66796875,-64.94140625,28.80859375
40,1644534374897207.8,,,,,18.5546875,163.0859375,-70.80078125,24.4140625
41,1644534374901114.0,,,,,-8.30078125,158.69140625,-64.94140625,1.953125
42,1644534374905020.2,,,,,-29.296875,148.4375,-51.7578125,16.6015625
43,1644534374908926.5,,,,,-14.16015625,144.04296875,-35.64453125,32.71484375
44,1644534374912832.8,,,,,-22.4609375,135.25390625,-27.34375,44.921875
45,1644534374916739.0,,,,,-34.66796875,133.30078125,-17.578125,42.48046875
46,1644534374920645.2,,,,,-27.34375,130.859375,6.8359375,29.78515625
47,1644534374924551.5,,,,,-11.23046875,144.53125,20.99609375,20.01953125
48,1644534374928457.8,,,,,7.32421875,154.78515625,20.01953125,17.578125
49,1644534374932364.0,,,,,10.25390625,156.73828125,33.69140625,14.16015625
50,1644534374936270.2,,,,,-15.13671875,144.53125,51.26953125,12.6953125
51,1644534374940176.5,,,,,-39.0625,131.34765625,59.08203125,14.6484375
52,1644534374944082.8,,,,,-62.98828125,141.11328125,67.3828125,12.20703125
