,time,c1,c2,c3,c4
0,1664487620478755.0,83.49609375,-50.78125,-79.58984375,6.34765625
1,1664487620482661.2,32.71484375,-29.296875,-61.03515625,9.27734375
2,1664487620486567.5,-81.54296875,-28.3203125,-58.10546875,-11.71875
3,1664487620490473.8,-62.5,-43.45703125,-75.68359375,-12.20703125
4,1664487620494380.0,62.01171875,-43.9453125,-83.0078125,5.859375
5,1664487620498286.2,72.75390625,-41.015625,-76.66015625,-9.765625
6,1664487620502192.5,-48.33984375,-51.26953125,-63.4765625,-13.671875
7,1664487620506098.8,-68.359375,-58.59375,-60.05859375,-11.71875
8,1664487620510005.0,26.85546875,-59.08203125,-63.96484375,-12.20703125
9,1664487620513911.2,93.75,-59.08203125,-61.5234375,1.46484375
10,1664487620517817.5,-19.53125,-65.4296875,-64.94140625,-11.23046875
11,1664487620521723.8,-81.54296875,-53.7109375,-76.171875,-18.06640625
12,1664487620525630.0,-12.6953125,-43.9453125,-52.734375,2.44140625
13,1664487620529536.2,102.5390625,-45.41015625,-41.9921875,22.4609375
14,1664487620533442.5,20.5078125,-32.71484375,-54.6875,-5.37109375
15,1664487620537348.8,-62.5,-18.5546875,-62.98828125,-20.01953125
16,1664487620541255.0,-29.296875,-27.83203125,-61.5234375,-2.44140625
17,1664487620545161.2,74.21875,-31.73828125,-59.5703125,18.06640625
18,1664487620549067.5,51.7578125,-22.94921875,-58.10546875,9.27734375
19,1664487620552973.8,-69.3359375,-33.203125,-63.96484375,-4.8828125
20,1664487620556880.0,-59.08203125,-53.22265625,-69.82421875,-4.39453125
21,1664487620560786.2,62.5,-65.91796875,-62.01171875,5.37109375
22,1664487620564692.5,74.70703125,-68.359375,-56.15234375,10.25390625
23,1664487620568598.8,-57.12890625,-48.828125,-58.59375,-6.8359375
24,1664487620572505.0,-68.84765625,-37.59765625,-66.89453125,-21.484375
25,1664487620576411.2,30.2734375,-41.50390625,-62.98828125,-10.25390625
26,1664487620580317.5,96.19140625,-42.48046875,-47.8515625,9.765625
27,1664487620584223.8,-20.01953125,-42.48046875,-52.24609375,-14.16015625
28,1664487620588130.0,-84.47265625,-41.50390625,-59.5703125,-29.296875
29,1664487620592036.2,-15.13671875,-45.8984375,-64.94140625,-21.484375
30,1664487620595942.5,102.05078125,-38.57421875,-70.80078125,15.13671875
31,1664487620599848.8,31.25,-23.92578125,-69.82421875,16.11328125
32,1664487620603755.0,-66.89453125,-43.9453125,-69.82421875,-14.16015625
33,1664487620607661.2,-27.34375,-60.05859375,-75.1953125,-10.7421875
34,1664487620611567.5,89.84375,-41.015625,-69.82421875,18.06640625
35,1664487620615473.8,64.94140625,-35.15625,-70.80078125,13.671875
36,1664487620619380.0,-68.359375,-41.9921875,-75.68359375,-22.94921875
37,1664487620623286.2,-68.359375,-49.31640625,-70.3125,-27.83203125
38,1664487620627192.5,56.640625,-42.96875,-68.84765625,-4.39453125
39,1664487620631098.8,93.75,-40.52734375,-71.77734375,6.8359375
40,1664487620635005.0,-35.64453125,-39.0625,-67.3828125,-7.8125
41,1664487620638911.2,-75.68359375,-35.15625,-70.3125,-10.7421875
42,1664487620642817.5,4.39453125,-53.7109375,-76.66015625,3.90625
43,1664487620646723.8,90.8203125,-51.7578125,-62.01171875,14.6484375
44,1664487620650630.0,-2.9296875,-45.41015625,-61.5234375,1.46484375
45,1664487620654536.2,-78.61328125,-55.6640625,-70.80078125,-3.90625
46,1664487620658442.5,-27.83203125,-53.22265625,-64.94140625,-3.41796875
47,1664487620662348.8,83.984375,-46.875,-61.03515625,16.6015625
48,1664487620666255.0,24.90234375,-44.43359375,-62.5,8.30078125
49,1664487620670161.2,-82.51953125,-54.6875,-64.453125,-10.25390625
50,1664487620674067.5,-48.33984375,-60.546875,-77.1484375,-7.32421875
51,1664487620677973.8,75.1953125,-47.36328125,-70.3125,13.671875
52,1664487620681880.0,65.91796875,-50.78125,-65.4296875,17.08984375
53,1664487620685786.2,-66.40625,-72.265625,-96.19140625,-10.7421875
54,1664487620689692.5,-83.49609375,-70.80078125,-75.1953125,-26.85546875
55,1664487620693598.8,23.92578125,-46.38671875,-44.921875,0.48828125
56,1664487620697505.0,86.9140625,-55.17578125,-57.6171875,16.11328125
57,1664487620701411.2,-36.62109375,-75.68359375,-66.89453125,-17.08984375
58,1664487620705317.5,-84.47265625,-55.6640625,-70.80078125,-21.484375
59,1664487620709223.8,13.18359375,-41.015625,-72.265625,0.9765625
60,1664487620713130.0,108.88671875,-44.921875,-63.96484375,14.16015625
61,1664487620717036.2,-1.46484375,-51.7578125,-57.12890625,3.90625
62,1664487620720942.5,-87.890625,-58.10546875,-74.21875,-0.48828125
63,1664487620724848.8,-34.66796875,-44.921875,-76.66015625,8.30078125
64,1664487620728755.0,78.61328125,-40.52734375,-62.98828125,27.83203125
65,1664487620732661.2,29.78515625,-52.734375,-72.265625,21.484375
66,1664487620736567.5,-81.54296875,-63.4765625,-68.84765625,1.953125
67,1664487620740473.8,-50.78125,-67.87109375,-55.17578125,3.41796875
68,1664487620744380.0,68.84765625,-62.01171875,-55.6640625,16.6015625
69,1664487620748286.2,71.2890625,-62.98828125,-62.5,19.53125
70,1664487620752192.5,-50.78125,-62.5,-66.40625,-6.34765625
71,1664487620756098.8,-63.96484375,-60.05859375,-62.01171875,-20.99609375
72,1664487620760005.0,28.3203125,-46.38671875,-61.5234375,-6.8359375
73,1664487620763911.2,91.796875,-27.83203125,-74.21875,10.25390625
74,1664487620767817.5,-16.11328125,-31.73828125,-69.3359375,-4.39453125
75,1664487620771723.8,-79.1015625,-46.875,-63.4765625,-20.5078125
76,1664487620775630.0,-15.625,-55.6640625,-58.59375,-25.390625
77,1664487620779536.2,87.890625,-60.05859375,-48.828125,-4.39453125
78,1664487620783442.5,9.27734375,-48.828125,-46.875,10.7421875
79,1664487620787348.8,-75.1953125,-40.52734375,-61.5234375,3.41796875
80,1664487620791255.0,-34.66796875,-50.78125,-74.70703125,-10.7421875
81,1664487620795161.2,72.265625,-56.640625,-60.05859375,-1.953125
82,1664487620799067.5,48.828125,-51.7578125,-56.640625,-4.39453125
83,1664487620802973.8,-72.75390625,-31.73828125,-63.96484375,-22.4609375
84,1664487620806880.0,-74.21875,-50.29296875,-71.2890625,-16.6015625
85,1664487620810786.2,50.29296875,-82.51953125,-90.33203125,4.8828125
86,1664487620814692.5,72.265625,-57.6171875,-64.453125,4.8828125
87,1664487620818598.8,-55.17578125,-40.0390625,-43.45703125,-23.4375
88,1664487620822505.0,-80.078125,-43.9453125,-59.5703125,-28.80859375
89,1664487620826411.2,7.32421875,-29.78515625,-47.8515625,-5.37109375
90,1664487620830317.5,81.54296875,-37.109375,-49.31640625,6.34765625
91,1664487620834223.8,-26.3671875,-40.0390625,-64.94140625,-18.5546875
92,1664487620838130.0,-102.05078125,-37.109375,-68.84765625,-31.25
93,1664487620842036.2,-25.390625,-46.38671875,-62.98828125,-17.578125
94,1664487620845942.5,87.40234375,-62.01171875,-66.89453125,-6.8359375
95,1664487620849848.8,6.34765625,-60.05859375,-77.63671875,-24.90234375
96,1664487620853755.0,-91.30859375,-47.8515625,-79.1015625,-32.71484375
97,1664487620857661.2,-46.875,-53.22265625,-71.2890625,-29.78515625
98,1664487620861567.5,69.82421875,-64.94140625,-59.08203125,-13.671875
99,1664487620865473.8,41.9921875,-52.734375,-58.59375,-12.20703125
100,1664487620869380.0,-84.47265625,-42.96875,-62.01171875,-38.57421875
101,1664487620873286.2,-78.61328125,-41.9921875,-58.59375,-49.31640625
102,1664487620877192.5,29.78515625,-41.9921875,-57.6171875,-28.3203125
103,1664487620881098.8,50.78125,-48.33984375,-53.22265625,-27.83203125
104,1664487620885005.0,-70.3125,-40.0390625,-59.5703125,-62.01171875
105,1664487620888911.2,-94.7265625,-53.22265625,-72.75390625,-66.89453125
106,1664487620892817.5,-2.44140625,-67.3828125,-75.68359375,-45.41015625
107,1664487620896723.8,78.61328125,-41.9921875,-75.1953125,-24.90234375
108,1664487620900630.0,-34.1796875,-21.484375,-62.5,-40.52734375
109,1664487620904536.2,-100.5859375,-23.92578125,-55.6640625,-54.19921875
110,1664487620908442.5,-35.15625,-26.3671875,-53.22265625,-49.8046875
111,1664487620912348.8,71.77734375,-31.25,-58.10546875,-25.87890625
112,1664487620916255.0,20.99609375,-43.45703125,-61.03515625,-23.92578125
113,1664487620920161.2,-74.21875,-49.8046875,-54.6875,-35.64453125
114,1664487620924067.5,-46.875,-39.55078125,-81.54296875,-23.4375
115,1664487620927973.8,66.40625,-42.96875,-73.73046875,3.90625
116,1664487620931880.0,70.80078125,-41.015625,-56.640625,5.37109375
117,1664487620935786.2,-49.8046875,-21.97265625,-68.359375,-16.11328125
118,1664487620939692.5,-70.3125,-15.625,-63.96484375,-12.6953125
119,1664487620943598.8,31.25,-26.85546875,-56.15234375,8.7890625
120,1664487620947505.0,82.03125,-39.0625,-56.640625,16.11328125
121,1664487620951411.2,-41.9921875,-39.55078125,-62.01171875,-10.7421875
122,1664487620955317.5,-88.8671875,-30.2734375,-67.3828125,-27.34375
123,1664487620959223.8,-7.32421875,-24.90234375,-63.96484375,-12.20703125
124,1664487620963130.0,86.42578125,-45.8984375,-61.5234375,2.9296875
125,1664487620967036.2,-3.41796875,-55.6640625,-69.3359375,-9.765625
126,1664487620970942.5,-84.47265625,-35.64453125,-77.1484375,-13.18359375
127,1664487620974848.8,-37.59765625,-26.3671875,-81.0546875,-7.32421875
128,1664487620978755.0,83.984375,-35.15625,-73.73046875,2.9296875
129,1664487620982661.2,44.43359375,-38.0859375,-73.2421875,-1.46484375
130,1664487620986567.5,-74.70703125,-58.10546875,-79.1015625,-21.484375
131,1664487620990473.8,-56.640625,-54.6875,-67.3828125,-24.90234375
132,1664487620994380.0,58.10546875,-30.2734375,-61.5234375,-3.41796875
